No,Tool,Category,Keywords,Description,Command,When To Use,Output
1,Composer,Package Manager,"composer,install,require,update,autoload",PHP dependency manager. Installs packages from Packagist. Manages autoloading and scripts,"composer require vendor/package\ncomposer install --no-dev --optimize-autoloader\ncomposer update\ncomposer dump-autoload -o",Always — every PHP project uses Composer for dependency management,Installs packages to vendor/. Generates autoload files. Updates composer.lock
2,PHPStan,Static Analysis,"phpstan,static analysis,type check,bugs,level",Static analysis tool that finds bugs without running code. 10 strictness levels (0-9),"./vendor/bin/phpstan analyse --level=6\n./vendor/bin/phpstan analyse --memory-limit=512M\n./vendor/bin/phpstan analyse src/ tests/",On every commit and in CI. Use level 5-6 for existing projects; 8-9 for new projects,Reports type errors unused code unreachable statements and potential bugs
3,Psalm,Static Analysis,"psalm,type check,taint,security,analysis",Another static analysis tool with taint analysis for security vulnerability detection,"./vendor/bin/psalm\n./vendor/bin/psalm --taint-analysis\n./vendor/bin/psalm --show-info=true",When security analysis is critical. Can complement or replace PHPStan,Finds type errors taint analysis detects security vulnerabilities in data flow
4,PHP CS Fixer,Code Formatting,"php-cs-fixer,formatting,style,psr-12,cs",Automatically fixes PHP code to follow coding standards (PSR-12 and custom rules),"./vendor/bin/php-cs-fixer fix\n./vendor/bin/php-cs-fixer fix --dry-run --diff\n./vendor/bin/php-cs-fixer fix src/",Before every commit. Run in CI to enforce consistent style,Reformats code to match configured rules. Shows diff of changes
5,Laravel Pint,Code Formatting,"pint,laravel,style,opinionated,format",Opinionated PHP code formatter built on top of PHP CS Fixer with Laravel defaults,"./vendor/bin/pint\n./vendor/bin/pint --test\n./vendor/bin/pint --preset psr12\n./vendor/bin/pint app/ tests/",For Laravel projects — zero-config code formatting,Formats code with sensible Laravel-friendly defaults
6,Rector,Automated Refactoring,"rector,refactor,upgrade,modernize,automate",Automated refactoring and PHP version upgrade tool. Transforms code using rules,"./vendor/bin/rector process\n./vendor/bin/rector process --dry-run\n./vendor/bin/rector process app/",When upgrading PHP versions. When refactoring patterns at scale (e.g. adding type hints),Applies code transformations: adds types modernizes syntax upgrades deprecated code
7,Xdebug,Debugging,"xdebug,debug,breakpoint,step,profiling",PHP extension for debugging with breakpoints step-through and profiling,"php -dxdebug.mode=debug -dxdebug.start_with_request=yes script.php\nphp -dxdebug.mode=profile script.php\n# Or in php.ini:\nxdebug.mode=debug\nxdebug.client_host=host.docker.internal\nxdebug.client_port=9003",For complex debugging. For profiling performance bottlenecks. IDE integration with PHPStorm/VSCode,Step-through debugging with variable inspection. Generates cachegrind profiles
8,PHPUnit,Testing,"phpunit,test,unit,coverage,assertion",The standard PHP testing framework. Unit and integration testing with assertions and mocks,"./vendor/bin/phpunit\n./vendor/bin/phpunit --filter=UserTest\n./vendor/bin/phpunit --coverage-text\n./vendor/bin/phpunit --testsuite=Unit",For all PHP testing. Run on every commit and in CI,Test results with pass/fail counts. Coverage reports in text/HTML/Clover format
9,Pest,Testing,"pest,test,expressive,describe,it,expect",Expressive testing framework built on top of PHPUnit with a cleaner syntax,"./vendor/bin/pest\n./vendor/bin/pest --filter='creates user'\n./vendor/bin/pest --coverage\n./vendor/bin/pest --parallel",For teams preferring BDD-style syntax. Drop-in PHPUnit replacement,Same output as PHPUnit with cleaner test syntax and better error messages
10,Laravel Artisan,CLI Framework,"artisan,command,make,migrate,schedule",Laravel's built-in CLI tool for migrations code generation queue management and more,"php artisan make:model User -mfc\nphp artisan migrate\nphp artisan tinker\nphp artisan make:controller UserController --api\nphp artisan test\nphp artisan queue:work\nphp artisan schedule:run",For all Laravel development tasks: scaffolding database management testing queues,Generates boilerplate code. Runs migrations. Interactive REPL. Queue processing
11,Symfony Console,CLI Framework,"symfony,console,command,input,output",Standalone CLI component for building command-line applications,"php bin/console list\nphp bin/console make:entity\nphp bin/console doctrine:migrations:migrate\nphp bin/console cache:clear",For Symfony projects and any PHP CLI application,Command output with styling tables and progress bars
12,Laravel Debugbar,Debugging,"debugbar,profiling,queries,debug,develop",Development toolbar showing queries timing views and more in the browser,"composer require --dev barryvdh/laravel-debugbar\n# Auto-enabled when APP_DEBUG=true\n# Shows in browser at bottom of page",During development to identify N+1 queries slow queries and memory usage,Browser toolbar with query count timing memory usage view rendering details
13,Laravel Telescope,Monitoring,"telescope,monitoring,requests,jobs,logs",Debug assistant that records requests exceptions queries jobs mail and more,"composer require laravel/telescope --dev\nphp artisan telescope:install\nphp artisan migrate\n# Visit /telescope",For development and staging debugging. Inspect failed jobs slow queries exceptions,Web dashboard at /telescope showing all application activity
14,PHPMD (Mess Detector),Code Quality,"phpmd,mess,complexity,coupling,unused",Detects code smells: too complex methods excessive coupling unused parameters,"./vendor/bin/phpmd src/ text cleancode,codesize,controversial,design,naming,unusedcode",In CI pipeline to catch code quality issues. Complements PHPStan,Reports code smells with rule references and suggestions
15,PHP_CodeSniffer,Code Standards,"phpcs,phpcbf,sniff,standard,psr",Tokenizes PHP code to detect violations of coding standards and can auto-fix some,"./vendor/bin/phpcs --standard=PSR12 src/\n./vendor/bin/phpcbf --standard=PSR12 src/\n# phpcs = detect\n# phpcbf = auto-fix",When PHP CS Fixer or Pint is not used. Good for enforcing custom sniffs,Lists coding standard violations with file line and rule reference
16,Laravel Horizon,Queue Monitoring,"horizon,queue,redis,monitor,dashboard",Dashboard and configuration for Laravel Redis queues with real-time monitoring,"composer require laravel/horizon\nphp artisan horizon:install\nphp artisan horizon\n# Visit /horizon",For production Redis queue management. Monitor jobs throughput failures,Web dashboard at /horizon with real-time job throughput failure rates and metrics
17,Composer Scripts,Automation,"composer script,automate,pre-commit,hook,ci",Define custom scripts in composer.json for common development tasks,"# In composer.json:\n\"scripts\": {\n    \"test\": \"./vendor/bin/phpunit\",\n    \"lint\": \"./vendor/bin/phpstan analyse\",\n    \"format\": \"./vendor/bin/pint\",\n    \"check\": [\"@lint\", \"@test\"]\n}\n# Run: composer check",To standardize common commands across the team. For CI/CD pipelines,Runs defined commands. Can chain multiple scripts together
18,PHP-FPM Status,Monitoring,"fpm,status,workers,processes,pool",Built-in PHP-FPM status page for monitoring worker processes and request statistics,"# php-fpm.d/www.conf:\npm.status_path = /fpm-status\nping.path = /ping\n\n# Nginx:\nlocation /fpm-status {\n    fastcgi_pass unix:/run/php/php-fpm.sock;\n    include fastcgi_params;\n    allow 127.0.0.1;\n    deny all;\n}\n\n# curl http://localhost/fpm-status?full",For production monitoring. Track active processes listen queue and slow requests,Process count active/idle workers listen queue length slow request log
