No,Pattern Name,Keywords,Context,Do,Dont,Code Good,Code Bad,Severity,Package
1,Custom Exception Classes,"exception,custom,hierarchy,domain",Create domain-specific exception classes for different error types in your application,Define exception classes per domain area with error codes and context data,Use generic Exception or RuntimeException for everything,"class OrderNotFoundException extends RuntimeException {\n    public function __construct(public readonly int $orderId) {\n        parent::__construct(\"Order #{$orderId} not found\");\n    }\n}\n\nclass InsufficientStockException extends DomainException {\n    public function __construct(\n        public readonly int $productId,\n        public readonly int $requested,\n        public readonly int $available\n    ) {\n        parent::__construct(\"Product #{$productId}: requested {$requested}, available {$available}\");\n    }\n}","throw new \\Exception('Order not found');\n// or\nthrow new \\RuntimeException('Not enough stock');",Critical,laravel/framework
2,Exception Handler,"handler,render,report,global",Configure a central exception handler to transform exceptions into appropriate HTTP responses,Map domain exceptions to HTTP status codes in the exception handler. Log internally. Return JSON for API,"Let exceptions bubble up unhandled showing stack traces to users","// app/Exceptions/Handler.php (Laravel 11+)\npublic function register(): void {\n    $this->renderable(function (OrderNotFoundException $e, Request $request) {\n        return response()->json(['error' => 'Order not found', 'order_id' => $e->orderId], 404);\n    });\n    $this->renderable(function (InsufficientStockException $e) {\n        return response()->json(['error' => 'Insufficient stock', 'product_id' => $e->productId], 422);\n    });\n    $this->reportable(function (PaymentException $e) {\n        Sentry::captureException($e);\n    });\n}","// No custom handler, default Laravel shows:\n// Whoops! Something went wrong.\n// or stack traces in debug mode exposed to users",Critical,laravel/framework
3,Try-Catch Best Practices,"try,catch,specific,order",Catch the most specific exception first and handle each type appropriately,Catch specific exception types in order from most to least specific. Always handle or rethrow,Catch generic Exception and ignore it or catch everything in one block,"try {\n    $result = $this->paymentGateway->charge($amount);\n} catch (CardDeclinedException $e) {\n    return response()->json(['error' => 'Card was declined'], 402);\n} catch (PaymentGatewayException $e) {\n    Log::error('Payment gateway error', ['error' => $e->getMessage()]);\n    return response()->json(['error' => 'Payment service unavailable'], 503);\n} catch (\\Throwable $e) {\n    Log::critical('Unexpected payment error', ['exception' => $e]);\n    return response()->json(['error' => 'Internal server error'], 500);\n}","try {\n    $result = $this->paymentGateway->charge($amount);\n} catch (\\Exception $e) {\n    return response()->json(['error' => $e->getMessage()], 500);\n    // Catches everything, leaks internal messages, wrong status code\n}",High,laravel/framework
4,Validation Error Responses,"validation,422,field errors,form request",Return structured validation errors with field-level messages and a 422 status code,Use Laravel Form Requests which automatically return 422 with per-field errors,Return 400 with generic messages or a single error string,"// Form Request handles automatically:\n// Response 422:\n// {\n//   'message': 'The given data was invalid.',\n//   'errors': {\n//     'email': ['The email field is required.'],\n//     'password': ['The password must be at least 8 characters.']\n//   }\n// }\n\n// Manual validation:\n$validated = $request->validate([\n    'email' => 'required|email',\n    'password' => 'required|min:8',\n]);\n// Throws ValidationException => 422 automatically","if (!$request->email) {\n    return response()->json(['error' => 'Validation failed'], 400);\n}\n// Single error, no field info, wrong status code",High,laravel/framework
5,Error Logging Strategy,"log,context,once,structured",Log errors once at the boundary with full context. Never log and rethrow at every level,"Log errors at the handler/controller level with request context, user ID, and correlation ID",Log the same error at every layer creating duplicate log entries,"// In exception handler or middleware:\nLog::error('Order creation failed', [\n    'user_id' => auth()->id(),\n    'request_id' => $request->header('X-Request-ID'),\n    'input' => $request->except(['password', 'credit_card']),\n    'exception' => $e->getMessage(),\n    'trace' => $e->getTraceAsString(),\n]);\n\n// In service layer - just throw, don't log:\npublic function createOrder(array $data): Order {\n    // ... business logic\n    throw new OrderCreationException('Inventory check failed');\n}","// Service layer:\ncatch (\\Exception $e) {\n    Log::error('Service error: ' . $e->getMessage()); // logged here\n    throw $e; // AND rethrown\n}\n// Controller:\ncatch (\\Exception $e) {\n    Log::error('Controller error: ' . $e->getMessage()); // logged AGAIN\n}",High,monolog/monolog
6,Database Exception Handling,"database,query,pdo,integrity,constraint",Catch specific database exceptions and convert them to meaningful domain errors,Catch QueryException and check error codes for constraint violations unique violations etc,Let PDO exceptions bubble up to the user with SQL details,"use Illuminate\\Database\\QueryException;\n\ntry {\n    $user = User::create($data);\n} catch (QueryException $e) {\n    if ($e->errorInfo[1] === 1062) { // MySQL duplicate entry\n        throw new DuplicateEmailException($data['email']);\n    }\n    if ($e->errorInfo[1] === 1452) { // Foreign key constraint\n        throw new InvalidReferenceException('Referenced record does not exist');\n    }\n    throw $e; // Unknown DB error, rethrow\n}","User::create($data);\n// No exception handling\n// QueryException with SQL details leaks to user\n// SQLSTATE[23000]: Integrity constraint violation...",Critical,laravel/framework
7,API Error Response Format,"api,json,consistent,format,envelope",Return all API errors in a consistent JSON format with error code message and optional details,Define a standard error response structure and use it everywhere,"Return different shapes from different endpoints (sometimes string, sometimes object)","class ApiResponse {\n    public static function error(string $message, int $status = 400, ?array $errors = null): JsonResponse {\n        $response = [\n            'success' => false,\n            'message' => $message,\n        ];\n        if ($errors) {\n            $response['errors'] = $errors;\n        }\n        return response()->json($response, $status);\n    }\n    public static function success(mixed $data, int $status = 200): JsonResponse {\n        return response()->json(['success' => true, 'data' => $data], $status);\n    }\n}\n// ApiResponse::error('User not found', 404);\n// ApiResponse::success($user, 201);","// Endpoint A: return response('Not found', 404);\n// Endpoint B: return response()->json(['error' => 'bad'], 400);\n// Endpoint C: return response()->json(['msg' => 'fail']);\n// Inconsistent shapes break frontend parsing",High,laravel/framework
8,Exception Hierarchy,"hierarchy,base,interface,marker",Create a base exception for your domain and extend from it for specific errors,"Define a base DomainException and derive specific exceptions. Use interfaces as markers for HTTP status mapping",Have all exceptions inherit directly from PHP base Exception or RuntimeException,"// Base exceptions\nabstract class DomainException extends RuntimeException {}\n\n// Marker interfaces for HTTP mapping\ninterface NotFoundException {}\ninterface ConflictException {}\ninterface ForbiddenException {}\n\n// Specific domain exceptions\nclass UserNotFoundException extends DomainException implements NotFoundException {\n    public function __construct(int $userId) {\n        parent::__construct(\"User #{$userId} not found\");\n    }\n}\n\n// In handler:\n$this->renderable(function (NotFoundException $e) {\n    return ApiResponse::error($e->getMessage(), 404);\n});","class UserNotFoundException extends \\Exception {}\nclass ProductNotFoundException extends \\Exception {}\nclass OrderNotFoundException extends \\Exception {}\n// No shared base, hard to handle groups of errors",Medium,laravel/framework
9,Fail Fast Validation,"fail fast,validate,early return,guard clause",Validate input at the boundary and fail immediately with clear error messages,Validate as early as possible (Form Requests route model binding). Reject bad input before processing,Process data halfway then discover it is invalid and try to roll back,"class StoreOrderRequest extends FormRequest {\n    public function rules(): array {\n        return [\n            'items' => 'required|array|min:1',\n            'items.*.product_id' => 'required|exists:products,id',\n            'items.*.quantity' => 'required|integer|min:1',\n            'shipping_address_id' => 'required|exists:addresses,id,user_id,' . $this->user()->id,\n        ];\n    }\n}\n\n// Controller receives already-validated data:\npublic function store(StoreOrderRequest $request): JsonResponse {\n    $order = $this->orderService->create($request->validated());\n    return ApiResponse::success(new OrderResource($order), 201);\n}","public function store(Request $request) {\n    $order = new Order();\n    $order->user_id = auth()->id();\n    foreach ($request->items as $item) {\n        // Creates items without checking if product exists\n        $order->items()->create($item);\n    }\n    // Crashes halfway if invalid data\n}",High,laravel/framework
10,Error Reporting Control,"display_errors,error_reporting,production",Configure PHP error reporting differently for development and production environments,"In production: log all errors but display none. In development: display all. Use APP_DEBUG=false in production","Leave display_errors=On in production exposing internal info","// .env production:\nAPP_DEBUG=false\nAPP_ENV=production\nLOG_LEVEL=error\n\n// php.ini production:\ndisplay_errors = Off\nlog_errors = On\nerror_reporting = E_ALL\n\n// Laravel handles this via config/app.php:\n'debug' => env('APP_DEBUG', false),","// .env production:\nAPP_DEBUG=true  // NEVER in production!\n// Shows full stack traces, SQL queries, env vars to users\n// php.ini: display_errors = On",Critical,laravel/framework
