No,Vulnerability,Category,Keywords,Description,Prevention,Code Good,Code Bad,Severity,OWASP,Docs URL
1,Insecure Data Storage,Storage,"storage,keychain,keystore,shared preferences,plaintext,credentials",Storing sensitive data (tokens passwords PII) in plaintext on device,"Use flutter_secure_storage backed by iOS Keychain / Android Keystore; never store secrets in SharedPreferences","final secureStorage = FlutterSecureStorage();\n\n// Store token securely\nawait secureStorage.write(key: 'auth_token', value: token);\n\n// Read token\nfinal token = await secureStorage.read(key: 'auth_token');\n\n// iOS: Stored in Keychain with kSecAttrAccessibleWhenUnlockedThisDeviceOnly\n// Android: Stored in EncryptedSharedPreferences with AES-256","// INSECURE: Storing token in SharedPreferences\nfinal prefs = await SharedPreferences.getInstance();\nawait prefs.setString('auth_token', token);\n// Plaintext on device - easily extracted with root/jailbreak",Critical,M1,https://owasp.org/www-project-mobile-top-10/2023-risks/m9-insecure-data-storage
2,Missing Certificate Pinning,Network,"ssl,tls,certificate,pinning,mitm,man in the middle,proxy",App accepts any valid SSL certificate allowing MITM attacks via proxy tools,"Implement certificate pinning; pin to public key hash not certificate; have rotation plan","// Dio certificate pinning\nfinal dio = Dio();\n(dio.httpClientAdapter as IOHttpClientAdapter).createHttpClient = () {\n  final client = HttpClient();\n  client.badCertificateCallback = (cert, host, port) {\n    // Verify against pinned certificate\n    final pinnedHash = 'sha256/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=';\n    final certHash = sha256.convert(cert.der).toString();\n    return certHash == pinnedHash;\n  };\n  return client;\n};","// No certificate pinning\nfinal dio = Dio();\nfinal response = await dio.get('https://api.example.com/data');\n// Vulnerable to MITM with tools like Charles/Proxyman",High,M3,https://owasp.org/www-project-mobile-top-10/2023-risks/m5-insecure-communication
3,Hardcoded Secrets,Code,"api key,secret,hardcode,credential,source code,reverse engineering",API keys secrets and credentials embedded in source code,"Use --dart-define for build-time injection; use environment config; never commit secrets to VCS","// Build-time injection\n// flutter run --dart-define=API_KEY=your_key\nclass AppConfig {\n  static const apiKey = String.fromEnvironment('API_KEY');\n  static const baseUrl = String.fromEnvironment('BASE_URL', defaultValue: 'https://api.dev.example.com');\n}\n\n// Or use .env with flutter_dotenv\nawait dotenv.load(fileName: '.env');\nfinal apiKey = dotenv.env['API_KEY'];","class Config {\n  static const apiKey = 'sk_live_ABC123XYZ'; // Hardcoded in source!\n  static const dbPassword = 'super_secret_123'; // Anyone can decompile and find\n}",Critical,M1,https://owasp.org/www-project-mobile-top-10/2023-risks/m8-security-misconfiguration
4,Missing Root/Jailbreak Detection,Platform,"root,jailbreak,detection,tamper,integrity",App runs on compromised devices without warning allowing data extraction,"Detect rooted/jailbroken devices; warn users; disable sensitive features on compromised devices","import 'package:flutter_jailbreak_detection/flutter_jailbreak_detection.dart';\n\nclass SecurityService {\n  Future<bool> isDeviceSecure() async {\n    final jailbroken = await FlutterJailbreakDetection.jailbroken;\n    final developerMode = await FlutterJailbreakDetection.developerMode;\n    return !jailbroken && !developerMode;\n  }\n  \n  Future<void> enforceSecurityPolicy() async {\n    if (!await isDeviceSecure()) {\n      // Warn user or restrict features\n      showSecurityWarning();\n    }\n  }\n}","// No device integrity check\n// App runs identically on rooted/jailbroken devices\n// Sensitive data accessible via root access",Medium,M4,https://owasp.org/www-project-mobile-top-10/2023-risks/m4-insufficient-input-output-validation
5,Insecure Network Communication,Network,"http,plaintext,unencrypted,nsc,ats,cleartext",Using HTTP instead of HTTPS or allowing cleartext traffic,"Enforce HTTPS everywhere; configure Network Security Config (Android) and ATS (iOS)","<!-- Android: res/xml/network_security_config.xml -->\n<network-security-config>\n  <base-config cleartextTrafficPermitted=\"false\">\n    <trust-anchors>\n      <certificates src=\"system\" />\n    </trust-anchors>\n  </base-config>\n</network-security-config>\n\n<!-- iOS: Info.plist -->\n<key>NSAppTransportSecurity</key>\n<dict>\n  <key>NSAllowsArbitraryLoads</key>\n  <false/>\n</dict>","<!-- Android: Allows all cleartext -->\n<application android:usesCleartextTraffic=\"true\">\n\n<!-- iOS: Disables all checks -->\n<key>NSAllowsArbitraryLoads</key>\n<true/>",High,M3,https://owasp.org/www-project-mobile-top-10/2023-risks/m5-insecure-communication
6,Missing Biometric Auth,Authentication,"biometric,fingerprint,face id,touch id,local auth",No biometric authentication for sensitive operations,"Use local_auth for biometric; implement as additional factor not sole auth; handle fallback to PIN","final localAuth = LocalAuthentication();\n\nFuture<bool> authenticateUser() async {\n  final canCheck = await localAuth.canCheckBiometrics;\n  final isDeviceSupported = await localAuth.isDeviceSupported();\n  \n  if (!canCheck || !isDeviceSupported) return false;\n  \n  return await localAuth.authenticate(\n    localizedReason: 'Verify your identity to continue',\n    options: const AuthenticationOptions(\n      stickyAuth: true,\n      biometricOnly: false, // Allow PIN fallback\n    ),\n  );\n}","// No biometric for sensitive operations\n// Payment confirmation without re-authentication\nawait processPayment(order); // No identity check",Medium,M6,https://pub.dev/packages/local_auth
7,Insecure Deep Links,Navigation,"deeplink,universal link,app link,url scheme,injection",Deep links that can be hijacked or exploited for unauthorized access,"Validate deep link parameters; require authentication for sensitive deep links; use universal links over custom schemes","// GoRouter with auth guard\nGoRoute(\n  path: '/order/:id',\n  redirect: (context, state) {\n    final isLoggedIn = ref.read(authProvider).isAuthenticated;\n    if (!isLoggedIn) return '/login?redirect=${state.matchedLocation}';\n    \n    // Validate parameter\n    final orderId = state.pathParameters['id'];\n    if (orderId == null || !RegExp(r'^[a-zA-Z0-9-]+$').hasMatch(orderId)) {\n      return '/error';\n    }\n    return null;\n  },\n  builder: (context, state) => OrderDetailScreen(id: state.pathParameters['id']!),\n)","// No validation on deep link params\nGoRoute(\n  path: '/user/:id',\n  builder: (context, state) => UserScreen(id: state.pathParameters['id']!),\n  // No auth check - anyone with the link accesses user data\n)",Medium,M7,https://owasp.org/www-project-mobile-top-10/2023-risks/m7-insufficient-binary-protections
8,Code Obfuscation Missing,Binary,"obfuscation,reverse engineering,decompile,proguard,r8",App binary can be easily decompiled revealing business logic and secrets,"Enable obfuscation for release builds; use ProGuard/R8 for Android; split debug symbols","# Flutter obfuscation\nflutter build apk --obfuscate --split-debug-info=build/debug-info/\nflutter build ipa --obfuscate --split-debug-info=build/debug-info/\n\n# Android ProGuard rules\n-keep class com.example.app.models.** { *; }\n-keepattributes *Annotation*\n\n# Store debug-info for crash symbolication\n# Upload to Crashlytics/Sentry for readable stack traces","# No obfuscation\nflutter build apk\n# Anyone can decompile and read all Dart code\n# Business logic, API endpoints, validation rules all visible",Medium,M7,https://docs.flutter.dev/deployment/obfuscate
9,Clipboard Data Exposure,Privacy,"clipboard,paste,copy,sensitive,password",Sensitive data left in system clipboard accessible to other apps,"Clear clipboard after use; prevent copying of sensitive fields; use secure text fields","// Auto-clear clipboard\nFuture<void> copyAndClear(String text) async {\n  await Clipboard.setData(ClipboardData(text: text));\n  Future.delayed(const Duration(seconds: 30), () {\n    Clipboard.setData(const ClipboardData(text: ''));\n  });\n}\n\n// Prevent copying\nTextField(\n  obscureText: true,\n  enableInteractiveSelection: false, // Prevents copy/paste\n  decoration: InputDecoration(labelText: 'Password'),\n)","// Password copyable and stays in clipboard forever\nTextField(\n  controller: passwordController,\n  // No obscureText, no copy protection\n)",Low,M9,https://owasp.org/www-project-mobile-top-10/2023-risks/m9-insecure-data-storage
10,Missing Input Validation,Data,"input,validation,injection,sanitize,xss,sql",User input not validated or sanitized before use,"Validate all input client-side AND server-side; sanitize before display; use parameterized queries","class InputValidator {\n  static String? validateEmail(String? value) {\n    if (value == null || value.isEmpty) return 'Email is required';\n    if (!RegExp(r'^[\\w-\\.]+@[\\w-]+\\.[a-z]{2,}$').hasMatch(value)) {\n      return 'Invalid email format';\n    }\n    if (value.length > 254) return 'Email too long';\n    return null;\n  }\n  \n  static String? sanitizeInput(String input) {\n    return input\n      .replaceAll(RegExp(r'<[^>]*>'), '') // Strip HTML\n      .replaceAll(RegExp(r'[\\x00-\\x1F]'), '') // Strip control chars\n      .trim();\n  }\n}","// Direct use of user input\nfinal query = textController.text;\nawait api.search(query); // No validation or sanitization",Medium,M4,https://owasp.org/www-project-mobile-top-10/2023-risks/m4-insufficient-input-output-validation
