No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Routing,Route Groups and Middleware,Use CodeIgniter 4 route groups with filters for organized and secure routing,Group related routes. Apply auth and CSRF filters. Use controller method routing,"Define routes individually without grouping or filtering","// app/Config/Routes.php\n$routes->group('api', ['filter' => 'auth:api', 'namespace' => 'App\\Controllers\\Api'], function($routes) {\n    $routes->get('posts', 'PostController::index');\n    $routes->post('posts', 'PostController::create');\n    $routes->get('posts/(:num)', 'PostController::show/$1');\n    $routes->put('posts/(:num)', 'PostController::update/$1');\n    $routes->delete('posts/(:num)', 'PostController::delete/$1');\n});","$routes->get('posts', 'PostController::index');\n$routes->post('posts', 'PostController::create');\n// No grouping, no filter, no namespace",Medium,https://codeigniter.com/user_guide/incoming/routing.html
2,Models,Model Configuration,Configure CI4 models with proper table validation rules and type casting,Define $allowedFields, $validationRules, $useTimestamps on models,"Leave models unconfigured using raw Query Builder everywhere","class PostModel extends Model {\n    protected $table = 'posts';\n    protected $primaryKey = 'id';\n    protected $useAutoIncrement = true;\n    protected $returnType = 'App\\Entities\\Post';\n    protected $allowedFields = ['title', 'body', 'user_id', 'status'];\n    protected $useTimestamps = true;\n    protected $validationRules = [\n        'title' => 'required|max_length[255]',\n        'body' => 'required',\n        'user_id' => 'required|integer',\n    ];\n    protected $validationMessages = [\n        'title' => ['required' => 'Post title is required'],\n    ];\n}","class PostModel extends Model {\n    protected $table = 'posts';\n    // No validation, no allowed fields\n    // Mass assignment vulnerable\n}",High,https://codeigniter.com/user_guide/models/model.html
3,Entities,Entity Classes,Use Entity classes for type-safe data objects with casts and mutators,Define entities with typed properties and cast arrays for type conversion,Return raw arrays from models without type safety,"class Post extends Entity {\n    protected $casts = [\n        'id' => 'integer',\n        'user_id' => 'integer',\n        'published_at' => 'datetime',\n        'is_featured' => 'boolean',\n        'meta' => 'json-array',\n    ];\n    protected $dates = ['created_at', 'updated_at', 'published_at'];\n\n    public function setTitle(string $title): self {\n        $this->attributes['title'] = $title;\n        $this->attributes['slug'] = url_title($title, '-', true);\n        return $this;\n    }\n}","// Raw array access:\n$post = $model->find(1);\n$post['title']; // No type safety, no mutators",Medium,https://codeigniter.com/user_guide/models/entities.html
4,Filters,Request Filters,Use CI4 Filters for cross-cutting concerns like authentication and CORS,Create filter classes implementing FilterInterface. Register in Config/Filters.php,Put auth checks in every controller method,"class AuthFilter implements FilterInterface {\n    public function before(RequestInterface $request, $arguments = null) {\n        $session = session();\n        if (!$session->get('logged_in')) {\n            return redirect()->to('/login');\n        }\n    }\n    public function after(RequestInterface $request, ResponseInterface $response, $arguments = null) {\n        // Post-processing\n    }\n}\n\n// Config/Filters.php:\npublic array $aliases = ['auth' => AuthFilter::class];\npublic array $filters = ['auth' => ['before' => ['api/*']]];","public function index() {\n    if (!session()->get('logged_in')) {\n        return redirect()->to('/login');\n    }\n    // Repeated in every method\n}",High,https://codeigniter.com/user_guide/incoming/filters.html
5,Database,Query Builder Best Practices,Use CodeIgniter Query Builder for safe parameterized database queries,Use Query Builder methods which auto-escape. Use where() with arrays for conditions,Concatenate user input into raw queries,"$posts = $this->db->table('posts')\n    ->select('posts.*, users.name as author_name')\n    ->join('users', 'users.id = posts.user_id')\n    ->where('posts.status', 'published')\n    ->orderBy('posts.created_at', 'DESC')\n    ->limit(20)\n    ->get()\n    ->getResultObject();","$sql = \"SELECT * FROM posts WHERE title LIKE '%\" . $title . \"%'\";\n$this->db->query($sql);\n// SQL injection risk",Critical,https://codeigniter.com/user_guide/database/query_builder.html
6,Validation,Request Validation,Use CI4 validation library with rule sets for input validation,Define validation rules in model or controller. Use custom validation rules,Trust user input without validation,"$validation = \\Config\\Services::validation();\n$validation->setRules([\n    'email' => 'required|valid_email|is_unique[users.email]',\n    'password' => 'required|min_length[8]',\n    'name' => 'required|max_length[100]',\n]);\n\nif (!$validation->withRequest($this->request)->run()) {\n    return $this->response->setJSON([\n        'errors' => $validation->getErrors()\n    ])->setStatusCode(422);\n}","$email = $this->request->getPost('email');\nif (empty($email)) { ... }\n// Manual validation per field",High,https://codeigniter.com/user_guide/libraries/validation.html
7,Services,Service Layer Pattern,Use CI4 Services for dependency injection and service registry,Register services in Config/Services.php. Access through Services facade,Create new instances directly in controllers,"// Config/Services.php:\npublic static function orderService($getShared = true) {\n    if ($getShared) return static::getSharedInstance('orderService');\n    return new \\App\\Services\\OrderService(\n        model('OrderModel'),\n        static::payment()\n    );\n}\n\n// Controller:\n$orderService = service('orderService');\n$order = $orderService->create($data);","$model = new OrderModel();\n$payment = new StripePayment();\n// Manual instantiation, no DI",Medium,https://codeigniter.com/user_guide/concepts/services.html
8,Views,View Cells,Use View Cells for reusable UI components with their own logic,Create Cell classes with render methods for reusable view components,Duplicate view logic across controllers and views,"// Cell class:\nclass RecentPostsCell {\n    public function render(int $limit = 5): string {\n        $posts = model('PostModel')\n            ->where('status', 'published')\n            ->orderBy('created_at', 'DESC')\n            ->findAll($limit);\n        return view('cells/recent_posts', ['posts' => $posts]);\n    }\n}\n\n// In any view:\n<?= view_cell('App\\Cells\\RecentPostsCell', ['limit' => 10]) ?>","// Duplicate query in every controller:\n$data['recent_posts'] = $this->postModel->findRecentPosts();\nreturn view('page', $data);",Medium,https://codeigniter.com/user_guide/outgoing/view_cells.html
9,Security,CSRF and Security Helpers,Enable CSRF protection and use security helpers for safe output,Enable CSRF in Config/Security.php. Use esc() for output escaping,"Disable CSRF or output unescaped user data","// Config/Security.php:\npublic bool $csrfProtection = true;\npublic string $tokenName = 'csrf_token';\n\n// In forms:\n<?= csrf_field() ?>\n\n// Escape output:\n<p><?= esc($user->name) ?></p>\n<a href='<?= esc($url, 'url') ?>'>Link</a>","<p><?= $user->name ?></p>  <!-- XSS risk -->\n<!-- No csrf_field() in forms -->",Critical,https://codeigniter.com/user_guide/libraries/security.html
10,Testing,CI4 Testing,Use PHPUnit with CI4 testing helpers for feature and unit tests,Use CIUnitTestCase and FeatureTestCase for proper CI4 test setup,Test without CI4 context missing framework helpers,"class PostApiTest extends FeatureTestCase {\n    protected $refresh = true;\n    protected $seed = 'PostSeeder';\n\n    public function testListPosts(): void {\n        $result = $this->get('api/posts');\n        $result->assertOK();\n        $result->assertJSONFragment(['status' => 'success']);\n    }\n    public function testCreateRequiresAuth(): void {\n        $result = $this->post('api/posts', ['title' => 'Test']);\n        $result->assertStatus(401);\n    }\n}","// Test without framework:\nclass PostTest extends \\PHPUnit\\Framework\\TestCase {\n    // No database, no request context\n}",Medium,https://codeigniter.com/user_guide/testing/index.html
