No,Topic,Keywords,Description,Do,Dont,Example,Severity,Docs URL
1,Pubspec Version Constraints,"pubspec,version,constraint,caret,pin,range,pub.dev",Managing package version constraints in pubspec.yaml for predictable builds,"Use caret syntax (^) for compatible versions; pin exact versions for critical deps; run pub upgrade regularly","Use >= without upper bound; pin everything preventing security patches","# Good: caret syntax allows compatible updates\ndependencies:\n  flutter_bloc: ^8.1.0  # Allows 8.1.0 to 8.x.x\n  dio: ^5.3.0           # Allows 5.3.0 to 5.x.x\n  freezed_annotation: ^2.4.0\n\n# Pin critical dependencies\ndependency_overrides:\n  crypto: 3.0.3  # Pinned for known working version","# Bad: too loose\ndependencies:\n  dio: '>=5.0.0'  # Could get breaking changes\n  http: any        # Completely unpredictable",High,https://dart.dev/tools/pub/dependencies
2,Lock File Management,"pubspec.lock,lock,commit,reproducible,ci",Managing pubspec.lock for reproducible builds across team and CI,"Commit pubspec.lock for apps; don't commit for packages; review lock file changes","Ignore lock file for apps; commit lock file for published packages","# For apps (commit lock file)\ngit add pubspec.lock\ngit commit -m 'Update dependencies'\n\n# For packages (.gitignore)\n# pubspec.lock  # Don't commit - consumers resolve their own\n\n# CI: use --enforce-lockfile\nflutter pub get --enforce-lockfile","# .gitignore (BAD for apps)\npubspec.lock  # Different versions on every team member's machine",High,https://dart.dev/tools/pub/glossary#lockfile
3,Dependency Audit,"audit,vulnerability,security,outdated,upgrade",Regularly auditing dependencies for security vulnerabilities and updates,"Run flutter pub outdated regularly; check pub.dev scores; review changelogs before upgrading","Ignore outdated warnings; upgrade without reading changelogs; use packages with low pub.dev scores","# Check outdated\nflutter pub outdated\n\n# Check for specific issues\nflutter pub deps\n\n# Upgrade all (respecting constraints)\nflutter pub upgrade\n\n# Upgrade to latest major versions\nflutter pub upgrade --major-versions\n\n# Audit script in CI\nflutter pub outdated --json | jq '.packages[] | select(.upgradable != null)'",Medium,https://dart.dev/tools/pub/cmd/pub-outdated
4,Native Dependency Management (iOS),"cocoapods,spm,pod,ios,swift package manager,podfile",Managing iOS native dependencies via CocoaPods or Swift Package Manager,"Keep Podfile clean; run pod install after changes; commit Podfile.lock; specify deployment target","Edit Pods/ directory manually; ignore pod install errors; use incompatible pod versions","# Podfile best practices\nplatform :ios, '14.0'\n\ntarget 'Runner' do\n  use_frameworks!\n  \n  # Explicit pod versions for reproducibility\n  pod 'FirebaseCore', '~> 10.0'\n  pod 'GoogleMaps', '~> 8.0'\nend\n\npost_install do |installer|\n  installer.pods_project.targets.each do |target|\n    target.build_configurations.each do |config|\n      config.build_settings['IPHONEOS_DEPLOYMENT_TARGET'] = '14.0'\n    end\n  end\nend\n\n# Commands\ncd ios && pod install --repo-update","# Editing files in Pods/ directory directly\n# Ignoring Podfile.lock\n# Not running pod install after pubspec changes",Medium,https://cocoapods.org
5,Native Dependency Management (Android),"gradle,android,build.gradle,implementation,kapt,ksp",Managing Android native dependencies via Gradle,"Use implementation instead of compile; keep gradle versions updated; use version catalogs","Use deprecated compile; mix Kotlin and Java dependencies without thought; ignore Gradle warnings","// android/app/build.gradle\ndependencies {\n    implementation platform('com.google.firebase:firebase-bom:32.7.0')\n    implementation 'com.google.firebase:firebase-analytics'\n    implementation 'com.google.firebase:firebase-crashlytics'\n    \n    // Use KSP instead of KAPT for Kotlin\n    ksp 'com.google.dagger:hilt-compiler:2.48'\n}\n\n// Version catalogs (gradle/libs.versions.toml)\n[versions]\nfirebase-bom = \"32.7.0\"\n[libraries]\nfirebase-bom = { group = \"com.google.firebase\", name = \"firebase-bom\", version.ref = \"firebase-bom\" }","// BAD: deprecated syntax\ncompile 'com.google.firebase:firebase-analytics:21.0.0'\n// No BOM - version conflicts\nimplementation 'com.google.firebase:firebase-analytics:21.0.0'\nimplementation 'com.google.firebase:firebase-auth:22.0.0'",Medium,https://developer.android.com/build/dependencies
6,Dev Dependencies,"dev,devDependencies,build_runner,test,lint,separation",Properly separating development-time from runtime dependencies,"Put testing and codegen packages in dev_dependencies; never import dev packages in lib/","Mix dev and runtime dependencies; include test packages in regular dependencies","# pubspec.yaml\ndependencies:\n  flutter_bloc: ^8.1.0\n  dio: ^5.3.0\n  freezed_annotation: ^2.4.0\n  json_annotation: ^4.8.0\n\ndev_dependencies:\n  flutter_test:\n    sdk: flutter\n  build_runner: ^2.4.0\n  freezed: ^2.4.0\n  json_serializable: ^6.7.0\n  mocktail: ^1.0.0\n  bloc_test: ^9.1.0\n  flutter_lints: ^3.0.0","# BAD: test/codegen packages in regular deps\ndependencies:\n  mocktail: ^1.0.0  # Shipped to users!\n  build_runner: ^2.4.0  # Not needed at runtime",Medium,https://dart.dev/tools/pub/dependencies#dev-dependencies
7,Monorepo Package Management,"monorepo,melos,workspace,internal,package,shared",Managing multiple packages in a monorepo with Melos for shared dependencies,"Use Melos for workspace management; share common deps via workspace; use path dependencies for internal packages","Manually manage each package; duplicate shared code; publish internal packages unnecessarily","# melos.yaml\nname: my_workspace\npackages:\n  - packages/**\n  - apps/**\n\ncommand:\n  bootstrap:\n    usePubspecOverrides: true\n\nscripts:\n  analyze:\n    run: melos exec -- flutter analyze\n  test:\n    run: melos exec -- flutter test\n\n# Internal package dependency\n# packages/app/pubspec.yaml\ndependencies:\n  shared_ui:\n    path: ../shared_ui","# Separate repos for shared code\n# Copy-pasting between packages\n# Publishing internal-only packages to pub.dev",Medium,https://melos.invertase.dev
8,Dependency Injection Setup,"di,injection,get_it,injectable,setup,register",Setting up dependency injection properly with registration order and scoping,"Register in correct order (data -> domain -> presentation); use lazy singletons; dispose when needed","Register everything eagerly; create circular dependencies; use manual registration for large projects","// Using injectable for auto-registration\n@InjectableInit(preferRelativeImports: true)\nvoid configureDependencies() => getIt.init();\n\n// Module for third-party registrations\n@module\nabstract class RegisterModule {\n  @lazySingleton\n  Dio get dio => Dio(BaseOptions(baseUrl: AppConfig.baseUrl))\n    ..interceptors.addAll([AuthInterceptor(getIt()), LogInterceptor()]);\n  \n  @lazySingleton\n  SharedPreferences get prefs => getIt<SharedPreferences>();\n}\n\n// Pre-resolve async singletons\n@preResolve\n@lazySingleton\nFuture<SharedPreferences> get prefs => SharedPreferences.getInstance();","// Manual registration of 50+ classes\nfinal sl = GetIt.instance;\nvoid setup() {\n  sl.registerLazySingleton(() => Dio());\n  sl.registerLazySingleton(() => ApiClient(sl()));\n  // 50 more lines...\n  // Easy to forget or misordered\n}",Medium,https://pub.dev/packages/injectable
9,Transitive Dependency Conflicts,"transitive,conflict,resolution,override,incompatible",Resolving version conflicts between transitive dependencies of different packages,"Use dependency_overrides sparingly; check compatibility before upgrading; pin conflicting versions","Force override without understanding implications; ignore resolution errors","# Check dependency tree\nflutter pub deps\n\n# If conflict exists\n# pubspec.yaml\ndependency_overrides:\n  collection: 1.18.0  # Force specific version for compatibility\n  \n# Better: find compatible versions\n# flutter pub outdated shows which versions work together\n\n# Last resort: fork and fix\n# git dependency\ndependencies:\n  problematic_package:\n    git:\n      url: https://github.com/yourfork/package\n      ref: fix-compatibility","# Ignoring the error\n# OR overriding without testing\ndependency_overrides:\n  http: 1.0.0  # May break packages that need http 0.13.x",High,https://dart.dev/tools/pub/dependencies#dependency-overrides
10,Flutter SDK Channel Management,"channel,stable,beta,master,sdk,upgrade",Choosing and managing Flutter SDK channels for stability and features,"Use stable for production; beta for testing upcoming features; master only for contributing","Use master channel in production; switch channels without testing; skip SDK versions","# Check current channel\nflutter channel\n\n# Switch to stable\nflutter channel stable\nflutter upgrade\n\n# Use FVM for per-project versions\nfvm use stable\nfvm use 3.16.0  # Specific version\n\n# CI: pin SDK version\n# .fvmrc\n{\n  \"flutter\": \"3.16.0\",\n  \"flavors\": {}\n}","# Using master in production\nflutter channel master\n# Breaking changes surprise!\n\n# Different versions across team\n# Dev A: 3.16.0, Dev B: 3.13.0 -> issues",Medium,https://docs.flutter.dev/release/upgrade
