No,Topic,Keywords,Description,Do,Dont,Example,Severity,Docs URL
1,Module Declaration,"mod, module, declaration, file","Use mod to declare submodules; Rust requires explicit declaration of every module","Declare modules with mod in the parent; use mod.rs or filename.rs for module files","Forget to declare a module then wonder why it is not found by the compiler","// src/lib.rs\nmod users;      // loads src/users.rs or src/users/mod.rs\nmod orders;     // loads src/orders.rs or src/orders/mod.rs\npub mod config; // public module\n\n// New style (preferred):\n// src/users.rs   (module file)\n// src/users/     (submodules if needed)",Critical,https://doc.rust-lang.org/book/ch07-02-defining-modules-to-control-scope-and-privacy.html
2,Visibility (pub),"pub, pub(crate), pub(super), private, visibility","Control visibility with pub, pub(crate), pub(super), or private (default)","Use pub only for true public API; use pub(crate) for crate-internal; use pub(super) for parent-module access; keep fields private by default","Make everything pub; expose internal types to crate consumers","// Default: private to parent module\nfn helper() {}\n\n// Public API:\npub fn process() {}\n\n// Crate-internal only:\npub(crate) struct InternalConfig {}\n\n// Visible to parent module only:\npub(super) fn parent_helper() {}",High,https://doc.rust-lang.org/reference/visibility-and-privacy.html
3,File vs Directory Modules,"mod.rs, file module, directory, layout","Choose between file-based (foo.rs) and directory-based (foo/mod.rs) module layouts","Prefer the new style (foo.rs + foo/ directory) over foo/mod.rs; use directory when a module has submodules","Mix mod.rs and new-style in the same project; use deeply nested mod.rs files","// Preferred (new style):\n// src/\n//   lib.rs\n//   users.rs          (mod users)\n//   users/\n//     service.rs      (mod users::service)\n//     repository.rs   (mod users::repository)\n\n// Legacy style (still valid):\n// src/\n//   lib.rs\n//   users/\n//     mod.rs          (mod users)\n//     service.rs",Medium,https://doc.rust-lang.org/book/ch07-05-separating-modules-into-different-files.html
4,Re-exports with pub use,"pub use, re-export, facade, API surface","Use pub use to create a clean public API surface by re-exporting items from internal modules","Re-export key types at the crate root or module level; create a prelude module for frequently used items","Force users to navigate deep module paths; re-export everything indiscriminately","// src/lib.rs\nmod domain;\nmod handlers;\nmod errors;\n\n// Clean public API:\npub use domain::User;\npub use domain::Order;\npub use errors::AppError;\n\n// Users see: mycrate::User, mycrate::AppError\n// Not: mycrate::domain::models::user::User",High,https://doc.rust-lang.org/book/ch07-04-bringing-paths-into-scope-with-the-use-keyword.html#re-exporting-names-with-pub-use
5,Prelude Module,"prelude, glob import, convenience, common","Create a prelude module that re-exports the most commonly used items for glob import convenience","Keep preludes small (< 15 items); only include traits and types used in most files; document what the prelude contains","Put everything in the prelude; make the prelude required for basic usage","// src/prelude.rs\npub use crate::errors::{AppError, Result};\npub use crate::domain::{User, Order};\npub use crate::traits::{Repository, Service};\n\n// Usage in other files:\nuse crate::prelude::*;",Medium,https://doc.rust-lang.org/std/prelude/index.html
6,Use Declarations,"use, path, alias, glob, import","Organize use declarations for readability with nested paths and aliases","Group use declarations: std first, external crates second, crate-local third; use nested paths; use aliases for conflicts","Use glob imports (use module::*) outside of prelude/test contexts; have overly verbose use blocks","use std::collections::HashMap;\nuse std::sync::Arc;\n\nuse serde::{Deserialize, Serialize};\nuse tokio::sync::mpsc;\n\nuse crate::models::User;\nuse crate::errors::AppError;",Medium,https://doc.rust-lang.org/book/ch07-04-bringing-paths-into-scope-with-the-use-keyword.html
7,Workspace Dependencies,"workspace.dependencies, version, shared, DRY","Centralize dependency versions in the workspace Cargo.toml to avoid version mismatches","Define dependencies in [workspace.dependencies]; use dep.workspace = true in member Cargo.toml files","Specify versions independently in each workspace member leading to version conflicts","# Root Cargo.toml\n[workspace]\nmembers = [""crates/*""]\n\n[workspace.dependencies]\ntokio = { version = ""1"", features = [""full""] }\nserde = { version = ""1"", features = [""derive""] }\nsqlx = { version = ""0.7"", features = [""postgres"", ""runtime-tokio""] }\n\n# crates/api/Cargo.toml\n[dependencies]\ntokio.workspace = true\nserde.workspace = true",High,https://doc.rust-lang.org/cargo/reference/workspaces.html#the-dependencies-table
8,Feature Flags,"feature, cfg, conditional, optional","Use Cargo features for optional functionality and conditional compilation","Define features in Cargo.toml; use #[cfg(feature = )] for conditional code; use default features wisely","Enable all features by default; create features that the crate does not work without","# Cargo.toml\n[features]\ndefault = [""json""]\njson = [""dep:serde_json""]\nxml = [""dep:quick-xml""]\nfull = [""json"", ""xml""]\n\n// In code:\n#[cfg(feature = ""json"")]\npub fn to_json(val: &impl Serialize) -> String {\n    serde_json::to_string(val).unwrap()\n}",High,https://doc.rust-lang.org/cargo/reference/features.html
9,Conditional Compilation,"cfg, target_os, test, debug_assertions","Use #[cfg()] attributes and cfg!() macro for platform-specific or condition-specific code","Use #[cfg(test)] for test modules; #[cfg(target_os)] for platform-specific code; cfg!() for runtime branching","Use runtime if/else for things knowable at compile time; abuse cfg for application logic","#[cfg(target_os = ""linux"")]\nfn get_memory_info() -> usize {\n    // Linux-specific implementation\n}\n\n#[cfg(target_os = ""macos"")]\nfn get_memory_info() -> usize {\n    // macOS-specific implementation\n}\n\n#[cfg(test)]\nmod tests {\n    // only compiled during tests\n}",Medium,https://doc.rust-lang.org/reference/conditional-compilation.html
10,lib.rs vs main.rs,"lib.rs, main.rs, binary, library, dual","Understand when to have both lib.rs and main.rs in the same crate","Put reusable logic in lib.rs; put CLI/entry point in main.rs; use lib crate from main for testability","Put all logic in main.rs making it untestable as a library; duplicate code between lib and main","// src/lib.rs\npub mod core;\npub mod config;\npub use core::Engine;\n\n// src/main.rs\nuse myapp::{Engine, config::Config};\n\nfn main() -> anyhow::Result<()> {\n    let cfg = Config::from_env()?;\n    let engine = Engine::new(cfg);\n    engine.run()\n}",High,https://doc.rust-lang.org/book/ch12-03-improving-error-handling-and-modularity.html
11,Build Scripts (build.rs),"build.rs, build script, codegen, compile time","Use build.rs for code generation, native library compilation, and build-time configuration","Use build.rs for protobuf/gRPC codegen; for linking C libraries; for embedding git info; for cfg flag generation","Use build.rs for things that can be done at runtime; make build.rs overly complex","// build.rs\nfn main() {\n    // Set cfg flags:\n    println!(""cargo:rerun-if-changed=proto/"");\n\n    // Generate code from protobuf:\n    tonic_build::compile_protos(""proto/service.proto"").unwrap();\n\n    // Embed version info:\n    println!(""cargo:rustc-env=GIT_HASH={}"",\n        String::from_utf8_lossy(&std::process::Command::new(""git"")\n            .args([""rev-parse"", ""--short"", ""HEAD""])\n            .output().unwrap().stdout).trim());\n}",Medium,https://doc.rust-lang.org/cargo/reference/build-scripts.html
12,Path Dependencies vs Published Crates,"path, dependency, local, workspace, development","Use path dependencies for local development and workspace members; publish to crates.io for external use","Use path dependencies within workspaces; use version + path for publishable crates; use git dependencies for unpublished external crates","Use path dependencies for production code from a different repo; hardcode absolute paths","# Workspace member:\n[dependencies]\nshared = { path = ""../shared"" }\n\n# With version (for publishing):\n[dependencies]\nshared = { version = ""0.1"", path = ""../shared"" }\n\n# Git dependency:\n[dependencies]\nmylib = { git = ""https://github.com/org/mylib"", branch = ""main"" }",Medium,https://doc.rust-lang.org/cargo/reference/specifying-dependencies.html
