No,Pattern Name,Keywords,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Goroutine Lifecycle,"goroutine, lifecycle, leak, done","Every goroutine you start must have a clear and predictable termination path; otherwise it will leak memory and resources indefinitely.","Always ensure every goroutine has a well-defined exit condition using context cancellation, done channels, or bounded work.","Do not fire off goroutines without knowing when and how they will stop; never assume the garbage collector will clean them up.","func process(ctx context.Context) {
	done := make(chan struct{})
	go func() {
		defer close(done)
		for {
			select {
			case <-ctx.Done():
				return
			default:
				// do work
			}
		}
	}()
	<-done
}","func process() {
	go func() {
		for {
			// do work forever
			// no exit condition
			// this goroutine leaks
		}
	}()
	// caller returns, goroutine runs forever
}",Critical,https://go.dev/doc/effective_go#goroutines
2,Channel Direction,"chan, direction, send, receive, chan<-, <-chan","Using directional channel types in function signatures enforces at compile time whether a function may only send to or only receive from a channel.","Declare channel parameters as chan<- T for send-only or <-chan T for receive-only to restrict access at compile time.","Do not pass bidirectional chan T when the function only needs to send or only needs to receive; you lose compile-time safety.","func producer(out chan<- int) {
	for i := 0; i < 10; i++ {
		out <- i
	}
	close(out)
}

func consumer(in <-chan int) {
	for v := range in {
		fmt.Println(v)
	}
}","func producer(out chan int) {
	// nothing prevents this function
	// from reading from out by mistake
	for i := 0; i < 10; i++ {
		out <- i
	}
	close(out)
}",High,https://go.dev/ref/spec#Channel_types
3,Buffered vs Unbuffered,"buffered, unbuffered, channel, capacity","Unbuffered channels synchronize sender and receiver; buffered channels decouple them up to the buffer size, which changes timing and backpressure behavior.","Use unbuffered channels when you need synchronization guarantees; use buffered channels when you understand the required capacity and need to decouple sender/receiver timing.","Do not arbitrarily pick a large buffer size to hide synchronization problems; do not use unbuffered channels when throughput requires decoupling.","func dispatch(jobs []int) <-chan int {
	// buffer matches known batch size
	ch := make(chan int, len(jobs))
	for _, j := range jobs {
		ch <- j
	}
	close(ch)
	return ch
}","func dispatch(jobs []int) <-chan int {
	// arbitrary large buffer hides backpressure
	ch := make(chan int, 999999)
	for _, j := range jobs {
		ch <- j
	}
	close(ch)
	return ch
}",High,https://go.dev/doc/effective_go#channels
4,Select Default,"select, default, non-blocking, try-send","Adding a default case to a select statement makes channel operations non-blocking, which is useful for try-send and try-receive patterns.","Use select with default when you intentionally want non-blocking channel operations such as try-send or polling loops.","Do not put a default case in select when you actually want to block and wait for channel data; it causes busy spinning.","func trySend(ch chan<- int, val int) bool {
	select {
	case ch <- val:
		return true
	default:
		// channel full, drop or log
		return false
	}
}","func receive(ch <-chan int) int {
	for {
		select {
		case v := <-ch:
			return v
		default:
			// busy spin, burns CPU
		}
	}
}",Medium,https://go.dev/ref/spec#Select_statements
5,Context Cancellation,"context, cancel, timeout, deadline, WithCancel, WithTimeout, WithDeadline","The context package provides WithCancel, WithTimeout, and WithDeadline to propagate cancellation signals through call chains and enforce time bounds on operations.","Always call the returned cancel function using defer; pass context as the first parameter; use WithTimeout or WithDeadline for operations that must not run forever.","Do not ignore the cancel function returned by context constructors; do not store contexts in structs; do not pass nil contexts.","func fetchData(ctx context.Context) error {
	ctx, cancel := context.WithTimeout(ctx, 5*time.Second)
	defer cancel()
	req, err := http.NewRequestWithContext(ctx, ""GET"", ""https://api.example.com/data"", nil)
	if err != nil {
		return err
	}
	resp, err := http.DefaultClient.Do(req)
	if err != nil {
		return err
	}
	defer resp.Body.Close()
	return nil
}","func fetchData() error {
	// no context, no timeout, no cancellation
	resp, err := http.Get(""https://api.example.com/data"")
	if err != nil {
		return err
	}
	defer resp.Body.Close()
	// can hang forever if server is slow
	return nil
}",Critical,https://pkg.go.dev/context
6,errgroup,"errgroup, parallel, error, goroutine","The errgroup package from x/sync runs a group of goroutines and returns the first non-nil error, automatically canceling the group context on failure.","Use errgroup.WithContext to run parallel tasks that share a cancellation scope; check the returned error from g.Wait.","Do not ignore the error from g.Wait; do not use errgroup without context when you need cancellation on first failure.","func fetchAll(ctx context.Context, urls []string) error {
	g, ctx := errgroup.WithContext(ctx)
	for _, url := range urls {
		url := url
		g.Go(func() error {
			req, err := http.NewRequestWithContext(ctx, ""GET"", url, nil)
			if err != nil {
				return err
			}
			resp, err := http.DefaultClient.Do(req)
			if err != nil {
				return err
			}
			resp.Body.Close()
			return nil
		})
	}
	return g.Wait()
}","func fetchAll(urls []string) error {
	var firstErr error
	var wg sync.WaitGroup
	for _, url := range urls {
		wg.Add(1)
		go func(u string) {
			defer wg.Done()
			resp, err := http.Get(u)
			if err != nil && firstErr == nil {
				firstErr = err // data race
			}
			if resp != nil {
				resp.Body.Close()
			}
		}(url)
	}
	wg.Wait()
	return firstErr
}",High,https://pkg.go.dev/golang.org/x/sync/errgroup
7,WaitGroup,"waitgroup, sync, goroutine, wait","sync.WaitGroup waits for a collection of goroutines to finish; call Add before launching the goroutine, and Done inside the goroutine with defer.","Call wg.Add before launching the goroutine; call wg.Done with defer as the first statement in the goroutine; call wg.Wait to block until all goroutines complete.","Do not call wg.Add inside the goroutine; do not forget to call wg.Done; do not reuse a WaitGroup before Wait returns.","func processItems(items []string) {
	var wg sync.WaitGroup
	for _, item := range items {
		wg.Add(1)
		go func(it string) {
			defer wg.Done()
			fmt.Println(it)
		}(item)
	}
	wg.Wait()
}","func processItems(items []string) {
	var wg sync.WaitGroup
	for _, item := range items {
		go func(it string) {
			wg.Add(1) // race: Add inside goroutine
			fmt.Println(it)
			wg.Done()
		}(item)
	}
	wg.Wait() // may return before goroutines start
}",Critical,https://pkg.go.dev/sync#WaitGroup
8,sync.Once,"once, singleton, initialization, lazy","sync.Once ensures a function is executed exactly once even when called from multiple goroutines, making it ideal for lazy initialization.","Use sync.Once for one-time initialization of shared resources such as database connections, configuration loading, or singleton instances.","Do not use sync.Once with a function that can fail without providing a retry mechanism; do not put long-blocking work inside the once function as all callers block.","var (
	instance *Database
	once     sync.Once
)

func GetDB() *Database {
	once.Do(func() {
		instance = &Database{
			conn: openConnection(),
		}
	})
	return instance
}","var instance *Database
var mu sync.Mutex

func GetDB() *Database {
	mu.Lock()
	defer mu.Unlock()
	// lock acquired every single call
	// even after initialization
	if instance == nil {
		instance = &Database{
			conn: openConnection(),
		}
	}
	return instance
}",Medium,https://pkg.go.dev/sync#Once
9,Mutex,"mutex, lock, rwmutex, sync, critical section","sync.Mutex provides mutual exclusion for shared mutable state; sync.RWMutex allows concurrent readers with exclusive writers for read-heavy workloads.","Keep the critical section as small as possible; use defer mu.Unlock immediately after Lock; prefer RWMutex when reads vastly outnumber writes.","Do not hold a mutex while performing IO or network calls; do not nest mutex locks without careful ordering to avoid deadlocks; do not copy a mutex after first use.","type SafeCounter struct {
	mu sync.RWMutex
	v  map[string]int
}

func (c *SafeCounter) Inc(key string) {
	c.mu.Lock()
	defer c.mu.Unlock()
	c.v[key]++
}

func (c *SafeCounter) Get(key string) int {
	c.mu.RLock()
	defer c.mu.RUnlock()
	return c.v[key]
}","type SafeCounter struct {
	mu sync.Mutex
	v  map[string]int
}

func (c *SafeCounter) Inc(key string) {
	c.mu.Lock()
	c.v[key]++
	// forgot to unlock: deadlock on next call
}

func (c *SafeCounter) Get(key string) int {
	c.mu.Lock()
	defer c.mu.Unlock()
	return c.v[key] // using Mutex instead of RWMutex for reads
}",Critical,https://pkg.go.dev/sync#Mutex
10,sync.Map,"sync.Map, concurrent, map, thread-safe","sync.Map is optimized for two patterns: keys written once but read many times, and disjoint sets of keys per goroutine; for other patterns a regular map with a mutex is simpler and faster.","Use sync.Map when keys are stable and reads dominate writes, or when goroutines access disjoint key sets; otherwise prefer a regular map guarded by sync.RWMutex.","Do not use sync.Map as a general replacement for map+mutex; do not rely on sync.Map for workloads with heavy concurrent writes to the same keys.","var cache sync.Map

func Get(key string) (string, bool) {
	val, ok := cache.Load(key)
	if !ok {
		return """", false
	}
	return val.(string), true
}

func Set(key, value string) {
	cache.Store(key, value)
}

func GetOrSet(key, value string) string {
	actual, _ := cache.LoadOrStore(key, value)
	return actual.(string)
}","var cache = make(map[string]string)

func Get(key string) (string, bool) {
	// no synchronization: data race
	val, ok := cache[key]
	return val, ok
}

func Set(key, value string) {
	// concurrent writes: panic
	cache[key] = value
}",High,https://pkg.go.dev/sync#Map
