No,Use Case,Keywords,Primary Package,Secondary Packages,Architecture Pattern,Error Strategy,Key Considerations
1,HTTP Server (Minimal),"http,server,rest,api,express,minimal",express,"cors,helmet,morgan,compression","Layered MVC or Module-per-Feature","Error middleware (app.use((err,req,res,next)=>{}))","Most ecosystem support; massive middleware library; not the fastest; add TypeScript types via @types/express"
2,HTTP Server (High Performance),"http,server,rest,api,fastify,performance",fastify,"@fastify/cors,@fastify/helmet,@fastify/swagger","Plugin architecture with encapsulation","setErrorHandler + schema validation errors","2-3x faster than Express; built-in JSON schema validation; TypeScript-first; plugin system with encapsulation"
3,Enterprise Backend Framework,"enterprise,nestjs,decorator,di,module",@nestjs/core,"@nestjs/common,@nestjs/platform-express,@nestjs/swagger","Hexagonal / Modular with Dependency Injection","ExceptionFilter with HttpException hierarchy","Full-featured; decorators + DI; opinionated structure; built-in microservices support; steep learning curve"
4,Full-Stack React SSR,"fullstack,react,ssr,nextjs,server components",next,"@auth/nextjs,@vercel/analytics,next-themes","App Router with Server Components","error.tsx boundaries + Route Handler try/catch","Dominant React meta-framework; Vercel hosting optimized; App Router = server-first; edge runtime support"
5,Schema Validation,"validation,schema,zod,parse,type-safe",zod,"@hookform/resolvers,zod-prisma-types","Used across all layers (controller → service → config)","ZodError with .flatten() or .format()","Runtime + compile-time validation; .parse() throws, .safeParse() returns result; compose schemas with .extend/.merge/.pick"
6,ORM (Type-Safe),"orm,database,prisma,schema,migration",prisma,"@prisma/client,prisma-zod-generator","Repository pattern or direct in service layer","PrismaClientKnownRequestError codes (P2002, P2025)","Auto-generated types from schema; migrations; excellent DX; connection pooling; raw SQL escape hatch"
7,ORM (Lightweight SQL),"orm,database,drizzle,sql,typescript",drizzle-orm,"drizzle-kit,drizzle-zod,pg","Repository or direct query builder","Standard try/catch on query execution","SQL-like API; zero overhead; push/pull migrations; supports pg/mysql/sqlite; smaller bundle than Prisma"
8,Query Builder,"query,builder,sql,knex,migration",knex,"objection,pg,mysql2","Repository pattern","Catch knex-specific error types","SQL query builder; supports transactions; migration system; used by Objection.js ORM; not type-safe without wrapper"
9,Authentication (Passport),"auth,passport,oauth,strategy,session",passport,"passport-local,passport-jwt,passport-google-oauth20","Middleware-based strategy pattern","Custom strategy error handling","200+ strategies; Express/Fastify compatible; session or JWT; mature but dated API; complex setup"
10,Authentication (Modern),"auth,lucia,session,cookie,modern",lucia,"@lucia-auth/adapter-prisma,oslo","Session-based with adapter pattern","Typed error classes (LuciaError)","Modern session auth; framework-agnostic; type-safe; Prisma/Drizzle adapters; replaces next-auth for custom needs"
