No,Pattern Name,Keywords,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Promise.all,"parallel execution, concurrent promises, batch async, all must succeed","Executes multiple promises in parallel and resolves when ALL promises fulfill. Rejects immediately if any single promise rejects, short-circuiting the rest.","Use Promise.all when you need all results and any failure should abort the operation. Destructure results for clarity. Always attach a .catch or wrap in try/catch.","Don't use Promise.all when partial failures are acceptable. Don't fire unbounded arrays of promises without concurrency control, as this can exhaust memory or connections.","const fetchUserData = async (userIds: string[]): Promise<User[]> => {
  try {
    const users: User[] = await Promise.all(
      userIds.map((id) => fetchUser(id))
    );
    return users;
  } catch (error) {
    console.error(""One or more fetches failed:"", error);
    throw error;
  }
};

const [profile, settings, notifications] = await Promise.all([
  getProfile(userId),
  getSettings(userId),
  getNotifications(userId),
]);","const fetchUserData = async (userIds: string[]) => {
  // BAD: sequential execution loses parallelism
  const users = [];
  for (const id of userIds) {
    const user = await fetchUser(id);
    users.push(user);
  }
  return users;
};

// BAD: no error handling on Promise.all
const results = Promise.all([getProfile(id), getSettings(id)]);
// If one rejects, unhandled promise rejection crashes the process",error,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Promise/all
2,Promise.allSettled,"parallel execution, fault-tolerant, partial failure, settled promises","Executes multiple promises in parallel and waits for ALL of them to settle (fulfill or reject). Never short-circuits. Returns an array of objects with status 'fulfilled' or 'rejected'.","Use Promise.allSettled when you want results from all promises regardless of individual failures. Check the status field of each result to handle successes and failures separately.","Don't use Promise.allSettled when you need all results to succeed — use Promise.all instead. Don't ignore the rejected results without logging or handling them.","interface FetchResult<T> {
  status: ""fulfilled"" | ""rejected"";
  value?: T;
  reason?: unknown;
}

const fetchAllUsers = async (ids: string[]): Promise<User[]> => {
  const results = await Promise.allSettled(
    ids.map((id) => fetchUser(id))
  );

  const users: User[] = [];
  for (const result of results) {
    if (result.status === ""fulfilled"") {
      users.push(result.value);
    } else {
      console.warn(""Failed to fetch user:"", result.reason);
    }
  }
  return users;
};","const fetchAllUsers = async (ids: string[]) => {
  // BAD: using Promise.all when partial results are acceptable
  // One failure kills everything
  try {
    return await Promise.all(ids.map((id) => fetchUser(id)));
  } catch {
    return []; // Lost all successful results
  }
};

// BAD: not checking status of allSettled results
const results = await Promise.allSettled(promises);
const values = results.map((r: any) => r.value); // undefined for rejected!",warning,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Promise/allSettled
3,Promise.race,"first to settle, timeout pattern, racing promises, deadline","Returns a promise that settles as soon as the FIRST promise in the iterable settles (fulfills or rejects). Commonly used to implement timeouts by racing an operation against a timer.","Use Promise.race for timeout patterns — race your async operation against a setTimeout promise. Clean up losing promises (clear timers, abort requests) to prevent leaks.","Don't use Promise.race for selecting the first successful result — use Promise.any instead. Don't forget to clean up the timer or abort the losing operation, which causes resource leaks.","const withTimeout = async <T>(
  promise: Promise<T>,
  ms: number
): Promise<T> => {
  const controller = new AbortController();
  const timeout = new Promise<never>((_, reject) => {
    const timer = setTimeout(() => {
      controller.abort();
      reject(new Error(`Operation timed out after ${ms}ms`));
    }, ms);
    // Clean up timer if promise resolves first
    promise.finally(() => clearTimeout(timer));
  });

  return Promise.race([promise, timeout]);
};

const data = await withTimeout(fetch(url, { signal: controller.signal }), 5000);","// BAD: timeout timer leaks when promise resolves first
const withTimeout = async (promise: Promise<any>, ms: number) => {
  const timeout = new Promise((_, reject) => {
    setTimeout(() => reject(new Error(""Timeout"")), ms);
    // Timer keeps running even after promise resolves!
  });
  return Promise.race([promise, timeout]);
};

// BAD: using race to get first success (rejects if fastest rejects)
const fastest = await Promise.race([
  fetchFromSlowServer(),
  fetchFromFlakyServer(), // If this rejects first, we lose
]);",error,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Promise/race
4,Promise.any,"first success, AggregateError, redundant requests, fastest success","Returns the first promise that FULFILLS, ignoring rejections. Only rejects if ALL promises reject, throwing an AggregateError containing all rejection reasons.","Use Promise.any for redundant requests where you want the first success (e.g., querying multiple mirrors). Handle AggregateError to report all failures when every promise rejects.","Don't use Promise.any when you need the first settled (including rejected) — use Promise.race. Don't ignore the AggregateError; it contains valuable debugging information about all failures.","const fetchFromFastestMirror = async (url: string): Promise<Response> => {
  const mirrors = [
    `https://mirror1.example.com${url}`,
    `https://mirror2.example.com${url}`,
    `https://mirror3.example.com${url}`,
  ];

  try {
    const response = await Promise.any(
      mirrors.map((mirror) => fetch(mirror))
    );
    return response;
  } catch (error) {
    if (error instanceof AggregateError) {
      console.error(""All mirrors failed:"");
      error.errors.forEach((e, i) =>
        console.error(`  Mirror ${i + 1}: ${e.message}`)
      );
    }
    throw error;
  }
};","// BAD: using Promise.race instead — a fast rejection kills the attempt
const fetchFromFastestMirror = async (url: string) => {
  const mirrors = [""https://m1.example.com"", ""https://m2.example.com""];
  // If m1 rejects quickly, we never get m2's success
  return Promise.race(mirrors.map((m) => fetch(m + url)));
};

// BAD: catching AggregateError but discarding details
try {
  await Promise.any(promises);
} catch (e) {
  throw new Error(""All failed""); // Lost individual error details
}",warning,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Promise/any
5,async/await Error Handling,"try/catch, error boundaries, async errors, typed errors","Proper error handling in async/await code using try/catch blocks. Ensures errors are caught, typed, logged, and re-thrown or handled gracefully instead of causing unhandled promise rejections.","Wrap await calls in try/catch. Use typed error checking with instanceof. Always re-throw or handle errors explicitly. Add finally blocks for cleanup. Use custom error classes for domain errors.","Don't use bare catch without handling or re-throwing. Don't catch errors and silently swallow them. Don't mix .then/.catch with async/await in the same function — pick one style.","class ApiError extends Error {
  constructor(
    message: string,
    public statusCode: number,
    public cause?: Error
  ) {
    super(message);
    this.name = ""ApiError"";
  }
}

const getUser = async (id: string): Promise<User> => {
  try {
    const response = await fetch(`/api/users/${id}`);
    if (!response.ok) {
      throw new ApiError(
        `Failed to fetch user ${id}`,
        response.status
      );
    }
    return await response.json();
  } catch (error) {
    if (error instanceof ApiError) {
      console.error(`API Error [${error.statusCode}]: ${error.message}`);
    } else if (error instanceof TypeError) {
      console.error(""Network error:"", error.message);
    }
    throw error; // Re-throw after logging
  } finally {
    performance.mark(""getUser-end"");
  }
};","// BAD: swallowing errors silently
const getUser = async (id: string) => {
  try {
    return await fetch(`/api/users/${id}`);
  } catch (error) {
    // Silently swallowed — callers never know it failed
    return null;
  }
};

// BAD: untyped catch, no re-throw, mixing styles
const getData = async (url: string) => {
  const result = await fetch(url)
    .then((r) => r.json())
    .catch((e) => console.log(e)); // Mixed styles, error swallowed
  return result;
};",error,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/try...catch
6,Event Loop Understanding,"microtasks, macrotasks, event loop phases, queueMicrotask, execution order","Understanding the Node.js event loop phases and the difference between microtasks (Promise callbacks, queueMicrotask, process.nextTick) and macrotasks (setTimeout, setInterval, setImmediate, I/O).","Understand that microtasks (Promise.then, queueMicrotask) run before macrotasks (setTimeout). Use queueMicrotask for scheduling work that must complete before the next I/O. Keep microtask queues short to avoid starving I/O.","Don't create infinite microtask loops — they block the event loop and starve I/O and timers. Don't assume setTimeout(fn, 0) runs immediately — it runs in the next macrotask. Don't rely on exact timing of event loop phases.","// GOOD: understanding execution order
const demonstrateEventLoop = (): void => {
  console.log(""1: synchronous"");

  setTimeout(() => console.log(""5: macrotask (setTimeout)""), 0);

  Promise.resolve().then(() => {
    console.log(""3: microtask (Promise.then)"");
  });

  queueMicrotask(() => {
    console.log(""4: microtask (queueMicrotask)"");
  });

  process.nextTick(() => {
    console.log(""2: microtask (nextTick — highest priority)"");
  });

  console.log(""1.5: synchronous"");
};
// Output order: 1, 1.5, 2, 3, 4, 5

// GOOD: using queueMicrotask for post-sync cleanup
const updateCache = (key: string, value: unknown): void => {
  cache.set(key, value);
  queueMicrotask(() => persistCache(cache));
};","// BAD: infinite microtask loop starves the event loop
const processQueue = (): void => {
  queueMicrotask(() => {
    doWork();
    processQueue(); // Never yields to I/O or timers!
  });
};

// BAD: assuming setTimeout(fn, 0) is immediate
const broken = async () => {
  let value = 0;
  setTimeout(() => { value = 1; }, 0);
  // value is still 0 here — setTimeout is a macrotask
  console.log(value); // Prints 0, not 1
};",warning,https://nodejs.org/en/learn/asynchronous-work/event-loop-timers-and-nexttick
7,Readable Streams,"stream consumption, async iteration, data events, flowing mode","Consuming data from readable streams using modern async iteration (for-await-of) or event-based patterns. Readable streams emit data in chunks, enabling processing of large datasets without loading everything into memory.","Use for-await-of to consume readable streams — it handles backpressure automatically. Use stream.Readable.from() to create readable streams from iterables. Set encoding before reading text streams.","Don't call stream.read() in a tight loop — use the 'readable' event or async iteration. Don't concatenate all chunks into a string for large files — process chunks incrementally. Don't forget to handle the 'error' event.","import { createReadStream } from ""fs"";
import { createInterface } from ""readline"";

// GOOD: async iteration over a readable stream
const processLargeFile = async (path: string): Promise<number> => {
  const stream = createReadStream(path, { encoding: ""utf-8"" });
  let lineCount = 0;

  const rl = createInterface({ input: stream, crlfDelay: Infinity });

  for await (const line of rl) {
    lineCount++;
    await processLine(line);
  }

  return lineCount;
};

// GOOD: readable stream with proper error handling
const readStream = async (stream: NodeJS.ReadableStream): Promise<Buffer> => {
  const chunks: Buffer[] = [];
  for await (const chunk of stream) {
    chunks.push(Buffer.from(chunk));
  }
  return Buffer.concat(chunks);
};","// BAD: loading entire file into memory
import { readFileSync } from ""fs"";

const processLargeFile = (path: string) => {
  const content = readFileSync(path, ""utf-8""); // OOM on large files
  const lines = content.split(""\n"");
  lines.forEach((line) => processLine(line));
};

// BAD: no error handler on stream
const stream = createReadStream(""/path/to/file"");
stream.on(""data"", (chunk) => {
  console.log(chunk);
});
// Missing: stream.on(""error"", ...) — unhandled errors crash process",error,https://nodejs.org/api/stream.html#readable-streams
8,Writable Streams,"stream writing, drain event, backpressure, write buffer","Writing data to writable streams while respecting backpressure. The write() method returns false when the internal buffer is full, signaling you should wait for the 'drain' event before writing more.","Always check the return value of stream.write(). Wait for the 'drain' event when write() returns false. Use stream.end() to signal completion. Handle 'error' and 'finish' events.","Don't ignore the return value of write() — it causes unbounded memory growth. Don't call write() after end(). Don't forget to handle the 'error' event on writable streams.","import { createWriteStream, WriteStream } from ""fs"";

const writeData = async (
  path: string,
  records: string[]
): Promise<void> => {
  const stream: WriteStream = createWriteStream(path, { encoding: ""utf-8"" });

  const write = (data: string): Promise<void> => {
    return new Promise((resolve, reject) => {
      const canContinue = stream.write(data);
      if (canContinue) {
        resolve();
      } else {
        stream.once(""drain"", resolve);
      }
      stream.once(""error"", reject);
    });
  };

  for (const record of records) {
    await write(record + ""\n"");
  }

  await new Promise<void>((resolve) => stream.end(resolve));
};","import { createWriteStream } from ""fs"";

// BAD: ignoring backpressure
const writeData = (path: string, records: string[]) => {
  const stream = createWriteStream(path);
  for (const record of records) {
    stream.write(record + ""\n""); // Ignoring return value!
    // Memory grows unbounded if stream can't keep up
  }
  stream.end();
};

// BAD: writing after end
const stream = createWriteStream(""output.txt"");
stream.end(""done"");
stream.write(""more data""); // Error: write after end",error,https://nodejs.org/api/stream.html#writable-streams
9,Transform Streams,"data transformation, duplex stream, pipeline stage, chunk processing","Transform streams are duplex streams that modify or transform data as it passes through. They sit between readable and writable streams in a pipeline, processing each chunk via the _transform method.","Use the Transform class or transform option in pipeline for data processing. Implement _transform and optionally _flush for finalization. Use objectMode for non-buffer data.","Don't forget to call callback() or push() in _transform — the stream will hang. Don't assume chunks align with logical boundaries (e.g., JSON lines may be split across chunks). Don't modify the source stream's data without creating a new transform.","import { Transform, TransformCallback } from ""stream"";

// GOOD: custom transform stream with TypeScript
class JsonParser extends Transform {
  private buffer: string = """";

  constructor() {
    super({ objectMode: true, readableObjectMode: true });
  }

  _transform(
    chunk: Buffer,
    encoding: BufferEncoding,
    callback: TransformCallback
  ): void {
    this.buffer += chunk.toString();
    const lines = this.buffer.split(""\n"");
    this.buffer = lines.pop() || """";

    for (const line of lines) {
      if (line.trim()) {
        try {
          this.push(JSON.parse(line));
        } catch (err) {
          return callback(err as Error);
        }
      }
    }
    callback();
  }

  _flush(callback: TransformCallback): void {
    if (this.buffer.trim()) {
      try {
        this.push(JSON.parse(this.buffer));
      } catch (err) {
        return callback(err as Error);
      }
    }
    callback();
  }
}","import { Transform } from ""stream"";

// BAD: forgetting to call callback — stream hangs forever
class BrokenTransform extends Transform {
  _transform(chunk: Buffer, encoding: string, callback: Function) {
    const data = chunk.toString().toUpperCase();
    this.push(data);
    // Missing callback() call! Stream will hang.
  }
}

// BAD: assuming chunk boundaries match data boundaries
class NaiveJsonParser extends Transform {
  _transform(chunk: Buffer, enc: string, cb: Function) {
    // Chunk may contain partial JSON — this will throw
    const obj = JSON.parse(chunk.toString());
    this.push(obj);
    cb();
  }
}",error,https://nodejs.org/api/stream.html#class-streamtransform
10,Pipeline (stream.pipeline),"composing streams, pipeline, stream error handling, pipe chain","stream.pipeline() composes multiple streams together and handles error propagation and cleanup automatically. It destroys all streams if any stream in the chain errors, preventing resource leaks.","Use stream.pipeline (or the promisified version) instead of .pipe(). It handles errors, cleanup, and backpressure automatically. Use util.promisify(pipeline) or stream/promises.","Don't chain .pipe() calls without error handling — errors in the middle of a pipe chain are not propagated. Don't forget that .pipe() does not destroy streams on error, causing memory leaks.","import { pipeline } from ""stream/promises"";
import { createReadStream, createWriteStream } from ""fs"";
import { createGzip } from ""zlib"";
import { Transform } from ""stream"";

// GOOD: pipeline with proper error handling and cleanup
const compressFile = async (
  input: string,
  output: string
): Promise<void> => {
  const upperCase = new Transform({
    transform(chunk: Buffer, encoding, callback) {
      callback(null, chunk.toString().toUpperCase());
    },
  });

  await pipeline(
    createReadStream(input),
    upperCase,
    createGzip(),
    createWriteStream(output)
  );

  console.log(""Pipeline completed successfully"");
};

// GOOD: pipeline with AbortController
const processWithTimeout = async (src: string, dest: string): Promise<void> => {
  const ac = new AbortController();
  setTimeout(() => ac.abort(), 30_000);

  await pipeline(createReadStream(src), createWriteStream(dest), {
    signal: ac.signal,
  });
};","import { createReadStream, createWriteStream } from ""fs"";
import { createGzip } from ""zlib"";

// BAD: using .pipe() without error handling
const compressFile = (input: string, output: string) => {
  createReadStream(input)
    .pipe(createGzip())
    .pipe(createWriteStream(output));
  // If any stream errors:
  // - previous streams are not destroyed (leak)
  // - error is silently swallowed
  // - file handles remain open
};

// BAD: error handler only on last stream
createReadStream(""in.txt"")
  .pipe(transform)
  .pipe(createWriteStream(""out.txt""))
  .on(""error"", console.error); // Only catches writeStream errors!",error,https://nodejs.org/api/stream.html#streampipelinesource-transforms-destination-callback
