No,Idiom,Category,Keywords,Description,Do,Dont,Code Good,Code Bad,Docs URL
1,Use if let for Single Pattern Match,Control Flow,"if let, match, Option, Result, single pattern","Use if let when you only care about one variant of an enum and want to ignore others","Use if let Some(x) = ... for Option; use if let Ok(x) = ... for Result; use while let for loops","Use a full match block when only one arm has logic and the other is _ => ()","if let Some(user) = find_user(id) {\n    println!(""Found: {}"", user.name);\n}\n\nif let Err(e) = save_config(&cfg) {\n    eprintln!(""Failed to save: {e}"");\n}\n\nwhile let Some(item) = queue.pop() {\n    process(item);\n}","match find_user(id) {\n    Some(user) => println!(""Found: {}"", user.name),\n    None => (), // empty arm is noise\n}\n\nmatch save_config(&cfg) {\n    Ok(_) => (),\n    Err(e) => eprintln!(""Failed: {e}""),\n}",https://doc.rust-lang.org/book/ch06-03-if-let.html
2,Use let-else for Early Returns,Control Flow,"let else, guard, early return, refutable pattern","Use let-else to bind a pattern or diverge (return/continue/break) in one statement","Use let Some(x) = expr else { return }; for guard clauses; reduces nesting and improves readability","Use nested if-let or match for guard clauses that return/continue on the failure case","fn process_user(input: &str) -> Result<User, Error> {\n    let Some(id) = input.parse::<u64>().ok() else {\n        return Err(Error::InvalidId);\n    };\n    let Some(user) = find_user(id) else {\n        return Err(Error::NotFound);\n    };\n    // happy path continues flat\n    Ok(user)\n}","fn process_user(input: &str) -> Result<User, Error> {\n    if let Ok(id) = input.parse::<u64>() {\n        if let Some(user) = find_user(id) {\n            Ok(user)\n        } else {\n            Err(Error::NotFound)\n        }\n    } else {\n        Err(Error::InvalidId)\n    }\n    // nested pyramid of doom\n}",https://doc.rust-lang.org/rust-by-example/flow_control/let_else.html
3,Use Iterators over Indexed Loops,Iteration,"iter, for, functional, map, filter","Prefer iterator methods over manual index-based for loops for clarity and safety","Use .iter(), .iter_mut(), .into_iter(); chain with .map(), .filter(), .collect(); use .enumerate() when index is needed","Use for i in 0..vec.len() { vec[i] } style loops that risk off-by-one and bounds check overhead","let uppercased: Vec<String> = names\n    .iter()\n    .map(|n| n.to_uppercase())\n    .collect();\n\nfor (i, item) in items.iter().enumerate() {\n    println!(""{i}: {item}"");\n}","let mut uppercased = Vec::new();\nfor i in 0..names.len() {\n    uppercased.push(names[i].to_uppercase());\n    // bounds checked on each access\n    // off-by-one risk\n}",https://doc.rust-lang.org/book/ch13-02-iterators.html
4,Prefer &str over &String,Borrowing,"&str, &String, reference, flexible","Always accept &str instead of &String in function parameters for maximum flexibility","Use &str for function parameters; &String auto-derefs to &str; accept impl AsRef<str> for even more flexibility","Accept &String which forces callers to have an owned String","fn greet(name: &str) {\n    println!(""Hello, {name}!"");\n}\n\ngreet(""Alice"");              // &str\ngreet(&String::from(""Bob"")); // &String -> &str via Deref\ngreet(&my_string);           // &String -> &str","fn greet(name: &String) {\n    println!(""Hello, {name}!"");\n}\n\ngreet(&""Alice"".to_string()); // forced to allocate!\n// cannot pass &str directly",https://doc.rust-lang.org/book/ch04-03-slices.html#string-slices-as-parameters
5,Prefer &[T] over &Vec<T>,Borrowing,"slice, &[T], &Vec, reference, flexible","Accept &[T] instead of &Vec<T> to allow any contiguous memory (Vec, array, slice)","Use &[T] for function parameters; &Vec<T> auto-derefs to &[T]; use &mut [T] for mutable slices","Accept &Vec<T> which unnecessarily constrains callers to Vec","fn sum(data: &[i32]) -> i32 {\n    data.iter().sum()\n}\n\nsum(&vec![1, 2, 3]);  // Vec -> &[i32]\nsum(&[1, 2, 3]);      // array -> &[i32]\nsum(&array[1..3]);    // slice","fn sum(data: &Vec<i32>) -> i32 {\n    data.iter().sum()\n}\n\n// sum(&[1, 2, 3]); // ERROR: expected &Vec<i32>\n// cannot pass array or slice",https://doc.rust-lang.org/book/ch04-03-slices.html
6,Struct Update Syntax,Construction,"struct update, .., Default, partial","Use ..other_struct to copy remaining fields from another struct of the same type","Use ..Default::default() for partial initialization; use ..existing for creating modified copies","Manually specify every field when most are the same as a default or existing instance","#[derive(Debug, Default, Clone)]\nstruct Config {\n    host: String,\n    port: u16,\n    retries: u32,\n    verbose: bool,\n}\n\nlet cfg = Config {\n    port: 9090,\n    ..Config::default()\n};\n\nlet dev_cfg = Config {\n    verbose: true,\n    ..cfg.clone()\n};","let cfg = Config {\n    host: String::new(),\n    port: 9090,\n    retries: 0,\n    verbose: false,\n};\n// manually setting every field including defaults",https://doc.rust-lang.org/book/ch05-01-defining-structs.html#creating-instances-from-other-instances-with-struct-update-syntax
7,Destructuring in Function Arguments,Syntax,"destructure, pattern, function, tuple, struct","Destructure structs and tuples directly in function parameters or let bindings for clearer code","Destructure when you need only a few fields; use patterns in match, if let, and function args","Access fields through the variable when destructuring would be clearer","fn distance(&Point { x, y }: &Point) -> f64 {\n    (x * x + y * y).sqrt()\n}\n\nlet (min, max) = data.iter()\n    .fold((i32::MAX, i32::MIN), |(min, max), &x| {\n        (min.min(x), max.max(x))\n    });\n\nfor (key, value) in &map {\n    println!(""{key}: {value}"");\n}","fn distance(point: &Point) -> f64 {\n    (point.x * point.x + point.y * point.y).sqrt()\n    // accessing through point. repeatedly\n}",https://doc.rust-lang.org/book/ch18-03-pattern-syntax.html#destructuring-to-break-apart-values
8,Use to_owned() and to_string() Correctly,Conversion,"to_owned, to_string, String, clone, conversion","Use to_owned() for &str -> String and clone() for String -> String; use to_string() only for Display conversion","Use to_owned() on &str; clone() on String; to_string() only when Display formatting is needed","Use to_string() everywhere including on &str (goes through Display formatting which is slower)","let s: String = ""hello"".to_owned();   // &str -> String (direct)\nlet s2: String = s.clone();           // String -> String\nlet n: String = 42.to_string();       // i32 -> String via Display","let s: String = ""hello"".to_string(); // works but goes through Display::fmt\n// to_owned() is more direct for &str -> String conversion",https://doc.rust-lang.org/std/borrow/trait.ToOwned.html
9,Use matches! Macro,Pattern Matching,"matches!, bool, pattern, predicate","Use matches!() to check if a value matches a pattern and return a boolean","Use matches!(value, pattern) for boolean pattern checks in filter/any/all; supports guards with if","Use verbose match blocks that return true/false; use == for enum variant checking without data","let has_error = results.iter().any(|r| matches!(r, Err(_)));\n\nlet is_operator = matches!(ch, '+' | '-' | '*' | '/');\n\nlet is_valid = matches!(status, Status::Active | Status::Pending);\n\nlet big_positive = matches!(x, n if n > 100);","let has_error = results.iter().any(|r| {\n    match r {\n        Err(_) => true,\n        _ => false,\n    }\n});\n// verbose, matches! is much cleaner",https://doc.rust-lang.org/std/macro.matches.html
10,Constructor Convention (new),Convention,"new, constructor, associated function","Use fn new() as the conventional constructor; use fn with_*() for alternative constructors","Name the primary constructor new(); use descriptive names for alternate constructors; return Self","Use random constructor names; use build() without the builder pattern; make new() return Result","struct Server {\n    host: String,\n    port: u16,\n}\n\nimpl Server {\n    fn new(host: impl Into<String>, port: u16) -> Self {\n        Self { host: host.into(), port }\n    }\n\n    fn with_default_port(host: impl Into<String>) -> Self {\n        Self::new(host, 8080)\n    }\n\n    fn from_env() -> Result<Self, std::env::VarError> {\n        let host = std::env::var(""HOST"")?;\n        let port = std::env::var(""PORT"")?.parse().unwrap_or(8080);\n        Ok(Self { host, port })\n    }\n}","struct Server { host: String, port: u16 }\nimpl Server {\n    fn create(host: String, port: u16) -> Server { ... }\n    fn make(host: String) -> Server { ... }\n    // non-standard names, harder to discover\n}",https://rust-lang.github.io/api-guidelines/predictability.html#c-ctor
