No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Service Structure,Transport Endpoint Service Layers,"Organize microservices into three layers: transport decodes requests and encodes responses; endpoint adapts transport to service; service contains business logic.",Separate transport, endpoint, and service into distinct packages or files.,Do not mix HTTP decoding logic with business rules in the same function.,"// service.go
type StringService interface {
    Uppercase(ctx context.Context, s string) (string, error)
    Count(ctx context.Context, s string) int
}
// endpoint.go
func MakeUppercaseEndpoint(svc StringService) endpoint.Endpoint {
    return func(ctx context.Context, request interface{}) (interface{}, error) {
        req := request.(UppercaseRequest)
        v, err := svc.Uppercase(ctx, req.S)
        return UppercaseResponse{V: v, Err: err}, nil
    }
}
// transport.go
r.Handle(""/uppercase"", httptransport.NewServer(uppercaseEndpoint, decodeUppercaseRequest, encodeResponse))","func uppercaseHandler(w http.ResponseWriter, r *http.Request) {
    var req struct{ S string }
    json.NewDecoder(r.Body).Decode(&req)
    result := strings.ToUpper(req.S)
    json.NewEncoder(w).Encode(map[string]string{""v"": result})
    // Transport, business logic, encoding all mixed
}",warning,https://gokit.io/faq/#architecture-and-design
2,go-kit Service,Define Business Interface,"Define the service as a plain Go interface with context as the first parameter on every method.",Define a Go interface for your service contract and implement it with a concrete struct.,Do not embed framework types into your service; keep business logic framework-free.,"type OrderService interface {
    PlaceOrder(ctx context.Context, o Order) (string, error)
    GetOrder(ctx context.Context, id string) (Order, error)
    CancelOrder(ctx context.Context, id string) error
}
type orderService struct {
    repo OrderRepository
}
func (s *orderService) PlaceOrder(ctx context.Context, o Order) (string, error) {
    o.ID = uuid.NewString()
    o.Status = ""placed""
    if err := s.repo.Save(ctx, o); err != nil {
        return """", fmt.Errorf(""save order: %w"", err)
    }
    return o.ID, nil
}","type OrderService struct {
    http.Handler
    db *sql.DB
}
func (s *OrderService) ServeHTTP(w http.ResponseWriter, r *http.Request) {
    // Business logic mixed with HTTP handler
    // Cannot reuse with gRPC transport
}",error,https://gokit.io/faq/#service-design
3,go-kit Endpoint,endpoint.Endpoint Pattern,"Wrap each service method in an endpoint.Endpoint to create a uniform function signature for middleware.",Create one endpoint per service method and apply middleware like logging and instrumentation.,Do not call service methods directly from transport; always go through endpoints for middleware support.,"func MakePlaceOrderEndpoint(svc OrderService) endpoint.Endpoint {
    return func(ctx context.Context, request interface{}) (interface{}, error) {
        req := request.(PlaceOrderRequest)
        id, err := svc.PlaceOrder(ctx, req.Order)
        if err != nil {
            return PlaceOrderResponse{Err: err.Error()}, nil
        }
        return PlaceOrderResponse{ID: id}, nil
    }
}
type Endpoints struct {
    PlaceOrder endpoint.Endpoint
    GetOrder   endpoint.Endpoint
}","func placeOrderHandler(svc OrderService) http.HandlerFunc {
    return func(w http.ResponseWriter, r *http.Request) {
        var o Order
        json.NewDecoder(r.Body).Decode(&o)
        id, _ := svc.PlaceOrder(r.Context(), o)
        json.NewEncoder(w).Encode(map[string]string{""id"": id})
        // Skips endpoint layer, no middleware
    }
}",warning,https://pkg.go.dev/github.com/go-kit/kit/endpoint
4,go-kit Transport,HTTP and gRPC Transport,"Use go-kit transport packages to bind endpoints to HTTP routes or gRPC service definitions.",Use httptransport.NewServer for HTTP and grpctransport.NewServer for gRPC to bind endpoints.,Do not write raw HTTP handlers when using go-kit; use the transport layer for consistent error encoding.,"httpHandler := httptransport.NewServer(
    endpoints.PlaceOrder,
    decodeHTTPPlaceOrderRequest,
    encodeHTTPResponse,
    httptransport.ServerErrorEncoder(encodeError),
)
grpcHandler := grpctransport.NewServer(
    endpoints.PlaceOrder,
    decodeGRPCPlaceOrderRequest,
    encodeGRPCPlaceOrderResponse,
)","http.HandleFunc(""/order"", func(w http.ResponseWriter, r *http.Request) {
    var req PlaceOrderRequest
    json.NewDecoder(r.Body).Decode(&req)
    resp, _ := endpoints.PlaceOrder(r.Context(), req)
    json.NewEncoder(w).Encode(resp)
    // Manual decoding/encoding bypasses go-kit error handling
})",warning,https://pkg.go.dev/github.com/go-kit/kit/transport/http
5,Circuit Breaker,gobreaker Integration,"Wrap service calls with a circuit breaker to stop cascading failures when a downstream service is unhealthy.",Use gobreaker.NewCircuitBreaker with sensible thresholds and wrap outbound calls.,Do not call failing services indefinitely; circuit breakers fail fast and let services recover.,"cb := gobreaker.NewCircuitBreaker(gobreaker.Settings{
    Name:        ""payment-service"",
    MaxRequests: 3,
    Interval:    10 * time.Second,
    Timeout:     30 * time.Second,
    ReadyToTrip: func(counts gobreaker.Counts) bool {
        return counts.ConsecutiveFailures > 5
    },
})
result, err := cb.Execute(func() (interface{}, error) {
    return paymentClient.Charge(ctx, req)
})","resp, err := paymentClient.Charge(ctx, req)
if err != nil {
    log.Println(""payment failed, retrying..."")
    resp, err = paymentClient.Charge(ctx, req)
    // Keeps hammering a failing service
}",error,https://pkg.go.dev/github.com/sony/gobreaker
6,Service Discovery,Consul and etcd,"Register services and discover instances dynamically so clients do not need hardcoded addresses.",Use a service registry like Consul and integrate it with go-kit sd package.,Do not hardcode service URLs; use dynamic discovery for resilience and scaling.,"client, err := api.NewClient(api.DefaultConfig())
if err != nil {
    log.Fatal(err)
}
instancer := consulsd.NewInstancer(
    consul.NewClient(client),
    logger,
    ""payment-service"",
    []string{""production""},
    true,
)
endpointer := sd.NewEndpointer(instancer, factory, logger)
balancer := lb.NewRoundRobin(endpointer)
endpoint := lb.Retry(3, 5*time.Second, balancer)","var paymentURL = ""http://payment-service:8080""
// Hardcoded URL, no discovery
// Cannot scale or failover to other instances",warning,https://pkg.go.dev/github.com/go-kit/kit/sd/consul
7,Load Balancing,Client-Side with go-kit,"Use client-side load balancing to distribute requests across discovered service instances.",Use lb.NewRoundRobin or lb.NewRandom with sd.NewEndpointer for client-side balancing.,Do not rely solely on DNS for load balancing; it lacks health awareness and has TTL caching issues.,"instancer := consulsd.NewInstancer(client, logger, ""order-service"", nil, true)
endpointer := sd.NewEndpointer(instancer, orderEndpointFactory, logger)
balancer := lb.NewRoundRobin(endpointer)
retryEndpoint := lb.Retry(3, 2*time.Second, balancer)
resp, err := retryEndpoint(ctx, request)
if err != nil {
    return fmt.Errorf(""call order-service: %w"", err)
}","resp, err := http.Get(""http://order-service:8080/orders"")
// Single instance, no failover
// DNS round-robin has stale TTL issues",warning,https://pkg.go.dev/github.com/go-kit/kit/sd/lb
8,Distributed Tracing,OpenTelemetry Spans,"Instrument services with OpenTelemetry to trace requests across service boundaries.",Initialize a TracerProvider and create spans at service boundaries and key operations.,Do not rely solely on logs for debugging distributed systems; traces show request flow.,"exporter, err := otlptracegrpc.New(ctx, otlptracegrpc.WithEndpoint(""otel-collector:4317""), otlptracegrpc.WithInsecure())
if err != nil {
    log.Fatal(err)
}
tp := sdktrace.NewTracerProvider(
    sdktrace.WithBatcher(exporter),
    sdktrace.WithResource(resource.NewWithAttributes(semconv.SchemaURL, semconv.ServiceName(""order-service""))),
)
otel.SetTracerProvider(tp)
tracer := otel.Tracer(""order-service"")
ctx, span := tracer.Start(ctx, ""PlaceOrder"")
defer span.End()","func PlaceOrder(ctx context.Context, o Order) error {
    log.Printf(""placing order %s"", o.ID)
    // No tracing, cannot correlate with upstream or downstream
    return nil
}",warning,https://pkg.go.dev/go.opentelemetry.io/otel
9,Health Probes,Liveness and Readiness,"Expose /healthz and /readyz endpoints so orchestrators can check service health and readiness.",Implement separate liveness and readiness probes that check dependencies.,Do not use a single health endpoint that always returns 200; check actual dependency health.,"http.HandleFunc(""/healthz"", func(w http.ResponseWriter, r *http.Request) {
    w.WriteHeader(http.StatusOK)
    w.Write([]byte(""ok""))
})
http.HandleFunc(""/readyz"", func(w http.ResponseWriter, r *http.Request) {
    if err := db.PingContext(r.Context()); err != nil {
        w.WriteHeader(http.StatusServiceUnavailable)
        w.Write([]byte(""db not ready""))
        return
    }
    w.WriteHeader(http.StatusOK)
    w.Write([]byte(""ready""))
})","http.HandleFunc(""/health"", func(w http.ResponseWriter, r *http.Request) {
    w.WriteHeader(http.StatusOK)
    // Always returns 200 even if DB is down
    // Orchestrator thinks service is healthy
})",error,https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/
10,Configuration,12-Factor with Viper,"Load configuration from environment variables and config files following the 12-factor app methodology.",Use viper to read from env vars with fallback to config files and set sensible defaults.,Do not hardcode configuration values; externalize them for different environments.,"viper.SetConfigName(""config"")
viper.SetConfigType(""yaml"")
viper.AddConfigPath(""."")
viper.AutomaticEnv()
viper.SetEnvKeyReplacer(strings.NewReplacer(""."", ""_""))
viper.SetDefault(""server.port"", 8080)
viper.SetDefault(""db.max_open_conns"", 25)
if err := viper.ReadInConfig(); err != nil {
    if _, ok := err.(viper.ConfigFileNotFoundError); !ok {
        log.Fatalf(""read config: %v"", err)
    }
}
port := viper.GetInt(""server.port"")","const (
    port   = 8080
    dbHost = ""localhost""
    dbPort = 5432
)
// Hardcoded values, cannot change per environment",warning,https://pkg.go.dev/github.com/spf13/viper
