No,Guideline,Category,Keywords,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Strict Mode Configuration,Config,"strict, tsconfig, strictNullChecks, noImplicitAny, strictFunctionTypes","Enabling the strict flag in tsconfig.json activates a family of stricter type-checking options including strictNullChecks, noImplicitAny, strictFunctionTypes, strictBindCallApply, and strictPropertyInitialization. This is the single most impactful setting for catching bugs at compile time.","Always enable ""strict"": true in every new project's tsconfig.json. Enable additional flags like noUncheckedIndexedAccess for even tighter safety. Treat strict mode as the baseline, not an aspiration.","Do not leave strict mode disabled and rely on implicit any types. Do not selectively enable only some strict flags to avoid fixing errors. Do not use // @ts-ignore to silence strict mode violations instead of fixing them.","// tsconfig.json
{
  ""compilerOptions"": {
    ""strict"": true,
    ""noUncheckedIndexedAccess"": true,
    ""noImplicitReturns"": true,
    ""noFallthroughCasesInSwitch"": true,
    ""exactOptionalPropertyTypes"": true
  }
}

// With strict mode, null must be handled
function getLength(value: string | null): number {
  if (value === null) return 0;
  return value.length;
}","// tsconfig.json with strict OFF (bad)
{
  ""compilerOptions"": {
    ""strict"": false
  }
}

// Without strict, null bugs slip through
function getLength(value: string): number {
  // value could be null at runtime but TS won't warn
  return value.length; // runtime crash if null
}",critical,https://www.typescriptlang.org/tsconfig#strict
2,Discriminated Unions,Types,"discriminated union, tagged union, pattern matching, literal type, discriminator","A discriminated union is a union of types that share a common literal property (the discriminator). TypeScript uses the discriminator to narrow the union to a specific variant in control flow, enabling exhaustive pattern matching via switch statements or if-else chains.","Use a shared literal property (like kind, type, or status) as the discriminator. Use switch/case with exhaustive checks using the never type. Keep discriminant values as string literal types for readability.","Do not use boolean flags or optional properties to distinguish variants. Do not forget to handle all cases in a switch, leaving potential runtime errors. Do not use type assertions to bypass narrowing.","type Shape =
  | { kind: ""circle""; radius: number }
  | { kind: ""rectangle""; width: number; height: number }
  | { kind: ""triangle""; base: number; height: number };

function area(shape: Shape): number {
  switch (shape.kind) {
    case ""circle"":
      return Math.PI * shape.radius ** 2;
    case ""rectangle"":
      return shape.width * shape.height;
    case ""triangle"":
      return 0.5 * shape.base * shape.height;
    default:
      const _exhaustive: never = shape;
      return _exhaustive;
  }
}","// Bad: using optional fields instead of discriminated union
type Shape = {
  kind?: string;
  radius?: number;
  width?: number;
  height?: number;
  base?: number;
};

function area(shape: Shape): number {
  if (shape.radius) {
    return Math.PI * shape.radius ** 2;
  }
  // No compile-time safety, easy to miss cases
  return (shape.width ?? 0) * (shape.height ?? 0);
}",critical,https://www.typescriptlang.org/docs/handbook/2/narrowing.html#discriminated-unions
3,Type Narrowing with Type Guards,Types,"type guard, narrowing, typeof, instanceof, in operator, is predicate, custom guard","Type narrowing is TypeScript's ability to refine a broader type to a more specific one within a code block. Built-in guards include typeof (for primitives), instanceof (for classes), and the in operator (for property checks). Custom type guard functions use the ""is"" predicate return type.","Use typeof for primitive checks, instanceof for class instances, and the in operator for interface discrimination. Write custom type guard functions with the is predicate for complex validation logic. Compose guards for union types.","Do not rely on type assertions (as) when a type guard would work. Do not write type guards that lie about the actual runtime check. Do not use try-catch as a type narrowing mechanism.","interface Fish { swim(): void; name: string }
interface Bird { fly(): void; name: string }

// Custom type guard with 'is' predicate
function isFish(pet: Fish | Bird): pet is Fish {
  return ""swim"" in pet;
}

function move(pet: Fish | Bird): void {
  if (isFish(pet)) {
    pet.swim(); // TS knows pet is Fish here
  } else {
    pet.fly();  // TS knows pet is Bird here
  }
}

// typeof guard for primitives
function padLeft(value: string, padding: string | number): string {
  if (typeof padding === ""number"") {
    return "" "".repeat(padding) + value;
  }
  return padding + value;
}","// Bad: using type assertions instead of guards
function move(pet: Fish | Bird): void {
  // Unsafe: no runtime check, just trust the developer
  (pet as Fish).swim();
}

// Bad: type guard that doesn't match runtime check
function isFish(pet: Fish | Bird): pet is Fish {
  // Lies: checking name instead of actual structure
  return pet.name === ""nemo"";
}",critical,https://www.typescriptlang.org/docs/handbook/2/narrowing.html
4,Branded/Nominal Types,Types,"branded type, nominal type, unique symbol, opaque type, type safety, newtype","TypeScript uses structural typing, meaning two types with identical shapes are interchangeable. Branded types add a phantom unique symbol property to create nominally distinct types, preventing accidental mixing of semantically different values like UserId vs OrderId, even though both are strings.","Use unique symbol as the brand to ensure compile-time uniqueness. Create constructor functions that validate and brand values. Use this pattern for identifiers, currency amounts, validated strings, and other domain values that should not be mixed.","Do not skip the brand validation function and manually cast values. Do not use plain string or number types for domain identifiers that have different semantics. Do not create brands with regular string properties that could collide.","declare const __brand: unique symbol;

type Brand<T, B extends string> = T & { [__brand]: B };

type UserId = Brand<string, ""UserId"">;
type OrderId = Brand<string, ""OrderId"">;

function createUserId(id: string): UserId {
  if (!id.startsWith(""usr_"")) throw new Error(""Invalid user ID"");
  return id as UserId;
}

function createOrderId(id: string): OrderId {
  if (!id.startsWith(""ord_"")) throw new Error(""Invalid order ID"");
  return id as OrderId;
}

function getUser(id: UserId): void { /* ... */ }

const userId = createUserId(""usr_123"");
const orderId = createOrderId(""ord_456"");
getUser(userId);  // OK
// getUser(orderId); // Compile error!","// Bad: using plain strings for different ID types
function getUser(id: string): void { /* ... */ }
function getOrder(id: string): void { /* ... */ }

const userId = ""usr_123"";
const orderId = ""ord_456"";
getUser(orderId); // No error! Wrong ID passed silently
getOrder(userId); // No error! Bugs at runtime",high,https://www.typescriptlang.org/docs/handbook/2/types-from-types.html
5,Generic Constraints,Generics,"generics, extends, constraint, keyof, type parameter, bounded generic","Generic constraints use the extends keyword to restrict what types a generic parameter can accept. This enables writing reusable functions and classes that work with a family of types sharing a common shape, while preserving full type safety and autocompletion within the generic body.","Use extends to constrain generics to types with required properties. Use keyof T constraints to safely access object keys. Combine constraints with default type parameters for flexible APIs. Use multiple constraints with intersection types.","Do not leave generics unconstrained when the function body accesses specific properties. Do not use any as a workaround for missing constraints. Do not over-constrain generics making them less reusable than needed.","function getProperty<T, K extends keyof T>(obj: T, key: K): T[K] {
  return obj[key];
}

interface HasId { id: string }
interface HasTimestamps { createdAt: Date; updatedAt: Date }

function updateEntity<T extends HasId & HasTimestamps>(
  entity: T,
  updates: Partial<Omit<T, ""id"" | ""createdAt"">>
): T {
  return { ...entity, ...updates, updatedAt: new Date() };
}

const user = { id: ""1"", name: ""Alice"", createdAt: new Date(), updatedAt: new Date() };
const updated = updateEntity(user, { name: ""Bob"" });
// updated is fully typed with all original properties","// Bad: unconstrained generic accessing properties
function getProperty<T>(obj: T, key: string): any {
  return (obj as any)[key]; // No type safety
}

// Bad: using 'any' instead of proper constraints
function updateEntity(entity: any, updates: any): any {
  return { ...entity, ...updates, updatedAt: new Date() };
}",high,https://www.typescriptlang.org/docs/handbook/2/generics.html#generic-constraints
6,Mapped Types,Utility,"mapped types, Record, Partial, Required, Pick, Omit, keyof, in keyof","Mapped types transform existing types by iterating over their keys with the [K in keyof T] syntax. TypeScript's built-in utility types (Partial, Required, Readonly, Pick, Omit, Record) are all implemented as mapped types. Custom mapped types enable powerful type-level transformations.","Use built-in utility types for common transformations. Create custom mapped types for domain-specific transformations. Use key remapping with as to filter or rename keys. Combine mapped types with conditional types for advanced patterns.","Do not manually recreate types that Partial, Pick, Omit, or Record already provide. Do not nest too many mapped type operations making types unreadable. Do not forget that mapped types create new types rather than modifying originals.","// Custom mapped type: make all properties nullable
type Nullable<T> = { [K in keyof T]: T[K] | null };

// Key remapping: prefix all keys with 'get'
type Getters<T> = {
  [K in keyof T as `get${Capitalize<string & K>}`]: () => T[K]
};

interface User {
  name: string;
  age: number;
  email: string;
}

type NullableUser = Nullable<User>;
// { name: string | null; age: number | null; email: string | null }

type UserGetters = Getters<User>;
// { getName: () => string; getAge: () => number; getEmail: () => string }

// Filter keys by value type
type StringKeysOnly<T> = {
  [K in keyof T as T[K] extends string ? K : never]: T[K]
};
type UserStrings = StringKeysOnly<User>;
// { name: string; email: string }","// Bad: manually recreating mapped type logic
interface NullableUser {
  name: string | null;
  age: number | null;
  email: string | null;
}
// Must be manually updated when User changes

// Bad: using Record when a mapped type is more appropriate
type UserGetters = Record<string, () => unknown>;
// Loses all type information about specific keys and return types",high,https://www.typescriptlang.org/docs/handbook/2/mapped-types.html
7,Conditional Types,Advanced,"conditional type, extends, infer, distributive, type-level logic, ternary","Conditional types apply type-level if-then-else logic using the T extends U ? X : Y syntax. They distribute over union types by default, enabling powerful type transformations. Combined with the infer keyword, conditional types can extract and transform parts of complex types.","Use conditional types to create type-safe utility types. Leverage distribution over unions for per-member type logic. Use infer to extract inner types from generics, promises, arrays, and functions. Wrap in [] to prevent distribution when needed.","Do not create deeply nested conditional types that are impossible to debug. Do not forget that conditional types distribute over unions by default. Do not use conditional types when a simpler mapped type or overload would work.","// Extract the resolved type from a Promise
type Awaited<T> = T extends Promise<infer U> ? Awaited<U> : T;

// Flatten arrays one level
type Flatten<T> = T extends Array<infer U> ? U : T;

// Exclude null and undefined
type NonNullable<T> = T extends null | undefined ? never : T;

// Practical: extract event handler payload types
type EventMap = {
  click: { x: number; y: number };
  keypress: { key: string; code: number };
  scroll: { offset: number };
};

type EventPayload<E extends keyof EventMap> = EventMap[E];
type ClickPayload = EventPayload<""click"">;
// { x: number; y: number }

// Non-distributive conditional (prevents union distribution)
type IsArray<T> = [T] extends [unknown[]] ? true : false;","// Bad: deeply nested unreadable conditional type
type Bad<T> = T extends string
  ? T extends `${infer A}.${infer B}`
    ? A extends `${infer C}-${infer D}`
      ? [C, D, B]
      : [A, B]
    : T extends `${infer X}-${infer Y}`
      ? [X, Y]
      : [T]
  : never;

// Bad: using any and type assertions instead of conditional types
type GetReturn = any; // Lost all type information",medium,https://www.typescriptlang.org/docs/handbook/2/conditional-types.html
8,Template Literal Types,Types,"template literal, string type, pattern matching, route types, string manipulation","Template literal types combine literal types with string template syntax to create powerful string pattern types. TypeScript provides built-in string manipulation types (Uppercase, Lowercase, Capitalize, Uncapitalize) and supports inference within template patterns, enabling type-safe string manipulation.","Use template literal types for route patterns, event names, CSS properties, and API endpoints. Combine with mapped types for key remapping. Use string manipulation utility types for consistent casing. Leverage inference in template patterns for parsing.","Do not use plain string type when a template literal would provide safety. Do not create overly complex template patterns that slow down the type checker. Do not forget that template literal unions can grow exponentially.","// Type-safe event system
type EventName = ""click"" | ""focus"" | ""blur"";
type EventHandler = `on${Capitalize<EventName>}`;
// ""onClick"" | ""onFocus"" | ""onBlur""

// Route parameter extraction
type ExtractParams<T extends string> =
  T extends `${string}:${infer Param}/${infer Rest}`
    ? Param | ExtractParams<`/${Rest}`>
    : T extends `${string}:${infer Param}`
      ? Param
      : never;

type RouteParams = ExtractParams<""/users/:userId/posts/:postId"">;
// ""userId"" | ""postId""

// CSS property builder
type CSSUnit = ""px"" | ""rem"" | ""em"" | ""%"";
type CSSValue = `${number}${CSSUnit}`;
const margin: CSSValue = ""16px""; // OK
// const bad: CSSValue = ""16vw""; // Error","// Bad: using plain string type for structured patterns
type EventHandler = string;
// No validation of handler name format

function setRoute(path: string): void {
  // No compile-time extraction of route params
  // Must parse at runtime with no type safety
}

// Bad: accepting any string for CSS values
function setMargin(value: string): void {
  // ""banana"" is accepted with no error
}",medium,https://www.typescriptlang.org/docs/handbook/2/template-literal-types.html
9,Zod Schema Inference,Validation,"zod, schema, validation, inference, z.infer, runtime safety, parse","Zod is a TypeScript-first schema validation library that bridges the gap between runtime validation and compile-time types. Using z.infer<typeof schema> derives TypeScript types directly from Zod schemas, ensuring a single source of truth for both validation logic and static types.","Define Zod schemas as the single source of truth and derive TypeScript types with z.infer. Use schema.parse() for strict validation that throws, or schema.safeParse() for error handling. Compose schemas using z.object, z.union, z.intersection, and .extend().","Do not define separate TypeScript interfaces and Zod schemas that can drift apart. Do not use type assertions to bypass Zod validation. Do not catch and ignore Zod validation errors.","import { z } from ""zod"";

const UserSchema = z.object({
  id: z.string().uuid(),
  name: z.string().min(1).max(100),
  email: z.string().email(),
  role: z.enum([""admin"", ""user"", ""moderator""]),
  createdAt: z.coerce.date(),
});

// Derive type from schema - single source of truth
type User = z.infer<typeof UserSchema>;

const CreateUserSchema = UserSchema.omit({ id: true, createdAt: true });
type CreateUserInput = z.infer<typeof CreateUserSchema>;

function createUser(input: unknown): User {
  const validated = CreateUserSchema.parse(input);
  return {
    ...validated,
    id: crypto.randomUUID(),
    createdAt: new Date(),
  };
}","// Bad: separate interface and schema that can drift
interface User {
  id: string;
  name: string;
  email: string;
  role: ""admin"" | ""user"";  // Missing ""moderator""!
}

const UserSchema = z.object({
  id: z.string().uuid(),
  name: z.string(),
  email: z.string().email(),
  role: z.enum([""admin"", ""user"", ""moderator""]),
});
// Interface and schema are out of sync

function createUser(input: any): User {
  return input as User; // No runtime validation
}",high,https://zod.dev/?id=basic-usage
10,satisfies Operator,Types,"satisfies, type checking, type widening, inference, safe assignment","The satisfies operator (TypeScript 4.9+) validates that an expression matches a type without widening it. Unlike type annotations (: Type), satisfies preserves the narrowest inferred type while still ensuring conformance. This gives you both type safety and precise autocomplete.","Use satisfies when you want to validate conformance to a type while preserving literal types. Use it for configuration objects, route maps, and color palettes where you need both safety and precise inference. Combine with as const for maximum narrowness.","Do not use a type annotation (: Type) when you need to preserve literal types. Do not use satisfies when a simple type annotation suffices and you do not need narrow inference. Do not confuse satisfies with as (type assertion).","type RouteConfig = Record<string, { path: string; auth: boolean }>;

// satisfies: validates shape BUT preserves literal types
const routes = {
  home:    { path: ""/"",         auth: false },
  dashboard: { path: ""/dashboard"", auth: true },
  profile: { path: ""/profile"",   auth: true },
} satisfies RouteConfig;

// Keys are narrowly typed: ""home"" | ""dashboard"" | ""profile""
type RouteKey = keyof typeof routes;

// Values preserve literal types
const homePath = routes.home.path;
// Type: ""/""  (not widened to string)

// Type annotation would widen everything
const routesAnnotated: RouteConfig = {
  home:    { path: ""/"",         auth: false },
  dashboard: { path: ""/dashboard"", auth: true },
};
// routesAnnotated.home.path is string, not ""/""","// Bad: type annotation widens literal types
const routes: RouteConfig = {
  home:    { path: ""/"",         auth: false },
  dashboard: { path: ""/dashboard"", auth: true },
};
// typeof routes is just RouteConfig
// routes.home.path is string, not ""/""
// Object.keys(routes) loses specific key info

// Bad: no type checking at all
const routes2 = {
  home: { path: ""/"", aut: false }, // Typo not caught!
};",high,https://www.typescriptlang.org/docs/handbook/release-notes/typescript-4-9.html#the-satisfies-operator
