No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Setup,"Initialize Hono app with TypeScript","Create a Hono application with proper TypeScript configuration for type-safe routing and middleware.","Use the generic Hono<Env> constructor with typed environment bindings","Don't use untyped Hono() without defining your environment types","import { Hono } from 'hono';

type Env = {
  Bindings: {
    DATABASE_URL: string;
    JWT_SECRET: string;
  };
  Variables: {
    userId: string;
    role: 'admin' | 'user';
  };
};

const app = new Hono<Env>();

app.get('/', (c) => {
  const dbUrl = c.env.DATABASE_URL; // fully typed
  return c.json({ status: 'ok' });
});

export default app;","import { Hono } from 'hono';

const app = new Hono();

app.get('/', (c) => {
  const dbUrl = c.env.DATABASE_URL; // any type, no safety
  return c.json({ status: 'ok' });
});

export default app;",error,https://hono.dev/docs/api/hono
2,Routing,"Use context helpers for responses","Hono provides c.req for request parsing and c.json, c.text, c.html for typed responses. Always use these instead of constructing raw Response objects.","Use c.json() for JSON responses, c.text() for plain text, and c.req.param() for route parameters","Don't construct new Response() manually or parse the URL yourself for parameters","import { Hono } from 'hono';

const app = new Hono();

app.get('/users/:id', async (c) => {
  const id = c.req.param('id');
  const { page } = c.req.query();
  const body = await c.req.json<{ name: string }>();

  return c.json({ id, page }, 200);
});

app.get('/health', (c) => {
  return c.text('OK', 200);
});","import { Hono } from 'hono';

const app = new Hono();

app.get('/users/:id', async (c) => {
  const url = new URL(c.req.url);
  const id = url.pathname.split('/')[2];
  const page = url.searchParams.get('page');

  return new Response(JSON.stringify({ id, page }), {
    headers: { 'Content-Type': 'application/json' },
  });
});",warning,https://hono.dev/docs/api/context
3,Route Groups,"Organize routes with app.route()","Use app.route() to mount sub-applications at path prefixes. This keeps your codebase modular and each route group in its own file.","Split routes into separate Hono instances and mount them with app.route()","Don't define all routes in a single flat file with repeated prefixes","import { Hono } from 'hono';

// routes/users.ts
const users = new Hono();
users.get('/', (c) => c.json({ users: [] }));
users.get('/:id', (c) => {
  const id = c.req.param('id');
  return c.json({ id });
});
users.post('/', async (c) => {
  const body = await c.req.json();
  return c.json(body, 201);
});

// routes/posts.ts
const posts = new Hono();
posts.get('/', (c) => c.json({ posts: [] }));

// app.ts
const app = new Hono();
app.route('/api/users', users);
app.route('/api/posts', posts);

export default app;","import { Hono } from 'hono';

const app = new Hono();

app.get('/api/users', (c) => c.json({ users: [] }));
app.get('/api/users/:id', (c) => c.json({ id: c.req.param('id') }));
app.post('/api/users', async (c) => c.json(await c.req.json(), 201));
app.get('/api/posts', (c) => c.json({ posts: [] }));
app.get('/api/posts/:id', (c) => c.json({ id: c.req.param('id') }));

export default app;",warning,https://hono.dev/docs/api/routing
4,Middleware,"Create custom middleware with c.next()","Custom middleware in Hono uses the (c, next) signature. Always await next() and perform post-processing after the await if needed.","Await c.next() in middleware and handle both pre- and post-processing correctly","Don't forget to await next() or skip calling it which blocks downstream handlers","import { Hono } from 'hono';
import type { MiddlewareHandler } from 'hono';

const logger: MiddlewareHandler = async (c, next) => {
  const start = Date.now();
  console.log(`--> ${c.req.method} ${c.req.path}`);

  await next();

  const duration = Date.now() - start;
  c.header('X-Response-Time', `${duration}ms`);
  console.log(`<-- ${c.req.method} ${c.req.path} ${c.res.status} ${duration}ms`);
};

const app = new Hono();
app.use('*', logger);

app.get('/', (c) => c.text('Hello'));

export default app;","import { Hono } from 'hono';

const logger = async (c: any, next: any) => {
  const start = Date.now();
  console.log(`--> ${c.req.method} ${c.req.path}`);
  next(); // Missing await - post-processing runs before handler completes
  const duration = Date.now() - start;
  console.log(`<-- ${duration}ms`);
};

const app = new Hono();
app.use('*', logger);

export default app;",error,https://hono.dev/docs/guides/middleware
5,Zod Validation,"Use zValidator middleware for request validation","The @hono/zod-validator package provides zValidator middleware that validates request body, query, params, and headers against Zod schemas with full type inference.","Use zValidator with target specifiers (json, query, param) for typed and validated requests","Don't manually parse and validate request data inside handlers","import { Hono } from 'hono';
import { zValidator } from '@hono/zod-validator';
import { z } from 'zod';

const createUserSchema = z.object({
  name: z.string().min(1).max(100),
  email: z.string().email(),
  age: z.number().int().min(0).optional(),
});

const querySchema = z.object({
  page: z.coerce.number().int().min(1).default(1),
  limit: z.coerce.number().int().min(1).max(100).default(20),
});

const app = new Hono();

app.post(
  '/users',
  zValidator('json', createUserSchema),
  (c) => {
    const data = c.req.valid('json'); // fully typed
    return c.json({ user: data }, 201);
  }
);

app.get(
  '/users',
  zValidator('query', querySchema),
  (c) => {
    const { page, limit } = c.req.valid('query'); // typed
    return c.json({ page, limit });
  }
);

export default app;","import { Hono } from 'hono';

const app = new Hono();

app.post('/users', async (c) => {
  const body = await c.req.json();

  if (!body.name || typeof body.name !== 'string') {
    return c.json({ error: 'Invalid name' }, 400);
  }
  if (!body.email || !body.email.includes('@')) {
    return c.json({ error: 'Invalid email' }, 400);
  }

  return c.json({ user: body }, 201);
});

export default app;",error,https://hono.dev/docs/guides/validation
6,Error Handling,"Use app.onError for global error handling","Register a global error handler with app.onError to catch unhandled exceptions. Use HTTPException for expected errors with proper status codes.","Use app.onError for global handling and throw HTTPException for known error states","Don't wrap every handler in try-catch or let errors propagate unhandled","import { Hono } from 'hono';
import { HTTPException } from 'hono/http-exception';

const app = new Hono();

app.onError((err, c) => {
  if (err instanceof HTTPException) {
    return err.getResponse();
  }
  console.error('Unhandled error:', err);
  return c.json(
    { error: 'Internal Server Error', message: err.message },
    500
  );
});

app.notFound((c) => {
  return c.json({ error: 'Not Found', path: c.req.path }, 404);
});

app.get('/users/:id', async (c) => {
  const id = c.req.param('id');
  const user = await findUser(id);

  if (!user) {
    throw new HTTPException(404, { message: `User ${id} not found` });
  }

  return c.json(user);
});

export default app;","import { Hono } from 'hono';

const app = new Hono();

app.get('/users/:id', async (c) => {
  try {
    const id = c.req.param('id');
    const user = await findUser(id);
    if (!user) {
      return c.json({ error: 'Not found' }, 404);
    }
    return c.json(user);
  } catch (e) {
    return c.json({ error: 'Server error' }, 500);
  }
});

export default app;",error,https://hono.dev/docs/api/hono#error-handling
7,Context Variables,"Use c.set/c.get for typed request-scoped state","Store request-scoped data with c.set() and retrieve it with c.get(). Define the Variables type in your Env generic for full type safety.","Define Variables in Env type and use c.set/c.get for request-scoped state","Don't use global mutable state or attach properties to the request object directly","import { Hono } from 'hono';
import type { MiddlewareHandler } from 'hono';

type Env = {
  Variables: {
    user: { id: string; email: string; role: string };
    requestId: string;
  };
};

const authMiddleware: MiddlewareHandler<Env> = async (c, next) => {
  const token = c.req.header('Authorization')?.replace('Bearer ', '');
  const user = await verifyToken(token);
  c.set('user', user);
  c.set('requestId', crypto.randomUUID());
  await next();
};

const app = new Hono<Env>();

app.use('/api/*', authMiddleware);

app.get('/api/profile', (c) => {
  const user = c.get('user'); // typed as { id: string; email: string; role: string }
  const reqId = c.get('requestId');
  return c.json({ user, requestId: reqId });
});

export default app;","import { Hono } from 'hono';

let currentUser: any = null; // global mutable state - race condition danger

const app = new Hono();

app.use('/api/*', async (c, next) => {
  const token = c.req.header('Authorization')?.replace('Bearer ', '');
  currentUser = await verifyToken(token);
  await next();
});

app.get('/api/profile', (c) => {
  return c.json({ user: currentUser }); // wrong user under concurrency
});

export default app;",error,https://hono.dev/docs/api/context#set-get
8,Auth Middleware,"Create Bearer token authentication middleware","Build reusable auth middleware that validates Bearer tokens and sets user context for downstream handlers.","Create a typed middleware that validates tokens and sets user variables on the context","Don't duplicate auth logic in every route handler or use inline auth checks","import { Hono } from 'hono';
import { HTTPException } from 'hono/http-exception';
import type { MiddlewareHandler } from 'hono';

type Env = {
  Variables: {
    userId: string;
    userRole: 'admin' | 'user';
  };
};

const bearerAuth: MiddlewareHandler<Env> = async (c, next) => {
  const authHeader = c.req.header('Authorization');
  if (!authHeader?.startsWith('Bearer ')) {
    throw new HTTPException(401, { message: 'Missing Bearer token' });
  }

  const token = authHeader.substring(7);
  try {
    const payload = await verifyJwt(token);
    c.set('userId', payload.sub);
    c.set('userRole', payload.role);
  } catch {
    throw new HTTPException(401, { message: 'Invalid or expired token' });
  }

  await next();
};

const requireRole = (role: string): MiddlewareHandler<Env> => {
  return async (c, next) => {
    if (c.get('userRole') !== role) {
      throw new HTTPException(403, { message: 'Insufficient permissions' });
    }
    await next();
  };
};

const app = new Hono<Env>();
app.use('/api/*', bearerAuth);
app.use('/api/admin/*', requireRole('admin'));

app.get('/api/me', (c) => c.json({ userId: c.get('userId') }));

export default app;","import { Hono } from 'hono';

const app = new Hono();

app.get('/api/me', async (c) => {
  const auth = c.req.header('Authorization');
  if (!auth) return c.json({ error: 'No auth' }, 401);
  const token = auth.split(' ')[1];
  const user = await verifyJwt(token);
  if (!user) return c.json({ error: 'Bad token' }, 401);
  return c.json({ userId: user.sub });
});

app.get('/api/settings', async (c) => {
  const auth = c.req.header('Authorization');
  if (!auth) return c.json({ error: 'No auth' }, 401);
  const token = auth.split(' ')[1];
  const user = await verifyJwt(token);
  if (!user) return c.json({ error: 'Bad token' }, 401);
  // duplicated auth logic in every handler
  return c.json({ settings: {} });
});

export default app;",error,https://hono.dev/docs/middleware/builtin/bearer-auth
9,CORS,"Configure CORS middleware properly","Use Hono's built-in cors() middleware with explicit origin configuration. Never use wildcard origins in production.","Specify exact allowed origins and configure methods, headers, and credentials explicitly","Don't use wildcard '*' origin in production or skip CORS configuration entirely","import { Hono } from 'hono';
import { cors } from 'hono/cors';

const app = new Hono();

app.use(
  '/api/*',
  cors({
    origin: ['https://myapp.com', 'https://staging.myapp.com'],
    allowMethods: ['GET', 'POST', 'PUT', 'DELETE', 'PATCH'],
    allowHeaders: ['Content-Type', 'Authorization'],
    exposeHeaders: ['X-Request-Id', 'X-Total-Count'],
    credentials: true,
    maxAge: 86400,
  })
);

// Dynamic origin for multi-tenant
app.use(
  '/tenant/*',
  cors({
    origin: (origin) => {
      if (origin.endsWith('.myapp.com')) {
        return origin;
      }
      return 'https://myapp.com';
    },
  })
);

export default app;","import { Hono } from 'hono';
import { cors } from 'hono/cors';

const app = new Hono();

// Wide open CORS - security risk in production
app.use('*', cors());

// Or manual headers missing preflight handling
app.use('*', async (c, next) => {
  c.header('Access-Control-Allow-Origin', '*');
  await next();
});

export default app;",error,https://hono.dev/docs/middleware/builtin/cors
10,JWT,"Use hono/jwt middleware for JWT operations","Use the built-in jwt() middleware from hono/jwt for token verification. Use sign() and verify() helpers for token creation and manual verification.","Use the jwt() middleware for route protection and sign()/verify() for token creation","Don't implement JWT parsing manually or use unverified token data","import { Hono } from 'hono';
import { jwt, sign, verify } from 'hono/jwt';
import type { JwtVariables } from 'hono/jwt';

type Env = {
  Bindings: { JWT_SECRET: string };
  Variables: JwtVariables;
};

const app = new Hono<Env>();

// Protect routes with jwt() middleware
app.use('/api/*', (c, next) => {
  const jwtMiddleware = jwt({ secret: c.env.JWT_SECRET });
  return jwtMiddleware(c, next);
});

// Access decoded payload
app.get('/api/me', (c) => {
  const payload = c.get('jwtPayload');
  return c.json({ userId: payload.sub, role: payload.role });
});

// Issue tokens
app.post('/auth/login', async (c) => {
  const { email, password } = await c.req.json();
  const user = await authenticateUser(email, password);

  const token = await sign(
    { sub: user.id, role: user.role, exp: Math.floor(Date.now() / 1000) + 3600 },
    c.env.JWT_SECRET
  );

  return c.json({ token });
});

export default app;","import { Hono } from 'hono';

const app = new Hono();

app.get('/api/me', async (c) => {
  const token = c.req.header('Authorization')?.split(' ')[1];
  // Manually decoding without verification - security flaw
  const payload = JSON.parse(atob(token!.split('.')[1]));
  return c.json({ userId: payload.sub });
});

export default app;",error,https://hono.dev/docs/middleware/builtin/jwt
