No,Idiom,Category,Keywords,Description,Do,Dont,Code Good,Code Bad,Docs URL
1,Null Safety,"null safety,nullable,non-nullable,required,late",Use Dart's sound null safety to prevent null reference errors at compile time,"Use non-nullable types by default; use ? only when null is meaningful; use required for required params","Use late everywhere; force-unwrap with !; ignore null warnings","class User {\n  final String name; // Non-nullable - always has value\n  final String? bio; // Nullable - might not have bio\n  final DateTime createdAt;\n  \n  const User({required this.name, this.bio, required this.createdAt});\n  \n  String get displayBio => bio ?? 'No bio yet';\n}","class User {\n  late String name; // late everywhere\n  String? email; // nullable when it should be required\n  \n  String getBio() => bio!; // Force unwrap - crashes if null\n}",https://dart.dev/null-safety
2,Extension Methods,"extension,utility,helper,augment,string,context",Add functionality to existing types without modifying them using extension methods,"Use extensions for type-specific utilities; keep extensions focused; name descriptively","Create God extensions with 50+ methods; use extensions for complex business logic","extension StringX on String {\n  bool get isValidEmail => RegExp(r'^[\\w-\\.]+@[\\w-]+\\.[a-z]{2,}$').hasMatch(this);\n  String get capitalize => '${this[0].toUpperCase()}${substring(1)}';\n}\n\nextension ContextX on BuildContext {\n  ThemeData get theme => Theme.of(this);\n  TextTheme get textTheme => Theme.of(this).textTheme;\n  ColorScheme get colorScheme => Theme.of(this).colorScheme;\n  Size get screenSize => MediaQuery.sizeOf(this);\n}","// Utility functions in a global file\nString capitalizeString(String s) => '${s[0].toUpperCase()}${s.substring(1)}';\nbool isValidEmail(String s) => ...; // Not discoverable",https://dart.dev/language/extension-methods
3,Const Constructors,"const,compile time,immutable,performance,widget",Use const constructors for immutable widgets and objects to improve performance,"Add const to immutable widget constructors; use const for frequently reused widgets","Ignore const warnings; create new instances of identical widgets every build","class ProductCard extends StatelessWidget {\n  const ProductCard({super.key, required this.product}); // const constructor\n  final Product product;\n  \n  @override\n  Widget build(BuildContext context) {\n    return Card(\n      child: Padding(\n        padding: const EdgeInsets.all(8.0), // const value\n        child: Column(\n          children: [\n            const Icon(Icons.star, color: Colors.amber), // const widget\n            Text(product.name),\n          ],\n        ),\n      ),\n    );\n  }\n}","class ProductCard extends StatelessWidget {\n  ProductCard({required this.product}); // Not const\n  \n  Widget build(BuildContext context) {\n    return Padding(\n      padding: EdgeInsets.all(8.0), // New instance every build\n      child: Icon(Icons.star), // New instance every build\n    );\n  }\n}",https://dart.dev/language/classes#using-constructors
4,Named Parameters,"named,parameter,required,optional,readable",Use named parameters for clarity especially with multiple parameters,"Use named params when function has 2+ params; mark essential params as required","Use positional params for everything; pass booleans without naming","void showNotification({\n  required String title,\n  required String body,\n  NotificationType type = NotificationType.info,\n  Duration duration = const Duration(seconds: 3),\n  VoidCallback? onTap,\n}) { ... }\n\n// Clear at call site\nshowNotification(\n  title: 'Order Placed',\n  body: 'Your order #123 is confirmed',\n  type: NotificationType.success,\n  onTap: () => navigateToOrder('123'),\n);","void showNotification(String title, String body, int type, int duration, Function? onTap) { ... }\n\n// Unclear at call site\nshowNotification('Order', 'Confirmed', 1, 3, null);",https://dart.dev/language/functions#named-parameters
5,Pattern Matching,"pattern,match,switch,sealed,when,destructuring",Use Dart 3 patterns and sealed classes for exhaustive type-safe handling,"Use sealed classes for state; use switch expressions; destructure records","Use if/else chains for type checking; ignore exhaustiveness warnings","sealed class AuthState {}\nclass Authenticated extends AuthState { final User user; Authenticated(this.user); }\nclass Unauthenticated extends AuthState {}\nclass Loading extends AuthState {}\n\n// Exhaustive switch\nWidget buildAuth(AuthState state) => switch (state) {\n  Authenticated(user: final u) => HomeScreen(user: u),\n  Unauthenticated() => const LoginScreen(),\n  Loading() => const LoadingScreen(),\n};","if (state is Authenticated) {\n  return HomeScreen(user: state.user);\n} else if (state is Unauthenticated) {\n  return LoginScreen();\n}\n// Missing Loading case - no compiler warning",https://dart.dev/language/patterns
6,Async/Await Best Practices,"async,await,future,stream,concurrent,parallel",Use async/await properly with error handling and parallel execution,"Use Future.wait for parallel; handle errors; use stream for sequences","Await in sequence when calls are independent; ignore async errors","// Parallel independent calls\nfinal results = await Future.wait([\n  userRepo.getProfile(userId),\n  orderRepo.getOrders(userId),\n  notifRepo.getCount(userId),\n]);\nfinal profile = results[0] as User;\nfinal orders = results[1] as List<Order>;\n\n// Or with records (Dart 3)\nfinal (user, orders) = await (\n  userRepo.getProfile(userId),\n  orderRepo.getOrders(userId),\n).wait;","// Sequential when they could be parallel\nfinal user = await userRepo.getProfile(userId);\nfinal orders = await orderRepo.getOrders(userId);\nfinal notifCount = await notifRepo.getCount(userId);\n// 3x slower than necessary!",https://dart.dev/libraries/async/async-await
7,Widget Composition over Inheritance,"composition,mixin,widget,reusable,stateless",Prefer composing widgets from smaller widgets rather than inheritance,"Extract reusable widgets; compose using parameters; use callbacks for customization","Extend StatelessWidget/StatefulWidget to create base classes; deep inheritance hierarchies","// Composition\nclass AppCard extends StatelessWidget {\n  final Widget child;\n  final VoidCallback? onTap;\n  final EdgeInsets padding;\n  \n  const AppCard({required this.child, this.onTap, this.padding = const EdgeInsets.all(16)});\n  \n  @override\n  Widget build(BuildContext context) {\n    return Card(\n      child: InkWell(\n        onTap: onTap,\n        child: Padding(padding: padding, child: child),\n      ),\n    );\n  }\n}","// Inheritance anti-pattern\nclass BaseScreen extends StatefulWidget { ... }\nclass HomeScreen extends BaseScreen { ... } // Hard to customize, breaks composition",https://docs.flutter.dev/resources/architectural-overview
8,Records and Destructuring,"record,tuple,destructuring,multiple return,dart3",Use Dart 3 records for returning multiple values and destructuring,"Use records for multi-value returns; destructure in assignments; name fields for clarity","Return List or Map for multiple values; use out parameters","// Named record fields\ntypedef Pagination = ({List<Product> items, int total, bool hasMore});\n\nFuture<Pagination> getProducts(int page) async {\n  final response = await api.getProducts(page: page);\n  return (\n    items: response.data.map(Product.fromJson).toList(),\n    total: response.meta.total,\n    hasMore: response.meta.currentPage < response.meta.lastPage,\n  );\n}\n\n// Destructuring\nfinal (:items, :total, :hasMore) = await getProducts(1);","// Return as Map\nFuture<Map<String, dynamic>> getProducts(int page) async {\n  return {'items': items, 'total': 100, 'hasMore': true};\n}\n// No type safety, stringly-typed",https://dart.dev/language/records
9,Proper key Usage,"key,valuekey,uniquekey,globalkey,widget identity",Use keys correctly for widget identity and efficient list rendering,"Use ValueKey with unique identifiers; use UniqueKey when needed; use Key on list items","Use GlobalKey everywhere; omit keys on dynamic list items; use index as key for reorderable lists","ListView.builder(\n  itemBuilder: (context, index) {\n    final item = items[index];\n    return Dismissible(\n      key: ValueKey(item.id), // Unique stable key\n      child: ListTile(title: Text(item.name)),\n    );\n  },\n)\n\n// AnimatedList needs keys\nAnimatedList(\n  itemBuilder: (context, index, animation) {\n    return SlideTransition(\n      key: ValueKey(items[index].id),\n      position: animation.drive(Tween(begin: Offset(1, 0), end: Offset.zero)),\n      child: ItemWidget(item: items[index]),\n    );\n  },\n)","Dismissible(\n  key: Key(index.toString()), // Index changes when list reorders!\n  child: ListTile(...),\n)\n// OR no key at all on dynamic lists",https://api.flutter.dev/flutter/foundation/Key-class.html
10,Lifecycle Management,"lifecycle,dispose,init,deactivate,observer,applifecycle",Properly manage widget and app lifecycle events,"Implement dispose for controllers; use WidgetsBindingObserver for app lifecycle; cancel subscriptions","Forget to dispose; ignore app background/foreground events; leak listeners","class _HomeScreenState extends State<HomeScreen> with WidgetsBindingObserver {\n  late final ScrollController _scrollController;\n  late final StreamSubscription _authSub;\n  \n  @override\n  void initState() {\n    super.initState();\n    WidgetsBinding.instance.addObserver(this);\n    _scrollController = ScrollController();\n    _authSub = authBloc.stream.listen(_onAuthChange);\n  }\n  \n  @override\n  void didChangeAppLifecycleState(AppLifecycleState state) {\n    if (state == AppLifecycleState.paused) _saveScrollPosition();\n  }\n  \n  @override\n  void dispose() {\n    WidgetsBinding.instance.removeObserver(this);\n    _scrollController.dispose();\n    _authSub.cancel();\n    super.dispose();\n  }\n}","class _State extends State<MyWidget> {\n  void initState() {\n    stream.listen((data) { ... }); // Never cancelled!\n    ScrollController(); // Never disposed!\n  }\n}",https://api.flutter.dev/flutter/widgets/State-class.html
