No,Architecture,Keywords,Description,Structure,When To Use,When Not To Use,Example Packages,Key Principles
1,MVC (Laravel Standard),"mvc,model view controller,laravel,standard,classic",Model-View-Controller separating data (Model) presentation (View) and logic (Controller). Laravel's default architecture,"app/Http/Controllers/ — Controllers\napp/Models/ — Eloquent Models\nresources/views/ — Blade Views\nroutes/web.php — Web Routes\nroutes/api.php — API Routes\ndatabase/migrations/ — Schema\ntests/ — Tests",Most Laravel web applications; CRUD apps; rapid development; prototypes,Large enterprise apps with complex business logic that doesn't fit in controllers or models,"laravel/laravel,laravel/framework","Thin controllers; fat models or services; convention over configuration"
2,Service Layer Architecture,"service layer,service class,business logic,thin controller,laravel",Adds a Service layer between Controllers and Models for business logic. Controllers delegate to services,"app/Http/Controllers/ — HTTP handling only\napp/Services/ — Business logic\napp/Models/ — Data access\napp/DTOs/ — Data Transfer Objects\napp/Exceptions/ — Domain exceptions\ntests/Unit/Services/ — Service tests",When business logic is too complex for controllers; when logic is shared across controllers,Simple CRUD with no business rules beyond validation,"laravel/laravel,lorisleiva/laravel-actions","Single Responsibility; controllers only handle HTTP; services are framework-agnostic"
3,Repository Pattern Architecture,"repository,data access,interface,eloquent abstraction,testable",Abstracts data access behind repository interfaces. Services depend on repositories not Eloquent directly,"app/Http/Controllers/\napp/Services/\napp/Repositories/Interfaces/ — Repository contracts\napp/Repositories/Eloquent/ — Eloquent implementations\napp/Models/\napp/Providers/RepositoryServiceProvider.php — Bindings",When you might switch ORMs; for highly testable code; when data access logic is complex,Small projects where Eloquent alone is sufficient; when you only have simple CRUD queries,"laravel/laravel,doctrine/orm","Depend on abstractions; repository per aggregate root; service layer above repositories"
4,Domain-Driven Design (DDD),"ddd,domain,bounded context,aggregate,entity,value object",Organize code around business domains with rich domain models. Bounded contexts isolate domain logic,"src/\n  Domain/\n    Order/\n      Models/Order.php — Aggregate Root\n      Models/OrderItem.php — Entity\n      ValueObjects/Money.php\n      Events/OrderPlaced.php\n      Repositories/OrderRepositoryInterface.php\n      Services/OrderService.php\n      Exceptions/InsufficientStockException.php\n    User/\n      Models/User.php\n      ValueObjects/Email.php\n  Application/\n    Order/Commands/ — Use Cases\n    Order/Handlers/\n  Infrastructure/\n    Persistence/EloquentOrderRepository.php\n    External/StripePaymentGateway.php",Complex business domains; enterprise apps; when business logic is the core differentiator,Simple CRUD apps; prototypes; when the team is unfamiliar with DDD concepts,"spatie/laravel-event-sourcing,laravel/laravel","Ubiquitous language; bounded contexts; aggregates guard invariants; value objects for immutability"
5,Hexagonal Architecture (Ports & Adapters),"hexagonal,ports,adapters,clean,framework agnostic",Core business logic has no framework dependencies. Ports define interfaces; adapters implement them,"src/\n  Domain/ — Pure PHP business logic\n    Ports/\n      In/CreateOrderUseCase.php — Driving port\n      Out/OrderRepositoryPort.php — Driven port\n      Out/PaymentGatewayPort.php — Driven port\n    Models/\n    Services/\n  Infrastructure/\n    Adapters/\n      In/Http/OrderController.php — HTTP adapter\n      In/Console/ImportCommand.php — CLI adapter\n      Out/Persistence/EloquentOrderRepository.php\n      Out/Payment/StripeAdapter.php",When framework independence matters; for long-lived enterprise systems; when you need to swap adapters,Small apps where framework coupling is acceptable; rapid prototyping,"laravel/laravel,spiral/framework","Domain has zero framework imports; all I/O goes through ports; adapters are interchangeable"
6,Clean Architecture,"clean,uncle bob,use case,entity,interactor",Concentric layers with dependencies pointing inward. Entities at center use cases around them,"src/\n  Entities/ — Business objects (no framework deps)\n  UseCases/ — Application business rules\n    CreateOrder/\n      CreateOrderRequest.php\n      CreateOrderResponse.php\n      CreateOrderInteractor.php\n  InterfaceAdapters/ — Controllers Presenters Gateways\n  Frameworks/ — Laravel Eloquent external libs\ntests/\n  Unit/UseCases/",When strict separation of concerns is critical; for highly testable systems,When the overhead of many layers is not justified; small teams with simple apps,"laravel/laravel","Dependency rule: inner layers know nothing about outer; use cases orchestrate entities"
7,CQRS,"cqrs,command,query,segregation,read model,write model",Separate the read (query) and write (command) models for different optimization strategies,"app/\n  Commands/\n    CreateOrderCommand.php\n    CreateOrderHandler.php\n  Queries/\n    GetOrderQuery.php\n    GetOrderHandler.php\n  ReadModels/ — Denormalized for fast reads\n  WriteModels/ — Normalized for consistency",When read and write performance requirements differ significantly; for event sourcing,Simple CRUD where read and write models are identical,"spatie/laravel-event-sourcing,illuminate/bus","Commands mutate state; queries read state; separate optimization per side"
8,Modular Monolith,"modular,monolith,module,bounded context,self contained",Organize a monolith into independent modules with clear boundaries. Each module has its own models services and routes,"modules/\n  Order/\n    Config/\n    Routes/api.php\n    Http/Controllers/\n    Models/\n    Services/\n    Database/Migrations/\n    Tests/\n  User/\n    Config/\n    Routes/api.php\n    Http/Controllers/\n    Models/\n    Services/\n    Database/Migrations/\n    Tests/\napp/ — Shared kernel",When you want microservice benefits with monolith simplicity; preparing for future extraction; large teams,Small apps; when modules don't have clear boundaries,"nwidart/laravel-modules,laravel/laravel","Modules communicate via interfaces not direct model access; shared kernel for cross-cutting"
9,Microservices,"microservice,distributed,api gateway,service mesh,independent deploy",Each business capability is a separate deployable service communicating via APIs or message queues,"service-order/\n  app/ — Full Laravel app\n  Dockerfile\n  docker-compose.yml\nservice-user/\n  app/ — Full Laravel app\n  Dockerfile\nservice-payment/\n  app/ — Full Symfony app\n  Dockerfile\ngateway/\n  nginx.conf — API Gateway",Very large teams; independent scaling requirements; polyglot technology needs,Small teams; when network complexity outweighs benefits; when you need strong consistency,"laravel/octane,roadrunner-server/roadrunner","Each service owns its data; async communication preferred; API gateway for routing"
10,API-First Architecture,"api first,openapi,contract,rest,json api",Design the API contract first then implement. All clients consume the same API,"routes/api.php — API routes\napp/Http/Controllers/Api/V1/ — Versioned controllers\napp/Http/Resources/ — JSON Resources\napp/Http/Requests/ — Validation\nopenapi.yaml — API specification\napp/Http/Middleware/ — Auth rate-limit CORS\ntests/Feature/Api/ — API tests",SPA backends; mobile app backends; third-party API providers,Server-rendered apps where Blade templates are primary; internal tools,"laravel/laravel,knuckleswtf/scribe","API versioning; consistent response format; OpenAPI spec as source of truth"
