No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,State Management,Use React Hooks and Context,Manage state with useState useReducer useContext and external libraries like Zustand or Redux Toolkit,"Use useState for local; useReducer for complex; Context for shared; Zustand/RTK for global","Use class components; prop drill through 10+ layers; use multiple state management libraries","const useAuth = create((set) => ({\n  user: null,\n  login: async (email, pass) => {\n    const user = await authApi.login(email, pass);\n    set({ user });\n  },\n  logout: () => set({ user: null }),\n}));\n\n// Component\nfunction Profile() {\n  const user = useAuth(s => s.user);\n  return <Text>{user?.name}</Text>;\n}","class MyComponent extends React.Component {\n  constructor(props) {\n    super(props);\n    this.state = { user: null };\n  }\n  // Class components are outdated\n}",High,https://react.dev/reference/react
2,Navigation,Use React Navigation 6+,Set up typed navigation with React Navigation including deep linking and auth flows,"Define typed navigation params; use navigation guards; handle deep links; use nested navigators","Pass untyped params; use string-based navigation; forget to handle auth state changes","const Stack = createNativeStackNavigator<RootStackParamList>();\n\ntype RootStackParamList = {\n  Home: undefined;\n  Product: { productId: string };\n  Profile: { userId: string };\n};\n\nfunction App() {\n  const { user } = useAuth();\n  return (\n    <NavigationContainer linking={linkingConfig}>\n      <Stack.Navigator>\n        {user ? (\n          <Stack.Screen name='Home' component={HomeScreen} />\n        ) : (\n          <Stack.Screen name='Login' component={LoginScreen} />\n        )}\n      </Stack.Navigator>\n    </NavigationContainer>\n  );\n}","navigation.navigate('Product', { id: 123 });\n// No TypeScript types, no auth guard",Medium,https://reactnavigation.org
3,Performance,Optimize Re-renders with Memoization,Use React.memo useMemo and useCallback to prevent unnecessary re-renders,"Wrap expensive components in memo; memoize computed values; use useCallback for stable refs","Over-memoize everything; useMemo for simple values; use inline functions in render","const ProductCard = React.memo(({ product, onPress }) => {\n  return (\n    <Pressable onPress={onPress}>\n      <Text>{product.name}</Text>\n    </Pressable>\n  );\n});\n\nfunction ProductList({ products }) {\n  const sortedProducts = useMemo(\n    () => products.sort((a, b) => a.price - b.price),\n    [products]\n  );\n  const handlePress = useCallback((id) => navigate('Product', { id }), []);\n  return <FlatList data={sortedProducts} renderItem={...} />;\n}","function ProductList({ products }) {\n  // Sort on every render\n  const sorted = products.sort(...);\n  // New function on every render\n  return <FlatList renderItem={({item}) => <Card onPress={() => nav(item.id)} />} />;\n}",High,https://react.dev/reference/react/memo
4,Styling,Use StyleSheet and Design Tokens,Create styles with StyleSheet.create and centralize design tokens for consistency,"Use StyleSheet.create; define spacing/color/typography tokens; use themed styles","Use inline styles; hardcode values; pass style objects without StyleSheet","const tokens = {\n  spacing: { xs: 4, sm: 8, md: 16, lg: 24, xl: 32 },\n  colors: { primary: '#1A73E8', text: '#1F1F1F', surface: '#FFFFFF' },\n  radius: { sm: 4, md: 8, lg: 16 },\n};\n\nconst styles = StyleSheet.create({\n  card: {\n    padding: tokens.spacing.md,\n    borderRadius: tokens.radius.md,\n    backgroundColor: tokens.colors.surface,\n  },\n});","<View style={{ padding: 16, backgroundColor: 'white', borderRadius: 8 }}>\n  // Inline style - no optimization, no consistency\n</View>",Medium,https://reactnative.dev/docs/stylesheet
5,Native Modules,Use Turbo Modules for Native Bridge,Use the New Architecture Turbo Modules for type-safe efficient native bridge communication,"Use codegen with Turbo Modules; define specs in TypeScript; handle errors on native side","Use legacy NativeModules; bridge large data synchronously; forget error handling","// NativeDeviceInfo.ts (spec)\nimport type { TurboModule } from 'react-native';\nimport { TurboModuleRegistry } from 'react-native';\n\nexport interface Spec extends TurboModule {\n  getDeviceId(): Promise<string>;\n  getBatteryLevel(): Promise<number>;\n}\n\nexport default TurboModuleRegistry.getEnforcing<Spec>('DeviceInfo');","// Legacy approach\nimport { NativeModules } from 'react-native';\nconst { DeviceInfo } = NativeModules;\nconst id = await DeviceInfo.getDeviceId();\n// No type safety, no error handling",Medium,https://reactnative.dev/docs/turbo-native-modules-introduction
6,Lists,Use FlashList for Large Lists,Replace FlatList with FlashList for significantly better list scrolling performance,"Use FlashList with estimatedItemSize; use keyExtractor; avoid anonymous renderItem","Use ScrollView with map for lists; use FlatList without keys; nest VirtualizedLists","import { FlashList } from '@shopify/flash-list';\n\nfunction ProductList({ products }) {\n  return (\n    <FlashList\n      data={products}\n      estimatedItemSize={80}\n      keyExtractor={item => item.id}\n      renderItem={({ item }) => <ProductCard product={item} />}\n      onEndReached={loadMore}\n      onEndReachedThreshold={0.5}\n    />\n  );\n}","<ScrollView>\n  {products.map(p => <ProductCard key={p.id} product={p} />)}\n</ScrollView>\n// All items rendered at once - terrible for 1000+ items",High,https://shopify.github.io/flash-list/
7,Error Handling,Use Error Boundaries,Catch rendering errors with Error Boundaries to prevent full app crashes,"Wrap screens with ErrorBoundary; show fallback UI; report errors to crash analytics","Let errors crash the entire app; use try-catch in render methods","class ErrorBoundary extends React.Component {\n  state = { hasError: false };\n  \n  static getDerivedStateFromError() { return { hasError: true }; }\n  \n  componentDidCatch(error, errorInfo) {\n    Sentry.captureException(error, { extra: errorInfo });\n  }\n  \n  render() {\n    if (this.state.hasError) {\n      return <ErrorFallback onRetry={() => this.setState({ hasError: false })} />;\n    }\n    return this.props.children;\n  }\n}","// No error boundary\n// One component error crashes entire app\n// User sees blank white screen",High,https://react.dev/reference/react/Component#catching-rendering-errors-with-an-error-boundary
8,Testing,Use Jest and React Native Testing Library,Test components with RNTL focusing on user behavior not implementation details,"Test what user sees and does; use getByRole/getByText; mock native modules","Test implementation details; snapshot test everything; skip interaction tests","import { render, fireEvent } from '@testing-library/react-native';\n\ntest('adds product to cart', async () => {\n  const { getByText, getByRole } = render(\n    <ProductScreen product={mockProduct} />\n  );\n  \n  expect(getByText('$29.99')).toBeTruthy();\n  fireEvent.press(getByRole('button', { name: 'Add to Cart' }));\n  expect(getByText('Added!')).toBeTruthy();\n});","// Snapshot only\ntest('renders', () => {\n  const tree = renderer.create(<ProductScreen />).toJSON();\n  expect(tree).toMatchSnapshot();\n  // Brittle, doesn't test behavior\n});",Medium,https://callstack.github.io/react-native-testing-library/
9,TypeScript,Use Strict TypeScript,Enable strict TypeScript for type safety across the entire codebase,"Enable strict mode; type all props and state; use discriminated unions for state","Use any; disable strict checks; use JavaScript files in RN project","// tsconfig.json\n{ \"compilerOptions\": { \"strict\": true, \"noUncheckedIndexedAccess\": true } }\n\n// Typed props\ninterface ProductCardProps {\n  product: Product;\n  onAddToCart: (product: Product) => void;\n  variant?: 'compact' | 'full';\n}\n\nfunction ProductCard({ product, onAddToCart, variant = 'full' }: ProductCardProps) { ... }","function ProductCard({ product, onAddToCart }: any) {\n  // No type safety at all\n  return <Text>{product.nme}</Text>; // Typo not caught\n}",High,https://reactnative.dev/docs/typescript
10,Animations,Use Reanimated for Performant Animations,Use react-native-reanimated for 60fps animations running on UI thread,"Use useAnimatedStyle; run on UI thread with worklets; use shared values","Use Animated API for complex animations; animate on JS thread; use setState for animations","import Animated, { useSharedValue, useAnimatedStyle, withSpring } from 'react-native-reanimated';\n\nfunction AnimatedCard() {\n  const scale = useSharedValue(1);\n  const animatedStyle = useAnimatedStyle(() => ({\n    transform: [{ scale: scale.value }],\n  }));\n  \n  return (\n    <Pressable onPressIn={() => { scale.value = withSpring(0.95); }}\n               onPressOut={() => { scale.value = withSpring(1); }}>\n      <Animated.View style={animatedStyle}>{...}</Animated.View>\n    </Pressable>\n  );\n}","// JS thread animation - janky\nAnimated.timing(scale, { toValue: 0.95, useNativeDriver: false }).start();\n// useNativeDriver: false = runs on JS thread = jank",Medium,https://docs.swmansion.com/react-native-reanimated/
