No,Pattern Name,Category,Keywords,Description,When To Use,When Not To Use,Code Example,Anti-Pattern,Complexity,Performance Impact,Common Packages,Docs URL
1,Functional Options,Creational,"functional options,config,WithX,option pattern","Configurable constructors using variadic function arguments that modify a config struct","When a struct has many optional parameters; when you want clean API for configuration","When only 1-2 simple parameters; when configuration is always required","type Option func(*Server)\nfunc WithPort(port int) Option {\n    return func(s *Server) { s.port = port }\n}\nfunc WithTimeout(d time.Duration) Option {\n    return func(s *Server) { s.timeout = d }\n}\nfunc NewServer(opts ...Option) *Server {\n    s := &Server{port: 8080, timeout: 30 * time.Second}\n    for _, opt := range opts {\n        opt(s)\n    }\n    return s\n}\nsrv := NewServer(WithPort(9090), WithTimeout(5*time.Second))","func NewServer(port int, timeout time.Duration, maxConn int, tls bool, logger *log.Logger) *Server { ... } // Too many positional params",Medium,None,"net/http,google.golang.org/grpc",https://go.dev/blog/self-referential-functions-and-the-design-of-apis
2,Factory Function,Creational,"factory,constructor,NewX,initialization","Constructor function that returns a new instance with validation and default values","When you need validation at creation time; when zero value is not useful","When zero value of the struct is already useful","func NewUser(name string, email string) (*User, error) {\n    if name == """" {\n        return nil, errors.New(""name is required"")\n    }\n    if !strings.Contains(email, ""@"") {\n        return nil, errors.New(""invalid email"")\n    }\n    return &User{Name: name, Email: email, CreatedAt: time.Now()}, nil\n}","u := User{} // Skipping validation, zero value may be invalid",Low,None,stdlib,https://go.dev/doc/effective_go#composite_literals
3,Singleton (sync.Once),Creational,"singleton,sync.Once,lazy init,global instance","Thread-safe lazy initialization of a single instance using sync.Once","When exactly one instance must exist (DB pool, logger); when initialization is expensive","When testing requires different instances; when you need multiple configurations","var (\n    instance *Database\n    once     sync.Once\n)\nfunc GetDB() *Database {\n    once.Do(func() {\n        instance = &Database{}\n        instance.connect()\n    })\n    return instance\n}","var db = connectDB() // Eager init, fails if DB unavailable at startup\n// Or using mutex: mu.Lock(); if db == nil { db = connect() }; mu.Unlock()",Low,None,sync,https://pkg.go.dev/sync#Once
4,Builder (Method Chaining),Creational,"builder,method chaining,fluent api,step by step","Construct complex objects step by step using method chaining","When object construction has many steps; when you want readable construction code","When simple constructor or functional options suffice","type QueryBuilder struct {\n    table   string\n    wheres  []string\n    orderBy string\n    limit   int\n}\nfunc NewQuery(table string) *QueryBuilder {\n    return &QueryBuilder{table: table}\n}\nfunc (q *QueryBuilder) Where(cond string) *QueryBuilder {\n    q.wheres = append(q.wheres, cond)\n    return q\n}\nfunc (q *QueryBuilder) OrderBy(field string) *QueryBuilder {\n    q.orderBy = field\n    return q\n}\nfunc (q *QueryBuilder) Limit(n int) *QueryBuilder {\n    q.limit = n\n    return q\n}\nquery := NewQuery(""users"").Where(""age > 18"").OrderBy(""name"").Limit(10)","Constructing complex SQL as raw string concatenation",Medium,None,stdlib,https://go.dev/doc/effective_go#methods
5,Constructor with Validation,Creational,"constructor,validation,NewX,invariant","Factory function that enforces invariants at creation time","When struct has required fields or constraints; when invalid state should be impossible","When all fields are optional or zero value is valid","type EmailAddress struct {\n    value string\n}\nfunc NewEmailAddress(email string) (EmailAddress, error) {\n    if !strings.Contains(email, ""@"") {\n        return EmailAddress{}, fmt.Errorf(""invalid email: %s"", email)\n    }\n    return EmailAddress{value: strings.ToLower(email)}, nil\n}\nfunc (e EmailAddress) String() string { return e.value }","type EmailAddress string // No validation, anyone can create invalid email",Low,None,stdlib,https://go.dev/doc/effective_go#composite_literals
6,Middleware / Decorator,Structural,"middleware,decorator,http.Handler,wrapping,chain","Wrapping http.Handler to add cross-cutting concerns like logging, auth, CORS","For cross-cutting concerns in HTTP servers; for adding behavior without modifying handlers","When behavior is specific to a single handler; when it adds too much complexity","func LoggingMiddleware(next http.Handler) http.Handler {\n    return http.HandlerFunc(func(w http.ResponseWriter, r *http.Request) {\n        start := time.Now()\n        next.ServeHTTP(w, r)\n        slog.Info(""request"",\n            ""method"", r.Method,\n            ""path"", r.URL.Path,\n            ""duration"", time.Since(start),\n        )\n    })\n}\nhttp.Handle(""/"", LoggingMiddleware(AuthMiddleware(myHandler)))","Putting logging/auth logic directly inside every handler function",Medium,Low,"net/http,log/slog",https://go.dev/doc/effective_go#interface_methods
7,Adapter,Structural,"adapter,wrapper,convert,interface compatibility","Convert one interface to another to make incompatible types work together","When integrating third-party code with your interfaces; when wrapping legacy APIs","When types already satisfy the required interface","type LegacyPrinter struct{}\nfunc (l *LegacyPrinter) PrintStored(msg string) { fmt.Println(""Legacy: "" + msg) }\n\ntype Printer interface { Print(msg string) }\n\ntype PrinterAdapter struct {\n    legacy *LegacyPrinter\n}\nfunc (a *PrinterAdapter) Print(msg string) {\n    a.legacy.PrintStored(msg)\n}\nfunc NewPrinterAdapter(l *LegacyPrinter) Printer {\n    return &PrinterAdapter{legacy: l}\n}","Modifying the legacy code directly to match your interface",Medium,None,stdlib,https://go.dev/doc/effective_go#interfaces
8,Facade,Structural,"facade,simplify,aggregate,unified api","Provide a simplified interface to a complex subsystem","When a subsystem has many components that are used together; when simplifying API for consumers","When the subsystem is already simple; when callers need fine-grained control","type OrderFacade struct {\n    inventory *InventoryService\n    payment   *PaymentService\n    shipping  *ShippingService\n}\nfunc (f *OrderFacade) PlaceOrder(ctx context.Context, order Order) error {\n    if err := f.inventory.Reserve(ctx, order.Items); err != nil {\n        return fmt.Errorf(""inventory: %w"", err)\n    }\n    if err := f.payment.Charge(ctx, order.Total); err != nil {\n        return fmt.Errorf(""payment: %w"", err)\n    }\n    return f.shipping.Schedule(ctx, order.Address)\n}","Requiring callers to coordinate inventory, payment, and shipping themselves",Medium,None,stdlib,https://go.dev/doc/effective_go#embedding
9,Embedding (Composition),Structural,"embedding,composition,struct embedding,promotion","Compose types by embedding structs/interfaces to promote methods","When you want to reuse behavior without inheritance; when extending types with additional methods","When you need to hide the embedded type's methods; when it creates confusing method sets","type Base struct {\n    ID        int\n    CreatedAt time.Time\n}\ntype User struct {\n    Base\n    Name  string\n    Email string\n}\nu := User{Base: Base{ID: 1, CreatedAt: time.Now()}, Name: ""Alice""}\nfmt.Println(u.ID) // Promoted field access","type User struct {\n    id        int\n    createdAt time.Time\n    name      string\n} // Duplicating fields across many structs",Low,None,stdlib,https://go.dev/doc/effective_go#embedding
10,Interface Segregation,Structural,"interface segregation,small interface,single method,focused","Keep interfaces small and focused on a single responsibility","Always in Go — prefer 1-3 method interfaces; when consumers only need part of functionality","Rarely — Go idiom strongly favors small interfaces","type Reader interface { Read(p []byte) (n int, err error) }\ntype Writer interface { Write(p []byte) (n int, err error) }\ntype ReadWriter interface {\n    Reader\n    Writer\n}\n// Consumer only asks for what it needs:\nfunc Process(r Reader) error {\n    buf := make([]byte, 1024)\n    _, err := r.Read(buf)\n    return err\n}","type FileManager interface {\n    Read(p []byte) (int, error)\n    Write(p []byte) (int, error)\n    Close() error\n    Seek(offset int64, whence int) (int64, error)\n    Stat() (os.FileInfo, error)\n} // Too many methods",Low,None,"io,net/http",https://go.dev/doc/effective_go#interfaces_and_types
