No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Router,Use typed extractors for request parsing,"Axum extractors automatically parse path parameters, query strings, JSON bodies, and headers with type safety","Use Path<T>, Query<T>, Json<T>, Extension<T> extractors; derive Deserialize for types","Manually parse request body or query strings; use raw string matching for path params","use axum::extract::{Path, Query, Json, State};\nuse serde::Deserialize;\n\n#[derive(Deserialize)]\nstruct Pagination {\n    page: Option<u32>,\n    per_page: Option<u32>,\n}\n\nasync fn get_user(\n    Path(id): Path<u64>,\n    Query(pagination): Query<Pagination>,\n    State(db): State<PgPool>,\n) -> Result<Json<User>, AppError> {\n    let user = sqlx::query_as!(User, ""SELECT * FROM users WHERE id = $1"", id as i64)\n        .fetch_one(&db).await?;\n    Ok(Json(user))\n}","async fn get_user(req: Request<Body>) -> Response {\n    let path = req.uri().path();\n    let id: u64 = path.split('/').last().unwrap().parse().unwrap();\n    // manual parsing, no validation, panics on bad input\n}",Critical,https://docs.rs/axum/latest/axum/extract/index.html
2,Router,Organize routes with Router::nest,"Group related routes under a common prefix using Router::nest for clean API organization","Use nest for API versioning and resource grouping; merge routers from different modules","Define all routes in a single flat router; duplicate path prefixes","let app = Router::new()\n    .nest(""/api/v1"", api_v1_routes())\n    .nest(""/api/v2"", api_v2_routes())\n    .nest(""/admin"", admin_routes());\n\nfn api_v1_routes() -> Router {\n    Router::new()\n        .route(""/users"", get(list_users).post(create_user))\n        .route(""/users/:id"", get(get_user).put(update_user).delete(delete_user))\n}","let app = Router::new()\n    .route(""/api/v1/users"", get(list_users))\n    .route(""/api/v1/users/:id"", get(get_user))\n    .route(""/api/v1/orders"", get(list_orders))\n    .route(""/api/v1/orders/:id"", get(get_order))\n    // repeated prefix, hard to maintain\n;",High,https://docs.rs/axum/latest/axum/struct.Router.html#method.nest
3,State,Share application state with State extractor,"Use State<T> to share application state (DB pool, config) across handlers. State is Arc-wrapped internally","Put shared state in a struct; use State<AppState> extractor; derive Clone for the state type","Use global statics for state; clone pools in every handler; pass state through extension layers","#[derive(Clone)]\nstruct AppState {\n    db: PgPool,\n    redis: redis::Client,\n    config: Arc<Config>,\n}\n\nlet state = AppState {\n    db: PgPool::connect(&db_url).await?,\n    redis: redis::Client::open(redis_url)?,\n    config: Arc::new(config),\n};\n\nlet app = Router::new()\n    .route(""/users"", get(list_users))\n    .with_state(state);\n\nasync fn list_users(State(state): State<AppState>) -> Result<Json<Vec<User>>, AppError> {\n    let users = sqlx::query_as!(User, ""SELECT * FROM users"")\n        .fetch_all(&state.db).await?;\n    Ok(Json(users))\n}","static DB: OnceLock<PgPool> = OnceLock::new();\n\nasync fn list_users() -> Json<Vec<User>> {\n    let db = DB.get().unwrap(); // global state, hard to test\n}",Critical,https://docs.rs/axum/latest/axum/extract/struct.State.html
4,Error Handling,Implement IntoResponse for errors,"Create a custom error type that implements IntoResponse to return structured JSON errors with proper HTTP status codes","Map domain errors to HTTP status codes; log internal errors; never expose internal details to clients","Return plain text errors; expose database error messages; use StatusCode alone without body","use axum::{response::{IntoResponse, Response}, http::StatusCode, Json};\n\nenum AppError {\n    NotFound(String),\n    BadRequest(String),\n    Internal(anyhow::Error),\n}\n\nimpl IntoResponse for AppError {\n    fn into_response(self) -> Response {\n        let (status, message) = match self {\n            AppError::NotFound(msg) => (StatusCode::NOT_FOUND, msg),\n            AppError::BadRequest(msg) => (StatusCode::BAD_REQUEST, msg),\n            AppError::Internal(err) => {\n                tracing::error!(""Internal error: {err:?}"");\n                (StatusCode::INTERNAL_SERVER_ERROR, ""Internal server error"".into())\n            }\n        };\n        (status, Json(serde_json::json!({ ""error"": message }))).into_response()\n    }\n}","async fn get_user(Path(id): Path<u64>) -> Result<Json<User>, String> {\n    find_user(id).await.map(Json)\n        .map_err(|e| format!(""Database error: {e}""))\n    // exposes DB details; returns 500 with plain text\n}",Critical,https://docs.rs/axum/latest/axum/response/trait.IntoResponse.html
5,Middleware,Use Tower layers for middleware,"Axum is built on Tower; use tower::ServiceBuilder and tower-http for standard middleware","Chain layers with ServiceBuilder; apply middleware to specific route groups; use tower-http for CORS, compression, tracing","Write middleware from scratch for common needs; apply all middleware globally when some should be route-specific","use tower_http::{cors::CorsLayer, trace::TraceLayer, compression::CompressionLayer};\nuse tower::ServiceBuilder;\n\nlet app = Router::new()\n    .route(""/api/users"", get(list_users))\n    .layer(\n        ServiceBuilder::new()\n            .layer(TraceLayer::new_for_http())\n            .layer(CompressionLayer::new())\n            .layer(CorsLayer::permissive())\n    );","let app = Router::new()\n    .route(""/api/users"", get(list_users));\n// no middleware: no logging, no CORS, no compression\n// or: custom hand-written CORS middleware",High,https://docs.rs/axum/latest/axum/middleware/index.html
6,Middleware,Write custom middleware with axum::middleware::from_fn,"Create custom middleware functions that have access to request, next, and state","Use from_fn for simple middleware; use from_fn_with_state for state-dependent middleware; call next.run(req).await","Block inside middleware; forget to call next.run(); modify response body without updating content-length","use axum::middleware::{self, Next};\nuse axum::extract::Request;\n\nasync fn auth_middleware(\n    State(state): State<AppState>,\n    mut req: Request,\n    next: Next,\n) -> Result<Response, AppError> {\n    let token = req.headers().get(""authorization"")\n        .and_then(|v| v.to_str().ok())\n        .ok_or(AppError::Unauthorized)?;\n    let user = verify_token(&state.db, token).await?;\n    req.extensions_mut().insert(user);\n    Ok(next.run(req).await)\n}\n\nlet app = Router::new()\n    .route(""/protected"", get(protected_handler))\n    .layer(middleware::from_fn_with_state(state.clone(), auth_middleware));","async fn auth_middleware(req: Request, next: Next) -> Response {\n    let token = req.headers().get(""authorization"");\n    if token.is_none() {\n        return StatusCode::UNAUTHORIZED.into_response();\n    }\n    // no token validation, just existence check\n    next.run(req).await\n}",High,https://docs.rs/axum/latest/axum/middleware/fn.from_fn.html
7,Validation,Validate request bodies,"Use validator crate with a custom ValidatedJson extractor to automatically validate incoming data","Create a wrapper extractor that deserializes and validates; return 400 with validation errors","Accept any input without validation; validate in the handler body instead of at the extractor level","use validator::Validate;\n\n#[derive(Deserialize, Validate)]\nstruct CreateUser {\n    #[validate(length(min = 1, max = 100))]\n    name: String,\n    #[validate(email)]\n    email: String,\n    #[validate(range(min = 1, max = 150))]\n    age: u8,\n}\n\nasync fn create_user(\n    State(db): State<PgPool>,\n    Json(input): Json<CreateUser>,\n) -> Result<Json<User>, AppError> {\n    input.validate().map_err(|e| AppError::BadRequest(e.to_string()))?;\n    // ... create user\n}","async fn create_user(\n    Json(input): Json<serde_json::Value>,\n) -> Result<Json<User>, AppError> {\n    let name = input[""name""].as_str().unwrap_or_default();\n    // manual validation, untyped, error-prone\n}",High,https://docs.rs/validator/latest/validator/
8,WebSocket,Handle WebSocket connections,"Use axum's built-in WebSocket support for real-time communication","Use ws::WebSocketUpgrade for upgrading; handle ping/pong; implement graceful shutdown for WS connections","Keep WebSocket connections alive indefinitely without heartbeat; block the handler","use axum::extract::ws::{WebSocketUpgrade, WebSocket, Message};\n\nasync fn ws_handler(ws: WebSocketUpgrade) -> impl IntoResponse {\n    ws.on_upgrade(handle_socket)\n}\n\nasync fn handle_socket(mut socket: WebSocket) {\n    while let Some(msg) = socket.recv().await {\n        match msg {\n            Ok(Message::Text(text)) => {\n                socket.send(Message::Text(format!(""echo: {text}""))).await.ok();\n            }\n            Ok(Message::Close(_)) => break,\n            _ => {}\n        }\n    }\n}","async fn ws_handler(ws: WebSocketUpgrade) -> impl IntoResponse {\n    ws.on_upgrade(|mut socket| async move {\n        loop {\n            // no timeout, no ping/pong\n            // connection stays open forever\n            let msg = socket.recv().await;\n        }\n    })\n}",Medium,https://docs.rs/axum/latest/axum/extract/ws/index.html
9,Testing,Test handlers with axum::test,"Use axum's test utilities to send mock requests and verify responses without starting a server","Use TestClient or tower::ServiceExt for testing; test both success and error paths; verify status codes and response bodies","Start a real HTTP server for unit tests; only test happy paths","use axum::body::Body;\nuse axum::http::{Request, StatusCode};\nuse tower::ServiceExt;\n\n#[tokio::test]\nasync fn test_get_user() {\n    let app = create_app(test_state()).await;\n\n    let response = app\n        .oneshot(\n            Request::builder()\n                .uri(""/api/users/1"")\n                .body(Body::empty())\n                .unwrap(),\n        )\n        .await\n        .unwrap();\n\n    assert_eq!(response.status(), StatusCode::OK);\n    let body = axum::body::to_bytes(response.into_body(), usize::MAX).await.unwrap();\n    let user: User = serde_json::from_slice(&body).unwrap();\n    assert_eq!(user.id, 1);\n}","#[tokio::test]\nasync fn test_get_user() {\n    let listener = TcpListener::bind(""127.0.0.1:0"").await.unwrap();\n    let addr = listener.local_addr().unwrap();\n    tokio::spawn(run_server(listener));\n    // starting a real server for every test is slow\n}",High,https://docs.rs/axum/latest/axum/index.html#testing
10,Streaming,Return streaming responses,"Use axum's streaming body support for large responses like file downloads or Server-Sent Events","Use StreamBody or Sse for streaming; set appropriate Content-Type; handle backpressure","Buffer entire response in memory before sending; use Vec<u8> for large files","use axum::response::sse::{Event, Sse};\nuse tokio_stream::StreamExt;\n\nasync fn sse_handler() -> Sse<impl tokio_stream::Stream<Item = Result<Event, anyhow::Error>>> {\n    let stream = tokio_stream::wrappers::IntervalStream::new(\n        tokio::time::interval(std::time::Duration::from_secs(1)),\n    )\n    .map(|_| Ok(Event::default().data(""heartbeat"")));\n\n    Sse::new(stream)\n}","async fn download() -> Vec<u8> {\n    std::fs::read(""large_file.bin"").unwrap()\n    // loads entire file into memory\n    // OOM for large files\n}",Medium,https://docs.rs/axum/latest/axum/response/sse/index.html
11,CORS,Configure CORS properly,"Use tower-http CorsLayer to configure Cross-Origin Resource Sharing for API access from browsers","Configure allowed origins, methods, and headers explicitly; use CorsLayer::permissive() only in development","Allow all origins in production; forget to include required headers; set overly long max_age","use tower_http::cors::{CorsLayer, Any};\nuse http::Method;\n\nlet cors = CorsLayer::new()\n    .allow_origin([""https://app.example.com"".parse().unwrap()])\n    .allow_methods([Method::GET, Method::POST, Method::PUT, Method::DELETE])\n    .allow_headers([http::header::CONTENT_TYPE, http::header::AUTHORIZATION])\n    .max_age(std::time::Duration::from_secs(3600));\n\nlet app = Router::new().layer(cors);","let cors = CorsLayer::permissive();\n// allows ALL origins, ALL methods, ALL headers\n// insecure in production",High,https://docs.rs/tower-http/latest/tower_http/cors/index.html
12,Graceful Shutdown,Implement graceful shutdown,"Listen for termination signals and drain in-flight requests before shutting down","Use tokio::signal for SIGTERM/SIGINT; use axum::serve with .with_graceful_shutdown(); drain connections","Call process::exit() directly; ignore shutdown signals in containers","use tokio::signal;\n\nlet listener = tokio::net::TcpListener::bind(""0.0.0.0:8080"").await?;\naxum::serve(listener, app)\n    .with_graceful_shutdown(shutdown_signal())\n    .await?;\n\nasync fn shutdown_signal() {\n    let ctrl_c = signal::ctrl_c();\n    let mut sigterm = signal::unix::signal(signal::unix::SignalKind::terminate()).unwrap();\n    tokio::select! {\n        _ = ctrl_c => {},\n        _ = sigterm.recv() => {},\n    }\n    tracing::info!(""shutdown signal received"");\n}","#[tokio::main]\nasync fn main() {\n    let listener = TcpListener::bind(""0.0.0.0:8080"").await.unwrap();\n    axum::serve(listener, app).await.unwrap();\n    // no graceful shutdown, SIGTERM kills mid-request\n}",Critical,https://docs.rs/axum/latest/axum/serve/struct.Serve.html#method.with_graceful_shutdown
13,Auth,Implement JWT authentication middleware,"Extract and verify JWT tokens in middleware; inject authenticated user into request extensions","Verify token signature and expiration; extract claims into a typed struct; use Extension for downstream access","Store secrets in code; skip token expiration checks; return detailed auth errors to unauthorized users","use jsonwebtoken::{decode, DecodingKey, Validation, Algorithm};\n\n#[derive(Debug, Deserialize, Clone)]\nstruct Claims {\n    sub: String,\n    exp: usize,\n}\n\nasync fn auth(\n    State(state): State<AppState>,\n    mut req: Request,\n    next: Next,\n) -> Result<Response, AppError> {\n    let token = req.headers()\n        .get(""authorization"")\n        .and_then(|v| v.to_str().ok())\n        .and_then(|v| v.strip_prefix(""Bearer ""))\n        .ok_or(AppError::Unauthorized)?;\n\n    let claims = decode::<Claims>(\n        token,\n        &DecodingKey::from_secret(state.config.jwt_secret.as_bytes()),\n        &Validation::new(Algorithm::HS256),\n    ).map_err(|_| AppError::Unauthorized)?.claims;\n\n    req.extensions_mut().insert(claims);\n    Ok(next.run(req).await)\n}","async fn auth(req: Request, next: Next) -> Response {\n    if req.headers().get(""authorization"").is_some() {\n        next.run(req).await // token exists = authenticated!\n        // no signature verification, no expiration check\n    } else {\n        StatusCode::UNAUTHORIZED.into_response()\n    }\n}",Critical,https://docs.rs/jsonwebtoken/latest/jsonwebtoken/
14,Rate Limiting,Add rate limiting to endpoints,"Use tower-governor or custom middleware to limit request rates per client IP or API key","Configure per-route or per-group rate limits; use sliding window or token bucket; respond with 429 and Retry-After header","Allow unlimited requests; rate limit globally instead of per-client","use tower_governor::{GovernorLayer, GovernorConfigBuilder};\n\nlet governor = GovernorConfigBuilder::default()\n    .per_second(10)\n    .burst_size(30)\n    .finish()\n    .unwrap();\n\nlet app = Router::new()\n    .route(""/api/data"", get(get_data))\n    .layer(GovernorLayer { config: governor });","let app = Router::new()\n    .route(""/api/data"", get(get_data));\n// no rate limiting\n// vulnerable to abuse and DoS",High,https://docs.rs/tower_governor/latest/tower_governor/
15,Tracing,Add request tracing integration,"Use tower-http TraceLayer for automatic request/response tracing with spans and timing","Configure TraceLayer with custom span names; include request ID; use tracing-subscriber for output formatting","Use println! for request logging; not log response times; miss error logging","use tower_http::trace::{TraceLayer, DefaultMakeSpan, DefaultOnResponse};\nuse tracing::Level;\n\nlet trace_layer = TraceLayer::new_for_http()\n    .make_span_with(DefaultMakeSpan::new().level(Level::INFO))\n    .on_response(DefaultOnResponse::new().level(Level::INFO));\n\ntracing_subscriber::fmt()\n    .with_target(false)\n    .with_env_filter(""info,tower_http=debug"")\n    .json()\n    .init();\n\nlet app = Router::new()\n    .route(""/api/users"", get(list_users))\n    .layer(trace_layer);","async fn list_users() -> Json<Vec<User>> {\n    println!(""GET /api/users""); // not structured, no timing\n    let users = db.fetch_all().await.unwrap();\n    println!(""found {} users"", users.len());\n    Json(users)\n}",High,https://docs.rs/tower-http/latest/tower_http/trace/index.html
16,File Serving,Serve static files,"Use tower-http ServeDir for serving static files with proper caching headers","Configure ServeDir with fallback; set cache headers; use compression for text assets","Implement custom file serving logic; serve files without cache headers","use tower_http::services::ServeDir;\n\nlet app = Router::new()\n    .route(""/api/data"", get(api_handler))\n    .fallback_service(\n        ServeDir::new(""static"")\n            .append_index_html_on_directories(true)\n    );","async fn serve_file(Path(name): Path<String>) -> impl IntoResponse {\n    let body = tokio::fs::read(format!(""static/{name}"")).await.unwrap();\n    body // no content-type, no caching, path traversal risk!\n}",Medium,https://docs.rs/tower-http/latest/tower_http/services/struct.ServeDir.html
17,Multipart,Handle file uploads,Use axum::extract::Multipart for file upload processing with size limits,"Set size limits; validate file types; stream to disk for large files; use DefaultBodyLimit layer","Load entire file into memory; skip content type validation; allow unlimited upload sizes","use axum::extract::Multipart;\nuse axum::extract::DefaultBodyLimit;\n\nasync fn upload(\n    mut multipart: Multipart,\n) -> Result<Json<UploadResponse>, AppError> {\n    while let Some(field) = multipart.next_field().await? {\n        let name = field.name().unwrap_or(""unknown"").to_string();\n        let content_type = field.content_type().unwrap_or(""application/octet-stream"").to_string();\n        let data = field.bytes().await?;\n        // save to storage\n    }\n    Ok(Json(UploadResponse { success: true }))\n}\n\nlet app = Router::new()\n    .route(""/upload"", post(upload))\n    .layer(DefaultBodyLimit::max(10 * 1024 * 1024)); // 10MB limit","async fn upload(body: Bytes) -> &'static str {\n    std::fs::write(""upload.bin"", &body).unwrap();\n    ""ok""\n    // no size limit, no type check, blocks async runtime\n}",High,https://docs.rs/axum/latest/axum/extract/struct.Multipart.html
18,Health Checks,Implement health and readiness endpoints,"Provide /health (liveness) and /ready (readiness) endpoints for container orchestrators","Check database connectivity in /ready; keep /health lightweight; add version info","Return 200 always regardless of system state; include sensitive info in health response","async fn health() -> StatusCode {\n    StatusCode::OK\n}\n\nasync fn ready(State(state): State<AppState>) -> Result<StatusCode, StatusCode> {\n    sqlx::query(""SELECT 1"")\n        .execute(&state.db)\n        .await\n        .map(|_| StatusCode::OK)\n        .map_err(|_| StatusCode::SERVICE_UNAVAILABLE)\n}\n\nlet app = Router::new()\n    .route(""/health"", get(health))\n    .route(""/ready"", get(ready))\n    .route(""/api/users"", get(list_users));","async fn health() -> &'static str {\n    ""ok"" // no actual health checking\n    // returns ok even when database is down\n}",High,https://docs.rs/axum/latest/axum/index.html
19,API Versioning,Version APIs with path or header,"Use path-based (/api/v1/) or header-based versioning to manage API evolution","Use Router::nest for path-based versioning; maintain backward compatibility; use Accept header for content negotiation","Change existing endpoints without versioning; mix versioning strategies","let app = Router::new()\n    .nest(""/api/v1"", v1_routes())\n    .nest(""/api/v2"", v2_routes());\n\nfn v1_routes() -> Router {\n    Router::new()\n        .route(""/users"", get(v1::list_users))\n}\n\nfn v2_routes() -> Router {\n    Router::new()\n        .route(""/users"", get(v2::list_users)) // new response format\n}","let app = Router::new()\n    .route(""/api/users"", get(list_users));\n// no versioning: any change breaks existing clients",Medium,https://docs.rs/axum/latest/axum/struct.Router.html#method.nest
