No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Schema Definition,"Define tables with pgTable, typed columns, and indexes","Use pgTable to define your database schema with strongly-typed columns, constraints, and indexes. Keep schema files modular — one file per domain entity.","Use pgTable with explicit column types and constraints; add indexes for frequently queried columns","Dont use raw SQL strings for schema; dont skip NOT NULL constraints on required fields","import { pgTable, serial, varchar, timestamp, integer, index, uniqueIndex } from 'drizzle-orm/pg-core';

export const users = pgTable('users', {
  id: serial('id').primaryKey(),
  email: varchar('email', { length: 255 }).notNull(),
  name: varchar('name', { length: 100 }).notNull(),
  age: integer('age'),
  createdAt: timestamp('created_at').defaultNow().notNull(),
  updatedAt: timestamp('updated_at').defaultNow().notNull(),
}, (table) => ({
  emailIdx: uniqueIndex('users_email_idx').on(table.email),
  nameIdx: index('users_name_idx').on(table.name),
}));","import { pgTable, serial, varchar } from 'drizzle-orm/pg-core';

// Bad: no indexes, no constraints, no timestamps
const users = pgTable('users', {
  id: serial('id'),
  email: varchar('email'),
  name: varchar('name'),
});",error,https://orm.drizzle.team/docs/sql-schema-declaration
2,Client Setup,"Initialize drizzle with a pg Pool connection","Create a single drizzle client instance using a PostgreSQL connection pool. Export it for reuse across your application. Never create multiple drizzle instances.","Create one drizzle instance with a connection pool; export it as a singleton","Dont create a new drizzle client per request; dont use a single connection instead of a pool","import { drizzle } from 'drizzle-orm/node-postgres';
import { Pool } from 'pg';
import * as schema from './schema';

const pool = new Pool({
  connectionString: process.env.DATABASE_URL,
  max: 20,
  idleTimeoutMillis: 30000,
  connectionTimeoutMillis: 5000,
});

export const db = drizzle(pool, { schema, logger: process.env.NODE_ENV === 'development' });","import { drizzle } from 'drizzle-orm/node-postgres';
import { Client } from 'pg';

// Bad: single connection, no pool, no schema, created inline
export function getDb() {
  const client = new Client(process.env.DATABASE_URL);
  client.connect();
  return drizzle(client);
}",error,https://orm.drizzle.team/docs/get-started-postgresql
3,Select Queries,"Use db.select().from() for type-safe queries","Build SELECT queries using the fluent query builder. Use .select() with specific columns to avoid fetching unnecessary data. Chain .where() for filtering.","Select only needed columns; use the query builder for type safety","Dont select all columns when you only need a few; dont build queries with string concatenation","import { eq } from 'drizzle-orm';
import { db } from './db';
import { users } from './schema';

// Select specific columns
const userEmails = await db
  .select({
    id: users.id,
    email: users.email,
  })
  .from(users)
  .where(eq(users.age, 25));

// Select all columns when needed
const allUsers = await db.select().from(users);","import { db } from './db';
import { users } from './schema';

// Bad: using raw query when builder works fine
const result = await db.execute(
  `SELECT * FROM users WHERE age = 25`
);

// Bad: no type safety, no parameterization
const name = userInput;
const bad = await db.execute(`SELECT * FROM users WHERE name = '${name}'`);",warning,https://orm.drizzle.team/docs/select
4,Insert Operations,"Use db.insert(table).values() with returning()","Insert rows using the type-safe .insert().values() method. Always use .returning() when you need the inserted row back. Use the inferred insert type for input validation.","Use .returning() to get inserted data; validate input types with InferInsertModel","Dont manually construct INSERT SQL; dont skip returning() when you need the new row","import { db } from './db';
import { users } from './schema';
import type { InferInsertModel } from 'drizzle-orm';

type NewUser = InferInsertModel<typeof users>;

async function createUser(data: NewUser) {
  const [inserted] = await db
    .insert(users)
    .values({
      email: data.email,
      name: data.name,
      age: data.age,
    })
    .returning();

  return inserted;
}","import { db } from './db';
import { users } from './schema';

// Bad: no returning, no type safety, manual SQL
async function createUser(data: any) {
  await db.insert(users).values(data);
  // Now you have to do a separate query to get the inserted row
  const user = await db.select().from(users).where(eq(users.email, data.email));
  return user[0];
}",error,https://orm.drizzle.team/docs/insert
5,Update Operations,"Use db.update(table).set().where() with returning()","Update rows using the fluent .update().set().where() chain. Always include a .where() clause to avoid updating all rows. Use .returning() to confirm changes.","Always include a where clause; use returning() to confirm the update","Dont update without a where clause; dont assume the update succeeded without checking","import { eq } from 'drizzle-orm';
import { db } from './db';
import { users } from './schema';

async function updateUserEmail(userId: number, newEmail: string) {
  const [updated] = await db
    .update(users)
    .set({
      email: newEmail,
      updatedAt: new Date(),
    })
    .where(eq(users.id, userId))
    .returning();

  if (!updated) {
    throw new Error(`User ${userId} not found`);
  }
  return updated;
}","import { db } from './db';
import { users } from './schema';

// Bad: no where clause updates ALL rows
async function updateUserEmail(newEmail: string) {
  await db.update(users).set({ email: newEmail });
}

// Bad: no returning, no existence check
async function updateUser(id: number, email: string) {
  await db.update(users).set({ email }).where(eq(users.id, id));
  return { success: true };
}",error,https://orm.drizzle.team/docs/update
6,Delete Operations,"Use db.delete(table).where() with a mandatory filter","Delete rows using .delete().where(). Never call delete without a where clause. Use .returning() if you need to confirm what was deleted.","Always use a where clause; use returning() to verify deletion","Dont delete without a where clause; dont ignore the deletion result","import { eq } from 'drizzle-orm';
import { db } from './db';
import { users } from './schema';

async function deleteUser(userId: number) {
  const [deleted] = await db
    .delete(users)
    .where(eq(users.id, userId))
    .returning({ id: users.id, email: users.email });

  if (!deleted) {
    throw new Error(`User ${userId} not found`);
  }
  return deleted;
}","import { db } from './db';
import { users } from './schema';

// Bad: deletes ALL rows — catastrophic
async function deleteUser() {
  await db.delete(users);
}

// Bad: no check if anything was actually deleted
async function removeUser(id: number) {
  await db.delete(users).where(eq(users.id, id));
  return 'deleted';
}",error,https://orm.drizzle.team/docs/delete
7,Where Clauses,"Use eq, ne, gt, lt, like, and, or for type-safe filters","Combine Drizzle filter operators for complex WHERE conditions. Use and() and or() to compose multiple conditions. All operators are fully type-safe.","Use typed operators like eq, gt, like; compose with and/or","Dont use raw SQL strings for conditions; dont nest conditions without and/or helpers","import { eq, ne, gt, lt, like, and, or, between, isNull, inArray } from 'drizzle-orm';
import { db } from './db';
import { users } from './schema';

// Complex where clause
const results = await db
  .select()
  .from(users)
  .where(
    and(
      gt(users.age, 18),
      lt(users.age, 65),
      or(
        like(users.email, '%@gmail.com'),
        like(users.email, '%@outlook.com')
      ),
      isNull(users.deletedAt)
    )
  );

// Using inArray for IN clauses
const specific = await db
  .select()
  .from(users)
  .where(inArray(users.id, [1, 2, 3]));","import { db } from './db';
import { users } from './schema';

// Bad: raw SQL in where, no type safety
const results = await db.execute(
  `SELECT * FROM users WHERE age > 18 AND age < 65 AND email LIKE '%@gmail.com'`
);

// Bad: multiple separate queries instead of composing
const gmail = await db.select().from(users).where(like(users.email, '%@gmail.com'));
const outlook = await db.select().from(users).where(like(users.email, '%@outlook.com'));
const combined = [...gmail, ...outlook];",warning,https://orm.drizzle.team/docs/operators
8,Joins,"Use innerJoin, leftJoin, rightJoin for multi-table queries","Join tables using the fluent join methods. Specify the join condition with the on parameter. Alias columns to avoid name collisions.","Use typed join methods with explicit on conditions; alias overlapping columns","Dont use raw SQL for joins; dont forget to handle null results from left joins","import { eq } from 'drizzle-orm';
import { db } from './db';
import { users, posts, comments } from './schema';

// Left join with explicit column selection
const usersWithPosts = await db
  .select({
    userId: users.id,
    userName: users.name,
    postId: posts.id,
    postTitle: posts.title,
  })
  .from(users)
  .leftJoin(posts, eq(users.id, posts.authorId));

// Multiple joins
const fullData = await db
  .select({
    user: users.name,
    post: posts.title,
    comment: comments.content,
  })
  .from(users)
  .innerJoin(posts, eq(users.id, posts.authorId))
  .leftJoin(comments, eq(posts.id, comments.postId));","import { db } from './db';
import { users, posts } from './schema';

// Bad: raw SQL join, no type safety
const result = await db.execute(
  `SELECT u.*, p.* FROM users u LEFT JOIN posts p ON u.id = p.author_id`
);

// Bad: N+1 — fetching posts separately per user
const allUsers = await db.select().from(users);
for (const user of allUsers) {
  const userPosts = await db.select().from(posts).where(eq(posts.authorId, user.id));
}",warning,https://orm.drizzle.team/docs/joins
9,Relations,"Define relations() for type-safe relational queries","Use the relations() helper to declare one-to-many and many-to-many relationships. This enables the relational query API with db.query for nested data fetching.","Define relations in schema; use db.query for nested fetches","Dont skip relation definitions; dont use manual joins when relational queries suffice","import { relations } from 'drizzle-orm';
import { pgTable, serial, varchar, integer } from 'drizzle-orm/pg-core';

export const users = pgTable('users', {
  id: serial('id').primaryKey(),
  name: varchar('name', { length: 100 }).notNull(),
});

export const posts = pgTable('posts', {
  id: serial('id').primaryKey(),
  title: varchar('title', { length: 255 }).notNull(),
  authorId: integer('author_id').notNull().references(() => users.id),
});

export const usersRelations = relations(users, ({ many }) => ({
  posts: many(posts),
}));

export const postsRelations = relations(posts, ({ one }) => ({
  author: one(users, { fields: [posts.authorId], references: [users.id] }),
}));

// Usage with relational query
const usersWithPosts = await db.query.users.findMany({
  with: { posts: true },
});","import { pgTable, serial, varchar, integer } from 'drizzle-orm/pg-core';

// Bad: no relations defined, forced to use manual joins everywhere
export const users = pgTable('users', {
  id: serial('id').primaryKey(),
  name: varchar('name', { length: 100 }),
});

export const posts = pgTable('posts', {
  id: serial('id').primaryKey(),
  authorId: integer('author_id'),
});

// Bad: manual nested fetching without relational API
const users = await db.select().from(users);
const result = await Promise.all(
  users.map(async (u) => ({
    ...u,
    posts: await db.select().from(posts).where(eq(posts.authorId, u.id)),
  }))
);",warning,https://orm.drizzle.team/docs/rqb
10,Subqueries,"Use db.$with for Common Table Expressions (CTEs)","Use $with to create named subqueries (CTEs) for complex queries. This improves readability and allows reuse of intermediate results.","Use $with for CTEs; keep subqueries readable and named","Dont inline complex subqueries; dont nest more than 2-3 levels deep","import { db } from './db';
import { users, orders } from './schema';
import { eq, sql, gt } from 'drizzle-orm';

const userOrderCounts = db.$with('user_order_counts').as(
  db
    .select({
      userId: orders.userId,
      orderCount: sql<number>`count(*)`.as('order_count'),
      totalSpent: sql<number>`sum(${orders.amount})`.as('total_spent'),
    })
    .from(orders)
    .groupBy(orders.userId)
);

const highValueUsers = await db
  .with(userOrderCounts)
  .select({
    name: users.name,
    email: users.email,
    orderCount: userOrderCounts.orderCount,
    totalSpent: userOrderCounts.totalSpent,
  })
  .from(users)
  .innerJoin(userOrderCounts, eq(users.id, userOrderCounts.userId))
  .where(gt(userOrderCounts.totalSpent, 1000));","import { db } from './db';
import { users, orders } from './schema';

// Bad: deeply nested raw SQL subquery
const result = await db.execute(sql`
  SELECT u.name, u.email, sub.order_count, sub.total_spent
  FROM users u
  INNER JOIN (
    SELECT user_id, count(*) as order_count, sum(amount) as total_spent
    FROM orders
    GROUP BY user_id
  ) sub ON u.id = sub.user_id
  WHERE sub.total_spent > 1000
`);",info,https://orm.drizzle.team/docs/select#with-clause
