No,Use Case,Keywords,Primary Package,Secondary Packages,Architecture Pattern,Error Strategy,Key Considerations
1,HTTP Client,"http,guzzle,api,request,curl",guzzlehttp/guzzle,"illuminate/http (Http facade),symfony/http-client",Adapter Pattern,Catch GuzzleException and map to domain errors,Use connection pooling; set timeouts; use retry middleware for resilience
2,Authentication JWT,"jwt,token,auth,api,stateless",tymon/jwt-auth,"firebase/php-jwt,lcobucci/jwt",Middleware Pattern,Return 401 with consistent JSON format,Set appropriate expiry; implement refresh tokens; store secret in env
3,Authentication Sanctum,"sanctum,spa,token,api,laravel auth",laravel/sanctum,"laravel/passport,laravel/fortify",Middleware + Policy,Distinguish token vs session auth errors,Use for SPA+API hybrid; Passport for OAuth; Sanctum for simple token auth
4,Authorization & Permissions,"permission,role,acl,rbac,gate",spatie/laravel-permission,"bouncer,laratrust",Policy Pattern,Throw AuthorizationException for forbidden access,Cache permissions; use Gates for simple checks; Policies for model-level auth
5,File Storage,"upload,storage,s3,file,cloud,disk",league/flysystem,"aws/aws-sdk-php,spatie/laravel-medialibrary",Adapter Pattern,Catch filesystem exceptions and wrap in domain errors,Use cloud storage in production; validate file types/sizes; generate unique filenames
6,Image Processing,"image,resize,thumbnail,crop,watermark",intervention/image,"spatie/image,imagine/imagine",Service Pattern,Handle missing files and unsupported formats gracefully,Process async via queues; cache thumbnails; validate dimensions
7,PDF Generation,"pdf,document,report,invoice,export",barryvdh/laravel-dompdf,"mpdf/mpdf,tecnickcom/tcpdf,spatie/laravel-pdf",Service Pattern,Handle template rendering errors,Use queues for large PDFs; cache generated documents; use Blade templates
8,Email Sending,"email,mail,smtp,notification,mailer",symfony/mailer,"laravel/framework (Mail facade),phpmailer/phpmailer",Observer/Event Pattern,Queue emails and handle failures with retries,Use queue for all emails; set up mail templates; track delivery status
9,Caching,"cache,redis,memcached,performance,store",predis/predis,"phpredis (ext),symfony/cache",Decorator Pattern,Fallback gracefully when cache is unavailable,Cache aggressively; use cache tags for invalidation; set appropriate TTL
10,Queue Processing,"queue,job,worker,async,background",laravel/framework,"symfony/messenger,php-enqueue/enqueue",Command Bus Pattern,Implement failed job handling with retries and dead letter,Use supervisor in production; set max retries; monitor queue depth
11,Task Scheduling,"schedule,cron,periodic,recurring",laravel/framework,"dragonmantank/cron-expression,go-co-op/gocron",Scheduler Pattern,Log failures and alert on consecutive missed schedules,Use withoutOverlapping; monitor with health checks; test schedule parsing
12,Logging,"log,monolog,logging,debug,error tracking",monolog/monolog,"sentry/sentry-laravel,bugsnag/bugsnag-laravel",Middleware Pattern,Log errors with context (request ID user ID etc),Use structured logging; send to centralized service; avoid logging sensitive data
13,Search,"search,fulltext,elasticsearch,meilisearch,scout",laravel/scout,"meilisearch/meilisearch-php,elasticsearch/elasticsearch",Repository Pattern,Fallback to database search on engine failure,Use Meilisearch for simplicity; Elasticsearch for complex needs; sync via observers
14,Testing,"test,phpunit,pest,mock,assertion",phpunit/phpunit,"pestphp/pest,mockery/mockery",Test isolation,Assert exceptions with expectException; test error responses,Use Pest for readability; mock external services; use database transactions
15,Database ORM,"orm,eloquent,model,query,active record",laravel/framework (Eloquent),"doctrine/orm,cycle/orm",Repository Pattern,Catch QueryException and map to domain errors,Use eager loading to avoid N+1; use query scopes; index frequently queried columns
16,Database Migrations,"migration,schema,alter,database versioning",laravel/framework,"doctrine/migrations,phinx/phinx",Schema Management,Test migrations up and down; handle foreign key constraints,Always make migrations reversible; never modify production data in migrations
17,API Documentation,"swagger,openapi,api docs,documentation",darkaonline/l5-swagger,"knuckleswtf/scribe,mpociot/laravel-apidoc-generator",Documentation,Generate from code annotations; keep in sync with implementation,Use Scribe for Laravel; annotate controller methods; auto-generate from routes
18,WebSocket Real-time,"websocket,real-time,broadcast,pusher,socket",beyondcode/laravel-websockets,"pusher/pusher-php-server,ratchet/pawl",Observer Pattern,Handle connection drops with reconnection logic,Use Laravel Echo on frontend; authenticate private channels; manage presence
19,Excel/CSV Export,"excel,csv,export,import,spreadsheet",maatwebsite/excel,"openspout/openspout,league/csv",Service Pattern,Handle memory limits for large exports,Use queued exports for large datasets; stream responses; chunk reading
20,Payment Processing,"payment,stripe,billing,subscription,charge",stripe/stripe-php,"laravel/cashier,mollie/laravel-mollie",Strategy Pattern,Handle payment failures idempotently; never store card data,Use webhooks for status updates; implement idempotency keys; PCI compliance
21,Admin Panel,"admin,dashboard,backoffice,crud,panel",filament/filament,"nova,orchid/platform,backpack/crud",MVC Pattern,Handle permission errors in admin routes,Use Filament for Laravel; protect admin routes; audit admin actions
22,Rate Limiting,"rate limit,throttle,api limit,abuse prevention",laravel/framework,"symfony/rate-limiter,graham-campbell/throttle",Middleware Pattern,Return 429 with Retry-After header,Apply per-user limits on auth routes; per-IP on public; use Redis for distributed
23,Data Validation,"validate,sanitize,input,filter,rules",illuminate/validation,"respect/validation,rakit/validation",Form Request Pattern,Return 422 with field-level errors,Use Form Requests in Laravel; validate early; never trust client input
24,Markdown/Rich Text,"markdown,wysiwyg,rich text,content,editor",league/commonmark,"graham-campbell/markdown,tiptap",Service Pattern,Sanitize HTML output to prevent XSS,Use CommonMark for markdown; sanitize user HTML; cache rendered output
25,Localization,"i18n,l10n,translation,locale,multi-language",laravel/framework,"spatie/laravel-translatable,mcamara/laravel-localization",Repository Pattern,Fallback to default locale when translation missing,Use database translations for dynamic content; file-based for static; detect locale from header
