No,Idiom,Category,Keywords,Description,Do,Dont,Code Good,Code Bad,Docs URL
1,MixedCaps Naming,Naming,"mixedcaps, camelCase, naming convention","Go uses MixedCaps or mixedCaps rather than underscores to write multiword names. Exported names start with uppercase, unexported with lowercase.",Use MixedCaps for all multiword identifiers,Use snake_case or SCREAMING_SNAKE_CASE,"func readFileContent() error {
	return nil
}

func ReadFileContent() error {
	return nil
}","func read_file_content() error {
	return nil
}

func Read_File_Content() error {
	return nil
}",https://go.dev/doc/effective_go#mixed-caps
2,Acronym Naming (URL not Url),Naming,"acronym, initialism, URL, HTTP, ID","Acronyms and initialisms in Go should be all caps. Write URL not Url, HTTP not Http, ID not Id. This applies to both exported and unexported names.",Keep acronyms fully capitalized: URL HTTP ID JSON XML,Capitalize only the first letter of acronyms,"type HTTPClient struct {
	BaseURL string
	UserID  int
}

func ServeHTTP(w http.ResponseWriter, r *http.Request) {}","type HttpClient struct {
	BaseUrl string
	UserId  int
}

func ServeHttp(w http.ResponseWriter, r *http.Request) {}",https://go.dev/wiki/CodeReviewComments#initialisms
3,Package Naming,Naming,"package, naming, short, concise","Package names should be short, concise, lowercase, single-word names. Avoid underscores, mixedCaps, or overly generic names like util or common.",Use short lowercase single-word package names,Use generic names like util or common or use underscores,"package http

package json

package bytes","package httpHelpers

package json_utils

package common",https://go.dev/blog/package-names
4,Receiver Naming,Naming,"receiver, method, short, consistent","Method receivers should be short, typically one or two letters reflecting the type. Be consistent across methods. Never use generic names like this or self.",Use one or two letter abbreviations of the type name,"Use this, self, or me for receivers","type Client struct{}

func (c *Client) Do() error {
	return nil
}

func (c *Client) Close() error {
	return nil
}","type Client struct{}

func (this *Client) Do() error {
	return nil
}

func (self *Client) Close() error {
	return nil
}",https://go.dev/wiki/CodeReviewComments#receiver-names
5,Always Check Errors,Error Handling,"error, check, handle, return","Every function that returns an error must have that error checked. Ignoring errors leads to silent failures and hard-to-debug issues in production.",Always check and handle returned errors,Discard errors with _ or ignore them entirely,"f, err := os.Open(""config.json"")
if err != nil {
	return fmt.Errorf(""open config: %w"", err)
}
defer f.Close()","f, _ := os.Open(""config.json"")
defer f.Close()",https://go.dev/doc/effective_go#errors
6,Wrap Errors with Context,Error Handling,"error, wrap, context, fmt.Errorf, %w","When returning errors from called functions, wrap them with additional context using fmt.Errorf and %w. This creates an error chain that aids debugging.",Wrap errors with descriptive context using fmt.Errorf and %w,Return bare errors without context,"func loadConfig(path string) error {
	data, err := os.ReadFile(path)
	if err != nil {
		return fmt.Errorf(""load config %s: %w"", path, err)
	}
	_ = data
	return nil
}","func loadConfig(path string) error {
	data, err := os.ReadFile(path)
	if err != nil {
		return err
	}
	_ = data
	return nil
}",https://go.dev/blog/go1.13-errors
7,Zero Value Useful,Design,"zero value, default, initialization","Design types so their zero value is useful and ready to use without explicit initialization. sync.Mutex, bytes.Buffer, and slices all work at zero value.",Design structs where the zero value is valid and usable,Require constructor functions when zero values would suffice,"var mu sync.Mutex
mu.Lock()
defer mu.Unlock()

var buf bytes.Buffer
buf.WriteString(""hello"")","mu := NewMutex()
mu.Lock()
defer mu.Unlock()

buf := NewBuffer()
buf.WriteString(""hello"")",https://go.dev/doc/effective_go#allocation_new
8,Composition over Inheritance,Design,"composition, embedding, interface, struct","Go does not support inheritance. Use struct embedding and interfaces to compose behaviors. This leads to more flexible and maintainable designs.",Compose types using embedding and interfaces,Try to simulate class hierarchies with deep embedding chains,"type Logger struct{}

func (l *Logger) Log(msg string) { fmt.Println(msg) }

type Server struct {
	Logger
	Addr string
}

s := Server{Addr: "":8080""}
s.Log(""started"")","type BaseServer struct {
	Addr string
}
type DerivedServer struct {
	BaseServer
}
type SuperDerivedServer struct {
	DerivedServer
}",https://go.dev/doc/effective_go#embedding
9,Accept Interfaces Return Structs,Design,"interface, struct, return, parameter","Functions should accept interface parameters for flexibility but return concrete struct types. This makes APIs easy to mock in tests and extend later.",Accept interfaces as parameters and return concrete types,Accept concrete types and return interfaces,"func Process(r io.Reader) (*Result, error) {
	data, err := io.ReadAll(r)
	if err != nil {
		return nil, err
	}
	return &Result{Data: data}, nil
}","func Process(f *os.File) (io.Reader, error) {
	data, err := io.ReadAll(f)
	if err != nil {
		return nil, err
	}
	return &Result{Data: data}, nil
}",https://go.dev/wiki/CodeReviewComments#interfaces
10,Make Zero Value Useful,Design,"zero value, constructor, default state","Prefer designing types so they are immediately usable without constructor calls. This simplifies API usage and reduces the chance of nil pointer panics.",Design types that work correctly at their zero value,"Require New() constructors for types that could work as zero values","type Counter struct {
	mu sync.Mutex
	n  int
}

func (c *Counter) Inc() {
	c.mu.Lock()
	defer c.mu.Unlock()
	c.n++
}

var c Counter
c.Inc()","type Counter struct {
	mu *sync.Mutex
	n  int
}

func NewCounter() *Counter {
	return &Counter{mu: &sync.Mutex{}}
}",https://go.dev/talks/2012/zen.slide#8
