No,Anti-Pattern,Category,Keywords,What People Do Wrong,Why Its Bad,Better Approach,Code Bad,Code Good,Severity,Detection
1,Callback Hell,Async,"callbacks;nesting;pyramid of doom;async flow",Developers nest multiple asynchronous callbacks inside each other creating deeply indented code that is hard to read and maintain,"Deeply nested callbacks make code extremely difficult to follow and debug. Error handling becomes inconsistent because each level needs its own error check. Refactoring or adding new steps is error-prone and leads to bugs.","Use async/await or Promises to flatten asynchronous control flow. Break complex operations into named async functions. Use Promise.all for parallel operations.","fs.readFile('a.txt', (err, a) => {
  if (err) throw err;
  fs.readFile('b.txt', (err, b) => {
    if (err) throw err;
    fs.writeFile('c.txt', a + b, (err) => {
      if (err) throw err;
      console.log('done');
    });
  });
});","async function mergeFiles(): Promise<void> {
  const a = await fs.promises.readFile('a.txt', 'utf-8');
  const b = await fs.promises.readFile('b.txt', 'utf-8');
  await fs.promises.writeFile('c.txt', a + b);
  console.log('done');
}",high,ESLint rule max-nested-callbacks
2,Unhandled Promise Rejection,Async,"promise;rejection;unhandled;catch;async error",Developers call async functions or chain Promises without attaching a .catch() handler or wrapping in try/catch,"Starting in Node.js 15+ unhandled promise rejections crash the process by default. Even in older versions they cause silent failures and data loss. Missing error handling makes debugging nearly impossible in production.","Always wrap await calls in try/catch blocks. Always chain .catch() on Promises. Add a global process.on('unhandledRejection') handler as a safety net.","async function loadUser(id: string) {
  const resp = await fetch('/api/users/' + id);
  const user = await resp.json();
  return user;
}
loadUser('123');","async function loadUser(id: string) {
  try {
    const resp = await fetch('/api/users/' + id);
    if (!resp.ok) throw new Error('HTTP ' + resp.status);
    return await resp.json();
  } catch (err) {
    logger.error('Failed to load user', { id, err });
    throw err;
  }
}",critical,ESLint rule no-floating-promises and node --unhandled-rejections=strict
3,Blocking the Event Loop,Runtime,"event loop;sync;blocking;cpu;latency",Developers perform CPU-intensive computations or synchronous I/O operations directly in request handlers or event callbacks,"Node.js is single-threaded so blocking the event loop prevents all other requests from being processed. This causes latency spikes and timeouts for every connected client. Under load it can crash the service entirely.","Offload CPU-intensive work to worker threads or a job queue. Use async I/O exclusively in hot paths. Use setImmediate or process.nextTick to break up long computations.","import { pbkdf2Sync } from 'crypto';

app.post('/login', (req, res) => {
  const hash = pbkdf2Sync(req.body.password, salt, 100000, 64, 'sha512');
  const valid = hash.equals(storedHash);
  res.json({ valid });
});","import { pbkdf2 } from 'crypto';
import { promisify } from 'util';
const pbkdf2Async = promisify(pbkdf2);

app.post('/login', async (req, res) => {
  const hash = await pbkdf2Async(req.body.password, salt, 100000, 64, 'sha512');
  res.json({ valid: hash.equals(storedHash) });
});",critical,clinic.js and blocked-at npm package
4,Memory Leaks from Global Variables,Memory,"memory leak;global;module scope;heap;accumulation",Developers store request data or cache entries in module-level variables without any eviction strategy or size limit,"Module-level arrays and objects persist for the entire lifetime of the process. They grow unbounded with each request until the process runs out of memory and crashes. This is especially dangerous in long-running server processes.","Use bounded caches like lru-cache with a maxSize. Store shared state in Redis or another external store. Avoid accumulating data in module scope.","const requestLog: any[] = [];

app.use((req, res, next) => {
  requestLog.push({ url: req.url, time: Date.now(), headers: req.headers });
  next();
});","import { LRUCache } from 'lru-cache';
const requestLog = new LRUCache<string, any>({ max: 1000 });

app.use((req, res, next) => {
  requestLog.set(req.id, { url: req.url, time: Date.now() });
  next();
});",critical,Node.js --inspect with Chrome DevTools heap snapshots
5,Using any Type Everywhere,TypeScript,"any;type safety;typescript;typing;loose types",Developers use the any type to bypass TypeScript errors instead of defining proper types or interfaces,"Using any disables all type checking for that value and anything derived from it. Bugs that TypeScript would normally catch at compile time slip through to runtime. It defeats the entire purpose of using TypeScript.","Define interfaces and types for all data structures. Use unknown instead of any when the type is genuinely not known and narrow with type guards. Enable the noImplicitAny compiler flag.","function processPayment(order: any): any {
  const total = order.items.reduce((s: any, i: any) => s + i.price, 0);
  return { status: 'ok', total };
}","interface OrderItem { name: string; price: number; }
interface Order { items: OrderItem[]; customerId: string; }
interface PaymentResult { status: 'ok' | 'failed'; total: number; }

function processPayment(order: Order): PaymentResult {
  const total = order.items.reduce((s, i) => s + i.price, 0);
  return { status: 'ok', total };
}",high,"ESLint rule @typescript-eslint/no-explicit-any and tsconfig strict mode"
6,Circular Dependencies,Modules,"circular;dependency;import;require;module cycle",Two or more modules import each other directly or indirectly creating a cycle that leads to incomplete module initialization,"Circular imports cause one of the modules to receive an incomplete or empty export object. This leads to mysterious undefined errors at runtime that are very hard to debug. The behavior differs between CommonJS and ESM making it even more confusing.","Restructure code to break cycles by extracting shared logic into a separate module. Use dependency injection. Apply the dependency inversion principle so both modules depend on an abstraction.","// user.ts
import { getOrders } from './order';
export function getUser(id: string) { return { orders: getOrders(id) }; }

// order.ts
import { getUser } from './user';
export function getOrders(userId: string) { return getUser(userId).orders; }","// user-repository.ts
export function getUser(id: string) { return { id, name: 'Alice' }; }

// order-repository.ts
export function getOrders(userId: string) { return [{ userId, item: 'Book' }]; }

// user-service.ts
import { getUser } from './user-repository';
import { getOrders } from './order-repository';
export function getUserWithOrders(id: string) { return { ...getUser(id), orders: getOrders(id) }; }",high,madge npm package and ESLint plugin import/no-cycle
7,SQL/NoSQL Injection,Security,"injection;sql;nosql;sanitize;query;user input",Developers concatenate user-supplied strings directly into database queries without using parameterized queries or input validation,"Attackers can inject malicious SQL or NoSQL operators to read or modify any data in the database. This can lead to full database compromise including data theft and deletion. It is consistently in the OWASP Top 10 vulnerabilities.","Always use parameterized queries or prepared statements. Use an ORM or query builder that escapes inputs automatically. Validate and sanitize all user input before processing.","app.get('/users', async (req, res) => {
  const name = req.query.name;
  const result = await db.query('SELECT * FROM users WHERE name = ''' + name + '''');
  res.json(result.rows);
});","app.get('/users', async (req, res) => {
  const name = req.query.name;
  const result = await db.query('SELECT id, name, email FROM users WHERE name = $1', [name]);
  res.json(result.rows);
});",critical,ESLint plugin security and SAST tools like Snyk Code
8,Not Validating Environment Variables,Config,"env;environment;config;validation;process.env",Developers read process.env values directly without checking if they exist or have valid formats and use them throughout the application,"Missing or malformed environment variables cause cryptic runtime errors far from where the variable is used. The application may start successfully but fail unpredictably later. Different environments may silently use wrong defaults.","Validate all required environment variables at startup using a schema validation library like envalid or zod. Fail fast with a clear error message if any required variable is missing or invalid.","const dbHost = process.env.DB_HOST;
const dbPort = process.env.DB_PORT;
const apiKey = process.env.API_KEY;

const pool = new Pool({ host: dbHost, port: Number(dbPort) });","import { cleanEnv, str, port } from 'envalid';

const env = cleanEnv(process.env, {
  DB_HOST: str({ desc: 'Database hostname' }),
  DB_PORT: port({ default: 5432 }),
  API_KEY: str({ desc: 'External API key' }),
});
const pool = new Pool({ host: env.DB_HOST, port: env.DB_PORT });",high,envalid or zod validation at application startup
9,Swallowing Errors Silently,Error Handling,"catch;silent;swallow;error;empty catch",Developers write empty catch blocks or catch errors and do nothing with them to suppress error messages and warnings,"Silent catches hide bugs and make debugging impossible because failures leave no trace. Data corruption can occur because the code continues executing as if nothing went wrong. Issues only surface much later as mysterious side effects.","Always log the error or re-throw it. If an error is genuinely expected and safe to ignore add a comment explaining why. Use a structured logger to record error context for later debugging.","async function syncData(): Promise<void> {
  try {
    await fetchAndStore();
  } catch (e) {
    // ignore
  }
}","async function syncData(): Promise<void> {
  try {
    await fetchAndStore();
  } catch (err) {
    logger.error('Data sync failed', { error: err, timestamp: Date.now() });
    metrics.increment('sync.failures');
    throw err;
  }
}",high,ESLint rule no-empty and code review
10,God Modules/Files,Architecture,"god module;large file;monolith;single responsibility;spaghetti",Developers keep adding functions and classes to a single file until it grows to thousands of lines covering many unrelated responsibilities,"Massive files are extremely hard to navigate and understand. Multiple developers editing the same file causes frequent merge conflicts. Testing becomes difficult because everything is tightly coupled. Changes in one area unexpectedly break another.","Follow the Single Responsibility Principle. Split files by domain or feature. Keep each module under 200-300 lines. Extract utility functions and types into separate files.","// api.ts - 2000 lines covering auth + users + orders + email + validation
export function loginUser(credentials: Creds) { /* 50 lines */ }
export function createOrder(data: OrderData) { /* 80 lines */ }
export function sendEmail(to: string, body: string) { /* 40 lines */ }
export function validateInput(schema: any, data: any) { /* 30 lines */ }","// auth/login.ts
export async function loginUser(credentials: Creds): Promise<Session> { /* ... */ }

// orders/create-order.ts
export async function createOrder(data: OrderData): Promise<Order> { /* ... */ }

// email/send-email.ts
export async function sendEmail(to: string, body: string): Promise<void> { /* ... */ }",medium,ESLint rule max-lines and code review
