No,Project_Category,Recommended_Architecture,Package_Priority,Error_Strategy,Concurrency_Strategy,Testing_Strategy,Decision_Rules,Anti_Patterns,Severity
1,REST API Small,Flat structure with main.go and handlers/,"net/http, encoding/json, log/slog",Sentinel errors with fmt.Errorf wrapping,Single goroutine per request; use context for cancellation,Table-driven tests with httptest.NewServer,"{""if_high_traffic"": ""add-rate-limiter"", ""if_auth"": ""add-jwt-middleware"", ""if_db"": ""add-connection-pool"", ""if_cache"": ""add-redis-layer""}","God handler functions, no input validation, ignoring context cancellation",low
2,REST API Large,"Clean Architecture: cmd/ internal/handler/ internal/service/ internal/repository/ pkg/","chi or gin, sqlx or pgx, log/slog, otel",Custom error types implementing error interface with error codes,Worker pool pattern for background tasks; errgroup for parallel requests,Integration tests with testcontainers; unit tests with mocks via interfaces,"{""if_high_traffic"": ""add-rate-limiter-middleware"", ""if_auth"": ""add-rbac-middleware"", ""if_multi_db"": ""add-repository-pattern"", ""if_cache"": ""add-cache-aside-pattern"", ""if_queue"": ""add-async-processing""}","Circular dependencies between packages, database logic in handlers, global state",high
3,REST API with PostgreSQL,"Layered: cmd/ internal/handler/ internal/service/ internal/repository/ migrations/","pgx/v5, golang-migrate, squirrel or raw SQL, log/slog",Wrap pgx errors into domain errors; detect constraint violations via error codes,Connection pool via pgxpool; use context deadlines on all queries,Test with testcontainers-go/postgres; use txdb for transaction-based test isolation,"{""if_high_read"": ""add-read-replicas"", ""if_complex_queries"": ""add-query-builder"", ""if_migrations"": ""use-golang-migrate"", ""if_audit"": ""add-audit-triggers""}","N+1 queries, missing indexes, not closing rows, raw string concatenation in SQL",high
4,REST API with MongoDB,"Layered: cmd/ internal/handler/ internal/service/ internal/repository/","mongo-driver/v2, log/slog, chi",Wrap mongo errors; handle mongo.ErrNoDocuments explicitly,Use connection pooling via mongo.Client; avoid opening multiple clients,Test with testcontainers-go/mongodb; seed test data in setup functions,"{""if_high_write"": ""add-write-concern-majority"", ""if_search"": ""add-atlas-search"", ""if_relations"": ""consider-postgresql-instead"", ""if_schema"": ""add-json-schema-validation""}","Storing highly relational data, unbounded array growth in documents, missing indexes on query fields",high
5,GraphQL API,"cmd/ internal/graph/ internal/graph/model/ internal/graph/resolver/ internal/service/","gqlgen, chi, dataloaden, log/slog",Return GraphQL-specific errors with extensions; map domain errors to GQL error codes,Use dataloaders to batch and cache N+1 queries; errgroup for parallel field resolution,Test resolvers as unit tests with mock services; integration tests against schema,"{""if_n_plus_1"": ""add-dataloader"", ""if_auth"": ""add-directive-auth"", ""if_realtime"": ""add-subscriptions-websocket"", ""if_file_upload"": ""add-multipart-handler""}","Exposing database schema directly as GraphQL schema, unbounded query depth, missing query complexity limits",high
6,CLI Tool Simple,"Single main.go with cobra or flag package","flag or cobra, fmt, os",Print errors to stderr with os.Exit(1); use fmt.Errorf for wrapping,Not needed; sequential execution,Test with exec.Command or by extracting logic into testable functions,"{""if_flags_complex"": ""switch-to-cobra"", ""if_config"": ""add-viper"", ""if_output_format"": ""add-json-and-table-output""}","Printing errors to stdout, using log.Fatal in library code, not setting exit codes",low
7,CLI Tool Complex,"cmd/ internal/ pkg/ with cobra subcommands","cobra, viper, bubbletea or lipgloss, log/slog",Structured error types per subcommand; aggregate errors for batch operations,Use errgroup for parallel file operations; worker pools for batch processing,Test each subcommand independently; test config loading; use golden files for output,"{""if_interactive"": ""add-bubbletea-tui"", ""if_config_file"": ""add-viper-yaml"", ""if_plugin"": ""add-plugin-system-hashicorp"", ""if_long_running"": ""add-progress-bars""}","Deeply nested cobra commands, mixing UI and business logic, not handling SIGINT gracefully",medium
8,Microservice gRPC,"cmd/ internal/server/ internal/service/ internal/repository/ proto/ api/","google.golang.org/grpc, protobuf, otel-grpc, log/slog",Return gRPC status codes; map domain errors to codes.Code; use status.Errorf,Per-RPC goroutine managed by gRPC server; use streaming for large payloads,Test with bufconn for in-memory gRPC; integration tests with real server,"{""if_streaming"": ""add-server-streaming"", ""if_auth"": ""add-unary-interceptor-auth"", ""if_tracing"": ""add-otel-interceptor"", ""if_retry"": ""add-client-retry-interceptor""}","Huge protobuf messages, not using interceptors for cross-cutting concerns, blocking in stream handlers",high
9,Microservice Event-Driven,"cmd/ internal/handler/ internal/service/ internal/publisher/ internal/subscriber/","sarama or confluent-kafka-go, watermill, protobuf, log/slog",Dead letter queues for failed messages; structured error logging with correlation IDs,Consumer groups with partition-level concurrency; bounded worker pools per topic,Test with in-memory pubsub (watermill GoChannel); integration tests with testcontainers kafka,"{""if_ordering"": ""use-partition-key"", ""if_exactly_once"": ""add-idempotency-store"", ""if_schema"": ""add-schema-registry"", ""if_replay"": ""add-event-sourcing""}","Processing messages without idempotency, unbounded goroutines per message, ignoring consumer lag",critical
10,Library/SDK Public,"Root package with subpackages; examples/ directory","No external dependencies preferred; use stdlib only",Return errors not log them; use sentinel errors and custom error types; never panic,Document goroutine safety; use sync primitives; make concurrency opt-in,100% test coverage on exported API; example tests for documentation; fuzz tests,"{""if_breaking_change"": ""bump-major-version"", ""if_optional_deps"": ""use-build-tags"", ""if_generics"": ""require-go-1.18-plus"", ""if_compat"": ""add-compatibility-policy""}","Logging to stdout, panicking on errors, exposing internal types, unstable API before v1",critical
11,Library/SDK Internal,"internal/ package within monorepo","Minimal deps; share types via shared/ package",Return wrapped errors with context; avoid logging inside library code,Safe for concurrent use or clearly documented as not-safe,Unit tests with mocks; benchmark critical paths,"{""if_shared"": ""put-in-shared-pkg"", ""if_typed"": ""use-generics"", ""if_versioned"": ""tag-releases"", ""if_breaking"": ""coordinate-with-consumers""}","Importing from cmd/ packages, tight coupling to specific infrastructure, missing godoc",medium
