No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Password Hashing,Use bcrypt or argon2 for password hashing,"Hash passwords with a strong adaptive algorithm before storing them. bcrypt and argon2 automatically handle salting and are resistant to brute-force attacks.",Use bcrypt.hash() with a cost factor of at least 10 or argon2 for new projects,Store passwords in plain text or use MD5/SHA for password hashing,"import bcrypt from 'bcrypt';

const SALT_ROUNDS = 12;

export async function hashPassword(plain: string): Promise<string> {
  return bcrypt.hash(plain, SALT_ROUNDS);
}

export async function verifyPassword(plain: string, hashed: string): Promise<boolean> {
  return bcrypt.compare(plain, hashed);
}

// Usage in registration
app.post('/register', async (req, res) => {
  const { email, password } = req.body;
  const hashedPassword = await hashPassword(password);
  await db.user.create({ data: { email, password: hashedPassword } });
  res.status(201).json({ message: 'User created' });
});","import crypto from 'crypto';

// BAD: Using MD5 for passwords - easily cracked
function hashPassword(plain: string): string {
  return crypto.createHash('md5').update(plain).digest('hex');
}

// BAD: Storing plain text
app.post('/register', async (req, res) => {
  const { email, password } = req.body;
  await db.user.create({ data: { email, password } }); // plain text!
  res.status(201).json({ message: 'User created' });
});",error,https://www.npmjs.com/package/bcrypt
2,JWT Creation,Sign JWTs with proper payload and expiration,"Create JSON Web Tokens with minimal payload data and a short expiration time. Include only necessary claims and always set an expiry.",Include only essential claims (sub and role) and set a short expiresIn,Put sensitive data like passwords or full user objects in the JWT payload,"import jwt from 'jsonwebtoken';

interface TokenPayload {
  sub: string;
  role: string;
}

const JWT_SECRET = process.env.JWT_SECRET!;
const JWT_EXPIRES_IN = '15m';

export function createAccessToken(userId: string, role: string): string {
  const payload: TokenPayload = { sub: userId, role };
  return jwt.sign(payload, JWT_SECRET, {
    expiresIn: JWT_EXPIRES_IN,
    issuer: 'myapp',
    audience: 'myapp-client',
  });
}

app.post('/login', async (req, res) => {
  const user = await authenticateUser(req.body);
  const token = createAccessToken(user.id, user.role);
  res.json({ accessToken: token });
});","import jwt from 'jsonwebtoken';

// BAD: Sensitive data in payload, no expiration
function createToken(user: any): string {
  return jwt.sign(
    {
      id: user.id,
      email: user.email,
      password: user.password, // NEVER include password
      creditCard: user.creditCard, // NEVER include sensitive data
    },
    'hardcoded-secret' // NEVER hardcode secrets
    // No expiresIn - token never expires!
  );
}",error,https://www.npmjs.com/package/jsonwebtoken
3,JWT Verification,Verify JWTs in middleware with proper error handling,"Create reusable middleware that verifies JWT tokens from the Authorization header. Handle expired and invalid tokens with appropriate HTTP status codes.",Use middleware that extracts the Bearer token and verifies with proper error handling,Catch all errors silently or skip verification on certain routes without intent,"import jwt from 'jsonwebtoken';
import { Request, Response, NextFunction } from 'express';

interface AuthRequest extends Request {
  user?: { sub: string; role: string };
}

const JWT_SECRET = process.env.JWT_SECRET!;

export function authenticateToken(req: AuthRequest, res: Response, next: NextFunction): void {
  const authHeader = req.headers.authorization;
  const token = authHeader?.startsWith('Bearer ') ? authHeader.slice(7) : null;

  if (!token) {
    res.status(401).json({ error: 'Authentication required' });
    return;
  }

  try {
    const decoded = jwt.verify(token, JWT_SECRET, {
      issuer: 'myapp',
      audience: 'myapp-client',
    }) as { sub: string; role: string };
    req.user = decoded;
    next();
  } catch (err) {
    if (err instanceof jwt.TokenExpiredError) {
      res.status(401).json({ error: 'Token expired' });
    } else {
      res.status(403).json({ error: 'Invalid token' });
    }
  }
}

app.get('/profile', authenticateToken, (req: AuthRequest, res) => {
  res.json({ userId: req.user!.sub });
});","import jwt from 'jsonwebtoken';

// BAD: No proper error handling, no type safety
function authMiddleware(req: any, res: any, next: any) {
  const token = req.headers['authorization']; // Doesn't strip 'Bearer '
  try {
    const decoded = jwt.verify(token, 'secret');
    req.user = decoded;
    next();
  } catch (e) {
    next(); // BAD: Continues even on verification failure!
  }
}",error,https://www.npmjs.com/package/jsonwebtoken
4,JWT Refresh Tokens,Implement access and refresh token rotation,"Use short-lived access tokens paired with long-lived refresh tokens stored securely. Rotate refresh tokens on each use to detect token theft.",Issue short-lived access tokens (15m) and rotate refresh tokens on each refresh request,Use a single long-lived token or store refresh tokens in localStorage,"import jwt from 'jsonwebtoken';
import { randomBytes } from 'crypto';

const ACCESS_SECRET = process.env.ACCESS_SECRET!;
const REFRESH_SECRET = process.env.REFRESH_SECRET!;

function generateTokenPair(userId: string, role: string) {
  const accessToken = jwt.sign({ sub: userId, role }, ACCESS_SECRET, { expiresIn: '15m' });
  const refreshToken = jwt.sign({ sub: userId, tokenId: randomBytes(16).toString('hex') }, REFRESH_SECRET, { expiresIn: '7d' });
  return { accessToken, refreshToken };
}

app.post('/auth/refresh', async (req, res) => {
  const { refreshToken } = req.body;
  if (!refreshToken) {
    return res.status(401).json({ error: 'Refresh token required' });
  }

  try {
    const decoded = jwt.verify(refreshToken, REFRESH_SECRET) as { sub: string; tokenId: string };
    const storedToken = await db.refreshToken.findUnique({ where: { tokenId: decoded.tokenId } });

    if (!storedToken || storedToken.revoked) {
      await db.refreshToken.updateMany({ where: { userId: decoded.sub }, data: { revoked: true } });
      return res.status(403).json({ error: 'Token reuse detected' });
    }

    await db.refreshToken.update({ where: { tokenId: decoded.tokenId }, data: { revoked: true } });
    const user = await db.user.findUnique({ where: { id: decoded.sub } });
    const tokens = generateTokenPair(user!.id, user!.role);
    await db.refreshToken.create({ data: { tokenId: tokens.refreshToken, userId: user!.id } });

    res.json(tokens);
  } catch {
    res.status(403).json({ error: 'Invalid refresh token' });
  }
});","import jwt from 'jsonwebtoken';

// BAD: Single long-lived token, no refresh mechanism
function createToken(userId: string): string {
  return jwt.sign({ sub: userId }, 'secret', {
    expiresIn: '365d', // BAD: Token valid for a year
  });
}

// BAD: Storing tokens in localStorage on client
// localStorage.setItem('token', response.accessToken);
// BAD: No token rotation - same refresh token reused forever
app.post('/refresh', async (req, res) => {
  const decoded = jwt.verify(req.body.token, 'secret') as any;
  const newAccess = jwt.sign({ sub: decoded.sub }, 'secret', { expiresIn: '365d' });
  res.json({ accessToken: newAccess }); // No new refresh token
});",error,https://auth0.com/blog/refresh-tokens-what-are-they-and-when-to-use-them/
5,OAuth 2.0 Flow,Implement authorization code grant correctly,"Use the authorization code grant flow for server-side apps. Exchange the code for tokens on the server side and validate the state parameter to prevent CSRF.",Exchange authorization codes server-side and validate the state parameter,Exchange codes client-side or skip state validation,"import express from 'express';
import axios from 'axios';
import { randomBytes } from 'crypto';

const app = express();
const CLIENT_ID = process.env.OAUTH_CLIENT_ID!;
const CLIENT_SECRET = process.env.OAUTH_CLIENT_SECRET!;
const REDIRECT_URI = 'http://localhost:3000/auth/callback';

app.get('/auth/login', (req, res) => {
  const state = randomBytes(32).toString('hex');
  req.session!.oauthState = state;

  const authUrl = new URL('https://provider.com/oauth/authorize');
  authUrl.searchParams.set('client_id', CLIENT_ID);
  authUrl.searchParams.set('redirect_uri', REDIRECT_URI);
  authUrl.searchParams.set('response_type', 'code');
  authUrl.searchParams.set('scope', 'openid profile email');
  authUrl.searchParams.set('state', state);

  res.redirect(authUrl.toString());
});

app.get('/auth/callback', async (req, res) => {
  const { code, state } = req.query;

  if (state !== req.session!.oauthState) {
    return res.status(403).json({ error: 'Invalid state parameter' });
  }
  delete req.session!.oauthState;

  const tokenResponse = await axios.post('https://provider.com/oauth/token', {
    grant_type: 'authorization_code',
    code,
    redirect_uri: REDIRECT_URI,
    client_id: CLIENT_ID,
    client_secret: CLIENT_SECRET,
  });

  const { access_token, id_token } = tokenResponse.data;
  const userInfo = await axios.get('https://provider.com/userinfo', {
    headers: { Authorization: `Bearer ${access_token}` },
  });

  req.session!.user = userInfo.data;
  res.redirect('/dashboard');
});","// BAD: Using implicit flow, no state validation
app.get('/auth/login', (req, res) => {
  // BAD: response_type=token exposes token in URL fragment
  res.redirect(
    'https://provider.com/oauth/authorize?client_id=abc&response_type=token&redirect_uri=http://localhost:3000/callback'
    // No state parameter - CSRF vulnerable!
  );
});

app.get('/auth/callback', async (req, res) => {
  // BAD: No state validation
  const { code } = req.query;
  // BAD: Exchanging token on client side exposes client_secret
  res.send(`<script>fetch('/exchange?code=${code}')</script>`);
});",error,https://oauth.net/2/
6,Passport Local Strategy,Configure passport-local for username/password auth,"Set up Passport.js with the local strategy for traditional username and password authentication. Use async/await and proper error messages.",Use async verify callback with bcrypt comparison and descriptive error messages,Return detailed error messages that reveal whether the username or password was wrong,"import passport from 'passport';
import { Strategy as LocalStrategy } from 'passport-local';
import bcrypt from 'bcrypt';

passport.use(
  new LocalStrategy(
    { usernameField: 'email', passwordField: 'password' },
    async (email, password, done) => {
      try {
        const user = await db.user.findUnique({ where: { email } });

        if (!user) {
          return done(null, false, { message: 'Invalid email or password' });
        }

        const isValid = await bcrypt.compare(password, user.password);
        if (!isValid) {
          return done(null, false, { message: 'Invalid email or password' });
        }

        return done(null, { id: user.id, email: user.email, role: user.role });
      } catch (err) {
        return done(err);
      }
    }
  )
);

passport.serializeUser((user: any, done) => done(null, user.id));
passport.deserializeUser(async (id: string, done) => {
  try {
    const user = await db.user.findUnique({ where: { id } });
    done(null, user);
  } catch (err) {
    done(err);
  }
});

app.post('/login', passport.authenticate('local', {
  successRedirect: '/dashboard',
  failureRedirect: '/login',
  failureMessage: true,
}));","import passport from 'passport';
import { Strategy as LocalStrategy } from 'passport-local';

// BAD: Synchronous, reveals which field failed, no hashing check
passport.use(
  new LocalStrategy((username, password, done) => {
    const user = users.find((u) => u.username === username);
    if (!user) {
      return done(null, false, { message: 'Username not found' }); // BAD: reveals username doesn't exist
    }
    if (user.password !== password) { // BAD: plain text comparison
      return done(null, false, { message: 'Wrong password' }); // BAD: reveals password is wrong
    }
    return done(null, user); // BAD: returns full user object with password
  })
);",warning,https://www.passportjs.org/packages/passport-local/
7,Passport JWT Strategy,Configure passport-jwt for token-based auth,"Set up Passport.js with the JWT strategy to protect API routes. Extract tokens from the Authorization header and validate claims.",Extract tokens from Authorization Bearer header and validate issuer/audience,Extract tokens from query parameters or skip claim validation,"import passport from 'passport';
import { Strategy as JwtStrategy, ExtractJwt, StrategyOptionsWithoutRequest } from 'passport-jwt';

const jwtOptions: StrategyOptionsWithoutRequest = {
  jwtFromRequest: ExtractJwt.fromAuthHeaderAsBearerToken(),
  secretOrKey: process.env.JWT_SECRET!,
  issuer: 'myapp',
  audience: 'myapp-client',
};

passport.use(
  new JwtStrategy(jwtOptions, async (payload, done) => {
    try {
      const user = await db.user.findUnique({
        where: { id: payload.sub },
        select: { id: true, email: true, role: true },
      });

      if (!user) {
        return done(null, false);
      }

      return done(null, user);
    } catch (err) {
      return done(err, false);
    }
  })
);

// Protect routes
app.get(
  '/api/profile',
  passport.authenticate('jwt', { session: false }),
  (req, res) => {
    res.json(req.user);
  }
);","import passport from 'passport';
import { Strategy as JwtStrategy, ExtractJwt } from 'passport-jwt';

// BAD: Token from query string, no claim validation
passport.use(
  new JwtStrategy(
    {
      jwtFromRequest: ExtractJwt.fromUrlQueryParameter('token'), // BAD: token in URL is logged
      secretOrKey: 'hardcoded-secret', // BAD: hardcoded
      // No issuer/audience validation
    },
    (payload: any, done: any) => {
      done(null, payload); // BAD: trusts payload directly without DB lookup
    }
  )
);",warning,https://www.passportjs.org/packages/passport-jwt/
8,Passport Google Strategy,Configure Google OAuth2 strategy,"Set up Passport.js with Google OAuth2 for social login. Handle user creation on first login and link accounts for returning users.",Find or create users on OAuth callback and store provider ID for account linking,Create duplicate accounts for the same email from different OAuth providers,"import passport from 'passport';
import { Strategy as GoogleStrategy, Profile } from 'passport-google-oauth20';

passport.use(
  new GoogleStrategy(
    {
      clientID: process.env.GOOGLE_CLIENT_ID!,
      clientSecret: process.env.GOOGLE_CLIENT_SECRET!,
      callbackURL: '/auth/google/callback',
      scope: ['profile', 'email'],
    },
    async (accessToken, refreshToken, profile: Profile, done) => {
      try {
        const email = profile.emails?.[0]?.value;
        if (!email) {
          return done(new Error('No email provided by Google'));
        }

        let user = await db.user.findUnique({ where: { email } });

        if (user) {
          if (!user.googleId) {
            user = await db.user.update({
              where: { id: user.id },
              data: { googleId: profile.id },
            });
          }
        } else {
          user = await db.user.create({
            data: {
              email,
              name: profile.displayName,
              googleId: profile.id,
              avatar: profile.photos?.[0]?.value,
            },
          });
        }

        return done(null, user);
      } catch (err) {
        return done(err as Error);
      }
    }
  )
);

app.get('/auth/google', passport.authenticate('google', { scope: ['profile', 'email'] }));
app.get('/auth/google/callback', passport.authenticate('google', { failureRedirect: '/login' }), (req, res) => {
  res.redirect('/dashboard');
});","import passport from 'passport';
import { Strategy as GoogleStrategy } from 'passport-google-oauth20';

// BAD: No account linking, no error handling
passport.use(
  new GoogleStrategy(
    {
      clientID: 'hardcoded-id',
      clientSecret: 'hardcoded-secret',
      callbackURL: '/auth/google/callback',
    },
    async (accessToken, refreshToken, profile, done) => {
      // BAD: Always creates new user - duplicates if email exists
      const user = await db.user.create({
        data: {
          email: profile.emails![0].value, // BAD: no null check
          name: profile.displayName,
        },
      });
      done(null, user);
    }
  )
);",warning,https://www.passportjs.org/packages/passport-google-oauth20/
9,NextAuth Setup,Configure NextAuth.js route handler in App Router,"Set up NextAuth.js in a Next.js App Router project with the [...nextauth] catch-all route. Export GET and POST handlers from the route file.",Create route.ts in app/api/auth/[...nextauth]/ and export named GET and POST handlers,Mix Pages Router and App Router patterns or export a default handler,"// app/api/auth/[...nextauth]/route.ts
import NextAuth from 'next-auth';
import type { NextAuthOptions } from 'next-auth';
import GoogleProvider from 'next-auth/providers/google';
import { PrismaAdapter } from '@auth/prisma-adapter';
import { prisma } from '@/lib/prisma';

export const authOptions: NextAuthOptions = {
  adapter: PrismaAdapter(prisma),
  providers: [
    GoogleProvider({
      clientId: process.env.GOOGLE_CLIENT_ID!,
      clientSecret: process.env.GOOGLE_CLIENT_SECRET!,
    }),
  ],
  session: {
    strategy: 'jwt',
    maxAge: 30 * 24 * 60 * 60, // 30 days
  },
  pages: {
    signIn: '/login',
    error: '/auth/error',
  },
  secret: process.env.NEXTAUTH_SECRET,
};

const handler = NextAuth(authOptions);
export { handler as GET, handler as POST };","// BAD: Wrong file path or Pages Router pattern in App Router
// pages/api/auth/[...nextauth].ts  <-- wrong for App Router
import NextAuth from 'next-auth';

// BAD: Default export doesn't work in App Router
export default NextAuth({
  providers: [],
  // No adapter, no session config, no secret
});

// BAD: Missing NEXTAUTH_SECRET
// BAD: No custom pages defined
// BAD: No session strategy specified",warning,https://next-auth.js.org/getting-started/example
10,NextAuth Providers,Configure multiple NextAuth providers,"Set up multiple authentication providers including OAuth and credentials. Each provider should be properly typed and configured with required scopes.",Configure each provider with explicit scopes and proper credential validation,Use the Credentials provider without proper validation or rate limiting,"import NextAuth from 'next-auth';
import GoogleProvider from 'next-auth/providers/google';
import GitHubProvider from 'next-auth/providers/github';
import CredentialsProvider from 'next-auth/providers/credentials';
import bcrypt from 'bcrypt';
import { prisma } from '@/lib/prisma';

export const authOptions = {
  providers: [
    GoogleProvider({
      clientId: process.env.GOOGLE_CLIENT_ID!,
      clientSecret: process.env.GOOGLE_CLIENT_SECRET!,
      authorization: { params: { scope: 'openid profile email' } },
    }),
    GitHubProvider({
      clientId: process.env.GITHUB_CLIENT_ID!,
      clientSecret: process.env.GITHUB_CLIENT_SECRET!,
    }),
    CredentialsProvider({
      name: 'credentials',
      credentials: {
        email: { label: 'Email', type: 'email' },
        password: { label: 'Password', type: 'password' },
      },
      async authorize(credentials) {
        if (!credentials?.email || !credentials?.password) {
          throw new Error('Email and password required');
        }

        const user = await prisma.user.findUnique({ where: { email: credentials.email } });
        if (!user || !user.password) {
          throw new Error('Invalid credentials');
        }

        const isValid = await bcrypt.compare(credentials.password, user.password);
        if (!isValid) {
          throw new Error('Invalid credentials');
        }

        return { id: user.id, email: user.email, name: user.name };
      },
    }),
  ],
};","import CredentialsProvider from 'next-auth/providers/credentials';

// BAD: No validation, returns arbitrary data
export const authOptions = {
  providers: [
    CredentialsProvider({
      name: 'credentials',
      credentials: {
        email: {},
        password: {},
      },
      async authorize(credentials) {
        // BAD: No null check on credentials
        const user = await db.user.findUnique({ where: { email: credentials!.email } });
        if (user!.password === credentials!.password) { // BAD: plain text comparison
          return user; // BAD: returns full user including password hash
        }
        return null;
      },
    }),
  ],
};",error,https://next-auth.js.org/providers/
