No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Route Setup,"Use file-based routing convention","Remix uses a file-system routing convention where files in the routes directory map to URL paths. Use dot-delimiters for nested URL segments and underscores for layout nesting.","Use the routes directory with proper naming conventions like routes/products.$id.tsx for dynamic segments","Do not manually configure routes unless absolutely necessary; do not use path separators in filenames","// app/routes/products.$id.tsx
import type { LoaderFunctionArgs } from '@remix-run/node';
import { json } from '@remix-run/node';
import { useLoaderData } from '@remix-run/react';

export async function loader({ params }: LoaderFunctionArgs) {
  const product = await getProduct(params.id!);
  if (!product) throw new Response('Not Found', { status: 404 });
  return json({ product });
}

export default function ProductPage() {
  const { product } = useLoaderData<typeof loader>();
  return <h1>{product.name}</h1>;
}","// WRONG: Using manual route config for simple routes
// WRONG: Using path separators in filenames
// app/routes/products/[id].tsx  <-- Not Remix convention

// WRONG: Defining routes manually when file-based works
const routes = [
  { path: '/products/:id', component: ProductPage }
];",error,https://remix.run/docs/en/main/file-conventions/routes
2,Loader,"Use loader for server-side GET data fetching","Loaders run on the server and provide data to route components on GET requests. They receive params, request, and context. Always return data using the json() helper for proper serialization.","Return data via json() with proper types; throw Response objects for errors","Do not fetch data in useEffect on initial render; do not return raw objects without json()","// app/routes/dashboard.tsx
import type { LoaderFunctionArgs } from '@remix-run/node';
import { json } from '@remix-run/node';
import { requireUser } from '~/services/auth.server';
import { getMetrics } from '~/services/metrics.server';

export async function loader({ request }: LoaderFunctionArgs) {
  const user = await requireUser(request);
  const metrics = await getMetrics(user.id);
  return json({ user, metrics }, {
    headers: { 'Cache-Control': 'private, max-age=60' },
  });
}","// BAD: Fetching data client-side instead of using loader
export default function Dashboard() {
  const [data, setData] = useState(null);
  useEffect(() => {
    fetch('/api/dashboard')
      .then(r => r.json())
      .then(setData);
  }, []);
  return <div>{data?.metrics}</div>;
}",error,https://remix.run/docs/en/main/route/loader
3,Action,"Use action for server-side POST/PUT/DELETE mutations","Actions handle non-GET form submissions. They run on the server and can access databases, send emails, etc. Use formData to parse the request body and return appropriate responses.","Parse formData from the request; validate inputs; return json with errors or redirect on success","Do not use API routes for mutations that correspond to a page; do not skip validation","// app/routes/contacts.new.tsx
import type { ActionFunctionArgs } from '@remix-run/node';
import { json, redirect } from '@remix-run/node';
import { z } from 'zod';

const ContactSchema = z.object({
  name: z.string().min(1, 'Name is required'),
  email: z.string().email('Invalid email'),
});

export async function action({ request }: ActionFunctionArgs) {
  const formData = await request.formData();
  const rawData = Object.fromEntries(formData);
  const result = ContactSchema.safeParse(rawData);
  if (!result.success) {
    return json({ errors: result.error.flatten().fieldErrors }, { status: 400 });
  }
  const contact = await createContact(result.data);
  return redirect(`/contacts/${contact.id}`);
}","// BAD: Using a separate API endpoint instead of action
// app/routes/api.contacts.ts
export async function action({ request }: ActionFunctionArgs) {
  const body = await request.json(); // Not using formData
  const contact = await createContact(body); // No validation
  return json(contact);
}
// Then calling fetch('/api/contacts') from the component",error,https://remix.run/docs/en/main/route/action
4,useLoaderData,"Use useLoaderData with typeof loader for type safety","useLoaderData provides the data returned by the route's loader with full type inference when used with typeof loader. This gives end-to-end type safety from loader to component.","Use useLoaderData<typeof loader>() for automatic type inference","Do not manually type useLoaderData; do not destructure without the generic parameter","// app/routes/users.$id.tsx
import type { LoaderFunctionArgs } from '@remix-run/node';
import { json } from '@remix-run/node';
import { useLoaderData } from '@remix-run/react';

export async function loader({ params }: LoaderFunctionArgs) {
  const user = await db.user.findUnique({
    where: { id: params.id },
    select: { id: true, name: true, email: true, role: true },
  });
  if (!user) throw new Response('Not Found', { status: 404 });
  return json({ user });
}

export default function UserProfile() {
  const { user } = useLoaderData<typeof loader>();
  // user is fully typed: { id: string; name: string; email: string; role: string }
  return <h1>{user.name}</h1>;
}","// BAD: Manually typing the loader data
interface LoaderData {
  user: { id: string; name: string; email: string; role: string };
}

export default function UserProfile() {
  // Manual type gets out of sync with the actual loader
  const { user } = useLoaderData() as LoaderData;
  return <h1>{user.name}</h1>;
}",warning,https://remix.run/docs/en/main/hooks/use-loader-data
5,useActionData,"Use useActionData for action response handling","useActionData returns the data from the most recent action submission. Use it to display validation errors or success messages after form submissions.","Use useActionData<typeof action>() to get typed action responses; check for presence before rendering","Do not ignore action return values; do not skip error display to users","// app/routes/login.tsx
import type { ActionFunctionArgs } from '@remix-run/node';
import { json, redirect } from '@remix-run/node';
import { Form, useActionData } from '@remix-run/react';

export async function action({ request }: ActionFunctionArgs) {
  const formData = await request.formData();
  const email = formData.get('email') as string;
  const password = formData.get('password') as string;
  const errors: Record<string, string> = {};
  if (!email) errors.email = 'Email is required';
  if (!password) errors.password = 'Password is required';
  if (Object.keys(errors).length > 0) {
    return json({ errors }, { status: 400 });
  }
  const user = await authenticate(email, password);
  if (!user) return json({ errors: { form: 'Invalid credentials' } }, { status: 401 });
  return redirect('/dashboard');
}

export default function Login() {
  const actionData = useActionData<typeof action>();
  return (
    <Form method=""post"">
      <input name=""email"" type=""email"" />
      {actionData?.errors?.email && <span>{actionData.errors.email}</span>}
      <input name=""password"" type=""password"" />
      {actionData?.errors?.password && <span>{actionData.errors.password}</span>}
      {actionData?.errors?.form && <div className=""error"">{actionData.errors.form}</div>}
      <button type=""submit"">Log In</button>
    </Form>
  );
}","// BAD: Not handling action errors in the UI
export default function Login() {
  // Ignoring actionData entirely -- user gets no feedback
  return (
    <Form method=""post"">
      <input name=""email"" type=""email"" />
      <input name=""password"" type=""password"" />
      <button type=""submit"">Log In</button>
    </Form>
  );
}",warning,https://remix.run/docs/en/main/hooks/use-action-data
6,Error Boundary,"Export ErrorBoundary for route-level error handling","Remix catches errors in loaders, actions, and rendering and displays the nearest ErrorBoundary. Use useRouteError() to access the error. Handle both Response and Error types.","Export an ErrorBoundary component from every route that can throw; use isRouteErrorResponse to differentiate","Do not let errors propagate to the root without catching; do not show raw error messages in production","// app/routes/products.$id.tsx
import { isRouteErrorResponse, useRouteError } from '@remix-run/react';

export function ErrorBoundary() {
  const error = useRouteError();

  if (isRouteErrorResponse(error)) {
    return (
      <div className=""error-container"">
        <h1>{error.status} {error.statusText}</h1>
        <p>{error.status === 404 ? 'Product not found.' : 'Something went wrong.'}</p>
      </div>
    );
  }

  const message = error instanceof Error ? error.message : 'Unknown error';
  return (
    <div className=""error-container"">
      <h1>Unexpected Error</h1>
      <p>{process.env.NODE_ENV === 'development' ? message : 'Please try again later.'}</p>
    </div>
  );
}","// BAD: No ErrorBoundary -- errors bubble up and break the whole page
// Also BAD: Exposing raw error details in production
export function ErrorBoundary() {
  const error = useRouteError();
  return (
    <div>
      <h1>Error</h1>
      <pre>{JSON.stringify(error, null, 2)}</pre>
      <pre>{error.stack}</pre>
    </div>
  );
}",error,https://remix.run/docs/en/main/route/error-boundary
7,Forms,"Use Remix <Form> component instead of HTML <form>","The Remix <Form> component provides progressive enhancement, automatic revalidation after submission, and integrates with useNavigation and useActionData. Always specify the method.","Use <Form method=""post""> for mutations; use <Form method=""get""> for search/filter forms","Do not use plain HTML <form> or fetch/axios for form submissions that map to routes","// app/routes/tasks.tsx
import { Form, useLoaderData } from '@remix-run/react';
import type { ActionFunctionArgs, LoaderFunctionArgs } from '@remix-run/node';
import { json, redirect } from '@remix-run/node';

export async function loader({ request }: LoaderFunctionArgs) {
  const tasks = await getTasks();
  return json({ tasks });
}

export async function action({ request }: ActionFunctionArgs) {
  const formData = await request.formData();
  const intent = formData.get('intent');
  if (intent === 'create') {
    await createTask(formData.get('title') as string);
  } else if (intent === 'delete') {
    await deleteTask(formData.get('taskId') as string);
  }
  return redirect('/tasks');
}

export default function Tasks() {
  const { tasks } = useLoaderData<typeof loader>();
  return (
    <div>
      <Form method=""post"">
        <input name=""title"" placeholder=""New task"" required />
        <button name=""intent"" value=""create"">Add</button>
      </Form>
      <ul>
        {tasks.map((task) => (
          <li key={task.id}>
            {task.title}
            <Form method=""post"" style={{ display: 'inline' }}>
              <input type=""hidden"" name=""taskId"" value={task.id} />
              <button name=""intent"" value=""delete"">Delete</button>
            </Form>
          </li>
        ))}
      </ul>
    </div>
  );
}","// BAD: Using fetch instead of <Form>
export default function Tasks() {
  const handleSubmit = async (e: React.FormEvent) => {
    e.preventDefault();
    await fetch('/api/tasks', {
      method: 'POST',
      body: JSON.stringify({ title }),
    });
    // Must manually refresh data
    window.location.reload();
  };
  return <form onSubmit={handleSubmit}>...</form>;
}",error,https://remix.run/docs/en/main/components/form
8,useFetcher,"Use useFetcher for non-navigation mutations and background loads","useFetcher lets you interact with loaders and actions without causing a navigation. Perfect for inline updates, favorites, newsletter signups, and other UI interactions that should not change the URL.","Use fetcher.Form for inline mutations; use fetcher.load() for background data fetching","Do not use useFetcher when a full page navigation is intended; do not forget to handle fetcher.state","// app/routes/articles.tsx
import { useFetcher } from '@remix-run/react';

function FavoriteButton({ articleId, isFavorited }: { articleId: string; isFavorited: boolean }) {
  const fetcher = useFetcher();
  const optimisticFavorited = fetcher.formData
    ? fetcher.formData.get('favorite') === 'true'
    : isFavorited;

  return (
    <fetcher.Form method=""post"" action=""/api/favorites"">
      <input type=""hidden"" name=""articleId"" value={articleId} />
      <button
        name=""favorite""
        value={optimisticFavorited ? 'false' : 'true'}
        className={optimisticFavorited ? 'favorited' : ''}
        disabled={fetcher.state !== 'idle'}
      >
        {optimisticFavorited ? 'Unfavorite' : 'Favorite'}
      </button>
    </fetcher.Form>
  );
}","// BAD: Using regular Form for inline toggle causes full navigation
import { Form } from '@remix-run/react';

function FavoriteButton({ articleId }: { articleId: string }) {
  return (
    <Form method=""post"" action=""/api/favorites"">
      <input type=""hidden"" name=""articleId"" value={articleId} />
      {/* This navigates away from the current page */}
      <button name=""favorite"" value=""true"">Favorite</button>
    </Form>
  );
}",warning,https://remix.run/docs/en/main/hooks/use-fetcher
9,useNavigation,"Use useNavigation to show loading and submitting states","useNavigation provides the current navigation state (idle, loading, submitting) and the form data being submitted. Use it to build loading indicators and disable buttons during submission.","Use navigation.state to show spinners; use navigation.formData for optimistic UI","Do not show no feedback during loading; do not forget to disable submit buttons while submitting","// app/routes/posts.new.tsx
import { Form, useNavigation } from '@remix-run/react';

export default function NewPost() {
  const navigation = useNavigation();
  const isSubmitting = navigation.state === 'submitting';

  return (
    <Form method=""post"">
      <fieldset disabled={isSubmitting}>
        <label>
          Title: <input name=""title"" required />
        </label>
        <label>
          Content: <textarea name=""content"" rows={10} required />
        </label>
        <button type=""submit"">
          {isSubmitting ? 'Publishing...' : 'Publish Post'}
        </button>
      </fieldset>
      {navigation.state === 'loading' && (
        <p className=""loading-indicator"">Redirecting...</p>
      )}
    </Form>
  );
}","// BAD: No loading feedback, users can double-submit
export default function NewPost() {
  return (
    <Form method=""post"">
      <input name=""title"" required />
      <textarea name=""content"" rows={10} required />
      {/* No disabled state, no loading indicator */}
      <button type=""submit"">Publish Post</button>
    </Form>
  );
}",warning,https://remix.run/docs/en/main/hooks/use-navigation
10,Session Management,"Use createCookieSessionStorage for session management","Remix provides built-in session management with createCookieSessionStorage. Sessions are stored in encrypted cookies and support getSession, commitSession, and destroySession operations.","Create a session utility in a .server.ts file; set secure cookie options; use environment variables for secrets","Do not store sensitive data unencrypted; do not use hardcoded secrets; do not skip httpOnly and secure flags","// app/services/session.server.ts
import { createCookieSessionStorage } from '@remix-run/node';

if (!process.env.SESSION_SECRET) {
  throw new Error('SESSION_SECRET must be set');
}

export const sessionStorage = createCookieSessionStorage({
  cookie: {
    name: '__session',
    httpOnly: true,
    maxAge: 60 * 60 * 24 * 30, // 30 days
    path: '/',
    sameSite: 'lax',
    secrets: [process.env.SESSION_SECRET],
    secure: process.env.NODE_ENV === 'production',
  },
});

export async function getSession(request: Request) {
  return sessionStorage.getSession(request.headers.get('Cookie'));
}

export async function commitSession(session: Awaited<ReturnType<typeof getSession>>) {
  return sessionStorage.commitSession(session);
}

export async function destroySession(session: Awaited<ReturnType<typeof getSession>>) {
  return sessionStorage.destroySession(session);
}","// BAD: Hardcoded secret and insecure cookie settings
import { createCookieSessionStorage } from '@remix-run/node';

export const sessionStorage = createCookieSessionStorage({
  cookie: {
    name: 'session',
    secrets: ['my-secret-123'], // Hardcoded secret!
    // Missing httpOnly -- XSS vulnerable
    // Missing secure -- sent over HTTP
    // Missing sameSite -- CSRF vulnerable
  },
});",error,https://remix.run/docs/en/main/utils/sessions
