No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Module Setup,Define modules with explicit imports/providers/exports,"Every feature should be encapsulated in a module using @Module decorator. Declare providers for DI, imports for dependent modules, and exports for shared providers.",Use @Module with clearly separated imports/providers/exports arrays,Dump all providers into AppModule or forget to export shared providers,"import { Module } from '@nestjs/common';
import { UsersController } from './users.controller';
import { UsersService } from './users.service';
import { PrismaModule } from '../prisma/prisma.module';

@Module({
  imports: [PrismaModule],
  controllers: [UsersController],
  providers: [UsersService],
  exports: [UsersService],
})
export class UsersModule {}","import { Module } from '@nestjs/common';
import { UsersController } from './users.controller';
import { UsersService } from './users.service';
import { PrismaService } from '../prisma/prisma.service';

// BAD: PrismaService duplicated instead of importing PrismaModule
// BAD: Not exporting UsersService when other modules need it
@Module({
  controllers: [UsersController],
  providers: [UsersService, PrismaService],
})
export class UsersModule {}",error,https://docs.nestjs.com/modules
2,Controller,Use @Controller with RESTful route decorators,"Controllers handle incoming requests and return responses. Use route decorators (@Get, @Post, etc.) and keep controllers thin by delegating logic to services.",Keep controllers thin and use proper HTTP method decorators with route params,Put business logic in controllers or use raw strings for status codes,"import { Controller, Get, Post, Body, Param, HttpCode, HttpStatus } from '@nestjs/common';
import { UsersService } from './users.service';
import { CreateUserDto } from './dto/create-user.dto';

@Controller('users')
export class UsersController {
  constructor(private readonly usersService: UsersService) {}

  @Post()
  @HttpCode(HttpStatus.CREATED)
  create(@Body() createUserDto: CreateUserDto) {
    return this.usersService.create(createUserDto);
  }

  @Get(':id')
  findOne(@Param('id') id: string) {
    return this.usersService.findOne(id);
  }
}","import { Controller, Req, Res } from '@nestjs/common';
import { Request, Response } from 'express';
import { PrismaService } from '../prisma/prisma.service';

// BAD: Using raw req/res, business logic in controller, direct DB access
@Controller()
export class UsersController {
  constructor(private readonly prisma: PrismaService) {}

  @Post('users')
  async create(@Req() req: Request, @Res() res: Response) {
    const user = await this.prisma.user.create({ data: req.body });
    res.status(201).json(user);
  }
}",error,https://docs.nestjs.com/controllers
3,Provider/Service,Use @Injectable services for business logic,"Services contain business logic and are injected into controllers via constructor injection. Mark them with @Injectable and register as providers in their module.",Encapsulate business logic in @Injectable services with single responsibility,Mix data access and business logic without separation,"import { Injectable, NotFoundException } from '@nestjs/common';
import { PrismaService } from '../prisma/prisma.service';
import { CreateUserDto } from './dto/create-user.dto';

@Injectable()
export class UsersService {
  constructor(private readonly prisma: PrismaService) {}

  async create(dto: CreateUserDto) {
    return this.prisma.user.create({ data: dto });
  }

  async findOne(id: string) {
    const user = await this.prisma.user.findUnique({ where: { id } });
    if (!user) throw new NotFoundException(`User ${id} not found`);
    return user;
  }
}","// BAD: No @Injectable, no error handling, no typing
class UsersService {
  async create(data: any) {
    const { PrismaClient } = require('@prisma/client');
    const prisma = new PrismaClient();
    return prisma.user.create({ data });
  }
}",error,https://docs.nestjs.com/providers
4,Pipes,Use validation pipes with class-validator or Zod,"Pipes transform and validate incoming data before it reaches the handler. Use ValidationPipe globally or per-route with class-validator decorators or Zod schemas.",Enable global ValidationPipe with whitelist and transform options,Accept raw unvalidated input or validate manually in controllers,"import { ValidationPipe } from '@nestjs/common';
import { NestFactory } from '@nestjs/core';
import { AppModule } from './app.module';

async function bootstrap() {
  const app = await NestFactory.create(AppModule);
  app.useGlobalPipes(
    new ValidationPipe({
      whitelist: true,
      forbidNonWhitelisted: true,
      transform: true,
    }),
  );
  await app.listen(3000);
}
bootstrap();","import { Controller, Post, Body } from '@nestjs/common';

@Controller('users')
export class UsersController {
  @Post()
  create(@Body() body: any) {
    // BAD: No validation, accepts anything
    if (!body.email) throw new Error('Email required');
    if (!body.name) throw new Error('Name required');
    return this.usersService.create(body);
  }
}",error,https://docs.nestjs.com/techniques/validation
5,Guards,Use @UseGuards for authentication and authorization,"Guards determine whether a request should be handled by the route handler. Use them for auth checks, role-based access, and other pre-handler validations.",Implement CanActivate interface and use @UseGuards decorator,Check auth manually inside each route handler,"import { Injectable, CanActivate, ExecutionContext } from '@nestjs/common';
import { JwtService } from '@nestjs/jwt';
import { Request } from 'express';

@Injectable()
export class AuthGuard implements CanActivate {
  constructor(private readonly jwtService: JwtService) {}

  async canActivate(context: ExecutionContext): Promise<boolean> {
    const request = context.switchToHttp().getRequest<Request>();
    const token = this.extractToken(request);
    if (!token) return false;
    try {
      const payload = await this.jwtService.verifyAsync(token);
      request['user'] = payload;
      return true;
    } catch {
      return false;
    }
  }

  private extractToken(req: Request): string | undefined {
    const [type, token] = req.headers.authorization?.split(' ') ?? [];
    return type === 'Bearer' ? token : undefined;
  }
}","import { Controller, Post, Req } from '@nestjs/common';
import * as jwt from 'jsonwebtoken';

@Controller('protected')
export class ProtectedController {
  @Post()
  async doSomething(@Req() req: any) {
    // BAD: Manual auth check in every handler
    const token = req.headers.authorization?.split(' ')[1];
    if (!token) throw new Error('Unauthorized');
    const decoded = jwt.verify(token, 'secret');
    // ... handler logic
  }
}",error,https://docs.nestjs.com/guards
6,Interceptors,Use interceptors for logging and response transformation,"Interceptors add extra logic before/after method execution. Use them for logging, caching, response mapping, and timing without polluting business logic.",Implement NestInterceptor for cross-cutting concerns,Add logging or transformation logic directly in every handler,"import { Injectable, NestInterceptor, ExecutionContext, CallHandler, Logger } from '@nestjs/common';
import { Observable, tap } from 'rxjs';

@Injectable()
export class LoggingInterceptor implements NestInterceptor {
  private readonly logger = new Logger(LoggingInterceptor.name);

  intercept(context: ExecutionContext, next: CallHandler): Observable<any> {
    const req = context.switchToHttp().getRequest();
    const { method, url } = req;
    const now = Date.now();

    return next.handle().pipe(
      tap(() => {
        this.logger.log(`${method} ${url} - ${Date.now() - now}ms`);
      }),
    );
  }
}","import { Controller, Get, Logger } from '@nestjs/common';

@Controller('users')
export class UsersController {
  private logger = new Logger('UsersController');

  @Get()
  findAll() {
    // BAD: Logging duplicated in every handler
    const start = Date.now();
    this.logger.log('GET /users started');
    const result = this.usersService.findAll();
    this.logger.log(`GET /users finished in ${Date.now() - start}ms`);
    return result;
  }
}",warning,https://docs.nestjs.com/interceptors
7,Exception Filters,Use @Catch for custom error handling,"Exception filters catch unhandled exceptions and transform them into user-friendly responses. Use HttpException subclasses and custom filters for consistent error shapes.",Create custom exception filters implementing ExceptionFilter interface,Throw raw Error objects or catch exceptions with try-catch in every handler,"import { ExceptionFilter, Catch, ArgumentsHost, HttpException, HttpStatus, Logger } from '@nestjs/common';
import { Request, Response } from 'express';

@Catch()
export class AllExceptionsFilter implements ExceptionFilter {
  private readonly logger = new Logger(AllExceptionsFilter.name);

  catch(exception: unknown, host: ArgumentsHost) {
    const ctx = host.switchToHttp();
    const response = ctx.getResponse<Response>();
    const request = ctx.getRequest<Request>();

    const status = exception instanceof HttpException
      ? exception.getStatus()
      : HttpStatus.INTERNAL_SERVER_ERROR;

    const message = exception instanceof HttpException
      ? exception.getResponse()
      : 'Internal server error';

    this.logger.error(`${request.method} ${request.url}`, exception instanceof Error ? exception.stack : '');

    response.status(status).json({
      statusCode: status,
      timestamp: new Date().toISOString(),
      path: request.url,
      message,
    });
  }
}","import { Controller, Get, Res } from '@nestjs/common';
import { Response } from 'express';

@Controller('users')
export class UsersController {
  @Get()
  async findAll(@Res() res: Response) {
    try {
      const users = await this.usersService.findAll();
      res.json(users);
    } catch (err) {
      // BAD: Manual try-catch in every handler, inconsistent error shape
      res.status(500).json({ error: err.message });
    }
  }
}",error,https://docs.nestjs.com/exception-filters
8,DTOs,Define DTOs with class-validator decorators for input validation,"Data Transfer Objects define the shape of incoming data. Use class-validator decorators for automatic validation when combined with ValidationPipe.",Create separate DTOs for create/update operations with proper decorators,Use raw interfaces or any type for request bodies,"import { IsEmail, IsString, MinLength, IsOptional } from 'class-validator';

export class CreateUserDto {
  @IsString()
  @MinLength(2)
  name: string;

  @IsEmail()
  email: string;

  @IsString()
  @MinLength(8)
  password: string;
}

export class UpdateUserDto {
  @IsOptional()
  @IsString()
  @MinLength(2)
  name?: string;

  @IsOptional()
  @IsEmail()
  email?: string;
}","// BAD: No validation, no type safety
interface CreateUserDto {
  name: string;
  email: string;
  password: string;
}

// Interfaces cannot be validated at runtime by ValidationPipe
// class-validator decorators only work on classes",warning,https://docs.nestjs.com/techniques/validation
9,Custom Decorators,Use createParamDecorator for reusable param extractors,"Custom decorators reduce boilerplate by extracting common parameter logic. Use createParamDecorator for request-derived data like current user.",Create typed custom decorators for frequently extracted request data,Repeat the same extraction logic across multiple handlers,"import { createParamDecorator, ExecutionContext } from '@nestjs/common';

export interface AuthUser {
  id: string;
  email: string;
  roles: string[];
}

export const CurrentUser = createParamDecorator(
  (data: keyof AuthUser | undefined, ctx: ExecutionContext): AuthUser | any => {
    const request = ctx.switchToHttp().getRequest();
    const user = request.user as AuthUser;
    return data ? user?.[data] : user;
  },
);

// Usage in controller:
// @Get('profile')
// getProfile(@CurrentUser() user: AuthUser) { return user; }
// @Get('my-id')
// getMyId(@CurrentUser('id') userId: string) { return userId; }","import { Controller, Get, Req } from '@nestjs/common';

@Controller('profile')
export class ProfileController {
  @Get()
  getProfile(@Req() req: any) {
    // BAD: Duplicated extraction logic, no type safety
    const user = req.user;
    return user;
  }

  @Get('id')
  getMyId(@Req() req: any) {
    return req.user.id;
  }
}",warning,https://docs.nestjs.com/custom-decorators
10,Dependency Injection,Use constructor injection with proper scoping,"NestJS DI system resolves dependencies via constructor parameters. Use standard constructor injection for singletons and understand request-scoped providers when needed.",Use constructor injection and let NestJS resolve dependencies automatically,"Instantiate dependencies manually with new, or use property injection without clear reason","import { Injectable } from '@nestjs/common';
import { PrismaService } from '../prisma/prisma.service';
import { MailService } from '../mail/mail.service';

@Injectable()
export class UsersService {
  constructor(
    private readonly prisma: PrismaService,
    private readonly mailService: MailService,
  ) {}

  async createUser(data: { email: string; name: string }) {
    const user = await this.prisma.user.create({ data });
    await this.mailService.sendWelcome(user.email);
    return user;
  }
}","import { Injectable } from '@nestjs/common';
import { PrismaClient } from '@prisma/client';
import { MailService } from '../mail/mail.service';

@Injectable()
export class UsersService {
  // BAD: Manual instantiation bypasses DI, untestable, no lifecycle mgmt
  private prisma = new PrismaClient();
  private mailService = new MailService();

  async createUser(data: { email: string; name: string }) {
    const user = await this.prisma.user.create({ data });
    await this.mailService.sendWelcome(user.email);
    return user;
  }
}",error,https://docs.nestjs.com/fundamentals/custom-providers
