No,Anti-Pattern,Category,Keywords,What People Do Wrong,Why Its Bad,Better Approach,Code Bad,Code Good,Severity,Detection
1,Unwrap Everywhere,Error Handling,"unwrap, panic, crash, production","Calling .unwrap() on Result and Option throughout production code","Panics at runtime on any failure; crashes the entire program; no error recovery possible","Use ? operator for propagation; use .unwrap_or_else() or .unwrap_or_default() for defaults; use .expect() with context when panic is intentional","fn load_config() -> Config {\n    let data = std::fs::read_to_string(""config.toml"").unwrap();\n    toml::from_str(&data).unwrap()\n    // panics on missing file or invalid TOML\n}","fn load_config() -> Result<Config, anyhow::Error> {\n    let data = std::fs::read_to_string(""config.toml"")\n        .context(""failed to read config"")?;\n    let cfg = toml::from_str(&data)\n        .context(""invalid TOML"")?;\n    Ok(cfg)\n}",Critical,"clippy::unwrap_used lint; review"
2,Clone to Satisfy Borrow Checker,Ownership,"clone, borrow checker, ownership, fight","Cloning values unnecessarily to avoid borrow checker errors instead of restructuring code","Wastes memory and CPU on heap allocations; hides design problems; often indicates misunderstanding of lifetimes","Restructure code to use references; reduce lock scope; use scoped borrows; split struct methods to avoid conflicting borrows","fn process(data: &mut Vec<String>) {\n    let copy = data.clone(); // expensive clone!\n    for item in &copy {\n        if item.starts_with(""x"") {\n            data.retain(|d| d != item);\n        }\n    }\n}","fn process(data: &mut Vec<String>) {\n    data.retain(|item| !item.starts_with(""x""));\n    // no clone needed with the right approach\n}",High,"clippy; code review; DHAT profiler"
3,String for Everything,Type Safety,"String, stringly typed, enum, newtype","Using String where specific types (enums, newtypes, or structs) would provide safety","No compile-time validation; typos compile but fail at runtime; impossible to enumerate valid values","Use enums for known sets; newtypes for validated values; &str for borrowed text","fn set_status(user: &mut User, status: String) {\n    user.status = status;\n}\nset_status(&mut user, ""actve"".into()); // typo compiles fine","enum Status { Active, Inactive, Suspended }\n\nfn set_status(user: &mut User, status: Status) {\n    user.status = status;\n}\n// set_status(&mut user, Status::Actve); // compile error!",Critical,"clippy; type review"
4,Blocking in Async Context,Concurrency,"blocking, async, tokio, starvation","Calling blocking operations (std::fs, thread::sleep, CPU-heavy code) inside async functions","Blocks the Tokio worker thread; starves other tasks; reduces throughput; may cause deadlocks","Use tokio::task::spawn_blocking for blocking work; use tokio::fs for async file ops; use tokio::time::sleep for delays","async fn handler() -> String {\n    let data = std::fs::read_to_string(""big.csv"").unwrap(); // blocks worker!\n    std::thread::sleep(std::time::Duration::from_secs(1)); // blocks worker!\n    expensive_computation(&data) // blocks worker!\n}","async fn handler() -> String {\n    let data = tokio::fs::read_to_string(""big.csv"").await.unwrap();\n    tokio::time::sleep(std::time::Duration::from_secs(1)).await;\n    tokio::task::spawn_blocking(move || expensive_computation(&data)).await.unwrap()\n}",Critical,"tokio-console; clippy"
5,Ignoring Compiler Warnings,Quality,"warning, dead_code, allow, suppress","Silencing compiler warnings with #[allow(...)] instead of fixing the underlying issue","Masks real bugs; dead code accumulates; unused imports slow compilation; ignored warnings reduce trust in CI","Fix warnings at the source; configure #[deny(warnings)] in CI; use #[allow] only for documented reasons","#![allow(dead_code)]\n#![allow(unused_imports)]\n#![allow(unused_variables)]\n// suppress everything so the build is green","#![deny(warnings)] // in CI\n#![warn(clippy::all)] // enable all clippy lints\n\n// Only allow when justified:\n#[allow(dead_code)] // TODO: will be used in v2 API\nfn future_feature() {}",High,"cargo clippy; CI check"
6,Leaking Implementation Details,API Design,"pub, private, encapsulation, leak, internal","Marking fields or types as pub when they should be private, exposing internals to consumers","Callers depend on implementation details; cannot change internals without breaking changes; unsafe direct access","Use private fields with getter methods; expose only what consumers need; use pub(crate) for internal visibility","pub struct Database {\n    pub pool: PgPool,        // exposes pool directly\n    pub connection_string: String, // exposes credentials!\n    pub cache: HashMap<String, String>,\n}\n// caller can modify pool and cache directly","pub struct Database {\n    pool: PgPool,\n    cache: HashMap<String, String>,\n}\n\nimpl Database {\n    pub async fn query(&self, sql: &str) -> Result<Vec<Row>> {\n        // controlled access through methods\n    }\n}",High,"clippy; API review"
7,God Struct,Architecture,"monolith, large struct, single responsibility, bloat","Putting too many fields and methods into a single struct","Hard to test; hard to understand; hard to extend; violates single responsibility; merge conflicts in teams","Split into focused structs; use composition; extract related fields into sub-structs","struct App {\n    db: PgPool,\n    cache: Redis,\n    config: Config,\n    logger: Logger,\n    mailer: Mailer,\n    users: Vec<User>,\n    orders: Vec<Order>,\n    // 50 methods on this struct\n}","struct App {\n    db: DatabaseService,\n    mail: MailService,\n    config: Config,\n}\n\nstruct DatabaseService { pool: PgPool, cache: Redis }\nstruct MailService { mailer: Mailer, templates: Templates }",High,"code review; struct size analysis"
8,Overusing Arc Mutex,Concurrency,"Arc, Mutex, shared state, contention","Wrapping everything in Arc<Mutex<T>> as the default concurrency strategy","High contention; reduces parallelism to serial access; hidden deadlocks; complex API","Use channels for message passing; use DashMap for concurrent maps; use atomic types for counters; use actors for stateful components","struct AppState {\n    users: Arc<Mutex<HashMap<u64, User>>>,\n    orders: Arc<Mutex<HashMap<u64, Order>>>,\n    counter: Arc<Mutex<u64>>,\n    config: Arc<Mutex<Config>>,\n}","struct AppState {\n    users: Arc<DashMap<u64, User>>,  // sharded concurrent map\n    orders: Arc<DashMap<u64, Order>>,\n    counter: AtomicU64,               // lock-free counter\n    config: Arc<ArcSwap<Config>>,     // lock-free config swap\n}",High,"tokio-console; deadlock detection"
9,Not Using Clippy,Quality,"clippy, lint, static analysis, quality","Not running cargo clippy or ignoring its suggestions","Misses common mistakes; ships suboptimal code; does not catch idiomatic violations","Run cargo clippy in CI with -D warnings; configure clippy.toml for project-specific rules","# Only running:\ncargo build\ncargo test\n# Missing patterns that clippy catches:\nif x.len() == 0 { } // clippy: use x.is_empty()\nlet _ = v.iter().map(|x| x.clone()).collect::<Vec<_>>(); // clippy: use .cloned()","# In CI:\ncargo clippy -- -D warnings\n\n# With extra lints:\ncargo clippy -- -W clippy::pedantic -D warnings\n\n# Project config in clippy.toml:\nmsrv = ""1.75.0""",Critical,"CI pipeline; pre-commit hooks"
10,Premature Optimization,Performance,"optimize, premature, readability, benchmark","Optimizing code before measuring; using unsafe for speed without profiling; sacrificing readability","Optimizes the wrong thing; makes code harder to maintain; unsafe code introduces soundness risks; benchmarks may not show improvement","Profile first with cargo flamegraph; benchmark with criterion; optimize only hot paths","fn sum(data: &[u64]) -> u64 {\n    unsafe {\n        let mut total: u64 = 0;\n        let ptr = data.as_ptr();\n        for i in 0..data.len() {\n            total += *ptr.add(i);\n        }\n        total\n    }\n    // unsafe raw pointer arithmetic for... a sum?\n}","fn sum(data: &[u64]) -> u64 {\n    data.iter().sum()\n    // compiler optimizes this to SIMD automatically\n    // safe, readable, and fast\n}",High,"cargo flamegraph; criterion benchmark"
11,Overly Complex Lifetimes,Ownership,"lifetime, complex, elision, refactor","Adding explicit lifetimes everywhere when the code could be restructured to avoid them","Hard to read; hard to maintain; discourages contributions; often indicates a design problem","Restructure to use owned data; use Arc/Rc for shared ownership; use Cow for sometimes-borrowed; let lifetime elision work","struct Parser<'a, 'b, 'c> {\n    input: &'a str,\n    config: &'b Config,\n    output: &'c mut Vec<Token>,\n}\n\nimpl<'a, 'b, 'c> Parser<'a, 'b, 'c> {\n    fn parse(&mut self) -> Result<&'a str, Error> {\n        // three lifetime parameters is usually too many\n    }\n}","struct Parser {\n    input: String, // owned\n    config: Arc<Config>, // shared\n    output: Vec<Token>, // owned\n}\n\nimpl Parser {\n    fn parse(&mut self) -> Result<String, Error> {\n        // no lifetime annotations needed\n    }\n}",Medium,"code review; compiler feedback"
12,Ignoring Error Variants,Error Handling,"_ catch-all, match, wildcard, error","Using _ wildcard to catch all error variants without handling them properly","Silent failures; missing new error variants; hard to debug; logs show generic messages","Handle each variant explicitly; log specific error information; use non_exhaustive to force handling","fn handle_error(err: AppError) {\n    match err {\n        AppError::NotFound => { /* handle */ }\n        _ => {\n            log::error!(""something went wrong"");\n            // which error? what context?\n        }\n    }\n}","fn handle_error(err: AppError) {\n    match err {\n        AppError::NotFound => return_404(),\n        AppError::Unauthorized => return_401(),\n        AppError::Validation(msg) => return_400(msg),\n        AppError::Internal(e) => {\n            tracing::error!(error = %e, ""internal error"");\n            return_500()\n        }\n    }\n}",High,"clippy::wildcard_enum_match_arm; review"
