No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Eloquent,Eloquent Relationships Best Practices,Define proper relationships with eager loading and constraints for optimal queries,Define relationships with return types. Use eager loading. Use withDefault for optional,"Access relationships without eager loading (N+1) or define without return types","class User extends Model {\n    public function posts(): HasMany {\n        return $this->hasMany(Post::class);\n    }\n    public function latestPost(): HasOne {\n        return $this->hasOne(Post::class)->latestOfMany();\n    }\n    public function profile(): HasOne {\n        return $this->hasOne(Profile::class)->withDefault();\n    }\n}\n\n// Eager load:\n$users = User::with(['posts' => fn($q) => $q->published()->limit(5)])->get();","class User extends Model {\n    public function posts() {\n        return $this->hasMany('App\\Models\\Post');\n        // String reference, no return type\n    }\n}\n$users = User::all();\nforeach ($users as $u) { $u->posts; } // N+1",High,https://laravel.com/docs/eloquent-relationships
2,Eloquent,Eloquent Query Optimization,Write optimized Eloquent queries avoiding common performance pitfalls,Use select() for needed columns. Use chunk/cursor for large datasets. Use raw for complex queries,Use get()/all() on large tables. Select all columns when you need two,"// Select only needed columns:\n$users = User::select('id', 'name', 'email')->where('active', true)->get();\n\n// Subquery select:\n$users = User::addSelect([\n    'last_login' => Login::select('created_at')\n        ->whereColumn('user_id', 'users.id')\n        ->latest()\n        ->limit(1)\n])->get();\n\n// Chunk processing:\nUser::where('active', false)->chunk(1000, function ($users) {\n    foreach ($users as $user) { $user->anonymize(); }\n});\n\n// Upsert:\nProduct::upsert($products, ['sku'], ['price', 'stock']);","$users = User::all();\n// Loads ALL columns, ALL rows\n// memory_get_peak_usage() = 500MB for 1M rows\n\nforeach ($users as $user) {\n    $user->update(['processed' => true]);\n    // 1M individual UPDATE queries\n}",Critical,https://laravel.com/docs/eloquent#retrieving-models
3,Doctrine,Doctrine Entity Best Practices,Configure Doctrine entities with proper mapping relationships and lifecycle,Use PHP 8 attributes for mapping. Define bidirectional relationships carefully. Use cascade options,Use annotations (deprecated) or lazy-load collections without pagination,"#[ORM\\Entity(repositoryClass: OrderRepository::class)]\n#[ORM\\Table(name: 'orders')]\n#[ORM\\Index(columns: ['status', 'created_at'])]\nclass Order {\n    #[ORM\\Id]\n    #[ORM\\GeneratedValue]\n    #[ORM\\Column]\n    private ?int $id = null;\n\n    #[ORM\\ManyToOne(targetEntity: User::class)]\n    #[ORM\\JoinColumn(nullable: false)]\n    private User $user;\n\n    #[ORM\\OneToMany(targetEntity: OrderItem::class, mappedBy: 'order', cascade: ['persist', 'remove'], orphanRemoval: true)]\n    private Collection $items;\n\n    #[ORM\\Column(enumType: OrderStatus::class)]\n    private OrderStatus $status = OrderStatus::Pending;\n}","/** @ORM\\Entity */\nclass Order {\n    /** @ORM\\Column(type='string') */\n    private $status; // String instead of enum\n    // No indexes, no cascades\n}",High,https://symfony.com/doc/current/doctrine.html
4,Doctrine,DQL and QueryBuilder,Use Doctrine QueryBuilder for complex queries with proper joins and conditions,Use QueryBuilder for reusable queries. Use DQL for complex queries. Hydrate to DTOs for read-only,"Write raw SQL or load full entities for read-only lists","class OrderRepository extends ServiceEntityRepository {\n    public function findRecentByUser(int $userId, int $days = 30): array {\n        return $this->createQueryBuilder('o')\n            ->select('o', 'i', 'p')\n            ->leftJoin('o.items', 'i')\n            ->leftJoin('i.product', 'p')\n            ->where('o.user = :userId')\n            ->andWhere('o.createdAt >= :since')\n            ->setParameter('userId', $userId)\n            ->setParameter('since', new \\DateTime(\"-{$days} days\"))\n            ->orderBy('o.createdAt', 'DESC')\n            ->getQuery()\n            ->getResult();\n    }\n    // DTO hydration for read-only:\n    public function findSummaries(): array {\n        return $this->createQueryBuilder('o')\n            ->select('NEW App\\DTO\\OrderSummary(o.id, o.total, o.status, o.createdAt)')\n            ->getQuery()\n            ->getResult();\n    }\n}","$orders = $em->getRepository(Order::class)->findAll();\n// Loads ALL orders with no filtering\n// Then filters in PHP: collection operations on 100K records",High,https://www.doctrine-project.org/projects/doctrine-orm/en/latest/reference/query-builder.html
5,Migrations,Database Migration Best Practices,Write reversible migrations with proper up and down methods,Always define rollback. Add indexes in migrations. Use schema builder methods,Edit existing migrations after deployment or create irreversible migrations,"// Laravel:\nclass AddStatusToOrders extends Migration {\n    public function up(): void {\n        Schema::table('orders', function (Blueprint $table) {\n            $table->string('status')->default('pending')->after('total');\n            $table->index('status');\n        });\n    }\n    public function down(): void {\n        Schema::table('orders', function (Blueprint $table) {\n            $table->dropIndex(['status']);\n            $table->dropColumn('status');\n        });\n    }\n}\n\n// Doctrine:\nclass Version20240101 extends AbstractMigration {\n    public function up(Schema $schema): void {\n        $this->addSql('ALTER TABLE orders ADD status VARCHAR(20) DEFAULT \\'pending\\'');\n        $this->addSql('CREATE INDEX idx_status ON orders (status)');\n    }\n    public function down(Schema $schema): void {\n        $this->addSql('DROP INDEX idx_status ON orders');\n        $this->addSql('ALTER TABLE orders DROP COLUMN status');\n    }\n}","public function up(): void {\n    Schema::table('orders', function (Blueprint $table) {\n        $table->string('status');\n    });\n}\n// No down() method\n// No index\n// No default value",High,https://laravel.com/docs/migrations
6,PDO,Raw PDO Best Practices,When using PDO directly always use prepared statements and proper error handling,Use prepared statements with named parameters. Set PDO error mode to exceptions,"Concatenate user input into SQL strings","$pdo = new PDO($dsn, $user, $pass, [\n    PDO::ATTR_ERRMODE => PDO::ERRMODE_EXCEPTION,\n    PDO::ATTR_DEFAULT_FETCH_MODE => PDO::FETCH_ASSOC,\n    PDO::ATTR_EMULATE_PREPARES => false,\n]);\n\n$stmt = $pdo->prepare('SELECT * FROM users WHERE email = :email AND active = :active');\n$stmt->execute(['email' => $email, 'active' => 1]);\n$user = $stmt->fetch();\n\n// Transaction:\n$pdo->beginTransaction();\ntry {\n    // ... operations\n    $pdo->commit();\n} catch (\\Throwable $e) {\n    $pdo->rollBack();\n    throw $e;\n}","$result = $pdo->query(\"SELECT * FROM users WHERE email = '$email'\");\n// SQL injection!\n// No error handling\n// No transaction",Critical,https://php.net/pdo
7,Indexing,Database Index Strategy,Create indexes based on actual query patterns for optimal read performance,Index columns in WHERE JOIN and ORDER BY. Use composite indexes for multi-column queries,Add indexes on every column or ignore indexing entirely,"// Laravel migration:\nSchema::table('orders', function (Blueprint $table) {\n    $table->index('user_id');           // FK lookups\n    $table->index('status');            // Status filtering\n    $table->index('created_at');        // Date sorting\n    $table->index(['user_id', 'status']); // Composite for user+status queries\n    $table->unique(['user_id', 'product_id']); // Unique constraint\n});\n\n// Check query plan:\nDB::select('EXPLAIN SELECT * FROM orders WHERE user_id = ? AND status = ?', [1, 'pending']);","Schema::create('orders', function (Blueprint $table) {\n    $table->id();\n    $table->integer('user_id'); // No index\n    $table->string('status');   // No index\n    // Full table scan on every filtered query\n});",Critical,https://laravel.com/docs/migrations#indexes
8,Seeding,Database Seeding Strategy,Use seeders for development data and factories for test data with proper separation,Create realistic seed data. Separate seeders by entity. Use factories for randomized test data,Use seeders in production or create tightly coupled test data,"class DatabaseSeeder extends Seeder {\n    public function run(): void {\n        $this->call([\n            RoleSeeder::class,\n            AdminUserSeeder::class,\n            CategorySeeder::class,\n        ]);\n        if (app()->isLocal()) {\n            User::factory(50)->has(Post::factory(5)->has(Comment::factory(3)))->create();\n        }\n    }\n}\n\nclass CategorySeeder extends Seeder {\n    public function run(): void {\n        $categories = ['Technology', 'Science', 'Arts', 'Sports'];\n        foreach ($categories as $name) {\n            Category::firstOrCreate(['name' => $name, 'slug' => Str::slug($name)]);\n        }\n    }\n}","class DatabaseSeeder extends Seeder {\n    public function run(): void {\n        // Inline data with hardcoded IDs:\n        DB::table('users')->insert(['id' => 1, 'name' => 'Admin']);\n        DB::table('posts')->insert(['id' => 1, 'user_id' => 1]);\n        // Breaks if IDs conflict\n    }\n}",Medium,https://laravel.com/docs/seeding
9,Connection,Connection Pooling and Configuration,Configure database connections properly for different environments and workloads,Use read/write splitting. Configure connection pooling. Set appropriate timeouts,Use default connection settings for production with high traffic,"// config/database.php\n'mysql' => [\n    'read' => [\n        'host' => [env('DB_READ_HOST_1'), env('DB_READ_HOST_2')],\n    ],\n    'write' => [\n        'host' => [env('DB_WRITE_HOST')],\n    ],\n    'sticky' => true, // Read from write after writing\n    'driver' => 'mysql',\n    'database' => env('DB_DATABASE'),\n    'charset' => 'utf8mb4',\n    'collation' => 'utf8mb4_unicode_ci',\n    'prefix' => '',\n    'options' => [\n        PDO::ATTR_PERSISTENT => true, // Connection pooling\n    ],\n],","'mysql' => [\n    'host' => 'localhost',\n    'database' => 'mydb',\n    // Single server for reads and writes\n    // Default timeout settings\n    // No connection pooling\n]",Medium,https://laravel.com/docs/database#read-and-write-connections
10,Performance,Query Monitoring and Optimization,Monitor and optimize database queries in development and production,Use Debugbar/Telescope in dev. Log slow queries. Use EXPLAIN for optimization,"Deploy without monitoring queries discovering issues from user complaints","// Log slow queries:\nDB::listen(function ($query) {\n    if ($query->time > 100) { // ms\n        Log::warning('Slow query', [\n            'sql' => $query->sql,\n            'bindings' => $query->bindings,\n            'time' => $query->time . 'ms',\n        ]);\n    }\n});\n\n// MySQL slow query log:\n// [mysqld]\n// slow_query_log = 1\n// slow_query_log_file = /var/log/mysql/slow.log\n// long_query_time = 1","// No monitoring:\n// Queries taking 5 seconds go unnoticed\n// N+1 queries discovered when users complain about slowness\n// No way to identify which queries are problematic",High,https://laravel.com/docs/database#monitoring-cumulative-query-time
