No,Pattern Name,Category,Keywords,Description,When To Use,When Not To Use,Code Example,Anti-Pattern,Complexity,Performance Impact,Common Packages,Docs URL
1,Repository Pattern,Structural,"repository,data access,eloquent,doctrine,query",Abstracts data access behind an interface so business logic is decoupled from the database layer,"When you need testable data access; when switching between Eloquent/Doctrine; for complex queries","Simple CRUD with few models; when Eloquent scopes suffice","interface UserRepositoryInterface {\n    public function findById(int $id): ?User;\n    public function findByEmail(string $email): ?User;\n    public function save(User $user): void;\n}\n\nclass EloquentUserRepository implements UserRepositoryInterface {\n    public function findById(int $id): ?User {\n        return User::find($id);\n    }\n    public function findByEmail(string $email): ?User {\n        return User::where('email', $email)->first();\n    }\n    public function save(User $user): void {\n        $user->save();\n    }\n}","Calling Eloquent directly in controllers: User::where('email', $email)->first() scattered everywhere",Medium,None,"laravel/framework,doctrine/orm",https://laravel.com/docs/eloquent
2,Service Layer,Structural,"service,business logic,use case,action",Encapsulates business logic in dedicated service classes keeping controllers thin,"When business logic spans multiple models; when the same logic is reused across controllers","When a controller action is simple CRUD with no complex logic","class CreateOrderService {\n    public function __construct(\n        private OrderRepositoryInterface $orders,\n        private PaymentGateway $payments,\n        private NotificationService $notifications\n    ) {}\n\n    public function execute(CreateOrderDTO $dto): Order {\n        $order = new Order($dto->toArray());\n        $this->orders->save($order);\n        $this->payments->charge($order);\n        $this->notifications->sendOrderConfirmation($order);\n        return $order;\n    }\n}","Fat controllers with hundreds of lines of business logic mixed with HTTP concerns",Medium,None,laravel/framework,https://laravel.com/docs/container
3,Data Transfer Object (DTO),Structural,"dto,data transfer,value object,immutable",A simple object to transfer data between layers without behavior. Ensures type safety and explicit contracts,"When passing data between layers; for API request/response shaping; for form data","When a simple array is clear enough; for trivial internal operations","final readonly class CreateUserDTO {\n    public function __construct(\n        public string $name,\n        public string $email,\n        public string $password,\n        public ?string $phone = null\n    ) {}\n\n    public static function fromRequest(Request $request): self {\n        return new self(\n            name: $request->validated('name'),\n            email: $request->validated('email'),\n            password: $request->validated('password'),\n            phone: $request->validated('phone')\n        );\n    }\n}","Passing raw arrays between layers: $data = $request->all(); $service->create($data);",Low,None,spatie/laravel-data,https://php.net/readonly
4,Factory Pattern,Creational,"factory,creation,instantiation,polymorphism",Creates objects without specifying exact classes. Centralizes complex object creation logic,"When object creation is complex; when the type depends on runtime conditions","When a simple new ClassName() suffices","class NotificationFactory {\n    public static function create(string $channel): NotificationInterface {\n        return match($channel) {\n            'email' => new EmailNotification(),\n            'sms' => new SmsNotification(),\n            'push' => new PushNotification(),\n            default => throw new InvalidArgumentException(\"Unknown channel: {$channel}\")\n        };\n    }\n}\n$notification = NotificationFactory::create('email');\n$notification->send($user, $message);","Giant switch/if-else chains in business logic to decide which class to instantiate",Low,None,laravel/framework,https://php.net/language.oop5
5,Strategy Pattern,Behavioral,"strategy,algorithm,swap,pluggable,payment",Define a family of algorithms as implementations of an interface and swap them at runtime,"When behavior needs to be swappable (payment gateways, export formats, auth strategies)","When there is only one implementation","interface PaymentGateway {\n    public function charge(Money $amount, PaymentMethod $method): PaymentResult;\n    public function refund(string $transactionId, Money $amount): RefundResult;\n}\n\nclass StripeGateway implements PaymentGateway {\n    public function charge(Money $amount, PaymentMethod $method): PaymentResult {\n        // Stripe API call\n    }\n    public function refund(string $transactionId, Money $amount): RefundResult {\n        // Stripe refund\n    }\n}\n\nclass PaymentService {\n    public function __construct(private PaymentGateway $gateway) {}\n    public function processPayment(Order $order): PaymentResult {\n        return $this->gateway->charge($order->total, $order->paymentMethod);\n    }\n}","Hardcoding payment logic with if/else for different gateways in one method",Medium,None,"stripe/stripe-php,laravel/cashier",https://refactoring.guru/design-patterns/strategy/php
6,Observer Pattern (Events),Behavioral,"observer,event,listener,dispatch,decouple",Components subscribe to events and react when they are dispatched. Decouples producers from consumers,"For side effects (notifications, logging, cache invalidation); when multiple systems react to one action","When there is only one reaction; when the flow must be synchronous and ordered","// Laravel Event\nclass OrderPlaced {\n    public function __construct(public readonly Order $order) {}\n}\n\nclass SendOrderConfirmation {\n    public function handle(OrderPlaced $event): void {\n        Mail::to($event->order->user)->send(new OrderConfirmationMail($event->order));\n    }\n}\n\n// Dispatching\nevent(new OrderPlaced($order));","Calling notification/email/cache code directly inside the controller after order creation",Medium,Low,laravel/framework,https://laravel.com/docs/events
7,Middleware Pattern,Structural,"middleware,pipeline,request,response,filter",Wraps request/response handling in layers that can inspect/modify at each stage,"For cross-cutting concerns: auth, logging, CORS, rate limiting, locale detection","When logic is specific to a single route handler","class EnsureApiKeyIsValid {\n    public function handle(Request $request, Closure $next): Response {\n        $apiKey = $request->header('X-API-Key');\n        if (!$apiKey || !ApiKey::where('key', $apiKey)->where('active', true)->exists()) {\n            return response()->json(['error' => 'Invalid API key'], 401);\n        }\n        return $next($request);\n    }\n}\n\n// Register in Kernel or route\nRoute::middleware(EnsureApiKeyIsValid::class)->group(function () {\n    Route::get('/api/data', [DataController::class, 'index']);\n});","Putting auth/validation checks at the top of every single controller method",Medium,None,laravel/framework,https://laravel.com/docs/middleware
8,Decorator Pattern,Structural,"decorator,wrapper,extend,cache,logging",Wraps an existing implementation to add behavior without modifying original code,"For adding caching, logging, retry logic around existing services","When the original class can simply be modified; when wrapping adds no real value","interface ProductRepositoryInterface {\n    public function findById(int $id): ?Product;\n}\n\nclass CachingProductRepository implements ProductRepositoryInterface {\n    public function __construct(\n        private ProductRepositoryInterface $inner,\n        private CacheInterface $cache\n    ) {}\n\n    public function findById(int $id): ?Product {\n        return $this->cache->remember(\"product.{$id}\", 3600, function () use ($id) {\n            return $this->inner->findById($id);\n        });\n    }\n}","Mixing caching logic directly inside repository queries",Medium,Low,"illuminate/cache,psr/cache",https://refactoring.guru/design-patterns/decorator/php
9,Builder Pattern,Creational,"builder,fluent,method chaining,complex creation",Constructs complex objects step by step using a fluent interface,"When object construction has many steps; for query building or configuration objects","When a simple constructor with a few params suffices","class QueryFilterBuilder {\n    private array $filters = [];\n    private ?string $sortBy = null;\n    private string $sortDir = 'asc';\n    private int $perPage = 15;\n\n    public function whereStatus(string $status): self {\n        $this->filters['status'] = $status;\n        return $this;\n    }\n    public function sortBy(string $field, string $dir = 'asc'): self {\n        $this->sortBy = $field;\n        $this->sortDir = $dir;\n        return $this;\n    }\n    public function perPage(int $perPage): self {\n        $this->perPage = $perPage;\n        return $this;\n    }\n    public function apply(Builder $query): LengthAwarePaginator {\n        foreach ($this->filters as $key => $value) {\n            $query->where($key, $value);\n        }\n        if ($this->sortBy) $query->orderBy($this->sortBy, $this->sortDir);\n        return $query->paginate($this->perPage);\n    }\n}","Building complex queries with many conditionals inline in the controller",Medium,None,laravel/framework,https://refactoring.guru/design-patterns/builder/php
10,Singleton Pattern,Creational,"singleton,single instance,global state,container",Ensures only one instance of a class exists. In PHP most singletons are managed by the DI container,"When exactly one instance must exist (config manager, logger); via the service container","When you need multiple instances; when it makes testing harder","// Laravel service container singleton\n$this->app->singleton(PaymentGateway::class, function ($app) {\n    return new StripeGateway(\n        $app['config']['services.stripe.key'],\n        $app['config']['services.stripe.secret']\n    );\n});\n\n// Usage via DI\nclass OrderController {\n    public function __construct(private PaymentGateway $gateway) {}\n}","class Database {\n    private static ?self $instance = null;\n    public static function getInstance(): self { ... }\n} // Manual singleton without container",Low,None,laravel/framework,https://laravel.com/docs/container
