No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Cobra Root Command,Use cmd.Execute() as the single entry point,"The root command should call Execute() in main.go and handle the error at the top level, keeping main clean and minimal.",Call rootCmd.Execute() from main and handle errors there,Put business logic directly in main.go or ignore the Execute error,"package main

import (
	""fmt""
	""os""

	""github.com/spf13/cobra""
)

var rootCmd = &cobra.Command{
	Use:   ""myapp"",
	Short: ""My CLI application"",
	RunE: func(cmd *cobra.Command, args []string) error {
		return cmd.Help()
	},
}

func main() {
	if err := rootCmd.Execute(); err != nil {
		fmt.Fprintln(os.Stderr, err)
		os.Exit(1)
	}
}","package main

import ""github.com/spf13/cobra""

func main() {
	rootCmd := &cobra.Command{Use: ""myapp""}
	rootCmd.Execute()
}",Critical,https://pkg.go.dev/github.com/spf13/cobra
2,Subcommands,Organize commands in a tree structure,"Group related functionality into subcommands. Place each command in its own file under a cmd/ package to keep things organized and maintainable.",Create separate files per command and add them with AddCommand,Define all commands in a single file or deeply nest unrelated subcommands,"package cmd

import ""github.com/spf13/cobra""

var serveCmd = &cobra.Command{
	Use:   ""serve"",
	Short: ""Start the server"",
	RunE: func(cmd *cobra.Command, args []string) error {
		port, _ := cmd.Flags().GetInt(""port"")
		return startServer(port)
	},
}

func init() {
	rootCmd.AddCommand(serveCmd)
	serveCmd.Flags().IntP(""port"", ""p"", 8080, ""server port"")
}","package cmd

import ""github.com/spf13/cobra""

func init() {
	rootCmd.AddCommand(&cobra.Command{
		Use: ""serve"",
		Run: func(cmd *cobra.Command, args []string) {
			startServer(8080)
		},
	})
}",High,https://pkg.go.dev/github.com/spf13/cobra#Command.AddCommand
3,Persistent Flags,Use PersistentFlags for flags shared across subcommands,"PersistentFlags are inherited by all child commands. Use Flags() for command-specific flags. This avoids duplication and keeps the flag surface consistent.",Use PersistentFlags on the root for global options like --verbose or --config,Use Flags() on root and then manually duplicate them on each subcommand,"package cmd

import ""github.com/spf13/cobra""

var verbose bool

var rootCmd = &cobra.Command{
	Use:   ""myapp"",
	Short: ""My CLI application"",
}

func init() {
	rootCmd.PersistentFlags().BoolVarP(&verbose, ""verbose"", ""v"", false, ""enable verbose output"")
	rootCmd.Flags().String(""local-only"", """", ""only for root"")
}","package cmd

import ""github.com/spf13/cobra""

var rootCmd = &cobra.Command{Use: ""myapp""}
var subCmd = &cobra.Command{Use: ""sub""}

func init() {
	rootCmd.Flags().BoolP(""verbose"", ""v"", false, ""verbose"")
	subCmd.Flags().BoolP(""verbose"", ""v"", false, ""verbose"")
}",High,https://pkg.go.dev/github.com/spf13/cobra#Command.PersistentFlags
4,Required Flags,Mark mandatory flags with MarkFlagRequired,"Use MarkFlagRequired so Cobra validates presence before RunE executes. This gives users clear error messages without manual checking.",Call MarkFlagRequired after defining the flag,Manually check for empty flag values inside RunE,"package cmd

import ""github.com/spf13/cobra""

var deployCmd = &cobra.Command{
	Use:   ""deploy"",
	Short: ""Deploy the application"",
	RunE: func(cmd *cobra.Command, args []string) error {
		env, _ := cmd.Flags().GetString(""env"")
		return deploy(env)
	},
}

func init() {
	rootCmd.AddCommand(deployCmd)
	deployCmd.Flags().StringP(""env"", ""e"", """", ""target environment"")
	deployCmd.MarkFlagRequired(""env"")
}","package cmd

import (
	""errors""
	""github.com/spf13/cobra""
)

var deployCmd = &cobra.Command{
	Use: ""deploy"",
	RunE: func(cmd *cobra.Command, args []string) error {
		env, _ := cmd.Flags().GetString(""env"")
		if env == """" {
			return errors.New(""env is required"")
		}
		return deploy(env)
	},
}",Medium,https://pkg.go.dev/github.com/spf13/cobra#Command.MarkFlagRequired
5,Viper Config Integration,Bind Cobra flags to Viper with BindPFlags,"Binding flags to Viper allows configuration to come from flags, environment variables, or config files with a single unified API.",Call viper.BindPFlags in an init or PersistentPreRun hook,Read flag values with cmd.Flags().GetString when Viper is also in use,"package cmd

import (
	""github.com/spf13/cobra""
	""github.com/spf13/viper""
)

var rootCmd = &cobra.Command{
	Use: ""myapp"",
	PersistentPreRunE: func(cmd *cobra.Command, args []string) error {
		return viper.BindPFlags(cmd.Flags())
	},
	RunE: func(cmd *cobra.Command, args []string) error {
		addr := viper.GetString(""address"")
		return serve(addr)
	},
}

func init() {
	rootCmd.Flags().String(""address"", "":8080"", ""listen address"")
}","package cmd

import (
	""github.com/spf13/cobra""
	""github.com/spf13/viper""
)

var rootCmd = &cobra.Command{
	Use: ""myapp"",
	RunE: func(cmd *cobra.Command, args []string) error {
		addr, _ := cmd.Flags().GetString(""address"")
		_ = viper.GetString(""address"")
		return serve(addr)
	},
}",High,https://pkg.go.dev/github.com/spf13/viper#BindPFlags
6,Config File Loading,Load config files with viper.ReadInConfig,"Use Viper to load YAML, TOML, or JSON config files. Set the config name and paths, then call ReadInConfig. Handle the file-not-found case gracefully.",Use viper.ReadInConfig and handle ConfigFileNotFoundError as non-fatal,Call os.ReadFile and manually parse JSON/YAML for configuration,"package cmd

import (
	""fmt""
	""os""

	""github.com/spf13/cobra""
	""github.com/spf13/viper""
)

func initConfig() {
	if cfgFile != """" {
		viper.SetConfigFile(cfgFile)
	} else {
		home, _ := os.UserHomeDir()
		viper.AddConfigPath(home)
		viper.AddConfigPath(""."")
		viper.SetConfigName("".myapp"")
		viper.SetConfigType(""yaml"")
	}
	if err := viper.ReadInConfig(); err != nil {
		if _, ok := err.(viper.ConfigFileNotFoundError); !ok {
			fmt.Fprintln(os.Stderr, err)
			os.Exit(1)
		}
	}
}

var cfgFile string

func init() {
	cobra.OnInitialize(initConfig)
	rootCmd.PersistentFlags().StringVar(&cfgFile, ""config"", """", ""config file path"")
}","package cmd

import (
	""encoding/json""
	""os""
)

type Config struct {
	Port int `json:""port""`
}

func loadConfig() Config {
	data, _ := os.ReadFile(""config.json"")
	var c Config
	json.Unmarshal(data, &c)
	return c
}",High,https://pkg.go.dev/github.com/spf13/viper#ReadInConfig
7,Environment Variables,Use viper.AutomaticEnv for environment variable support,"AutomaticEnv tells Viper to check environment variables for every key. Use SetEnvPrefix to namespace your vars and SetEnvKeyReplacer for key format conversion.",Call viper.AutomaticEnv with a prefix and replacer,Read os.Getenv manually for each configuration value,"package cmd

import (
	""strings""

	""github.com/spf13/cobra""
	""github.com/spf13/viper""
)

func initConfig() {
	viper.SetEnvPrefix(""MYAPP"")
	viper.SetEnvKeyReplacer(strings.NewReplacer(""-"", ""_"", ""."", ""_""))
	viper.AutomaticEnv()
	viper.ReadInConfig()
}

func init() {
	cobra.OnInitialize(initConfig)
}","package cmd

import ""os""

func getDBHost() string {
	host := os.Getenv(""MYAPP_DB_HOST"")
	if host == """" {
		return ""localhost""
	}
	return host
}",Medium,https://pkg.go.dev/github.com/spf13/viper#AutomaticEnv
8,Shell Completion,Generate shell completion scripts,"Cobra has built-in support for generating bash, zsh, fish, and PowerShell completion scripts. Expose this to users via a completion subcommand.",Use cobra.Command with GenBashCompletionV2 or the built-in completion command,Omit shell completion entirely or write custom completion logic,"package cmd

import (
	""os""

	""github.com/spf13/cobra""
)

var completionCmd = &cobra.Command{
	Use:   ""completion [bash|zsh|fish|powershell]"",
	Short: ""Generate shell completion script"",
	Args:  cobra.ExactArgs(1),
	RunE: func(cmd *cobra.Command, args []string) error {
		switch args[0] {
		case ""bash"":
			return rootCmd.GenBashCompletionV2(os.Stdout, true)
		case ""zsh"":
			return rootCmd.GenZshCompletion(os.Stdout)
		case ""fish"":
			return rootCmd.GenFishCompletion(os.Stdout, true)
		case ""powershell"":
			return rootCmd.GenPowerShellCompletionWithDesc(os.Stdout)
		default:
			return cmd.Help()
		}
	},
}

func init() {
	rootCmd.AddCommand(completionCmd)
}","package cmd

import ""fmt""

var completionCmd = &cobra.Command{
	Use: ""completion"",
	Run: func(cmd *cobra.Command, args []string) {
		fmt.Println(""# source this file for completion"")
	},
}",Medium,https://pkg.go.dev/github.com/spf13/cobra#Command.GenBashCompletionV2
9,Args Validation,Validate argument count with Cobra validators,"Use Cobra's built-in argument validators like ExactArgs, MinimumNArgs, MaximumNArgs, and RangeArgs to enforce correct usage before RunE fires.",Set the Args field on your Command struct,Manually check len(args) inside RunE,"package cmd

import (
	""fmt""

	""github.com/spf13/cobra""
)

var greetCmd = &cobra.Command{
	Use:   ""greet [name]"",
	Short: ""Greet a user by name"",
	Args:  cobra.ExactArgs(1),
	RunE: func(cmd *cobra.Command, args []string) error {
		fmt.Fprintf(cmd.OutOrStdout(), ""Hello, %s!\n"", args[0])
		return nil
	},
}

func init() {
	rootCmd.AddCommand(greetCmd)
}","package cmd

import (
	""errors""
	""fmt""

	""github.com/spf13/cobra""
)

var greetCmd = &cobra.Command{
	Use: ""greet [name]"",
	RunE: func(cmd *cobra.Command, args []string) error {
		if len(args) != 1 {
			return errors.New(""expected exactly 1 argument"")
		}
		fmt.Printf(""Hello, %s!\n"", args[0])
		return nil
	},
}",Medium,https://pkg.go.dev/github.com/spf13/cobra#ExactArgs
10,PreRun/PostRun,Use lifecycle hooks for setup and teardown,"Cobra provides PersistentPreRun, PreRun, PostRun, and PersistentPostRun hooks. Use them for initialization, validation, and cleanup instead of mixing that logic into Run.",Use PersistentPreRunE for config loading and PreRunE for command-specific validation,Put setup and teardown logic directly inside RunE alongside business logic,"package cmd

import (
	""fmt""

	""github.com/spf13/cobra""
	""github.com/spf13/viper""
)

var migrateCmd = &cobra.Command{
	Use:   ""migrate"",
	Short: ""Run database migrations"",
	PersistentPreRunE: func(cmd *cobra.Command, args []string) error {
		return viper.BindPFlags(cmd.Flags())
	},
	PreRunE: func(cmd *cobra.Command, args []string) error {
		dsn := viper.GetString(""dsn"")
		if dsn == """" {
			return fmt.Errorf(""--dsn is required"")
		}
		return nil
	},
	RunE: func(cmd *cobra.Command, args []string) error {
		return runMigrations(viper.GetString(""dsn""))
	},
}

func init() {
	rootCmd.AddCommand(migrateCmd)
	migrateCmd.Flags().String(""dsn"", """", ""database connection string"")
}","package cmd

import (
	""errors""

	""github.com/spf13/cobra""
)

var migrateCmd = &cobra.Command{
	Use: ""migrate"",
	RunE: func(cmd *cobra.Command, args []string) error {
		dsn, _ := cmd.Flags().GetString(""dsn"")
		if dsn == """" {
			return errors.New(""dsn required"")
		}
		initLogger()
		err := runMigrations(dsn)
		cleanupLogger()
		return err
	},
}",Medium,https://pkg.go.dev/github.com/spf13/cobra#Command
