No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,State Management,Use BLoC or Riverpod for State,Choose appropriate state management based on app complexity. BLoC for event-driven Riverpod for simpler reactive,"Use BLoC for complex state with events; Riverpod for simpler reactive state; setState only for ephemeral UI state","Use setState for everything; mix multiple state management solutions","// Riverpod - simple and effective\nfinal productsProvider = FutureProvider.autoDispose<List<Product>>((ref) async {\n  return ref.watch(productRepositoryProvider).getProducts();\n});\n\n// BLoC - for complex event-driven state\nclass CartBloc extends Bloc<CartEvent, CartState> {\n  CartBloc(this._repo) : super(CartInitial()) {\n    on<AddItem>(_onAddItem);\n  }\n}","setState(() {\n  products = await api.getProducts();\n  isLoading = false;\n  error = null;\n});",High,https://docs.flutter.dev/data-and-backend/state-mgmt/options
2,Widget Lifecycle,Understand Widget Lifecycle,Know when initState didChangeDependencies build didUpdateWidget and dispose are called,"Initialize in initState; fetch theme/locale in didChangeDependencies; clean up in dispose; use keys for identity","Fetch data in build; skip dispose; use late without understanding lifecycle","class _MyState extends State<MyWidget> {\n  late final StreamSubscription _sub;\n  \n  @override\n  void initState() {\n    super.initState();\n    _sub = stream.listen(_onData);\n  }\n  \n  @override\n  void didUpdateWidget(MyWidget oldWidget) {\n    super.didUpdateWidget(oldWidget);\n    if (widget.id != oldWidget.id) _reload();\n  }\n  \n  @override\n  void dispose() {\n    _sub.cancel();\n    super.dispose();\n  }\n}","@override\nWidget build(BuildContext context) {\n  fetchData(); // Called on EVERY rebuild!\n  return ...;\n}",High,https://api.flutter.dev/flutter/widgets/State-class.html
3,Navigation,Use GoRouter for Declarative Routing,Declarative routing with type-safe parameters deep linking support and nested navigation,"Define routes declaratively; use type-safe path parameters; handle redirects for auth; support deep links","Use Navigator.push/pop everywhere; hardcode route strings; forget auth guards","final router = GoRouter(\n  redirect: (context, state) {\n    if (!isLoggedIn && !state.matchedLocation.startsWith('/login')) return '/login';\n    return null;\n  },\n  routes: [\n    GoRoute(path: '/', builder: (_, __) => const HomeScreen(),\n      routes: [\n        GoRoute(path: 'product/:id', builder: (_, state) {\n          return ProductScreen(id: state.pathParameters['id']!);\n        }),\n      ],\n    ),\n  ],\n);","Navigator.push(context, MaterialPageRoute(\n  builder: (_) => ProductScreen(id: productId),\n));\n// No auth guard, no deep links, no type safety",Medium,https://pub.dev/packages/go_router
4,Theming,Use Centralized Theme,Define all colors typography and component themes in one place using ThemeData,"Use Theme.of(context) everywhere; define color scheme from seed; support dark mode","Hardcode colors inline; use different colors for same semantic meaning","MaterialApp(\n  theme: ThemeData(\n    useMaterial3: true,\n    colorScheme: ColorScheme.fromSeed(\n      seedColor: const Color(0xFF1A73E8),\n    ),\n    textTheme: GoogleFonts.interTextTheme(),\n  ),\n);\n\n// Usage\nText('Hello', style: Theme.of(context).textTheme.headlineMedium);\nContainer(color: Theme.of(context).colorScheme.primaryContainer);","Text('Hello', style: TextStyle(color: Color(0xFF333333), fontSize: 24));\nContainer(color: Colors.blue); // Random hardcoded colors",Medium,https://docs.flutter.dev/cookbook/design/themes
5,Performance,Optimize Widget Rebuilds,Minimize unnecessary rebuilds using const constructors selective watching and RepaintBoundary,"Use const constructors; split widgets; use context.select/ref.select; RepaintBoundary for animations","Rebuild entire tree on state change; use global notifiers that rebuild everything","// Selective rebuild\nBlocSelector<CartBloc, CartState, int>(\n  selector: (state) => state.items.length,\n  builder: (context, count) => Badge(count: count),\n)\n\n// Const child optimization\nAnimatedBuilder(\n  animation: _controller,\n  builder: (_, child) => Transform.rotate(angle: _anim.value, child: child),\n  child: const ExpensiveWidget(), // Built once\n)","// Entire screen rebuilds when cart count changes\nBlocBuilder<CartBloc, CartState>(\n  builder: (_, state) => Scaffold(...), // Full rebuild\n)",High,https://docs.flutter.dev/perf/rendering-performance
6,Testing,Write Widget and BLoC Tests,Test widgets with WidgetTester and BLoCs with blocTest for reliable UI and state testing,"Write widget tests for UI; blocTest for state transitions; mock dependencies; test error states","Only write unit tests; skip widget tests; test implementation details not behavior","testWidgets('shows product list', (tester) async {\n  await tester.pumpWidget(\n    ProviderScope(\n      overrides: [productsProvider.overrideWith((_) => [testProduct])],\n      child: const MaterialApp(home: ProductListScreen()),\n    ),\n  );\n  await tester.pumpAndSettle();\n  expect(find.text('Test Product'), findsOneWidget);\n});","// No widget tests\n// Only unit tests on pure functions\n// No integration tests",Medium,https://docs.flutter.dev/testing
7,Error Handling,Use Either Type for Error Propagation,Propagate errors through the type system using Either/Result types instead of exceptions,"Return Either<Failure, Success>; pattern match on result; define typed failures per domain","Throw exceptions for expected errors; catch-all silently; return null for errors","Future<Either<Failure, User>> login(String email, String pass) async {\n  try {\n    final response = await api.login(email, pass);\n    return Right(User.fromDto(response));\n  } on DioException catch (e) {\n    return Left(ServerFailure(e.message ?? ''));\n  }\n}\n\n// Usage\nfinal result = await loginUseCase(email, pass);\nresult.fold(\n  (failure) => emit(LoginError(failure.message)),\n  (user) => emit(LoginSuccess(user)),\n);","try {\n  final user = await api.login(email, pass);\n  return user;\n} catch (e) {\n  print(e); return null;\n}",High,https://pub.dev/packages/fpdart
8,Networking,Configure Dio with Interceptors,Set up Dio HTTP client with interceptors for auth retry logging and error handling,"Add auth interceptor; configure timeout; add retry logic; use base options","Create Dio instances everywhere; add headers manually per request","final dio = Dio(BaseOptions(\n  baseUrl: AppConfig.baseUrl,\n  connectTimeout: Duration(seconds: 10),\n  receiveTimeout: Duration(seconds: 10),\n))\n  ..interceptors.addAll([\n    AuthInterceptor(tokenStorage),\n    RetryInterceptor(retries: 3),\n    if (kDebugMode) LogInterceptor(responseBody: true),\n  ]);","final response = await Dio().get(\n  'https://api.example.com/users',\n  options: Options(headers: {'Authorization': 'Bearer $token'}),\n);\n// New Dio instance, manual headers, no retry",Medium,https://pub.dev/packages/dio
9,Code Generation,Use Freezed for Models,Generate immutable data classes with Freezed for type-safe states models and union types,"Use @freezed for state classes and models; run build_runner; commit generated files or gitignore them","Write manual copyWith/equals/hashCode; create mutable state classes","@freezed\nclass Product with _$Product {\n  const factory Product({\n    required String id,\n    required String name,\n    required double price,\n    @Default('') String imageUrl,\n  }) = _Product;\n  \n  factory Product.fromJson(Map<String, dynamic> json) => _$ProductFromJson(json);\n}","class Product {\n  String id;\n  String name;\n  double price;\n  // Manual equals, hashCode, copyWith, toString\n  // 100+ lines of boilerplate\n}",Medium,https://pub.dev/packages/freezed
10,Project Structure,Follow Feature-First Architecture,Organize code by feature not by type for better scalability and team collaboration,"Group files by feature (auth/ cart/ products/); keep each feature self-contained; share via core/shared","Group by type (all blocs/ all models/ all screens/); scatter related files across directories","lib/\n  features/\n    auth/\n      data/\n      domain/\n      presentation/\n    products/\n      data/\n      domain/\n      presentation/\n  core/\n  shared/","lib/\n  blocs/\n    auth_bloc.dart\n    product_bloc.dart\n  models/\n    user.dart\n    product.dart\n  screens/\n    login_screen.dart\n    product_screen.dart",Medium,https://docs.flutter.dev/app-architecture
11,Dependency Injection,Use GetIt with Injectable,Set up service locator with auto-registration for clean testable dependency management,"Use @injectable for auto-registration; @lazySingleton for services; @module for third-party deps","Create singletons manually; use static instances; pass dependencies through widget constructors deeply","@InjectableInit()\nvoid configureDependencies() => getIt.init();\n\n@injectable\nclass ProductBloc extends Bloc<ProductEvent, ProductState> {\n  final GetProductsUseCase _getProducts;\n  ProductBloc(this._getProducts) : super(ProductInitial());\n}\n\n@lazySingleton\nclass ApiClient { ... }","// Manual setup\nfinal sl = GetIt.instance;\nvoid setup() {\n  sl.registerLazySingleton(() => ApiClient());\n  sl.registerLazySingleton(() => ProductRepo(sl()));\n  // 30 more lines...\n}",Medium,https://pub.dev/packages/injectable
