No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Routing,Route Model Binding,Automatically resolve Eloquent models from route parameters by type-hinting in controller methods,Use implicit route model binding with type hints. Customize route key with getRouteKeyName(),Manually fetch models by ID in every controller method,"// Implicit binding:\nRoute::get('/users/{user}', [UserController::class, 'show']);\n\npublic function show(User $user): JsonResponse {\n    return new UserResource($user);\n    // 404 automatically if not found\n}\n\n// Custom key:\nclass User extends Model {\n    public function getRouteKeyName(): string {\n        return 'slug';\n    }\n}","public function show(int $id): JsonResponse {\n    $user = User::find($id);\n    if (!$user) {\n        return response()->json(['error' => 'Not found'], 404);\n    }\n    return response()->json($user);\n}",Medium,https://laravel.com/docs/routing#route-model-binding
2,Routing,API Resource Routes,Use apiResource() for RESTful routes which excludes create/edit form routes,Use Route::apiResource() for API controllers. Group related routes with prefix and middleware,Define each route manually for standard CRUD operations,"Route::middleware('auth:sanctum')->group(function () {\n    Route::apiResource('posts', PostController::class);\n    Route::apiResource('posts.comments', CommentController::class)->shallow();\n});\n// Generates: index, store, show, update, destroy","Route::get('/posts', [PostController::class, 'index']);\nRoute::post('/posts', [PostController::class, 'store']);\nRoute::get('/posts/{id}', [PostController::class, 'show']);\nRoute::put('/posts/{id}', [PostController::class, 'update']);\nRoute::delete('/posts/{id}', [PostController::class, 'destroy']);",Medium,https://laravel.com/docs/controllers#api-resource-routes
3,Eloquent,Eager Loading Relationships,Always eagerly load relationships to prevent N+1 queries,Use with() for known relationships. Use load() for conditional loading. Use withCount() for counts,"Load relationships lazily inside loops","$posts = Post::with(['author:id,name', 'tags', 'comments' => function ($q) {\n    $q->latest()->limit(5);\n}])->published()->paginate(20);\n\n// Conditional eager loading:\nif ($request->has('include_comments')) {\n    $posts->load('comments');\n}\n\n// Count without loading:\n$posts = Post::withCount('comments')->get();","$posts = Post::all();\nforeach ($posts as $post) {\n    echo $post->author->name; // N+1!\n    echo $post->comments->count(); // N+1!\n}",Critical,https://laravel.com/docs/eloquent-relationships#eager-loading
4,Eloquent,Query Scopes,Encapsulate reusable query constraints in local scopes on the model,Define reusable query logic as scopeXxx methods on models,Repeat the same where clauses across controllers and services,"class Post extends Model {\n    public function scopePublished(Builder $q): Builder {\n        return $q->where('status', 'published')->whereNotNull('published_at');\n    }\n    public function scopeByAuthor(Builder $q, int $userId): Builder {\n        return $q->where('user_id', $userId);\n    }\n    public function scopeRecent(Builder $q): Builder {\n        return $q->where('created_at', '>=', now()->subWeek());\n    }\n}\n// Post::published()->recent()->byAuthor($userId)->get();","// Repeated everywhere:\nPost::where('status', 'published')->whereNotNull('published_at')->get();\n// Same conditions duplicated in 10 places",Medium,https://laravel.com/docs/eloquent#local-scopes
5,Validation,Form Request Validation,Use Form Request classes to handle validation and authorization per endpoint,Create dedicated FormRequest classes for each write endpoint. Use authorize() for permissions,"Validate in controllers with manual if/else checks","class StorePostRequest extends FormRequest {\n    public function authorize(): bool {\n        return $this->user()->can('create', Post::class);\n    }\n    public function rules(): array {\n        return [\n            'title' => ['required', 'string', 'max:255'],\n            'body' => ['required', 'string'],\n            'category_id' => ['required', 'exists:categories,id'],\n            'tags' => ['array', 'max:5'],\n            'tags.*' => ['string', 'exists:tags,slug'],\n        ];\n    }\n}","public function store(Request $request) {\n    if (empty($request->title)) {\n        return response()->json(['error' => 'Title required'], 422);\n    }\n    // Manual validation for each field...\n}",High,https://laravel.com/docs/validation#form-request-validation
6,Middleware,Custom Middleware,Create middleware for cross-cutting concerns like logging rate limiting and request transformation,Keep middleware focused on one concern. Register in route groups not globally,Put business logic in middleware,"class EnsureUserIsSubscribed {\n    public function handle(Request $request, Closure $next): Response {\n        if (!$request->user()?->subscribed()) {\n            return response()->json(['error' => 'Subscription required'], 403);\n        }\n        return $next($request);\n    }\n}\n\n// Register:\nRoute::middleware(EnsureUserIsSubscribed::class)->group(function () {\n    Route::get('/premium/content', [PremiumController::class, 'index']);\n});","public function index() {\n    if (!auth()->user()->subscribed()) {\n        return response()->json(['error' => 'Sub required'], 403);\n    }\n    // Repeated in every premium endpoint\n}",Medium,https://laravel.com/docs/middleware
7,Resources,API Resources,Use JSON Resources to transform models into consistent API responses with controlled field exposure,Create Resource classes per model for API responses. Use ResourceCollection for lists,Return raw models or manual arrays from controllers,"class PostResource extends JsonResource {\n    public function toArray(Request $request): array {\n        return [\n            'id' => $this->id,\n            'title' => $this->title,\n            'slug' => $this->slug,\n            'excerpt' => Str::limit($this->body, 150),\n            'author' => new UserResource($this->whenLoaded('author')),\n            'tags' => TagResource::collection($this->whenLoaded('tags')),\n            'comments_count' => $this->whenCounted('comments'),\n            'created_at' => $this->created_at->toISOString(),\n            'links' => [\n                'self' => route('posts.show', $this),\n            ],\n        ];\n    }\n}","return response()->json($post);\n// Exposes all columns: password hashes, internal IDs, etc.",High,https://laravel.com/docs/eloquent-resources
8,Events,Events and Listeners,Decouple side effects from main business logic using events and listeners,Use events for notifications cache invalidation logging analytics,Call side effects directly in controllers or services creating tight coupling,"// Event:\nclass OrderPlaced {\n    public function __construct(public readonly Order $order) {}\n}\n\n// Listener:\nclass SendOrderNotification {\n    public function handle(OrderPlaced $event): void {\n        $event->order->user->notify(new OrderConfirmation($event->order));\n    }\n}\n\n// Dispatch:\nevent(new OrderPlaced($order));","// Tightly coupled:\npublic function store(Request $request) {\n    $order = Order::create($request->validated());\n    Mail::to($order->user)->send(new OrderMail($order));\n    Cache::forget('orders');\n    Http::post('webhook.url', $order->toArray());\n}",Medium,https://laravel.com/docs/events
9,Jobs,Queued Jobs,Dispatch time-consuming tasks to background queues for faster responses,Queue emails PDF generation file processing and external API calls,Process heavy tasks synchronously in the request cycle,"class GenerateReport implements ShouldQueue {\n    use Dispatchable, InteractsWithQueue, Queueable, SerializesModels;\n    public int $tries = 3;\n    public array $backoff = [10, 60, 300];\n\n    public function __construct(private Report $report) {}\n\n    public function handle(ReportGenerator $generator): void {\n        $pdf = $generator->generate($this->report);\n        Storage::put(\"reports/{$this->report->id}.pdf\", $pdf);\n        $this->report->update(['status' => 'completed']);\n    }\n\n    public function failed(Throwable $e): void {\n        $this->report->update(['status' => 'failed']);\n    }\n}\nGenerateReport::dispatch($report);","public function generate(Report $report) {\n    $pdf = $this->generator->generate($report); // 30 seconds!\n    return response()->download($pdf);\n    // User waits 30 seconds\n}",High,https://laravel.com/docs/queues
10,Auth,Sanctum Authentication,Use Laravel Sanctum for API token and SPA authentication,Use Sanctum for SPA (cookie-based) and mobile/API (token-based) auth,Build custom JWT auth when Sanctum covers your needs,"// Install:\ncomposer require laravel/sanctum\n\n// Issue token:\n$token = $user->createToken('api-token', ['posts:read', 'posts:write']);\nreturn ['token' => $token->plainTextToken];\n\n// Protect routes:\nRoute::middleware('auth:sanctum')->group(function () {\n    Route::apiResource('posts', PostController::class);\n});\n\n// Check abilities:\nif ($request->user()->tokenCan('posts:write')) { ... }","// Custom JWT (unnecessary complexity):\n$payload = ['sub' => $user->id, 'exp' => time() + 3600];\n$token = JWT::encode($payload, env('JWT_SECRET'));\n// Manual token parsing, validation, refresh...",High,https://laravel.com/docs/sanctum
11,Auth,Policies and Gates,Use policies for model-based authorization and gates for general permissions,Create Policy per model. Use $this->authorize() in controllers. Register policies in AuthServiceProvider,Check permissions with if/else in every controller method,"class PostPolicy {\n    public function update(User $user, Post $post): bool {\n        return $user->id === $post->user_id;\n    }\n    public function delete(User $user, Post $post): bool {\n        return $user->id === $post->user_id || $user->isAdmin();\n    }\n}\n\n// Controller:\npublic function update(UpdatePostRequest $request, Post $post) {\n    $this->authorize('update', $post);\n    $post->update($request->validated());\n    return new PostResource($post);\n}","public function update(Request $request, Post $post) {\n    if (auth()->id() !== $post->user_id) {\n        abort(403);\n    }\n    // Repeated in every method\n}",High,https://laravel.com/docs/authorization
12,Database,Migrations Best Practices,Write reversible migrations with proper column types and indexes,Make all migrations reversible. Add indexes on foreign keys and filtered columns. Use descriptive names,"Write irreversible migrations or modify existing migrations after deployment","Schema::create('posts', function (Blueprint $table) {\n    $table->id();\n    $table->foreignId('user_id')->constrained()->cascadeOnDelete();\n    $table->string('title');\n    $table->string('slug')->unique();\n    $table->text('body');\n    $table->enum('status', ['draft', 'published', 'archived'])->default('draft');\n    $table->timestamp('published_at')->nullable()->index();\n    $table->timestamps();\n    $table->softDeletes();\n    $table->index(['user_id', 'status']);\n});","Schema::create('posts', function (Blueprint $table) {\n    $table->id();\n    $table->integer('user_id'); // No foreign key!\n    $table->string('title');\n    $table->text('body');\n    $table->string('status'); // No validation of values\n    $table->timestamps();\n    // No indexes\n});",High,https://laravel.com/docs/migrations
13,Database,Eloquent Factories and Seeders,Use factories for test data generation and seeders for default application data,Define factories with realistic Faker data. Use states for variations. Separate seeders by concern,Create test data manually or use raw SQL inserts,"class PostFactory extends Factory {\n    public function definition(): array {\n        return [\n            'title' => fake()->sentence(),\n            'body' => fake()->paragraphs(3, true),\n            'user_id' => User::factory(),\n            'status' => 'draft',\n        ];\n    }\n    public function published(): static {\n        return $this->state(['status' => 'published', 'published_at' => now()]);\n    }\n}\n// Post::factory()->published()->count(10)->create();","// Manual test data:\n$post = new Post();\n$post->title = 'Test';\n$post->body = 'Test body';\n$post->user_id = 1;\n$post->save();\n// Fragile, doesn't handle relationships",Medium,https://laravel.com/docs/eloquent-factories
14,Notifications,Multi-Channel Notifications,Use the Notification system for sending mail SMS Slack and database notifications,Use Notification classes with via() method. Queue notifications. Store in database for in-app,Send notifications by directly calling Mail or SMS services,"class OrderShipped extends Notification implements ShouldQueue {\n    use Queueable;\n    public function __construct(private Order $order) {}\n    public function via(object $notifiable): array {\n        return ['mail', 'database'];\n    }\n    public function toMail(object $notifiable): MailMessage {\n        return (new MailMessage)\n            ->subject('Your Order Has Shipped')\n            ->line('Order #' . $this->order->id . ' is on its way!')\n            ->action('Track Order', url('/orders/' . $this->order->id));\n    }\n    public function toArray(object $notifiable): array {\n        return ['order_id' => $this->order->id, 'message' => 'Order shipped'];\n    }\n}\n$user->notify(new OrderShipped($order));","Mail::to($user)->send(new OrderShippedMail($order));\n// Only email, no database record, not queued",Medium,https://laravel.com/docs/notifications
15,Config,Service Provider Registration,Register services and bindings in dedicated service providers,Create focused service providers per feature. Use register() for bindings boot() for setup,"Put all bindings in AppServiceProvider making it a god class","class PaymentServiceProvider extends ServiceProvider {\n    public function register(): void {\n        $this->app->singleton(PaymentGateway::class, function ($app) {\n            return match($app['config']['payments.driver']) {\n                'stripe' => new StripeGateway($app['config']['services.stripe.key']),\n                'paypal' => new PayPalGateway($app['config']['services.paypal.key']),\n            };\n        });\n    }\n    public function boot(): void {\n        $this->publishes([__DIR__.'/../config/payments.php' => config_path('payments.php')]);\n    }\n}","// Everything in AppServiceProvider:\npublic function register() {\n    $this->app->bind(PaymentGateway::class, StripeGateway::class);\n    $this->app->bind(CacheService::class, RedisCacheService::class);\n    $this->app->bind(MailService::class, ...);\n    // 50+ bindings in one file\n}",Medium,https://laravel.com/docs/providers
16,Testing,Feature Test Patterns,Write comprehensive feature tests for API endpoints,Test happy path error cases auth and response structure. Use actingAs() RefreshDatabase,Only test happy paths or only unit test without integration,"class PostApiTest extends TestCase {\n    use RefreshDatabase;\n\n    public function test_guest_cannot_create_post(): void {\n        $this->postJson('/api/posts', ['title' => 'Test'])->assertUnauthorized();\n    }\n    public function test_user_can_create_post(): void {\n        $user = User::factory()->create();\n        $response = $this->actingAs($user)->postJson('/api/posts', [\n            'title' => 'My Post',\n            'body' => 'Content here',\n            'category_id' => Category::factory()->create()->id,\n        ]);\n        $response->assertCreated()->assertJsonPath('data.title', 'My Post');\n        $this->assertDatabaseHas('posts', ['title' => 'My Post', 'user_id' => $user->id]);\n    }\n    public function test_validation_errors(): void {\n        $this->actingAs(User::factory()->create())\n            ->postJson('/api/posts', [])\n            ->assertUnprocessable()\n            ->assertJsonValidationErrors(['title', 'body']);\n    }\n}","// Only happy path:\npublic function test_create_post() {\n    $response = $this->post('/api/posts', ['title' => 'Test']);\n    $response->assertOk();\n    // No auth test, no validation test, no structure check\n}",High,https://laravel.com/docs/http-tests
17,Performance,Response Caching,Cache entire HTTP responses for read-heavy endpoints,Use spatie/laravel-responsecache or manual Cache in middleware for expensive list endpoints,Compute every response from scratch on every request,"use Spatie\\ResponseCache\\Middlewares\\CacheResponse;\n\nRoute::middleware(CacheResponse::class)->group(function () {\n    Route::get('/api/products', [ProductController::class, 'index']);\n});\n\n// Or manual:\npublic function index(): JsonResponse {\n    return Cache::remember('products:page:' . request('page', 1), 300, function () {\n        return PostResource::collection(Post::published()->paginate());\n    });\n}","public function index(): JsonResponse {\n    // Expensive query on every request:\n    return PostResource::collection(\n        Post::with(['author', 'tags'])->withCount('comments')->published()->paginate()\n    );\n}",Medium,https://github.com/spatie/laravel-responsecache
18,Architecture,Action Classes,Use single-purpose Action classes for complex business operations,One action class per business operation. Invokable with __invoke or execute method,Bloated service classes with dozens of methods,"class CreateOrderAction {\n    public function __construct(\n        private OrderRepository $orders,\n        private PaymentGateway $payments,\n        private NotificationService $notifications\n    ) {}\n\n    public function execute(CreateOrderDTO $dto): Order {\n        return DB::transaction(function () use ($dto) {\n            $order = $this->orders->create($dto);\n            $this->payments->charge($order);\n            $this->notifications->orderCreated($order);\n            return $order;\n        });\n    }\n}","class OrderService {\n    public function create(...) { ... }\n    public function update(...) { ... }\n    public function cancel(...) { ... }\n    public function refund(...) { ... }\n    public function export(...) { ... }\n    // 20+ methods\n}",Medium,https://laravelactions.com
19,Error Handling,Exception Handler Configuration,Configure the Laravel exception handler for consistent API error responses,Map domain exceptions to proper HTTP status codes and JSON format in the Handler,Let exceptions render as HTML or with inconsistent formats,"// bootstrap/app.php (Laravel 11):\n->withExceptions(function (Exceptions $exceptions) {\n    $exceptions->render(function (ModelNotFoundException $e, Request $request) {\n        if ($request->expectsJson()) {\n            return response()->json(['error' => 'Resource not found'], 404);\n        }\n    });\n    $exceptions->render(function (AuthorizationException $e, Request $request) {\n        return response()->json(['error' => 'Forbidden'], 403);\n    });\n})","// Default handler: HTML whoops page for API requests\n// Or no custom rendering:\n// GET /api/posts/999 returns HTML 404 page to API client",High,https://laravel.com/docs/errors
20,Deployment,Production Optimization,Run optimization commands during deployment for maximum performance,Cache config routes views and events. Install without dev deps. Optimize autoloader,"Deploy without any caching or optimization","# deploy.sh:\ncomposer install --no-dev --optimize-autoloader\nphp artisan config:cache\nphp artisan route:cache\nphp artisan view:cache\nphp artisan event:cache\nphp artisan migrate --force\nphp artisan queue:restart","# No optimization:\ncomposer install\nphp artisan migrate\n# Config parsed from .env on every request\n# Routes compiled on every request\n# Views compiled on first use",High,https://laravel.com/docs/deployment
21,Scheduling,Task Scheduling,Use Laravel's scheduler for cron-like periodic tasks managed in code,Define schedules in console.php or Console Kernel. Use withoutOverlapping() for safety,"Use raw cron entries for Laravel tasks","// routes/console.php (Laravel 11):\nSchedule::command('orders:process-expired')->hourly()->withoutOverlapping();\nSchedule::command('reports:generate-daily')\n    ->dailyAt('06:00')\n    ->emailOutputOnFailure('admin@example.com');\nSchedule::job(new CleanTempFiles)->daily();\n\n// Crontab (only one entry):\n// * * * * * cd /path && php artisan schedule:run >> /dev/null 2>&1","# Multiple cron entries:\n# 0 * * * * php artisan orders:process-expired\n# 0 6 * * * php artisan reports:generate-daily\n# Cron entries scattered, hard to manage",Medium,https://laravel.com/docs/scheduling
22,Caching,Cache Tags and Invalidation,Use cache tags to group related cache entries for surgical invalidation,Tag cache entries by model or domain. Flush specific tags on data changes,"Flush all cache or use individual key deletion","Cache::tags(['posts', 'user:' . $userId])->put(\n    'user:posts:' . $userId,\n    $posts,\n    3600\n);\n\n// Invalidate all posts for a user:\nCache::tags('user:' . $userId)->flush();\n\n// Invalidate all post caches:\nCache::tags('posts')->flush();\n\n// In observer:\nclass PostObserver {\n    public function saved(Post $post): void {\n        Cache::tags(['posts', 'user:' . $post->user_id])->flush();\n    }\n}","// Flush everything:\nCache::flush(); // Destroys all cached data!\n\n// Or manual key management:\nCache::forget('user:1:posts');\nCache::forget('user:1:posts:page:1');\nCache::forget('user:1:posts:page:2');\n// Impossible to track all keys",Medium,https://laravel.com/docs/cache#cache-tags
