No,Guideline,Category,Keywords,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Keep Traits Small and Focused,Design,"small, focused, single responsibility, cohesion","A trait should represent one capability or behavior. Small traits enable flexible composition and easier implementation","Define traits with 1-5 methods; split large traits into smaller composable ones; use supertraits for requirements","Create God traits with many unrelated methods; force implementors to implement methods they do not need","trait Read {\n    fn read(&mut self, buf: &mut [u8]) -> io::Result<usize>;\n}\n\ntrait Write {\n    fn write(&mut self, buf: &[u8]) -> io::Result<usize>;\n    fn flush(&mut self) -> io::Result<()>;\n}\n\n// Compose when both needed:\ntrait ReadWrite: Read + Write {}","trait FileSystem {\n    fn read(&mut self, buf: &mut [u8]) -> io::Result<usize>;\n    fn write(&mut self, buf: &[u8]) -> io::Result<usize>;\n    fn flush(&mut self) -> io::Result<()>;\n    fn seek(&mut self, pos: SeekFrom) -> io::Result<u64>;\n    fn metadata(&self) -> io::Result<Metadata>;\n    fn set_permissions(&mut self, perm: Permissions) -> io::Result<()>;\n    // too many responsibilities in one trait\n}",Critical,https://doc.rust-lang.org/book/ch10-02-traits.html
2,Prefer impl Trait over dyn Trait,Performance,"impl Trait, static dispatch, monomorphization, generics","Use impl Trait or generic bounds for static dispatch which enables inlining and avoids vtable overhead","Use impl Trait in argument position and return position for zero-cost abstraction; use generics when the caller needs to name the type","Use dyn Trait everywhere when static dispatch would work; use trait objects in hot paths without benchmarking","fn process(data: &impl AsRef<[u8]>) -> Vec<u8> {\n    let bytes = data.as_ref();\n    bytes.to_vec()\n}\n\nfn create_handler() -> impl Fn(Request) -> Response {\n    |req| Response::ok(req.body())\n}\n\n// Both callers get monomorphized, inlined code","fn process(data: &dyn AsRef<[u8]>) -> Vec<u8> {\n    let bytes = data.as_ref();\n    bytes.to_vec()\n    // vtable dispatch on every call\n    // cannot be inlined by the compiler\n}",High,https://doc.rust-lang.org/book/ch10-02-traits.html#traits-as-parameters
3,Use Trait Objects for Heterogeneous Collections,Design,"dyn Trait, Box, Vec, heterogeneous, runtime","When a collection must hold different types implementing the same trait, use Box<dyn Trait>","Use Box<dyn Trait> for heterogeneous collections; ensure trait is object-safe; use Arc<dyn Trait> for shared ownership across threads","Avoid trait objects entirely when heterogeneous storage is needed; use enum when the set of types is truly open","trait Plugin: Send + Sync {\n    fn name(&self) -> &str;\n    fn execute(&self, input: &[u8]) -> Vec<u8>;\n}\n\nstruct PluginRegistry {\n    plugins: Vec<Box<dyn Plugin>>,\n}\n\nimpl PluginRegistry {\n    fn register(&mut self, plugin: impl Plugin + 'static) {\n        self.plugins.push(Box::new(plugin));\n    }\n}","// When using an enum for an extensible set:\nenum Plugin {\n    Lua(LuaPlugin),\n    Wasm(WasmPlugin),\n    // must modify enum for every new plugin type\n    // not extensible by downstream users\n}",Medium,https://doc.rust-lang.org/book/ch17-02-trait-objects.html
4,Object Safety Rules,Design,"object safe, dyn, Sized, Self, generic","Understand what makes a trait object-safe: no Self in return types, no generic methods, no associated types with constraints","Avoid using Self as return type; avoid generic methods; use associated types instead of generic type parameters when possible","Accidentally make traits non-object-safe then wonder why Box<dyn Trait> fails to compile","// Object-safe trait:\ntrait Shape {\n    fn area(&self) -> f64;\n    fn name(&self) -> &str;\n}\n\nlet shapes: Vec<Box<dyn Shape>> = vec![\n    Box::new(Circle { r: 5.0 }),\n    Box::new(Rect { w: 3.0, h: 4.0 }),\n];","// NOT object-safe — Self in return type:\ntrait Cloneable {\n    fn clone_self(&self) -> Self; // Self is not sized\n}\n// Vec<Box<dyn Cloneable>> will not compile\n\n// NOT object-safe — generic method:\ntrait Processor {\n    fn process<T: Debug>(&self, item: T); // generic methods\n}",Critical,https://doc.rust-lang.org/reference/items/traits.html#object-safety
5,Trait Default Methods,Design,"default, provided, method, extension","Provide default method implementations to reduce boilerplate for implementors","Provide sensible defaults that can be overridden; build complex behavior from simpler required methods","Require implementors to duplicate logic that could have a default; make all methods default when some should be required","trait Summary {\n    fn title(&self) -> &str; // required\n    fn author(&self) -> &str; // required\n\n    // default implementation using required methods\n    fn summarize(&self) -> String {\n        format!(""{} by {}"", self.title(), self.author())\n    }\n\n    fn is_long(&self) -> bool {\n        self.title().len() > 100\n    }\n}\n\n// Implementor only needs to provide title() and author()\nstruct Article { title: String, author: String }\nimpl Summary for Article {\n    fn title(&self) -> &str { &self.title }\n    fn author(&self) -> &str { &self.author }\n    // summarize() and is_long() get defaults\n}","trait Summary {\n    fn title(&self) -> &str;\n    fn author(&self) -> &str;\n    fn summarize(&self) -> String;\n    fn is_long(&self) -> bool;\n    // every implementor must implement all 4 methods\n    // even though summarize and is_long are formulaic\n}",Medium,https://doc.rust-lang.org/book/ch10-02-traits.html#default-implementations
6,Supertraits,Design,"supertrait, bound, inheritance, composition","Use supertraits to require that a type implementing a trait also implements other traits","Use supertraits for real dependencies (Debug + Display); keep the chain short; document why supertrait is required","Create deep inheritance chains; use supertraits when a bound on specific methods would suffice","use std::fmt;\n\ntrait Error: fmt::Debug + fmt::Display {\n    fn source(&self) -> Option<&(dyn Error + 'static)> { None }\n}\n\n// Any type implementing Error must also implement Debug and Display\n// This is how std::error::Error is defined","trait MyTrait: Debug + Display + Clone + Send + Sync + 'static {\n    fn process(&self);\n    // too many supertraits\n    // does process() really need all of these?\n    // put bounds only where needed\n}",Medium,https://doc.rust-lang.org/book/ch19-03-advanced-traits.html#using-supertraits-to-require-one-traits-functionality-within-another-trait
7,Associated Types vs Generics,Design,"associated type, generic, type parameter, Iterator","Use associated types for traits where each implementation has exactly one type; use generics when multiple implementations per type are valid","Use associated types for Iterator::Item, Deref::Target; use generics for From<T>, Add<Rhs>","Use generic type parameters when there is only one valid implementation per type; overcomplicate APIs with unnecessary generics","// Associated type: one Item type per iterator\ntrait Iterator {\n    type Item;\n    fn next(&mut self) -> Option<Self::Item>;\n}\n\n// impl Iterator for MyIter {\n//     type Item = u32; // fixed for this impl\n// }","// Generic: allows multiple impls for same type (wrong here)\ntrait Iterator<Item> {\n    fn next(&mut self) -> Option<Item>;\n}\n// impl Iterator<u32> for MyIter { ... }\n// impl Iterator<String> for MyIter { ... }\n// confusing: which next() is called?",High,https://doc.rust-lang.org/book/ch19-03-advanced-traits.html#specifying-placeholder-types-in-trait-definitions-with-associated-types
8,Blanket Implementations,Advanced,"blanket, impl, for all, generic impl","Implement a trait for all types that satisfy certain bounds to provide automatic functionality","Use blanket impls for universal adapters (impl<T: Display> ToString for T); check for conflicts with specific impls","Create conflicting blanket impls; use blanket impls when only specific types should implement the trait","// std does this:\nimpl<T: fmt::Display> ToString for T {\n    fn to_string(&self) -> String {\n        format!(""{self}"")\n    }\n}\n\n// Custom blanket impl:\ntrait Loggable {\n    fn log(&self);\n}\n\nimpl<T: fmt::Debug> Loggable for T {\n    fn log(&self) {\n        tracing::debug!(""{self:?}"");\n    }\n}","// Trying to add a specific impl when a blanket exists:\nimpl Loggable for MyType {\n    fn log(&self) { /* ... */ }\n}\n// ERROR: conflicting impls if blanket exists for T: Debug\n// and MyType implements Debug",High,https://doc.rust-lang.org/book/ch10-02-traits.html#using-trait-bounds-to-conditionally-implement-methods
9,Sealed Traits,Advanced,"sealed, private, non-exhaustive, public API","Prevent external crates from implementing a trait by requiring a private supertrait","Use a sealed trait when you need to add methods later without breaking changes; mark with a private Sealed supertrait","Make all public traits unsealed when you need to control the implementation set","mod private {\n    pub trait Sealed {}\n}\n\npub trait MyProtocol: private::Sealed {\n    fn version(&self) -> u32;\n    fn process(&self, data: &[u8]) -> Vec<u8>;\n}\n\npub struct V1;\nimpl private::Sealed for V1 {}\nimpl MyProtocol for V1 {\n    fn version(&self) -> u32 { 1 }\n    fn process(&self, data: &[u8]) -> Vec<u8> { data.to_vec() }\n}\n// External crates cannot implement MyProtocol","pub trait MyProtocol {\n    fn version(&self) -> u32;\n    fn process(&self, data: &[u8]) -> Vec<u8>;\n}\n// Anyone can implement this\n// Adding a new required method is a breaking change",Medium,https://rust-lang.github.io/api-guidelines/future-proofing.html#sealed-traits-protect-against-downstream-implementations-c-sealed
10,Extension Traits,Advanced,"extension, augment, methods, external type","Add methods to types you do not own by defining a trait and implementing it for the external type","Use extension traits to add domain methods to std/external types; use a clear naming convention like TypeExt","Use extension traits when a free function is clearer; create extension traits with too many methods","trait StrExt {\n    fn is_blank(&self) -> bool;\n    fn truncate_to(&self, max: usize) -> &str;\n}\n\nimpl StrExt for str {\n    fn is_blank(&self) -> bool {\n        self.trim().is_empty()\n    }\n    fn truncate_to(&self, max: usize) -> &str {\n        if self.len() <= max { self }\n        else {\n            let mut end = max;\n            while !self.is_char_boundary(end) { end -= 1; }\n            &self[..end]\n        }\n    }\n}\n\nassert!(""  "".is_blank());","fn is_blank(s: &str) -> bool {\n    s.trim().is_empty()\n}\n\n// Less discoverable, cannot chain with other methods\n// is_blank(&my_string) vs my_string.is_blank()",Medium,https://rust-lang.github.io/api-guidelines/future-proofing.html
