No,Category,Issue,Keywords,Description,Do,Dont,Code Good,Code Bad,Impact,Measurement
1,Runtime,Event Loop Blocking,"event loop,blocking,sync,setImmediate,libuv","Synchronous operations such as CPU-heavy computation, synchronous I/O, or large JSON parsing block the single-threaded event loop, preventing all other requests from being processed until the operation completes.","Use async APIs (fs.promises, crypto.randomBytes async), offload CPU work to Worker Threads, break large tasks with setImmediate(), and use streaming for large data.","Never use synchronous APIs in request handlers (fs.readFileSync, crypto.pbkdf2Sync). Never run tight loops or heavy computation on the main thread. Never JSON.parse() massive payloads synchronously.","import { createReadStream } from 'fs';

// Break CPU work into chunks to yield to event loop
async function processLargeArray(items: string[]): Promise<string[]> {
  const results: string[] = [];
  const CHUNK = 1000;
  for (let i = 0; i < items.length; i += CHUNK) {
    results.push(...items.slice(i, i + CHUNK).map((s) => s.toUpperCase()));
    await new Promise((resolve) => setImmediate(resolve));
  }
  return results;
}","import { readFileSync } from 'fs';
import { pbkdf2Sync } from 'crypto';

// BAD: blocks event loop while reading entire file
function handleRequest(): string {
  const data = readFileSync('/large-file.json', 'utf8');
  const hash = pbkdf2Sync('password', 'salt', 100000, 64, 'sha512');
  return JSON.parse(data).result;
}",critical,"clinic.js flame, autocannon latency percentiles, process._getActiveRequests().length"
2,Memory,Memory Leaks from Closures,"closure,memory leak,garbage collection,retain,reference","Closures capture their enclosing scope variables. If a closure is long-lived (e.g., stored in a cache or event handler), it can inadvertently retain large objects that should have been garbage collected, causing memory to grow unboundedly.","Keep closures small and focused. Null out references when no longer needed. Use WeakRef or WeakMap for caches. Extract only needed values from large objects before closing over them.","Do not close over entire request or response objects in long-lived callbacks. Do not store closures that reference large data structures in module-level caches without expiration.","// GOOD: Extract only needed data before closing over it
function createHandler(config: { dbUrl: string; secret: string }) {
  const dbUrl = config.dbUrl; // extract only what is needed
  return async (req: Request): Promise<Response> => {
    const data = await fetchFromDb(dbUrl);
    return new Response(JSON.stringify(data));
  };
}","// BAD: Closure retains entire large object
function createHandler(hugeContext: Record<string, unknown>) {
  // hugeContext (possibly MBs) is retained forever
  return async (req: Request): Promise<Response> => {
    const val = hugeContext['key'];
    return new Response(String(val));
  };
}",high,"process.memoryUsage().heapUsed over time, --inspect with Chrome DevTools heap snapshot, clinic.js heapprofile"
3,Database,N+1 Query Problem,"n+1,query,loop,batch,dataloader","Executing one query per item inside a loop generates N additional queries after the initial list query. For 1000 items this means 1001 round-trips to the database instead of 2, destroying throughput and adding massive latency.","Batch queries with WHERE id IN (...), use DataLoader for automatic batching and deduplication, use JOINs or eager-loading in ORMs (e.g., Prisma include, TypeORM relations).","Never execute a query inside a for/forEach/map loop. Never rely on ORM lazy-loading in list endpoints without explicit eager-loading.","import DataLoader from 'dataloader';
import { db } from './db';

// GOOD: Batch load users by IDs
const userLoader = new DataLoader<number, User>(async (ids) => {
  const users = await db.query('SELECT * FROM users WHERE id = ANY($1)', [ids]);
  const userMap = new Map(users.map((u: User) => [u.id, u]));
  return ids.map((id) => userMap.get(id) ?? new Error(`User ${id} not found`));
});

const user = await userLoader.load(42);","// BAD: N+1 queries in a loop
const orders = await db.query('SELECT * FROM orders');
for (const order of orders) {
  // Executes one query PER order
  const user = await db.query('SELECT * FROM users WHERE id = $1', [order.userId]);
  order.user = user;
}",critical,"pg_stat_statements query count, application-level query counter middleware, clinic.js bubbleprof"
4,I/O,Stream vs Buffer for Large Files,"stream,buffer,memory,pipeline,backpressure","Loading an entire large file into memory with fs.readFile causes a spike in heap usage proportional to file size. Streaming processes data in small chunks with bounded memory, and pipeline() handles backpressure and error propagation automatically.","Use createReadStream/createWriteStream for files over a few MB. Use stream.pipeline() or stream/promises pipeline for composing transforms. Set appropriate highWaterMark.","Never use fs.readFile or fs.readFileSync for files whose size may exceed available memory. Never ignore backpressure by piping without pipeline().","import { createReadStream, createWriteStream } from 'fs';
import { pipeline } from 'stream/promises';
import { createGzip } from 'zlib';

// GOOD: Stream large file with compression
async function compressFile(src: string, dest: string): Promise<void> {
  await pipeline(
    createReadStream(src, { highWaterMark: 64 * 1024 }),
    createGzip(),
    createWriteStream(dest),
  );
}","import { readFileSync, writeFileSync } from 'fs';
import { gzipSync } from 'zlib';

// BAD: Loads entire file into memory
function compressFile(src: string, dest: string): void {
  const data = readFileSync(src);
  const compressed = gzipSync(data);
  writeFileSync(dest, compressed);
}",critical,"process.memoryUsage().rss during file ops, --max-old-space-size threshold testing, clinic.js heap"
5,Database,Connection Pooling,"pool,connection,database,pg,mysql","Creating a new database connection for each query incurs TCP handshake, TLS negotiation, and authentication overhead on every request. A connection pool maintains a set of reusable connections, dramatically reducing latency and resource consumption.","Configure a pool with min/max connections, idle timeout, and connection timeout. Use pool.query() or acquire/release patterns. Size the pool to match expected concurrency (typically 5-20 per process).","Never create a new Client per request. Never leave connections unreleased (always use try/finally or the pool.query shorthand). Never set pool size larger than what the database can handle.","import { Pool } from 'pg';

const pool = new Pool({
  host: process.env.DB_HOST,
  database: process.env.DB_NAME,
  max: 20,
  idleTimeoutMillis: 30000,
  connectionTimeoutMillis: 5000,
});

// GOOD: Pool manages connection lifecycle
async function getUser(id: number): Promise<User> {
  const { rows } = await pool.query('SELECT * FROM users WHERE id = $1', [id]);
  return rows[0];
}","import { Client } from 'pg';

// BAD: New connection per request
async function getUser(id: number): Promise<User> {
  const client = new Client({ host: 'localhost', database: 'mydb' });
  await client.connect();
  const { rows } = await client.query('SELECT * FROM users WHERE id = $1', [id]);
  await client.end();
  return rows[0];
}",critical,"pool.totalCount and pool.waitingCount metrics, pg_stat_activity in PostgreSQL, avg query latency"
6,Caching,Caching Strategies (Redis),"cache,redis,ttl,invalidation,memoize","Repeatedly fetching the same data from a database or external API wastes I/O and increases latency. An in-memory or distributed cache (Redis) stores computed results with a TTL, serving subsequent requests in microseconds instead of milliseconds.","Use Redis or ioredis for distributed caching. Set appropriate TTL values. Implement cache-aside (lazy loading) pattern. Use cache key namespacing. Invalidate on writes.","Never cache without a TTL (leads to stale data forever). Never cache user-specific sensitive data without proper scoping. Never assume cache is always available (implement fallback).","import Redis from 'ioredis';

const redis = new Redis({ host: 'localhost', port: 6379 });

async function getCachedUser(id: number): Promise<User> {
  const cacheKey = `user:${id}`;
  const cached = await redis.get(cacheKey);
  if (cached) return JSON.parse(cached);
  const user = await db.query('SELECT * FROM users WHERE id = $1', [id]);
  await redis.setex(cacheKey, 3600, JSON.stringify(user));
  return user;
}","// BAD: No caching, hits DB every time
async function getUser(id: number): Promise<User> {
  // Called thousands of times per minute for popular users
  const user = await db.query('SELECT * FROM users WHERE id = $1', [id]);
  return user;
}

// BAD: Cache without TTL
const cache = new Map<string, User>();",high,"cache hit ratio (hits / (hits + misses)), redis INFO stats, p99 latency comparison cached vs uncached"
7,Runtime,JSON Serialization Performance,"json,stringify,serialize,fast-json-stringify,schema","JSON.stringify is a generic serializer that must inspect every property at runtime. fast-json-stringify uses a JSON Schema to generate a specialized serializer function, achieving 2-5x faster serialization for known object shapes.","Use fast-json-stringify for hot-path serialization (API responses, logging). Define JSON schemas for response types. Benchmark with realistic payloads. Use in Fastify route schemas for automatic optimization.","Do not use fast-json-stringify for dynamic or unknown shapes. Do not forget to handle edge cases like undefined or circular references in schemas.","import fastJson from 'fast-json-stringify';

interface UserResponse {
  id: number;
  name: string;
  email: string;
}

const stringifyUser = fastJson({
  type: 'object',
  properties: {
    id: { type: 'integer' },
    name: { type: 'string' },
    email: { type: 'string' },
  },
});

// 2-5x faster than JSON.stringify for known shapes
const json: string = stringifyUser({ id: 1, name: 'Alice', email: 'a@b.com' });","// BAD: Generic serialization on every request
app.get('/users/:id', (req, res) => {
  const user = getUserById(Number(req.params.id));
  // JSON.stringify inspects every property at runtime
  res.setHeader('Content-Type', 'application/json');
  res.end(JSON.stringify(user));
});",medium,"benchmark.js or tinybench comparing stringify throughput, autocannon req/sec difference, clinic.js flame showing stringify CPU time"
8,Concurrency,Worker Threads for CPU Tasks,"worker_threads,cpu,parallel,offload,thread","Node.js runs JavaScript on a single thread. CPU-intensive tasks (hashing, image processing, data transformation) block this thread, halting all request handling. Worker Threads run JavaScript in parallel OS threads with their own V8 isolates.","Use worker_threads for CPU-bound work exceeding 10-50ms. Use a worker pool (piscina, workerpool) to amortize thread creation cost. Transfer large data with SharedArrayBuffer or transferable objects.","Never create a new Worker per request (thread creation is expensive). Never use workers for I/O-bound tasks (the main thread handles I/O efficiently). Never share mutable state without proper synchronization.","import Piscina from 'piscina';
import { resolve } from 'path';

const pool = new Piscina({
  filename: resolve(__dirname, 'hash-worker.ts'),
  maxThreads: 4,
});

// GOOD: Offload CPU work to thread pool
async function hashPassword(password: string): Promise<string> {
  return pool.run(password);
}

// hash-worker.ts
import { scryptSync } from 'crypto';
export default (password: string): string => scryptSync(password, 'salt', 64).toString('hex');","import { scryptSync } from 'crypto';

// BAD: Blocks main thread for ~100ms per hash
app.post('/register', (req, res) => {
  const hash = scryptSync(req.body.password, 'salt', 64);
  saveUser(req.body.email, hash.toString('hex'));
  res.json({ ok: true });
});",critical,"clinic.js flame for main-thread CPU usage, event loop utilization (perf_hooks monitorEventLoopDelay), autocannon latency under load"
9,Scaling,Cluster Mode,"cluster,multi-process,fork,load balance,core","A single Node.js process uses one CPU core. On multi-core machines most CPU capacity is wasted. The cluster module forks multiple worker processes that share the same server port, with the OS distributing connections across them.","Use cluster or PM2 to spawn one worker per CPU core. Implement graceful shutdown. Use sticky sessions if needed for WebSockets. Monitor individual worker health and restart on crash.","Never share in-memory state across workers (use Redis instead). Never fork more workers than CPU cores. Never ignore unhandled exceptions in workers (implement graceful restart).","import cluster from 'cluster';
import { cpus } from 'os';
import { createServer } from 'http';

if (cluster.isPrimary) {
  const numCPUs = cpus().length;
  for (let i = 0; i < numCPUs; i++) cluster.fork();
  cluster.on('exit', (worker) => {
    console.log(`Worker ${worker.process.pid} died, restarting`);
    cluster.fork();
  });
} else {
  createServer((req, res) => res.end('OK')).listen(3000);
}","import { createServer } from 'http';

// BAD: Single process wastes all but one core
createServer((req, res) => {
  // All traffic handled by one CPU core
  const result = computeExpensiveResult();
  res.end(result);
}).listen(3000);",high,"autocannon throughput (req/sec) single vs cluster, os.cpus().length vs actual utilization, PM2 monit dashboard"
10,Startup,Lazy Loading / Dynamic Import,"lazy,dynamic import,startup,code splitting,import()","Importing all modules at startup increases cold-start time significantly, especially in serverless environments. Dynamic import() defers loading until first use, reducing initial memory footprint and time-to-first-response.","Use dynamic import() for rarely used code paths (admin routes, PDF generation, heavy libraries). Lazy-load optional dependencies. Structure code to allow tree-shaking.","Never lazy-load core modules needed on every request (adds latency to first request). Never dynamic-import inside hot loops. Never forget to handle the import() promise rejection.","// GOOD: Load PDF library only when needed
async function generateReport(data: ReportData): Promise<Buffer> {
  const { default: PDFDocument } = await import('pdfkit');
  const doc = new PDFDocument();
  const chunks: Buffer[] = [];
  doc.on('data', (chunk: Buffer) => chunks.push(chunk));
  doc.text(data.title);
  doc.end();
  return Buffer.concat(chunks);
}","import PDFDocument from 'pdfkit';  // 5MB+ loaded at startup
import sharp from 'sharp';           // heavy native module
import puppeteer from 'puppeteer';   // massive dependency

// BAD: All heavy modules loaded at startup even if rarely used
export function generateThumbnail(path: string) {
  return sharp(path).resize(200).toBuffer();
}",medium,"node --cpu-prof startup trace, process.hrtime() between process start and server.listen callback, require('module')._cache size"
