No,Category,Issue,Keywords,Description,Do,Dont,Code Good,Code Bad,Impact,Measurement
1,Allocation,sync.Pool for object reuse,"sync.Pool, reuse, allocation, GC pressure","Use sync.Pool to reuse frequently allocated objects and reduce GC pressure. sync.Pool maintains a pool of temporary objects that can be retrieved and returned, avoiding repeated heap allocations for short-lived objects.","Use sync.Pool for objects that are allocated and freed frequently, such as buffers or request-scoped structs. Always reset the object state before putting it back into the pool.","Do not use sync.Pool for long-lived objects or objects with complex initialization. Do not assume objects persist across GC cycles, as the pool may be cleared.","var bufPool = sync.Pool{
	New: func() interface{} {
		return new(bytes.Buffer)
	},
}

func process(data []byte) string {
	buf := bufPool.Get().(*bytes.Buffer)
	defer func() {
		buf.Reset()
		bufPool.Put(buf)
	}()
	buf.Write(data)
	return buf.String()
}","func process(data []byte) string {
	buf := new(bytes.Buffer)
	buf.Write(data)
	return buf.String()
}",High,"go test -bench=. -benchmem; compare allocs/op and B/op before and after using sync.Pool"
2,Allocation,Pre-allocate slices with make,"make, slice, capacity, pre-allocate","Pre-allocate slice capacity when the size is known or can be estimated. This avoids repeated allocations and copies caused by append growing the underlying array.","Use make([]T, 0, n) when you know or can estimate the number of elements. This allocates the backing array once upfront.","Do not use append in a loop without pre-allocating capacity when the approximate size is known. Each grow operation copies the entire slice to a new larger array.","func collectIDs(users []User) []int {
	ids := make([]int, 0, len(users))
	for _, u := range users {
		ids = append(ids, u.ID)
	}
	return ids
}","func collectIDs(users []User) []int {
	var ids []int
	for _, u := range users {
		ids = append(ids, u.ID)
	}
	return ids
}",High,"go test -bench=. -benchmem; look at allocs/op to see reduced allocation count"
3,Allocation,Avoid string concatenation in loops,"strings.Builder, concatenation, loop, allocation","String concatenation with + in a loop creates a new string on every iteration because Go strings are immutable. Each concatenation allocates a new backing array and copies all previous content.","Use strings.Builder for concatenation in loops. It minimizes memory copying and allocations by writing to an internal byte slice.","Do not concatenate strings with the + operator inside loops. This results in O(n^2) time complexity and excessive allocations.","func joinNames(names []string) string {
	var sb strings.Builder
	sb.Grow(len(names) * 10)
	for i, name := range names {
		if i > 0 {
			sb.WriteString("", "")
		}
		sb.WriteString(name)
	}
	return sb.String()
}","func joinNames(names []string) string {
	result := """"
	for i, name := range names {
		if i > 0 {
			result += "", ""
		}
		result += name
	}
	return result
}",Critical,"go test -bench=BenchmarkJoin -benchmem; observe O(n) vs O(n^2) growth in allocations"
4,Allocation,bytes.Buffer for building byte output,"bytes.Buffer, io.Writer, allocation","bytes.Buffer implements io.Writer and is ideal for building byte output incrementally. It grows its internal buffer efficiently and avoids repeated allocations.","Use bytes.Buffer when you need an io.Writer for composing byte output. Call Grow() if the approximate size is known to avoid multiple reallocations.","Do not repeatedly create new byte slices and use append to build output when bytes.Buffer provides a cleaner and more efficient approach.","func buildResponse(items []Item) []byte {
	var buf bytes.Buffer
	buf.Grow(len(items) * 64)
	for _, item := range items {
		fmt.Fprintf(&buf, ""%s: %d\n"", item.Name, item.Value)
	}
	return buf.Bytes()
}","func buildResponse(items []Item) []byte {
	var result []byte
	for _, item := range items {
		line := fmt.Sprintf(""%s: %d\n"", item.Name, item.Value)
		result = append(result, []byte(line)...)
	}
	return result
}",Medium,"go test -bench=. -benchmem; compare B/op and allocs/op"
5,Memory,Escape analysis awareness,"escape analysis, heap, stack, go build -gcflags","Understand how Go compiler escape analysis determines whether variables are allocated on the stack or heap. Variables that escape the function scope are heap-allocated, increasing GC pressure.","Write functions that return values instead of pointers when possible. Use go build -gcflags=""-m"" to inspect escape analysis decisions and refactor hot paths accordingly.","Do not blindly return pointers to local variables in performance-critical code without checking escape analysis output. Unnecessary heap allocations add GC overhead.","type Point struct {
	X, Y float64
}

func NewPoint(x, y float64) Point {
	return Point{X: x, Y: y}
}

func distance(a, b Point) float64 {
	dx := a.X - b.X
	dy := a.Y - b.Y
	return math.Sqrt(dx*dx + dy*dy)
}","type Point struct {
	X, Y float64
}

func NewPoint(x, y float64) *Point {
	return &Point{X: x, Y: y}
}

func distance(a, b *Point) float64 {
	dx := a.X - b.X
	dy := a.Y - b.Y
	return math.Sqrt(dx*dx + dy*dy)
}",High,"go build -gcflags=""-m"" ./...; look for ""escapes to heap"" annotations"
6,Memory,Stack vs heap allocation,"stack, heap, allocation, value semantics","Stack allocation is orders of magnitude faster than heap allocation because it requires no GC involvement. Small value types that do not escape should remain on the stack.","Prefer value semantics for small structs. Keep structs small so they stay on the stack. Pass small structs by value rather than by pointer.","Do not create pointers to small structs unnecessarily. Pointer indirection forces heap allocation and adds GC tracking overhead for objects that could live on the stack.","type Config struct {
	Timeout  int
	Retries  int
	Verbose  bool
}

func defaultConfig() Config {
	return Config{
		Timeout: 30,
		Retries: 3,
		Verbose: false,
	}
}","type Config struct {
	Timeout  int
	Retries  int
	Verbose  bool
}

func defaultConfig() *Config {
	return &Config{
		Timeout: 30,
		Retries: 3,
		Verbose: false,
	}
}",Medium,"go build -gcflags=""-m -l"" to check escape decisions; go test -bench=. -benchmem to compare allocs"
7,Memory,Pointer indirection cost,"pointer, cache miss, indirection, CPU cache","Pointer-heavy data structures cause CPU cache misses because the data is scattered across the heap. Contiguous value types improve cache locality and iteration performance.","Store values directly in slices rather than pointers when the element size is reasonable. Flat data structures improve CPU cache utilization during iteration.","Do not use slices of pointers ([]*T) for large collections when slices of values ([]T) would work. Pointer chasing causes cache misses that degrade performance significantly.","type Record struct {
	ID    int
	Name  string
	Score float64
}

func sumScores(records []Record) float64 {
	total := 0.0
	for i := range records {
		total += records[i].Score
	}
	return total
}","type Record struct {
	ID    int
	Name  string
	Score float64
}

func sumScores(records []*Record) float64 {
	total := 0.0
	for _, r := range records {
		total += r.Score
	}
	return total
}",High,"go test -bench=. -benchmem; use perf stat to measure cache misses on Linux"
8,Concurrency,Goroutine creation cost awareness,"goroutine, worker pool, concurrency, overhead","Each goroutine has a minimum 2KB stack that grows as needed. Spawning millions of short-lived goroutines adds scheduling overhead and memory pressure. Use worker pools for bounded concurrency.","Use a worker pool pattern with a fixed number of goroutines consuming from a shared channel. This bounds resource usage and reduces scheduling overhead.","Do not spawn an unbounded number of goroutines per request or per item. Millions of goroutines waste memory and overwhelm the scheduler.","func processItems(items []Item) {
	const workers = 10
	ch := make(chan Item, len(items))
	var wg sync.WaitGroup
	wg.Add(workers)
	for i := 0; i < workers; i++ {
		go func() {
			defer wg.Done()
			for item := range ch {
				handle(item)
			}
		}()
	}
	for _, item := range items {
		ch <- item
	}
	close(ch)
	wg.Wait()
}","func processItems(items []Item) {
	var wg sync.WaitGroup
	for _, item := range items {
		wg.Add(1)
		go func(it Item) {
			defer wg.Done()
			handle(it)
		}(item)
	}
	wg.Wait()
}",High,"runtime.NumGoroutine(); go tool pprof goroutine profile; go test -bench=. -benchmem"
9,Concurrency,Channel sizing buffered vs unbuffered,"channel, buffered, unbuffered, throughput","Unbuffered channels block both sender and receiver until the other side is ready. Buffered channels allow sends to proceed without blocking until the buffer is full, improving throughput in producer-consumer patterns.","Size buffered channels appropriately based on the expected production rate and consumption rate. Use buffered channels when the producer and consumer operate at different speeds.","Do not use unbuffered channels in high-throughput pipelines where the producer and consumer have different processing speeds. This serializes execution unnecessarily.","func pipeline(input <-chan int) <-chan int {
	out := make(chan int, 128)
	go func() {
		defer close(out)
		for v := range input {
			out <- v * 2
		}
	}()
	return out
}","func pipeline(input <-chan int) <-chan int {
	out := make(chan int)
	go func() {
		defer close(out)
		for v := range input {
			out <- v * 2
		}
	}()
	return out
}",Medium,"go test -bench=. -benchtime=5s; measure throughput ops/sec with varying buffer sizes"
10,Concurrency,sync.Map for read-heavy workloads,"sync.Map, concurrent map, read-heavy, cache","sync.Map is optimized for cases where keys are stable and reads vastly outnumber writes. It avoids lock contention on reads by using an atomic read path with a separate dirty map for writes.","Use sync.Map when the map is read-heavy with infrequent writes, such as caches or configuration stores. It provides lock-free reads for stable keys.","Do not use sync.Map for write-heavy workloads. A regular map with sync.RWMutex performs better when writes are frequent because sync.Map has overhead for promoting dirty entries.","var cache sync.Map

func getUser(id string) (*User, bool) {
	val, ok := cache.Load(id)
	if !ok {
		return nil, false
	}
	return val.(*User), true
}

func setUser(id string, u *User) {
	cache.Store(id, u)
}","type SafeMap struct {
	mu sync.Mutex
	m  map[string]*User
}

func (s *SafeMap) getUser(id string) (*User, bool) {
	s.mu.Lock()
	defer s.mu.Unlock()
	u, ok := s.m[id]
	return u, ok
}",Medium,"go test -bench=. -cpu=1,4,8; compare with sync.RWMutex under read-heavy load"
