No,Tool,Category,Keywords,Description,Command,When To Use,Output
1,Flutter DevTools,Debugging,"devtools,debug,inspector,performance,memory,network",Comprehensive debugging suite for Flutter with widget inspector performance timeline memory and network profiling,"flutter pub global activate devtools\nflutter run --debug\n# Open DevTools from VS Code / terminal URL","Always during development; for debugging rendering issues memory leaks and network calls","Widget tree inspector; Performance timeline; Memory heap; Network requests; CPU profiler"
2,Flutter Analyze,Static Analysis,"analyze,lint,warning,error,static,code quality",Static analysis tool that checks Dart code for errors warnings and lint rule violations,"flutter analyze\nflutter analyze --fatal-infos --fatal-warnings\n\n# In CI\nflutter analyze --no-pub || exit 1","Before every commit; in CI pipeline; to enforce code quality standards","List of warnings errors and info messages with file locations and descriptions"
3,Dart Fix,Auto Fix,"fix,autofix,migrate,deprecated,upgrade",Automatically applies fixes for deprecated APIs and common issues,"dart fix --dry-run  # Preview changes\ndart fix --apply    # Apply all fixes\ndart fix --apply --code=unnecessary_const","After upgrading Flutter/Dart version; to fix deprecation warnings; to apply bulk lint fixes","Applied fixes summary showing files changed and fixes applied"
4,Build Runner,Code Generation,"build_runner,codegen,generate,freezed,json,injectable",Runs code generators for freezed json_serializable injectable and other codegen packages,"# One-time build\ndart run build_runner build --delete-conflicting-outputs\n\n# Watch mode\ndart run build_runner watch --delete-conflicting-outputs\n\n# Clean and rebuild\ndart run build_runner clean && dart run build_runner build","After changing models with @freezed @JsonSerializable; after adding @injectable classes","Generated .g.dart and .freezed.dart files with serialization and freezed implementations"
5,Fastlane,CI/CD,"fastlane,deploy,release,beta,app store,play store,signing",Automates building testing and releasing iOS and Android apps including signing and store uploads,"# Install\nbrew install fastlane\n\n# iOS beta\ncd ios && fastlane beta\n\n# Android release\ncd android && fastlane deploy\n\n# Match (iOS signing)\nfastlane match development\nfastlane match appstore","For automated releases; CI/CD pipeline; managing iOS signing certificates; beta distribution","Built and signed IPA/APK; uploaded to App Store Connect / Play Console; distributed to testers"
6,Firebase CLI,Backend Services,"firebase,crashlytics,analytics,fcm,remote config,hosting",Firebase toolchain for crash reporting analytics push notifications remote config and more,"# Install\nnpm install -g firebase-tools\n\n# Initialize\nfirebase init\n\n# Deploy functions\nfirebase deploy --only functions\n\n# Crashlytics symbols\nfirebase crashlytics:symbols:upload","For crash reporting setup; for sending push notifications; for A/B testing with Remote Config","Firebase project configuration; deployed cloud functions; crash reports; analytics dashboards"
7,Flipper,Mobile Debugging,"flipper,debug,network,logs,database,layout,react native",Desktop debugging tool for React Native and native mobile apps with plugin support,"# React Native\nnpm install react-native-flipper\n\n# View network requests, databases, shared preferences\n# Layout inspector for React Native","For React Native development; for inspecting network calls databases and layout","Network request/response inspector; database browser; shared preferences editor; layout hierarchy"
8,Android Studio Profiler,Android Profiling,"profiler,android studio,cpu,memory,energy,network",Built-in Android Studio profilers for CPU memory network and energy consumption analysis,"# Open Android Studio > View > Tool Windows > Profiler\n# Or: Profile app (run button dropdown)\n# CPU: Record method trace\n# Memory: Heap dump and allocation tracking","For Android-specific performance optimization; memory leak detection; energy profiling","CPU method traces; memory allocation timelines; network activity; energy consumption graphs"
9,Xcode Instruments,iOS Profiling,"instruments,xcode,time profiler,leaks,allocations,ios",Apple's profiling toolkit for memory leaks CPU usage allocations and more on iOS,"# From Xcode: Product > Profile (Cmd+I)\n# Choose template: Time Profiler / Leaks / Allocations\n# Record and analyze","For iOS-specific performance; memory leak detection; CPU hotspot analysis","Time profiler flamegraphs; leaked object details; allocation history; energy impact"
10,Flutter Test,Testing,"test,flutter test,unit,widget,integration,coverage",Built-in test runner for unit widget and integration tests with coverage support,"# Run all tests\nflutter test\n\n# With coverage\nflutter test --coverage\n\n# Specific file\nflutter test test/unit/auth_test.dart\n\n# Update goldens\nflutter test --update-goldens","For running all test types; for CI pipelines; for coverage reports","Test results (pass/fail); coverage report in coverage/lcov.info; golden file updates"
