No,Project_Category,Recommended_Architecture,Package_Priority,Error_Strategy,Concurrency_Strategy,Testing_Strategy,Decision_Rules,Anti_Patterns,Severity
1,REST API Small,"Flat structure with main.rs and handlers/","axum, serde, serde_json, tokio, tracing",Custom error type implementing IntoResponse; use thiserror for enum variants,Single task per request; use tower middleware for cross-cutting,Integration tests with axum::test; unit tests for service logic,"{""if_high_traffic"": ""add-rate-limiter-tower-governor"", ""if_auth"": ""add-jwt-middleware"", ""if_db"": ""add-sqlx-pool"", ""if_cache"": ""add-redis-layer""}","God handler functions, .unwrap() everywhere, blocking in async",low
2,REST API Large,"Clean Architecture: src/handlers/ src/services/ src/repositories/ src/models/ src/errors/","axum, sqlx, serde, tokio, tower, tower-http, tracing, utoipa",Custom error enum with thiserror; IntoResponse for HTTP mapping; anyhow in internal layers,Worker pool with JoinSet for background tasks; tokio::spawn for parallel I/O,Integration tests with testcontainers; unit tests with mockall traits,"{""if_high_traffic"": ""add-tower-governor-rate-limiter"", ""if_auth"": ""add-rbac-middleware"", ""if_multi_db"": ""add-repository-trait-pattern"", ""if_cache"": ""add-cache-aside-with-moka"", ""if_queue"": ""add-async-processing-tokio""}","Circular dependencies between modules, database logic in handlers, global mutable state, clone abuse",high
3,REST API with PostgreSQL,"Layered: src/handlers/ src/services/ src/repositories/ src/models/ migrations/","axum, sqlx (postgres + runtime-tokio), serde, tokio, tracing",Wrap sqlx::Error into domain errors; handle constraint violations; use .context() for chains,Connection pool via PgPool; use context/timeout on all queries,Test with testcontainers-rs/postgres; use sqlx test macros,"{""if_high_read"": ""add-read-replicas"", ""if_complex_queries"": ""add-sea-query-builder"", ""if_migrations"": ""use-sqlx-migrate"", ""if_audit"": ""add-audit-triggers""}","N+1 queries, missing indexes, not using compile-time checked queries, SQL injection via format!",high
4,REST API with MongoDB,"Layered: src/handlers/ src/services/ src/repositories/ src/models/","axum, mongodb, serde, tokio, tracing",Wrap mongodb::error::Error; handle not-found explicitly; use typed results,Use connection pooling via mongodb::Client; reuse across handlers,Test with testcontainers-rs/mongo; seed test data in fixtures,"{""if_high_write"": ""add-write-concern-majority"", ""if_search"": ""add-search-index"", ""if_relations"": ""consider-postgresql-instead"", ""if_schema"": ""add-bson-validation""}","Storing highly relational data in MongoDB, unbounded Vec growth in documents, missing indexes",high
5,CLI Tool Simple,"Single main.rs with clap derive","clap, anyhow, serde, colored",Print errors to stderr with process::exit(1); use anyhow::Context for wrapping,Not needed; sequential execution,Test with assert_cmd and predicates; extract logic into lib.rs,"{""if_flags_complex"": ""use-clap-subcommands"", ""if_config"": ""add-config-crate"", ""if_output_format"": ""add-json-and-tabled-output""}","Printing errors to stdout, using .unwrap() in main, not setting exit codes",low
6,CLI Tool Complex,"src/lib.rs src/cli.rs src/commands/ with clap subcommands","clap, dialoguer, indicatif, console, anyhow, serde, tokio",Structured error types per subcommand; aggregate errors for batch operations,Use tokio for async I/O; rayon for CPU-heavy parallel operations,Test each subcommand with assert_cmd; test config loading; use insta for output snapshots,"{""if_interactive"": ""add-dialoguer-prompts"", ""if_config_file"": ""add-config-toml"", ""if_plugin"": ""add-plugin-trait-system"", ""if_long_running"": ""add-indicatif-progress""}","Deeply nested subcommands, mixing UI and business logic, not handling SIGINT/SIGTERM",medium
7,Microservice gRPC,"src/server/ src/services/ src/repositories/ proto/","tonic, prost, tonic-build, sqlx, tokio, tracing, tracing-opentelemetry",Return tonic::Status codes; map domain errors to codes; use interceptors for cross-cutting,Per-RPC task managed by tonic; use streaming for large payloads,Test with tonic::transport::Channel; mock services with mockall,"{""if_streaming"": ""add-server-streaming"", ""if_auth"": ""add-auth-interceptor"", ""if_tracing"": ""add-opentelemetry-layer"", ""if_retry"": ""add-client-retry-policy""}","Huge protobuf messages, not using interceptors, blocking in stream handlers",high
8,Web App with Templates,"src/handlers/ src/services/ src/models/ templates/ static/","axum, askama or tera, sqlx, tower-http, tokio, tracing",Custom error pages; flash messages for user errors; log internal errors,Standard task-per-request; use tower middleware for sessions,Test handlers with axum::test; test template rendering; browser tests,"{""if_dynamic"": ""add-htmx"", ""if_session"": ""add-tower-sessions"", ""if_csrf"": ""add-csrf-middleware"", ""if_i18n"": ""add-fluent-rs""}","Template injection via unescaped input, not using tower-http for static files, missing CSRF",medium
9,Library/SDK Public,"src/lib.rs with modules; examples/ directory","No external deps preferred; use std only where possible",Return typed errors with thiserror; never panic; never log,Document Send/Sync safety; use sync primitives; make concurrency opt-in,100% test coverage on pub API; doc tests; proptest for edge cases; fuzz targets,"{""if_breaking_change"": ""bump-major-semver"", ""if_optional_deps"": ""use-feature-flags"", ""if_async"": ""gate-behind-async-feature"", ""if_compat"": ""add-msrv-policy""}","Logging to stdout, panicking on errors, exposing internal types, unstable API before 1.0",critical
10,WebSocket Real-time,"src/handlers/ src/hub/ src/client/ src/models/","axum (ws), tokio, serde_json, dashmap, tracing",Send error frames to client; close with appropriate codes; log server-side errors,Hub pattern: one task per connection; broadcast via shared state; use DashMap for rooms,Test message delivery; load test concurrent connections; test reconnection,"{""if_scale"": ""add-redis-pubsub-for-multi-node"", ""if_auth"": ""authenticate-on-upgrade"", ""if_heartbeat"": ""add-ping-pong-interval"", ""if_rooms"": ""add-room-based-routing""}","Blocking the write task, no ping/pong heartbeat, unbounded send channels, not handling disconnects",high
11,Embedded no_std,"src/main.rs with #![no_std] #![no_main]","cortex-m-rt, embedded-hal, heapless, defmt, panic-halt",Return nb::Result for non-blocking ops; use defmt for error logging,Embassy for async tasks; interrupt handlers for real-time,Test drivers on host with embedded-hal-mock; defmt-test on device,"{""if_async"": ""use-embassy"", ""if_rtos"": ""use-rtic"", ""if_networking"": ""add-embassy-net"", ""if_usb"": ""add-embassy-usb""}","Using std features, heap allocation, blocking in interrupt handlers, busy-wait loops",critical
12,WASM Frontend,"src/lib.rs with wasm-bindgen exports","wasm-bindgen, web-sys, leptos or yew, serde, gloo",Map JsValue errors; use Result<T, JsValue> at boundaries; log with console_error_panic_hook,Single-threaded (WASM); use component reactivity; avoid heavy compute on main thread,Test with wasm-bindgen-test in browser; test pure logic with #[test],"{""if_ssr"": ""use-leptos-ssr"", ""if_spa"": ""use-yew-or-leptos"", ""if_size"": ""optimize-with-wasm-opt"", ""if_interop"": ""add-js-sys-bindings""}","Including all web-sys features, large WASM binaries, not using wee_alloc, unused JS bindings",medium
13,Data Pipeline Batch,"src/extract/ src/transform/ src/load/ src/pipeline/","tokio, sqlx, csv, serde, rayon, tracing",Collect errors per record; continue processing; report summary at end,Rayon for CPU-bound transforms; tokio for I/O-bound extract/load,Test each stage independently; use golden files for transform verification,"{""if_large_files"": ""add-streaming-reader"", ""if_retryable"": ""add-per-record-retry"", ""if_checkpoint"": ""add-checkpoint-resume"", ""if_monitoring"": ""add-prometheus-metrics""}","Loading entire files into memory, unbounded parallelism, no progress reporting, silent data loss",high
14,Auth Service,"src/handlers/ src/services/ src/token/ src/store/","axum, argon2, jsonwebtoken, sqlx, tokio, tracing",Never leak auth details; generic messages to client; detailed internal logging,Request-scoped; rate limit login attempts; background token cleanup task,Test token gen/verify; test password hashing with spawn_blocking; integration test auth flow,"{""if_oauth"": ""add-oauth2-crate"", ""if_mfa"": ""add-totp-support"", ""if_session"": ""add-tower-sessions-redis"", ""if_api_keys"": ""add-api-key-management""}","Storing plaintext passwords, JWT without expiration, using SHA256 for passwords, leaking user existence",critical
15,Background Worker Queue,"src/worker/ src/handlers/ src/queue/","tokio, lapin (RabbitMQ) or redis, serde, tracing",Retry with exponential backoff; dead letter after max retries; structured error logging,Worker pool with JoinSet; graceful shutdown with tokio::signal,Test handlers as pure functions; integration test with testcontainers Redis/RabbitMQ,"{""if_priority"": ""add-priority-queues"", ""if_scheduled"": ""add-cron-scheduling"", ""if_unique"": ""add-deduplication"", ""if_monitoring"": ""add-metrics-dashboard""}","Unbounded retries, no idempotency, losing tasks on crash, no dead letter queue",high
