No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Socket.io Server Setup,Initialize Socket.io server with an HTTP server,"Create a Socket.io server by attaching it to an existing HTTP server. Configure CORS and connection settings properly for production use.",Attach Socket.io to an HTTP server with explicit CORS configuration,Use Socket.io standalone without CORS config or let it create its own HTTP server,"import { createServer } from 'http';
import express from 'express';
import { Server } from 'socket.io';

const app = express();
const httpServer = createServer(app);

const io = new Server(httpServer, {
  cors: {
    origin: process.env.CLIENT_URL || 'http://localhost:3000',
    methods: ['GET', 'POST'],
    credentials: true,
  },
  pingTimeout: 60000,
  pingInterval: 25000,
  transports: ['websocket', 'polling'],
});

io.on('connection', (socket) => {
  console.log(`Client connected: ${socket.id}`);

  socket.on('disconnect', (reason) => {
    console.log(`Client disconnected: ${socket.id}, reason: ${reason}`);
  });
});

const PORT = process.env.PORT || 3000;
httpServer.listen(PORT, () => {
  console.log(`Server running on port ${PORT}`);
});","import { Server } from 'socket.io';

// BAD: No CORS config, no HTTP server reference, default settings
const io = new Server(3000); // BAD: creates its own server

io.on('connection', (socket) => {
  console.log('connected');
  // BAD: No disconnect handler
  // BAD: No ping/pong configuration
  // BAD: No CORS - will fail in production
});",warning,https://socket.io/docs/v4/server-initialization/
2,Socket.io Client Connection,Connect client to Socket.io server properly,"Initialize the Socket.io client with proper connection options including auth tokens, reconnection settings, and transport preferences.",Configure reconnection strategy and pass auth tokens via the auth option,Pass tokens in query parameters or skip reconnection configuration,"import { io, Socket } from 'socket.io-client';

interface ServerToClientEvents {
  message: (data: { user: string; text: string; timestamp: number }) => void;
  error: (error: { code: string; message: string }) => void;
}

interface ClientToServerEvents {
  sendMessage: (data: { text: string; room: string }) => void;
  joinRoom: (room: string) => void;
}

const socket: Socket<ServerToClientEvents, ClientToServerEvents> = io(
  process.env.NEXT_PUBLIC_WS_URL || 'http://localhost:3000',
  {
    auth: {
      token: localStorage.getItem('accessToken'),
    },
    reconnection: true,
    reconnectionAttempts: 5,
    reconnectionDelay: 1000,
    reconnectionDelayMax: 10000,
    transports: ['websocket', 'polling'],
    autoConnect: false,
  }
);

socket.on('connect', () => {
  console.log('Connected:', socket.id);
});

socket.on('connect_error', (err) => {
  console.error('Connection error:', err.message);
  if (err.message === 'Authentication error') {
    // Refresh token and retry
    refreshAuthToken().then((newToken) => {
      socket.auth = { token: newToken };
      socket.connect();
    });
  }
});

// Connect when ready
socket.connect();","import { io } from 'socket.io-client';

// BAD: Token in query string (logged in server logs), no type safety
const socket = io('http://localhost:3000', {
  query: { token: localStorage.getItem('token') }, // BAD: token in URL
  // No reconnection config
  // No transport preference
  // No type safety
});

socket.on('connect', () => {
  console.log('connected');
});

// BAD: No connect_error handler
// BAD: No token refresh logic",warning,https://socket.io/docs/v4/client-initialization/
3,Socket.io Events,Define and handle custom events with type safety,"Create typed custom events for Socket.io communication. Use interface declarations to ensure type safety between client and server.",Define shared event interfaces and use typed socket instances,Use untyped event names with any payloads,"// shared/types.ts - shared between client and server
export interface ServerToClientEvents {
  'chat:message': (data: ChatMessage) => void;
  'chat:userJoined': (data: { userId: string; username: string }) => void;
  'chat:userLeft': (data: { userId: string }) => void;
  'chat:typing': (data: { userId: string; isTyping: boolean }) => void;
}

export interface ClientToServerEvents {
  'chat:send': (data: { text: string; roomId: string }, ack: (response: { id: string }) => void) => void;
  'chat:typing': (data: { roomId: string; isTyping: boolean }) => void;
}

export interface ChatMessage {
  id: string;
  userId: string;
  username: string;
  text: string;
  roomId: string;
  timestamp: number;
}

// server.ts
import { Server } from 'socket.io';

const io = new Server<ClientToServerEvents, ServerToClientEvents>(httpServer);

io.on('connection', (socket) => {
  socket.on('chat:send', async (data, ack) => {
    const message: ChatMessage = {
      id: crypto.randomUUID(),
      userId: socket.data.userId,
      username: socket.data.username,
      text: data.text,
      roomId: data.roomId,
      timestamp: Date.now(),
    };

    await db.message.create({ data: message });
    io.to(data.roomId).emit('chat:message', message);
    ack({ id: message.id });
  });
});","import { Server } from 'socket.io';

// BAD: No type safety, magic strings everywhere
const io = new Server(httpServer);

io.on('connection', (socket) => {
  // BAD: untyped events, no validation
  socket.on('msg', (data: any) => {
    // BAD: no validation of data shape
    io.emit('msg', data); // BAD: broadcasting to everyone, including sender
    // BAD: no acknowledgment, no error handling
  });

  socket.on('type', (d: any) => {
    socket.broadcast.emit('type', d); // BAD: no room scoping
  });
});",warning,https://socket.io/docs/v4/typescript/
4,Socket.io Rooms,Manage rooms for group communication,"Use Socket.io rooms to organize clients into groups for targeted message delivery. Handle join and leave operations with proper authorization.",Validate room access before joining and clean up on disconnect,Allow unrestricted room access or forget to handle room cleanup,"import { Server, Socket } from 'socket.io';

interface RoomJoinPayload {
  roomId: string;
}

async function canAccessRoom(userId: string, roomId: string): Promise<boolean> {
  const membership = await db.roomMember.findUnique({
    where: { userId_roomId: { userId, roomId } },
  });
  return !!membership;
}

io.on('connection', (socket: Socket) => {
  const userId = socket.data.userId;

  socket.on('room:join', async (payload: RoomJoinPayload, ack) => {
    const { roomId } = payload;

    if (!await canAccessRoom(userId, roomId)) {
      return ack({ error: 'Access denied' });
    }

    await socket.join(roomId);

    const members = await io.in(roomId).fetchSockets();
    const memberIds = members.map((s) => s.data.userId);

    socket.to(roomId).emit('room:userJoined', { userId, roomId });
    ack({ success: true, members: memberIds });
  });

  socket.on('room:leave', async (payload: RoomJoinPayload) => {
    const { roomId } = payload;
    await socket.leave(roomId);
    socket.to(roomId).emit('room:userLeft', { userId, roomId });
  });

  socket.on('disconnecting', () => {
    for (const room of socket.rooms) {
      if (room !== socket.id) {
        socket.to(room).emit('room:userLeft', { userId, roomId: room });
      }
    }
  });
});","import { Server } from 'socket.io';

const io = new Server(httpServer);

io.on('connection', (socket) => {
  // BAD: No authorization check before joining
  socket.on('joinRoom', (room: string) => {
    socket.join(room); // BAD: anyone can join any room
    // BAD: no notification to other room members
  });

  // BAD: No cleanup on disconnect
  // BAD: No room membership validation
  socket.on('message', (data: any) => {
    io.to(data.room).emit('message', data); // BAD: no sender validation
  });
});",error,https://socket.io/docs/v4/rooms/
5,Socket.io Namespaces,Use namespaces to separate concerns,"Create Socket.io namespaces to logically separate different features like chat, notifications, and analytics. Each namespace can have its own middleware and event handlers.",Create separate namespaces for distinct features with their own middleware,Put all events in the default namespace as the application grows,"import { Server } from 'socket.io';

const io = new Server(httpServer, {
  cors: { origin: process.env.CLIENT_URL, credentials: true },
});

// Chat namespace
const chatNamespace = io.of('/chat');
chatNamespace.use(authMiddleware);
chatNamespace.on('connection', (socket) => {
  console.log(`Chat connected: ${socket.data.userId}`);

  socket.on('message', async (data) => {
    const message = await saveChatMessage(socket.data.userId, data);
    chatNamespace.to(data.roomId).emit('message', message);
  });
});

// Notifications namespace
const notifNamespace = io.of('/notifications');
notifNamespace.use(authMiddleware);
notifNamespace.on('connection', (socket) => {
  const userId = socket.data.userId;
  socket.join(`user:${userId}`);

  socket.on('markRead', async (notifId: string) => {
    await db.notification.update({ where: { id: notifId }, data: { read: true } });
  });
});

// Send notification from anywhere in the app
export function sendNotification(userId: string, notification: any) {
  notifNamespace.to(`user:${userId}`).emit('notification', notification);
}

// Analytics namespace (read-only for admins)
const analyticsNamespace = io.of('/analytics');
analyticsNamespace.use(adminAuthMiddleware);
analyticsNamespace.on('connection', (socket) => {
  const interval = setInterval(() => {
    socket.emit('stats', getRealtimeStats());
  }, 5000);

  socket.on('disconnect', () => clearInterval(interval));
});","import { Server } from 'socket.io';

const io = new Server(httpServer);

// BAD: Everything in the default namespace
io.on('connection', (socket) => {
  // BAD: All features mixed together, hard to maintain
  socket.on('chatMessage', (data) => { /* ... */ });
  socket.on('notification', (data) => { /* ... */ });
  socket.on('analytics', (data) => { /* ... */ });
  socket.on('typing', (data) => { /* ... */ });
  socket.on('presence', (data) => { /* ... */ });
  // BAD: No separation of middleware per feature
  // BAD: All clients receive all events even if irrelevant
});",info,https://socket.io/docs/v4/namespaces/
6,Socket.io Auth Middleware,Authenticate connections with io.use() middleware,"Use Socket.io middleware to authenticate connections before they complete. Verify JWT tokens or session cookies and attach user data to the socket.",Verify auth tokens in the middleware and reject unauthenticated connections,Skip authentication or authenticate only on individual events,"import { Server, Socket } from 'socket.io';
import jwt from 'jsonwebtoken';

interface AuthSocket extends Socket {
  data: {
    userId: string;
    role: string;
  };
}

function authMiddleware(socket: Socket, next: (err?: Error) => void) {
  const token = socket.handshake.auth.token;

  if (!token) {
    return next(new Error('Authentication required'));
  }

  try {
    const decoded = jwt.verify(token, process.env.JWT_SECRET!) as {
      sub: string;
      role: string;
    };

    socket.data.userId = decoded.sub;
    socket.data.role = decoded.role;
    next();
  } catch (err) {
    if (err instanceof jwt.TokenExpiredError) {
      return next(new Error('Token expired'));
    }
    next(new Error('Authentication failed'));
  }
}

const io = new Server(httpServer);

// Apply to all connections
io.use(authMiddleware);

// Or apply to specific namespace
io.of('/admin').use(authMiddleware);
io.of('/admin').use((socket, next) => {
  if (socket.data.role !== 'admin') {
    return next(new Error('Admin access required'));
  }
  next();
});

io.on('connection', (socket: AuthSocket) => {
  console.log(`Authenticated user: ${socket.data.userId}`);
});","import { Server } from 'socket.io';

const io = new Server(httpServer);

// BAD: No middleware, authenticating per-event
io.on('connection', (socket) => {
  // BAD: Connection is already established without auth
  socket.on('authenticate', async (token: string) => {
    // BAD: Client can use socket before authenticating
    try {
      const user = jwt.verify(token, 'secret');
      (socket as any).user = user;
    } catch {
      socket.disconnect(); // BAD: already connected, could have sent messages
    }
  });

  socket.on('message', (data) => {
    // BAD: No guarantee user is authenticated
    io.emit('message', data);
  });
});",error,https://socket.io/docs/v4/middlewares/
7,Socket.io Redis Adapter,Scale Socket.io with Redis adapter,"Use the Redis adapter to enable Socket.io to work across multiple server instances. Redis pub/sub ensures events are broadcast to all connected servers.",Use @socket.io/redis-adapter for multi-instance deployments,Use Socket.io without an adapter in a multi-instance deployment,"import { createServer } from 'http';
import { Server } from 'socket.io';
import { createAdapter } from '@socket.io/redis-adapter';
import { createClient } from 'redis';

const httpServer = createServer();

const io = new Server(httpServer, {
  cors: { origin: process.env.CLIENT_URL, credentials: true },
});

async function setupRedisAdapter() {
  const pubClient = createClient({ url: process.env.REDIS_URL });
  const subClient = pubClient.duplicate();

  pubClient.on('error', (err) => console.error('Redis pub error:', err));
  subClient.on('error', (err) => console.error('Redis sub error:', err));

  await Promise.all([pubClient.connect(), subClient.connect()]);

  io.adapter(createAdapter(pubClient, subClient));
  console.log('Socket.io Redis adapter connected');
}

await setupRedisAdapter();

io.on('connection', (socket) => {
  // Events will now be broadcast across all server instances
  socket.on('chat:message', (data) => {
    io.to(data.roomId).emit('chat:message', data);
    // This reaches clients connected to ANY server instance
  });
});

httpServer.listen(3000);","import { Server } from 'socket.io';

// BAD: No adapter in a load-balanced environment
const io = new Server(httpServer);

io.on('connection', (socket) => {
  socket.on('chat:message', (data) => {
    // BAD: Only reaches clients on THIS server instance
    // Clients on other instances behind the load balancer won't receive this
    io.to(data.roomId).emit('chat:message', data);
  });
});

// BAD: Sticky sessions without adapter - rooms don't work across instances
// BAD: No error handling for Redis connection",error,https://socket.io/docs/v4/redis-adapter/
8,ws (Raw WebSocket) Setup,Initialize a raw WebSocket server with ws,"Set up a WebSocket server using the ws library for lightweight WebSocket communication without the Socket.io overhead. Attach it to an existing HTTP server.",Attach WebSocketServer to an existing HTTP server and handle errors on each connection,Create a standalone WebSocket server without error handling,"import { WebSocketServer, WebSocket } from 'ws';
import { createServer } from 'http';
import express from 'express';

const app = express();
const server = createServer(app);

const wss = new WebSocketServer({
  server,
  path: '/ws',
  maxPayload: 1024 * 1024, // 1MB max message size
  clientTracking: true,
});

wss.on('connection', (ws: WebSocket, req) => {
  const clientIp = req.headers['x-forwarded-for'] || req.socket.remoteAddress;
  console.log(`WebSocket connected from ${clientIp}`);

  ws.on('message', (data: Buffer) => {
    try {
      const message = JSON.parse(data.toString());
      handleMessage(ws, message);
    } catch (err) {
      ws.send(JSON.stringify({ error: 'Invalid message format' }));
    }
  });

  ws.on('error', (err) => {
    console.error('WebSocket error:', err);
  });

  ws.on('close', (code, reason) => {
    console.log(`WebSocket closed: ${code} ${reason.toString()}`);
  });

  ws.send(JSON.stringify({ type: 'connected', timestamp: Date.now() }));
});

wss.on('error', (err) => {
  console.error('WebSocketServer error:', err);
});

server.listen(3000);","import { WebSocketServer } from 'ws';

// BAD: Standalone server, no error handling, no payload limit
const wss = new WebSocketServer({ port: 8080 }); // BAD: creates its own server

wss.on('connection', (ws) => {
  ws.on('message', (data) => {
    // BAD: No try/catch, no message validation
    const msg = JSON.parse(data.toString());
    // BAD: No error event handler - will crash on error
    ws.send(msg);
  });
  // BAD: No close handler, no error handler
});",warning,https://www.npmjs.com/package/ws
9,ws Message Protocol,Define a JSON message protocol for WebSocket communication,"Create a structured message protocol with type fields for routing different message types. Validate incoming messages against the protocol schema.",Define a typed message protocol with validation and route messages by type,Send unstructured data or use string-based protocols without validation,"import { WebSocket } from 'ws';
import { z } from 'zod';

// Define message schemas
const MessageSchema = z.discriminatedUnion('type', [
  z.object({ type: z.literal('chat:send'), payload: z.object({ roomId: z.string(), text: z.string().min(1).max(2000) }) }),
  z.object({ type: z.literal('room:join'), payload: z.object({ roomId: z.string() }) }),
  z.object({ type: z.literal('room:leave'), payload: z.object({ roomId: z.string() }) }),
  z.object({ type: z.literal('typing'), payload: z.object({ roomId: z.string(), isTyping: z.boolean() }) }),
]);

type IncomingMessage = z.infer<typeof MessageSchema>;

interface OutgoingMessage {
  type: string;
  payload: unknown;
  timestamp: number;
}

function sendMessage(ws: WebSocket, type: string, payload: unknown): void {
  if (ws.readyState === WebSocket.OPEN) {
    const message: OutgoingMessage = { type, payload, timestamp: Date.now() };
    ws.send(JSON.stringify(message));
  }
}

type MessageHandler = (ws: WebSocket, payload: any) => void | Promise<void>;
const handlers = new Map<string, MessageHandler>();

handlers.set('chat:send', async (ws, payload) => {
  const message = await saveChatMessage(payload);
  broadcastToRoom(payload.roomId, 'chat:message', message);
});

handlers.set('room:join', async (ws, payload) => {
  await joinRoom(ws, payload.roomId);
  sendMessage(ws, 'room:joined', { roomId: payload.roomId });
});

function handleIncomingMessage(ws: WebSocket, raw: Buffer): void {
  try {
    const data = JSON.parse(raw.toString());
    const parsed = MessageSchema.parse(data);
    const handler = handlers.get(parsed.type);
    if (handler) {
      handler(ws, parsed.payload);
    } else {
      sendMessage(ws, 'error', { message: `Unknown message type: ${parsed.type}` });
    }
  } catch (err) {
    if (err instanceof z.ZodError) {
      sendMessage(ws, 'error', { message: 'Invalid message format', details: err.errors });
    } else {
      sendMessage(ws, 'error', { message: 'Failed to process message' });
    }
  }
}","import { WebSocket } from 'ws';

// BAD: No protocol, no validation, no message routing
wss.on('connection', (ws) => {
  ws.on('message', (data) => {
    const msg = JSON.parse(data.toString()); // BAD: no try/catch

    // BAD: Giant if/else chain with no validation
    if (msg.action === 'send') {
      ws.send(msg.text); // BAD: no structure, no type field
    } else if (msg.action === 'join') {
      // BAD: no validation of msg.room
    }
    // BAD: no default case for unknown messages
  });
});",warning,https://www.npmjs.com/package/ws
10,ws Authentication,Authenticate WebSocket connections on upgrade,"Verify authentication during the HTTP upgrade request before the WebSocket connection is established. Reject unauthorized connections at the protocol level.",Verify tokens in the upgrade event handler before completing the WebSocket handshake,Accept all connections and authenticate after the WebSocket is established,"import { WebSocketServer, WebSocket } from 'ws';
import { createServer, IncomingMessage } from 'http';
import jwt from 'jsonwebtoken';
import { parse as parseUrl } from 'url';

const server = createServer();
const wss = new WebSocketServer({ noServer: true });

interface AuthenticatedSocket extends WebSocket {
  userId: string;
  role: string;
}

server.on('upgrade', (request: IncomingMessage, socket, head) => {
  try {
    // Extract token from query string or cookie
    const { query } = parseUrl(request.url || '', true);
    const token = query.token as string
      || request.headers.cookie?.match(/token=([^;]+)/)?.[1];

    if (!token) {
      socket.write('HTTP/1.1 401 Unauthorized\r\n\r\n');
      socket.destroy();
      return;
    }

    const decoded = jwt.verify(token, process.env.JWT_SECRET!) as {
      sub: string;
      role: string;
    };

    wss.handleUpgrade(request, socket, head, (ws) => {
      (ws as AuthenticatedSocket).userId = decoded.sub;
      (ws as AuthenticatedSocket).role = decoded.role;
      wss.emit('connection', ws, request);
    });
  } catch (err) {
    socket.write('HTTP/1.1 401 Unauthorized\r\n\r\n');
    socket.destroy();
  }
});

wss.on('connection', (ws: AuthenticatedSocket) => {
  console.log(`Authenticated: ${ws.userId}`);
});

server.listen(3000);","import { WebSocketServer } from 'ws';

// BAD: No authentication on upgrade
const wss = new WebSocketServer({ port: 8080 });

wss.on('connection', (ws) => {
  // BAD: Connection already established without auth
  let authenticated = false;

  ws.on('message', (data) => {
    const msg = JSON.parse(data.toString());

    if (msg.type === 'auth') {
      // BAD: Client can send messages before authenticating
      authenticated = true;
    }

    if (!authenticated) {
      ws.send('Please authenticate first');
      return; // BAD: connection stays open
    }
  });
});",error,https://www.npmjs.com/package/ws
