No,Tool,Category,Keywords,Description,Command,When To Use,Output
1,Node.js,Runtime,"nodejs, node, javascript runtime, v8, server-side js","JavaScript runtime built on Chrome's V8 engine; enables server-side JavaScript execution with an event-driven, non-blocking I/O model.",node index.js,"Run JavaScript outside the browser, build APIs, CLI tools, and real-time services.",Executes the script and streams stdout/stderr to the terminal.
2,npm,Package Manager,"npm, node package manager, install, registry","Default package manager bundled with Node.js; installs dependencies from the npm registry and manages project scripts.",npm install,"Install project dependencies, run lifecycle scripts, and publish packages to the npm registry.",Creates or updates node_modules/ and generates package-lock.json.
3,pnpm,Package Manager,"pnpm, fast package manager, content-addressable, disk efficient","Fast, disk-efficient package manager that uses a content-addressable store and hard links to avoid duplicating packages across projects.",pnpm install,"Manage dependencies in projects or monorepos where disk space and install speed matter.",Creates node_modules/ using symlinks and a global content-addressable store; generates pnpm-lock.yaml.
4,bun,Runtime / Package Manager,"bun, fast runtime, bundler, all-in-one, zig","All-in-one JavaScript/TypeScript runtime, package manager, bundler, and test runner built from scratch in Zig for maximum speed.",bun install && bun run index.ts,"Replace Node.js + npm + bundler in projects that benefit from faster installs, faster startup, and native TypeScript support.",Executes scripts or installs dependencies significantly faster than traditional tooling.
5,TypeScript Compiler (tsc),Compiler,"tsc, typescript, type checking, compilation, tsconfig","Official TypeScript compiler; performs static type checking and transpiles .ts/.tsx files to JavaScript.",npx tsc --noEmit,"Type-check your codebase during CI or before a release; compile TypeScript to JavaScript when not using a bundler.",Reports type errors to stderr or emits .js/.d.ts files into the configured outDir.
6,tsx,TypeScript Execution,"tsx, typescript execute, esm, no compile, fast","TypeScript execution engine that runs .ts/.tsx files directly without a separate compilation step, powered by esbuild.",npx tsx src/index.ts,"Quickly run TypeScript files during development without setting up a full build pipeline.",Executes the TypeScript file immediately and streams stdout/stderr.
7,ts-node,TypeScript Execution,"ts-node, typescript node, register, repl, swc","TypeScript execution environment for Node.js; hooks into Node's module system to compile TypeScript on the fly.",npx ts-node src/index.ts,"Run TypeScript in Node.js when you need full tsconfig respect and type-checking at runtime.",Compiles and executes TypeScript in-process; outputs results to stdout/stderr.
8,ESLint,Linter,"eslint, linter, static analysis, code quality, rules","Pluggable JavaScript/TypeScript linter that statically analyzes code to find problems, enforce style, and prevent bugs.",npx eslint . --fix,"Catch bugs, enforce coding conventions, and auto-fix fixable issues across the codebase.",Prints warnings and errors to stdout; returns a non-zero exit code if errors remain.
9,Prettier,Formatter,"prettier, formatter, code style, opinionated, auto format","Opinionated code formatter that enforces a consistent style by parsing code and reprinting it with its own rules.",npx prettier --write .,"Format code automatically so the team never debates style; integrate into pre-commit hooks or CI.",Rewrites files in place and prints the list of changed files to stdout.
10,Vitest,Testing,"vitest, test runner, vite, fast tests, watch mode","Vite-powered test framework with native ESM support, TypeScript out of the box, and a Jest-compatible API.",npx vitest run,"Run unit and integration tests in Vite-based projects or any project that benefits from fast HMR-style test re-runs.",Prints test results (pass/fail/skip) to stdout and returns a non-zero exit code on failure.
11,Jest,Testing,"jest, testing framework, snapshot, mock, coverage","Batteries-included JavaScript testing framework with built-in assertions, mocking, snapshot testing, and code coverage.",npx jest --coverage,"Write and run unit/integration tests, generate coverage reports, and use snapshot testing for UI components.",Prints test results and optional coverage summary to stdout; generates coverage/ directory.
12,nvm,Version Manager,"nvm, node version manager, switch node, .nvmrc","Node.js version manager that lets you install and switch between multiple Node.js versions per shell session.",nvm use 20,"Switch Node.js versions across projects that require different runtimes; ensure the team uses the same version via .nvmrc.",Activates the specified Node.js version in the current shell session.
13,clinic.js,Profiling,"clinicjs, clinic, profiling, performance, flamegraph, doctor","Performance profiling suite for Node.js that auto-diagnoses issues using Doctor, Bubbleprof, and Flame sub-commands.",npx clinic doctor -- node server.js,"Profile a slow Node.js application to identify event-loop delays, I/O bottlenecks, or hot code paths.",Generates an interactive HTML report with flamegraphs and performance recommendations.
14,esbuild,Bundler,"esbuild, bundler, minifier, fast build, go","Ultra-fast JavaScript/TypeScript bundler and minifier written in Go; orders of magnitude faster than traditional bundlers.",npx esbuild src/index.ts --bundle --outfile=dist/out.js,"Bundle and minify code when build speed is critical, such as in large codebases or rapid CI pipelines.",Produces bundled/minified output files in the specified directory.
15,tsup,Bundler,"tsup, typescript bundler, library build, dts, esbuild","Zero-config TypeScript library bundler built on esbuild; generates ESM, CJS, and .d.ts outputs with minimal configuration.",npx tsup src/index.ts --format esm,cjs --dts,"Build and publish TypeScript libraries that need to ship ESM, CJS, and type declarations.",Emits bundled .js and .d.ts files into the dist/ directory.
16,turbo (Turborepo),Monorepo,"turborepo, turbo, monorepo, build orchestration, cache, pipeline","High-performance monorepo build system that caches task outputs and parallelizes work across packages.",npx turbo run build,"Orchestrate builds, tests, and linting across a monorepo with intelligent caching and task scheduling.",Runs tasks in topological order across workspaces; prints results and cache hit/miss info.
17,Playwright,E2E Testing,"playwright, e2e, end to end, browser testing, cross-browser, automation","Cross-browser end-to-end testing framework by Microsoft; drives Chromium, Firefox, and WebKit with a single API.",npx playwright test,"Write reliable E2E tests that run across all major browsers; capture screenshots, traces, and video on failure.",Prints test results to stdout and generates an HTML report in the playwright-report/ directory.
18,Prisma CLI,Database,"prisma, orm, database, migration, schema, generate","Database toolkit CLI that manages schema migrations, generates a type-safe client, and introspects existing databases.",npx prisma migrate dev,"Define database schemas, create and apply migrations, and generate a type-safe database client.",Applies migrations to the database and regenerates the Prisma Client in node_modules/.prisma/client.
