No,Category,Issue,Keywords,Description,Do,Dont,Code Good,Code Bad,Impact,Measurement
1,Rendering,Widget Rebuild Optimization,"rebuild,const,widget,render,build method",Minimize unnecessary widget rebuilds by using const constructors and selective rebuilds,"Use const constructors; extract widgets into separate classes; use selective state management","Rebuild entire widget tree on every state change","class ProductCard extends StatelessWidget {\n  const ProductCard({super.key, required this.product});\n  final Product product;\n  \n  @override\n  Widget build(BuildContext context) {\n    return const Padding(\n      padding: EdgeInsets.all(8.0),\n      child: ...\n    );\n  }\n}\n\n// Selective rebuild with Consumer\nConsumer<CartProvider>(\n  builder: (context, cart, child) => Badge(count: cart.itemCount, child: child!),\n  child: const Icon(Icons.shopping_cart), // Not rebuilt\n)","setState(() { /* changes one field but rebuilds everything */ });\n// No const constructors anywhere",High,"Flutter DevTools > Performance overlay; watch rebuild counts"
2,Rendering,List Performance,"list,listview,lazy,scroll,recycling,viewport",Use lazy-loading ListView.builder instead of ListView with children for large lists,"Use ListView.builder/separated for dynamic lists; set itemExtent when possible; use const item widgets","Use ListView(children: [...]) with hundreds of items","ListView.builder(\n  itemCount: products.length,\n  itemExtent: 80, // Fixed height for better scroll performance\n  itemBuilder: (context, index) => ProductTile(product: products[index]),\n)\n\n// With pagination\nNotificationListener<ScrollNotification>(\n  onNotification: (scroll) {\n    if (scroll.metrics.pixels >= scroll.metrics.maxScrollExtent * 0.8) {\n      context.read<ProductBloc>().add(LoadNextPage());\n    }\n    return false;\n  },\n  child: listView,\n)","ListView(\n  children: products.map((p) => ProductTile(product: p)).toList(),\n  // Creates ALL widgets upfront - terrible for 1000+ items\n)",High,"Scrolling jank visible in Performance overlay; frame times > 16ms"
3,Images,Image Optimization,"image,cache,resize,compress,memory,asset",Optimize image loading with proper caching resizing and format selection,"Use cached_network_image; resize to display size; use WebP format; implement placeholder/error widgets","Load full-resolution images; no caching; no placeholders","CachedNetworkImage(\n  imageUrl: product.imageUrl,\n  memoryLimit: 300, // KB\n  maxWidthDiskCache: 400,\n  placeholder: (context, url) => const ShimmerPlaceholder(),\n  errorWidget: (context, url, error) => const Icon(Icons.broken_image),\n  fadeInDuration: const Duration(milliseconds: 200),\n)","Image.network(\n  product.fullResImageUrl, // 4000x3000 image for a 100x100 thumbnail\n  // No caching, no placeholder, no error handling\n)",High,"Memory usage in DevTools; image decode time in timeline"
4,Memory,Memory Leak Prevention,"memory,leak,dispose,stream,controller,subscription",Properly dispose controllers streams and subscriptions to prevent memory leaks,"Cancel stream subscriptions in dispose; use autoDispose with Riverpod; close StreamControllers","Keep stream subscriptions alive after widget disposal","class ChatScreen extends StatefulWidget {\n  @override\n  State createState() => _ChatScreenState();\n}\nclass _ChatScreenState extends State<ChatScreen> {\n  late final StreamSubscription _messageSub;\n  late final ScrollController _scrollController;\n  \n  @override\n  void initState() {\n    super.initState();\n    _messageSub = chatBloc.messages.listen(_onMessage);\n    _scrollController = ScrollController();\n  }\n  \n  @override\n  void dispose() {\n    _messageSub.cancel();\n    _scrollController.dispose();\n    super.dispose();\n  }\n}","// Never cancels subscription\nclass _State extends State {\n  void initState() {\n    stream.listen((data) => setState(() { ... }));\n    // Subscription leaked on dispose!\n  }\n}",Critical,"Flutter DevTools > Memory tab; watch for increasing memory over time"
5,Network,API Call Optimization,"network,batch,cache,debounce,throttle",Minimize network calls with caching debouncing and request batching,"Cache API responses; debounce search queries; batch related requests; use ETags","Make duplicate API calls; no debouncing on search input","class SearchBloc extends Bloc<SearchEvent, SearchState> {\n  Timer? _debounce;\n  \n  void onQueryChanged(String query) {\n    _debounce?.cancel();\n    _debounce = Timer(const Duration(milliseconds: 300), () {\n      add(SearchSubmitted(query));\n    });\n  }\n  \n  @override\n  Future<void> close() {\n    _debounce?.cancel();\n    return super.close();\n  }\n}","// API call on every keystroke\nonChanged: (value) async {\n  final results = await api.search(value);\n  setState(() { searchResults = results; });\n}",Medium,"Network tab in DevTools; count API calls during search"
6,Startup,App Startup Time,"startup,cold start,launch,splash,initialization",Minimize cold start time by deferring non-critical initialization,"Defer heavy initialization; use lazy singletons; load essentials first; show splash during init","Initialize everything synchronously in main(); load all data before showing UI","void main() async {\n  WidgetsFlutterBinding.ensureInitialized();\n  // Essential only\n  await Firebase.initializeApp();\n  runApp(const MyApp());\n}\n\n// Defer non-critical init\nclass AppInitializer {\n  static Future<void> deferredInit() async {\n    // These run after first frame\n    await analytics.init();\n    await remoteConfig.fetch();\n    precacheImages();\n  }\n}","void main() async {\n  await Firebase.initializeApp();\n  await analytics.init();\n  await remoteConfig.fetch();\n  await loadAllData(); // User waits 5+ seconds\n  runApp(const MyApp());\n}",High,"Time from launch to first frame; Dart DevTools timeline"
7,Animation,Animation Performance,"animation,jank,frame,60fps,compositing,opacity",Keep animations at 60fps by using hardware-accelerated properties,"Animate transform and opacity (GPU-composited); use RepaintBoundary; avoid animating layout properties","Animate size/padding/margin (triggers layout); rebuild complex widgets per frame","// GPU-composited animation\nAnimatedBuilder(\n  animation: _controller,\n  builder: (context, child) {\n    return Transform.translate(\n      offset: Offset(0, _animation.value),\n      child: child, // child not rebuilt!\n    );\n  },\n  child: const ExpensiveWidget(), // Built once\n)\n\n// RepaintBoundary for isolation\nRepaintBoundary(\n  child: AnimatedWidget(),\n)","AnimatedBuilder(\n  animation: _controller,\n  builder: (context, child) {\n    return Padding(\n      padding: EdgeInsets.all(_animation.value), // Layout recalc every frame!\n      child: ComplexWidget(), // Rebuilt every frame!\n    );\n  },\n)",Medium,"Performance overlay; frame rendering times; GPU thread usage"
8,Storage,Local Storage Performance,"storage,database,read,write,batch,transaction",Optimize local database operations with batching and proper indexing,"Use batch operations; add indexes on queried columns; use transactions for multiple writes","Write records one-by-one in a loop; query without indexes","// Batch insert with drift\nFuture<void> insertProducts(List<Product> products) async {\n  await batch((batch) {\n    batch.insertAll(productTable, products.map((p) => p.toCompanion()).toList());\n  });\n}\n\n// Indexed query\n@override\nSet<Column> get primaryKey => {id};\n// CREATE INDEX idx_product_category ON products(category);","for (final product in products) {\n  await db.insert(productTable, product.toCompanion());\n  // 1000 separate DB writes instead of 1 batch\n}",Medium,"Database query time; I/O in DevTools timeline"
9,Size,App Size Optimization,"size,bundle,tree shake,split,asset,apk,ipa",Minimize app download size for better install rates,"Enable tree shaking; compress assets; use deferred imports; split debug symbols; use --split-per-abi","Bundle unnecessary assets; include debug symbols in release; use uncompressed images","# Flutter build optimizations\nflutter build apk --split-per-abi --obfuscate --split-debug-info=debug-info/\nflutter build appbundle --obfuscate --split-debug-info=debug-info/\n\n# Analyze size\nflutter build apk --analyze-size","flutter build apk\n# Single fat APK with all ABIs = 3x larger than needed\n# No obfuscation, debug symbols included",Medium,"APK Analyzer in Android Studio; flutter build --analyze-size"
10,Concurrency,Isolate for Heavy Computation,"isolate,compute,background,thread,heavy,parsing",Move CPU-intensive work to isolates to keep UI thread responsive,"Use compute() for JSON parsing of large payloads; use isolates for image processing","Parse large JSON on main thread; process images synchronously on UI thread","// Heavy JSON parsing in isolate\nFuture<List<Product>> parseProducts(String jsonString) async {\n  return await compute(_parseProductList, jsonString);\n}\n\nList<Product> _parseProductList(String json) {\n  final List<dynamic> data = jsonDecode(json);\n  return data.map((e) => Product.fromJson(e)).toList();\n}","// Parsing 10MB JSON on main thread\nfinal data = jsonDecode(hugeJsonString);\nfinal products = data.map((e) => Product.fromJson(e)).toList();\n// UI freezes for 2+ seconds",High,"UI jank during data loading; DevTools CPU profiler"
