No,Category,Issue,Keywords,Description,Do,Dont,Code Good,Code Bad,Impact,Measurement
1,OPcache,OPcache Not Enabled,"opcache,compile,bytecode,precompile",PHP recompiles scripts on every request without OPcache wasting CPU cycles,"Enable OPcache in production. Set opcache.validate_timestamps=0 for max performance","Leave OPcache disabled or use default settings in production","; php.ini production\nopcache.enable=1\nopcache.memory_consumption=256\nopcache.max_accelerated_files=20000\nopcache.validate_timestamps=0\nopcache.revalidate_freq=0\nopcache.preload=/var/www/preload.php\nopcache.preload_user=www-data","; php.ini (default)\nopcache.enable=0\n; or not configured at all",Critical,"10-50x faster script execution; check with opcache_get_status()"
2,OPcache,JIT Compilation,"jit,php 8,tracing,performance boost",PHP 8.0+ JIT compiler provides additional performance for CPU-intensive code,"Enable JIT for CPU-heavy operations (math, image processing). Tracing mode for general use","Expect JIT to speed up I/O-bound code (database queries, HTTP calls)","; php.ini\nopcache.jit=tracing\nopcache.jit_buffer_size=128M\n\n; Or for function-level JIT:\nopcache.jit=function","opcache.jit=off\n; or not using PHP 8.0+",Medium,"5-30% improvement on CPU-bound tasks; minimal impact on I/O-bound"
3,Database,N+1 Query Problem,"n+1,eager loading,lazy loading,relationship,eloquent",Loading related models in a loop triggers N+1 queries. Use eager loading to batch queries,"Use with() for eager loading. Use preventLazyLoading() in development to catch N+1 early","Load relationships inside loops or rely on implicit lazy loading","// Eager loading - 2 queries total:\n$posts = Post::with(['author', 'tags'])->latest()->paginate(20);\n\n// Prevent lazy loading in development:\n// AppServiceProvider boot():\nModel::preventLazyLoading(!app()->isProduction());","// N+1: 1 query for posts + N queries for each author\n$posts = Post::all();\nforeach ($posts as $post) {\n    echo $post->author->name; // Query per iteration!\n}",Critical,"Use Laravel Debugbar or Telescope to count queries per request"
4,Database,Missing Database Indexes,"index,slow query,full scan,database optimization",Queries on unindexed columns cause full table scans degrading performance exponentially with data size,"Add indexes to columns used in WHERE, JOIN, ORDER BY. Use composite indexes for multi-column queries","Add indexes on every column or ignore them entirely","// Migration with proper indexes:\nSchema::create('orders', function (Blueprint $table) {\n    $table->id();\n    $table->foreignId('user_id')->index();\n    $table->string('status')->index();\n    $table->timestamp('created_at')->index();\n    $table->index(['user_id', 'status']); // composite\n});\n\n// Check slow queries:\nDB::listen(function ($query) {\n    if ($query->time > 100) Log::warning('Slow query', ['sql' => $query->sql]);\n});","Schema::create('orders', function (Blueprint $table) {\n    $table->id();\n    $table->foreignId('user_id'); // no index\n    $table->string('status'); // no index\n    // Queries filtering by user_id or status will full-scan\n});",Critical,"Use EXPLAIN to analyze query plans; monitor slow query log"
5,Database,Chunking Large Datasets,"chunk,cursor,lazy,memory,large dataset",Loading thousands of records at once exhausts PHP memory limits,"Use chunk() cursor() or lazy() for processing large datasets","Call all() or get() on tables with millions of rows","// Chunked processing - fixed memory:\nUser::where('active', false)->chunk(1000, function ($users) {\n    foreach ($users as $user) {\n        $user->anonymize();\n    }\n});\n\n// Cursor - one row at a time:\nforeach (User::where('active', false)->cursor() as $user) {\n    $user->delete();\n}\n\n// Lazy collection:\nUser::lazy()->each(function ($user) {\n    // processes one at a time\n});","$users = User::all(); // Loads ALL rows into memory\nforeach ($users as $user) {\n    $user->process();\n}\n// Fatal: Allowed memory size exhausted",Critical,"Monitor memory_get_peak_usage() during batch operations"
6,Caching,No Query Caching,"cache,remember,redis,query cache,ttl",Repeatedly running expensive queries when results rarely change wastes database resources,"Cache expensive queries with remember(). Use cache tags for group invalidation","Cache everything with no invalidation strategy causing stale data","// Cache expensive query:\n$popularProducts = Cache::remember('products:popular', 3600, function () {\n    return Product::withCount('orders')\n        ->orderByDesc('orders_count')\n        ->limit(20)\n        ->get();\n});\n\n// Invalidate on change:\nclass ProductObserver {\n    public function saved(Product $product): void {\n        Cache::tags('products')->flush();\n    }\n}","// Every request hits the database:\npublic function index() {\n    $popular = Product::withCount('orders')\n        ->orderByDesc('orders_count')\n        ->limit(20)\n        ->get(); // Expensive query on every page load\n}",High,"Use Debugbar to identify repeated queries; cache hit ratio monitoring"
7,Caching,Route and Config Caching,"route cache,config cache,artisan optimize",Laravel recompiles routes and config on every request in development mode,"Run php artisan optimize in production to cache routes config events views","Forget to cache routes and config in production deployment","# Production deployment script:\nphp artisan config:cache\nphp artisan route:cache\nphp artisan view:cache\nphp artisan event:cache\n# Or all at once:\nphp artisan optimize","# No caching in production:\n# Routes parsed from files on every request\n# Config arrays rebuilt from .env on every request\n# 50-100ms overhead per request",High,"Compare response times with and without artisan optimize"
8,Memory,String Concatenation in Loops,"string,concatenation,memory,implode,buffer",Concatenating strings in loops creates many intermediate strings consuming memory,"Use array + implode or output buffering for building strings in loops","Concatenate with .= in large loops","$parts = [];\nforeach ($records as $record) {\n    $parts[] = $record->toLine();\n}\n$output = implode(\"\\n\", $parts);\n\n// Or use output buffering:\nob_start();\nforeach ($records as $record) {\n    echo $record->toLine() . \"\\n\";\n}\n$output = ob_get_clean();","$output = '';\nforeach ($records as $record) {\n    $output .= $record->toLine() . \"\\n\";\n    // Creates new string copy each iteration\n}",Medium,"Profile with memory_get_usage() before and after"
9,Serialization,Heavy Serialization,"serialize,json,payload,queue,session",Serializing entire Eloquent models with relationships for queues or sessions wastes resources,"Serialize only IDs or minimal data. Fetch fresh models in job handlers","Serialize full model instances with all relationships into queue payloads","class ProcessOrder implements ShouldQueue {\n    public function __construct(\n        private int $orderId  // Only the ID\n    ) {}\n\n    public function handle(): void {\n        $order = Order::with('items')->findOrFail($this->orderId);\n        // Fresh data, minimal payload\n    }\n}","class ProcessOrder implements ShouldQueue {\n    public function __construct(\n        private Order $order  // Entire model serialized!\n    ) {}\n    // Payload includes all attributes, could be stale\n}",Medium,"Check queue payload sizes in failed_jobs table"
10,HTTP,HTTP Client Connection Pooling,"guzzle,connection,pool,persistent,keepalive",Creating new HTTP client instances per request wastes TCP connections,"Reuse HTTP client instances. Use persistent connections. Configure connection pools","Create new Guzzle client per API call","class ExternalApiService {\n    private Client $client;\n\n    public function __construct() {\n        $this->client = new Client([\n            'base_uri' => config('services.api.url'),\n            'timeout' => 5,\n            'connect_timeout' => 2,\n            'headers' => ['Accept' => 'application/json'],\n        ]);\n    }\n\n    public function getUser(int $id): array {\n        $response = $this->client->get(\"/users/{$id}\");\n        return json_decode($response->getBody(), true);\n    }\n}","public function getUser(int $id): array {\n    $client = new Client(); // New client every call\n    $response = $client->get(config('api.url') . '/users/' . $id);\n    return json_decode($response->getBody(), true);\n}",Medium,"Monitor connection count and TCP handshake overhead"
