No,Vulnerability,Category,Keywords,Description,Prevention,Code Good,Code Bad,Severity,OWASP,Docs URL
1,SQL Injection,Injection,"sql injection,query,prepared statement,binding,pdo",Malicious SQL injected through user input to manipulate database queries,Always use parameterized queries or ORM query builders. Never concatenate user input into SQL,"// Eloquent (safe by default):\n$user = User::where('email', $request->email)->first();\n\n// Query Builder (safe):\n$users = DB::table('users')->where('name', $name)->get();\n\n// Raw with bindings (safe):\n$results = DB::select('SELECT * FROM users WHERE id = ?', [$id]);\n\n// Named bindings:\nDB::select('SELECT * FROM users WHERE email = :email', ['email' => $email]);","// DANGEROUS: Direct string interpolation\n$results = DB::select(\"SELECT * FROM users WHERE email = '$email'\");\n\n// DANGEROUS: String concatenation\n$query = 'SELECT * FROM users WHERE name = ' . $name;\nDB::statement($query);\n\n// Input: ' OR '1'='1 => dumps all users",Critical,A03:2021,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html
2,Cross-Site Scripting (XSS),Injection,"xss,script,escape,sanitize,htmlspecialchars",Malicious JavaScript injected through user input and rendered in the browser,Escape all output by default. Use Blade {{ }} which auto-escapes. Sanitize rich text content,"// Blade auto-escapes (safe):\n<p>{{ $user->name }}</p>\n<p>{{ $comment->body }}</p>\n\n// When you need raw HTML (sanitize first):\n{!! clean($article->html_body) !!}\n\n// Sanitize rich text:\nuse HTMLPurifier;\n$clean = (new HTMLPurifier())->purify($dirtyHtml);","// DANGEROUS: Unescaped output\n{!! $user->bio !!}  {{-- raw HTML, XSS if user submits <script> --}}\n\n// DANGEROUS: Direct echo\n<?php echo $comment->body; ?>  {{-- no escaping --}}\n\n// User submits: <script>document.cookie</script>",Critical,A03:2021,https://laravel.com/docs/blade#displaying-data
3,Cross-Site Request Forgery (CSRF),Session,"csrf,token,forgery,form,post",Attacker tricks authenticated user into making unwanted requests to your application,Include CSRF token in all forms. Laravel includes CSRF middleware by default for web routes,"// Blade forms (auto-included):\n<form method='POST' action='/profile'>\n    @csrf\n    <input name='name' value='{{ $user->name }}'>\n    <button>Update</button>\n</form>\n\n// For SPA/API - use Sanctum with cookie-based auth:\n// GET /sanctum/csrf-cookie first, then include X-XSRF-TOKEN header\n\n// Exclude routes if needed:\n// VerifyCsrfToken middleware $except = ['webhooks/*'];","// DANGEROUS: No CSRF token\n<form method='POST' action='/profile'>\n    <input name='name'>\n    <button>Update</button>\n</form>\n\n// DANGEROUS: Disabling CSRF globally\n// Remove VerifyCsrfToken from middleware",Critical,A01:2021,https://laravel.com/docs/csrf
4,Mass Assignment,Data Integrity,"mass assignment,fillable,guarded,model,eloquent",Attacker adds unexpected fields to form submissions to modify protected database columns,Define $fillable (whitelist) or $guarded (blacklist) on all Eloquent models,"class User extends Model {\n    protected $fillable = [\n        'name', 'email', 'password',\n    ];\n    // is_admin is NOT fillable - protected from mass assignment\n}\n\n// Or use guarded (blacklist):\nclass User extends Model {\n    protected $guarded = ['id', 'is_admin', 'role'];\n}\n\n// Validate precisely:\n$validated = $request->validate([\n    'name' => 'required|string',\n    'email' => 'required|email',\n]);\nUser::create($validated); // Only validated fields","class User extends Model {\n    protected $guarded = []; // DANGEROUS: everything is fillable!\n}\n\n// DANGEROUS: Passing all request data\nUser::create($request->all());\n// Attacker sends: {name: 'Hacker', email: 'h@h.com', is_admin: true}",Critical,A01:2021,https://laravel.com/docs/eloquent#mass-assignment
5,Password Hashing,Authentication,"password,hash,bcrypt,argon2,plaintext",Storing passwords in plaintext or with weak hashing exposes all users on database breach,Use bcrypt or Argon2id via Hash facade. Never store plaintext passwords,"// Always hash passwords:\n$user = User::create([\n    'name' => $request->name,\n    'email' => $request->email,\n    'password' => Hash::make($request->password),\n]);\n\n// Verify password:\nif (Hash::check($request->password, $user->password)) {\n    // Valid\n}\n\n// Auto-rehash if algorithm upgraded:\nif (Hash::needsRehash($user->password)) {\n    $user->update(['password' => Hash::make($request->password)]);\n}","// CATASTROPHIC: Storing plaintext\n$user->password = $request->password;\n$user->save();\n\n// BAD: Using MD5 or SHA1\n$user->password = md5($request->password);\n\n// BAD: Own hashing scheme\n$user->password = base64_encode($request->password);",Critical,A02:2021,https://laravel.com/docs/hashing
6,Input Validation,Data Integrity,"validate,sanitize,input,filter,request",Failing to validate user input leads to unexpected data corrupting your application,Validate ALL user input at the boundary using Form Requests or validate() method,"class StoreProductRequest extends FormRequest {\n    public function rules(): array {\n        return [\n            'name' => ['required', 'string', 'max:255'],\n            'price' => ['required', 'numeric', 'min:0', 'max:999999.99'],\n            'description' => ['required', 'string', 'max:5000'],\n            'category_id' => ['required', 'exists:categories,id'],\n            'image' => ['nullable', 'image', 'max:2048', 'mimes:jpg,png,webp'],\n            'tags' => ['array', 'max:10'],\n            'tags.*' => ['string', 'max:50'],\n        ];\n    }\n}","// DANGEROUS: No validation\npublic function store(Request $request) {\n    Product::create($request->all());\n    // Accepts anything: negative prices, SQL in name, etc.\n}",Critical,A03:2021,https://laravel.com/docs/validation
7,File Upload Security,File,"upload,file,mime,extension,malicious",Uploaded files can contain malware or be executable scripts if not properly validated,Validate file type size and extension. Store outside web root. Generate random filenames,"public function upload(Request $request): JsonResponse {\n    $request->validate([\n        'file' => ['required', 'file', 'max:10240', 'mimes:jpg,png,pdf,docx'],\n    ]);\n    $file = $request->file('file');\n    // Generate safe filename:\n    $filename = Str::uuid() . '.' . $file->getClientOriginalExtension();\n    // Store outside web root:\n    $path = $file->storeAs('uploads', $filename, 'private');\n    return response()->json(['path' => $path]);\n}","// DANGEROUS:\n$file = $request->file('file');\n$file->move(public_path('uploads'), $file->getClientOriginalName());\n// Problems:\n// 1. Original filename could be malicious.php\n// 2. Stored in public directory - directly accessible\n// 3. No type/size validation",Critical,A01:2021,https://laravel.com/docs/filesystem#file-uploads
8,Rate Limiting,Abuse Prevention,"rate limit,throttle,brute force,ddos,login",Without rate limiting attackers can brute-force logins or flood your API,Apply rate limiting on authentication and API endpoints,"// Laravel route rate limiting:\nRoute::middleware('throttle:60,1')->group(function () {\n    Route::apiResource('posts', PostController::class);\n});\n\n// Custom rate limiter:\nRateLimiter::for('login', function (Request $request) {\n    return Limit::perMinute(5)->by($request->ip());\n});\n\nRoute::post('/login', [AuthController::class, 'login'])\n    ->middleware('throttle:login');","// No rate limiting:\nRoute::post('/login', [AuthController::class, 'login']);\n// Attacker can try thousands of passwords per minute\n\n// No API rate limiting:\nRoute::apiResource('posts', PostController::class);\n// API can be hammered with unlimited requests",High,A07:2021,https://laravel.com/docs/rate-limiting
9,Encryption & Secrets,Cryptography,"encrypt,secret,env,key,sensitive data",Hardcoding secrets or storing sensitive data unencrypted exposes it on code leak,Store secrets in .env. Use Laravel Crypt for sensitive database fields. Never commit .env,"// Store secrets in .env:\nAPP_KEY=base64:generated-key\nSTRIPE_SECRET=sk_live_xxx\n\n// Encrypt sensitive fields:\nclass User extends Model {\n    protected $casts = [\n        'ssn' => 'encrypted',\n        'api_token' => 'encrypted',\n    ];\n}\n\n// Manual encryption:\n$encrypted = Crypt::encryptString($sensitiveData);\n$decrypted = Crypt::decryptString($encrypted);\n\n// .gitignore:\n.env\n*.pem\n*.key","// DANGEROUS: Hardcoded secrets\nclass PaymentService {\n    private string $apiKey = 'sk_live_ABC123'; // In source code!\n}\n\n// DANGEROUS: Unencrypted sensitive data\n$user->ssn = '123-45-6789'; // Stored as plaintext\n$user->save();\n\n// DANGEROUS: .env committed to git",Critical,A02:2021,https://laravel.com/docs/encryption
10,HTTP Security Headers,Transport,"headers,hsts,csp,x-frame,clickjacking",Missing security headers leave your application vulnerable to various attacks,Add security headers via middleware or web server configuration,"// Middleware:\nclass SecurityHeaders {\n    public function handle(Request $request, Closure $next): Response {\n        $response = $next($request);\n        $response->headers->set('X-Content-Type-Options', 'nosniff');\n        $response->headers->set('X-Frame-Options', 'DENY');\n        $response->headers->set('X-XSS-Protection', '1; mode=block');\n        $response->headers->set('Strict-Transport-Security', 'max-age=31536000; includeSubDomains');\n        $response->headers->set('Referrer-Policy', 'strict-origin-when-cross-origin');\n        return $response;\n    }\n}\n\n// Or use Nginx:\n# add_header X-Frame-Options DENY;\n# add_header X-Content-Type-Options nosniff;","// No security headers at all\n// Vulnerable to:\n// - Clickjacking (no X-Frame-Options)\n// - MIME sniffing attacks (no X-Content-Type-Options)\n// - Downgrade attacks (no HSTS)",High,A05:2021,https://owasp.org/www-project-secure-headers/
