No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Protobuf Definition,Define services and messages in .proto files,"Use proto3 syntax with well-structured message types and service definitions. Keep messages small, use appropriate field types, and follow the Protobuf style guide.",Use proto3 with proper package names and go_package options,Mix proto2 and proto3 or use generic field names like data or value,"// user.proto
syntax = ""proto3"";

package user.v1;

option go_package = ""github.com/myapp/gen/user/v1;userv1"";

message CreateUserRequest {
  string email = 1;
  string display_name = 2;
}

message CreateUserResponse {
  string user_id = 1;
}

service UserService {
  rpc CreateUser(CreateUserRequest) returns (CreateUserResponse);
  rpc GetUser(GetUserRequest) returns (GetUserResponse);
}

message GetUserRequest {
  string user_id = 1;
}

message GetUserResponse {
  string user_id = 1;
  string email = 2;
  string display_name = 3;
}","// user.proto
syntax = ""proto3"";

message Request {
  string data = 1;
}

message Response {
  string data = 1;
}

service Service {
  rpc Do(Request) returns (Response);
}",Critical,https://protobuf.dev/programming-guides/style
2,Code Generation,Use protoc-gen-go-grpc for Go code generation,"Install protoc-gen-go and protoc-gen-go-grpc. Use buf or protoc to generate Go code from your .proto files into a dedicated gen/ directory.",Use buf generate or protoc with --go_out and --go-grpc_out flags,Manually write gRPC client/server stubs or commit generated code without regeneration,"// buf.gen.yaml
// version: v2
// plugins:
//   - remote: buf.build/protocolbuffers/go
//     out: gen
//     opt: paths=source_relative
//   - remote: buf.build/grpc/go
//     out: gen
//     opt: paths=source_relative

// Generate with: buf generate

// Then use the generated code:
package main

import (
	userv1 ""github.com/myapp/gen/user/v1""
)

var _ userv1.UserServiceServer = (*userServer)(nil)

type userServer struct {
	userv1.UnimplementedUserServiceServer
}","// Manually writing stubs
package main

type UserServiceServer interface {
	CreateUser(ctx context.Context, req *CreateUserRequest) (*CreateUserResponse, error)
}",Critical,https://grpc.io/docs/languages/go/quickstart
3,Server Setup,Create gRPC servers with grpc.NewServer and proper options,"Use grpc.NewServer with ServerOption slice for interceptors, keepalive, and credentials. Register services and serve on a net.Listener.",Use grpc.NewServer with options and register services before calling Serve,Call grpc.NewServer with no options or start serving before registering all services,"package main

import (
	""log""
	""net""

	""google.golang.org/grpc""
	""google.golang.org/grpc/reflection""

	userv1 ""github.com/myapp/gen/user/v1""
)

func main() {
	lis, err := net.Listen(""tcp"", "":50051"")
	if err != nil {
		log.Fatalf(""failed to listen: %v"", err)
	}

	opts := []grpc.ServerOption{
		grpc.MaxRecvMsgSize(4 * 1024 * 1024),
	}

	srv := grpc.NewServer(opts...)
	userv1.RegisterUserServiceServer(srv, &userServer{})
	reflection.Register(srv)

	log.Println(""gRPC server listening on :50051"")
	if err := srv.Serve(lis); err != nil {
		log.Fatalf(""failed to serve: %v"", err)
	}
}","package main

import (
	""log""
	""net""

	""google.golang.org/grpc""

	userv1 ""github.com/myapp/gen/user/v1""
)

func main() {
	srv := grpc.NewServer()
	go srv.Serve(mustListen())
	userv1.RegisterUserServiceServer(srv, &userServer{})
}

func mustListen() net.Listener {
	lis, _ := net.Listen(""tcp"", "":50051"")
	return lis
}",Critical,https://pkg.go.dev/google.golang.org/grpc#NewServer
4,Client Connection,Use grpc.NewClient for client connections,"Use grpc.NewClient (preferred over the deprecated grpc.Dial) with appropriate DialOptions including transport credentials, interceptors, and service config.",Use grpc.NewClient with credentials and proper cleanup via conn.Close,Use grpc.Dial without TLS or forget to close the connection,"package client

import (
	""context""
	""log""
	""time""

	""google.golang.org/grpc""
	""google.golang.org/grpc/credentials/insecure""

	userv1 ""github.com/myapp/gen/user/v1""
)

func NewUserClient(addr string) (userv1.UserServiceClient, func(), error) {
	conn, err := grpc.NewClient(
		addr,
		grpc.WithTransportCredentials(insecure.NewCredentials()),
	)
	if err != nil {
		return nil, nil, err
	}

	client := userv1.NewUserServiceClient(conn)
	cleanup := func() { conn.Close() }

	return client, cleanup, nil
}

func CreateUser(ctx context.Context, client userv1.UserServiceClient) {
	ctx, cancel := context.WithTimeout(ctx, 5*time.Second)
	defer cancel()

	resp, err := client.CreateUser(ctx, &userv1.CreateUserRequest{
		Email:       ""alice@example.com"",
		DisplayName: ""Alice"",
	})
	if err != nil {
		log.Fatalf(""CreateUser failed: %v"", err)
	}
	log.Printf(""Created user: %s"", resp.GetUserId())
}","package main

import (
	""log""

	""google.golang.org/grpc""

	userv1 ""github.com/myapp/gen/user/v1""
)

func main() {
	conn, _ := grpc.Dial(""localhost:50051"", grpc.WithInsecure())
	client := userv1.NewUserServiceClient(conn)
	_ = client
	log.Println(""connected"")
}",Critical,https://pkg.go.dev/google.golang.org/grpc#NewClient
5,Unary Interceptors,Use server-side unary interceptors for cross-cutting concerns,"Unary interceptors wrap individual RPC calls. Use them for logging, metrics, auth, and error handling. Chain multiple interceptors with grpc.ChainUnaryInterceptor.",Use grpc.ChainUnaryInterceptor to compose multiple interceptors,Put cross-cutting logic like logging or auth inside each service method,"package interceptor

import (
	""context""
	""log""
	""time""

	""google.golang.org/grpc""
)

func LoggingUnaryInterceptor(
	ctx context.Context,
	req any,
	info *grpc.UnaryServerInfo,
	handler grpc.UnaryHandler,
) (any, error) {
	start := time.Now()
	resp, err := handler(ctx, req)
	log.Printf(""method=%s duration=%s error=%v"",
		info.FullMethod,
		time.Since(start),
		err,
	)
	return resp, err
}

func RecoveryUnaryInterceptor(
	ctx context.Context,
	req any,
	info *grpc.UnaryServerInfo,
	handler grpc.UnaryHandler,
) (resp any, err error) {
	defer func() {
		if r := recover(); r != nil {
			log.Printf(""panic recovered: %v"", r)
			err = status.Errorf(codes.Internal, ""internal error"")
		}
	}()
	return handler(ctx, req)
}

// Usage:
// srv := grpc.NewServer(
//   grpc.ChainUnaryInterceptor(
//     LoggingUnaryInterceptor,
//     RecoveryUnaryInterceptor,
//   ),
// )","package server

import (
	""context""
	""log""
	""time""

	userv1 ""github.com/myapp/gen/user/v1""
)

type userServer struct {
	userv1.UnimplementedUserServiceServer
}

func (s *userServer) CreateUser(ctx context.Context, req *userv1.CreateUserRequest) (*userv1.CreateUserResponse, error) {
	start := time.Now()
	log.Printf(""CreateUser called"")
	resp := &userv1.CreateUserResponse{UserId: ""123""}
	log.Printf(""CreateUser took %s"", time.Since(start))
	return resp, nil
}",High,https://pkg.go.dev/google.golang.org/grpc#ChainUnaryInterceptor
6,Stream Interceptors,Use server-side stream interceptors for streaming RPCs,"Stream interceptors wrap streaming RPC calls. They receive the stream and can intercept SendMsg and RecvMsg. Use grpc.ChainStreamInterceptor to compose them.",Use grpc.ChainStreamInterceptor for composing stream middleware,Skip stream interceptors and only use unary interceptors,"package interceptor

import (
	""log""
	""time""

	""google.golang.org/grpc""
)

func LoggingStreamInterceptor(
	srv any,
	ss grpc.ServerStream,
	info *grpc.StreamServerInfo,
	handler grpc.StreamHandler,
) error {
	start := time.Now()
	log.Printf(""stream started: %s"", info.FullMethod)
	err := handler(srv, ss)
	log.Printf(""stream ended: %s duration=%s error=%v"",
		info.FullMethod,
		time.Since(start),
		err,
	)
	return err
}

// Usage:
// srv := grpc.NewServer(
//   grpc.ChainStreamInterceptor(
//     LoggingStreamInterceptor,
//   ),
// )","package main

import ""google.golang.org/grpc""

func main() {
	srv := grpc.NewServer()
	_ = srv
}",High,https://pkg.go.dev/google.golang.org/grpc#ChainStreamInterceptor
7,Client Interceptors,Use client-side interceptors for outgoing RPC calls,"Client interceptors wrap outgoing calls. Use them to inject auth tokens, add tracing headers, or implement retry logic on the client side.",Use grpc.WithChainUnaryInterceptor and grpc.WithChainStreamInterceptor as DialOptions,Add auth headers manually in every client call site,"package interceptor

import (
	""context""
	""log""
	""time""

	""google.golang.org/grpc""
)

func ClientLoggingInterceptor(
	ctx context.Context,
	method string,
	req any,
	reply any,
	cc *grpc.ClientConn,
	invoker grpc.UnaryInvoker,
	opts ...grpc.CallOption,
) error {
	start := time.Now()
	err := invoker(ctx, method, req, reply, cc, opts...)
	log.Printf(""client call method=%s duration=%s error=%v"",
		method,
		time.Since(start),
		err,
	)
	return err
}

// Usage:
// conn, err := grpc.NewClient(
//   addr,
//   grpc.WithTransportCredentials(insecure.NewCredentials()),
//   grpc.WithChainUnaryInterceptor(ClientLoggingInterceptor),
// )","package main

import (
	""context""
	""log""
	""time""

	""google.golang.org/grpc/metadata""
	userv1 ""github.com/myapp/gen/user/v1""
)

func callCreateUser(client userv1.UserServiceClient) {
	start := time.Now()
	ctx := metadata.AppendToOutgoingContext(context.Background(), ""x-request-id"", ""123"")
	resp, err := client.CreateUser(ctx, &userv1.CreateUserRequest{})
	log.Printf(""took %s err=%v resp=%v"", time.Since(start), err, resp)
}",High,https://pkg.go.dev/google.golang.org/grpc#WithChainUnaryInterceptor
8,Error Codes,Use status.Errorf with proper gRPC codes,"Return gRPC status errors with appropriate codes like NotFound, InvalidArgument, Internal. Clients can extract the code and message with status.FromError.",Use status.Errorf with codes from google.golang.org/grpc/codes,Return plain Go errors or use codes.Unknown for all errors,"package server

import (
	""context""

	""google.golang.org/grpc/codes""
	""google.golang.org/grpc/status""

	userv1 ""github.com/myapp/gen/user/v1""
)

type userServer struct {
	userv1.UnimplementedUserServiceServer
}

func (s *userServer) GetUser(ctx context.Context, req *userv1.GetUserRequest) (*userv1.GetUserResponse, error) {
	if req.GetUserId() == """" {
		return nil, status.Errorf(codes.InvalidArgument, ""user_id is required"")
	}

	user, err := s.repo.FindByID(ctx, req.GetUserId())
	if err != nil {
		return nil, status.Errorf(codes.Internal, ""failed to query user: %v"", err)
	}
	if user == nil {
		return nil, status.Errorf(codes.NotFound, ""user %s not found"", req.GetUserId())
	}

	return &userv1.GetUserResponse{
		UserId:      user.ID,
		Email:       user.Email,
		DisplayName: user.DisplayName,
	}, nil
}","package server

import (
	""context""
	""errors""

	userv1 ""github.com/myapp/gen/user/v1""
)

func (s *userServer) GetUser(ctx context.Context, req *userv1.GetUserRequest) (*userv1.GetUserResponse, error) {
	user, err := s.repo.FindByID(ctx, req.GetUserId())
	if err != nil {
		return nil, errors.New(""user not found"")
	}
	return &userv1.GetUserResponse{UserId: user.ID}, nil
}",Critical,https://pkg.go.dev/google.golang.org/grpc/status
9,Metadata Propagation,Use gRPC metadata for request-scoped key-value pairs,"Metadata is the gRPC equivalent of HTTP headers. Use it for request IDs, auth tokens, and tracing context. Propagate metadata between services.",Use metadata.FromIncomingContext to read and metadata.AppendToOutgoingContext to propagate,Pass request-scoped values as RPC fields or use context.WithValue for gRPC metadata,"package interceptor

import (
	""context""

	""github.com/google/uuid""
	""google.golang.org/grpc""
	""google.golang.org/grpc/metadata""
)

func RequestIDUnaryInterceptor(
	ctx context.Context,
	req any,
	info *grpc.UnaryServerInfo,
	handler grpc.UnaryHandler,
) (any, error) {
	md, ok := metadata.FromIncomingContext(ctx)
	if !ok {
		md = metadata.New(nil)
	}

	requestIDs := md.Get(""x-request-id"")
	var requestID string
	if len(requestIDs) > 0 {
		requestID = requestIDs[0]
	} else {
		requestID = uuid.New().String()
	}

	ctx = metadata.AppendToOutgoingContext(ctx, ""x-request-id"", requestID)
	grpc.SetHeader(ctx, metadata.Pairs(""x-request-id"", requestID))
	return handler(ctx, req)
}","package server

import (
	""context""

	userv1 ""github.com/myapp/gen/user/v1""
)

func (s *userServer) GetUser(ctx context.Context, req *userv1.GetUserRequest) (*userv1.GetUserResponse, error) {
	requestID := ctx.Value(""request-id"").(string)
	_ = requestID
	return &userv1.GetUserResponse{}, nil
}",High,https://pkg.go.dev/google.golang.org/grpc/metadata
10,Deadline Propagation,Always set deadlines on client RPCs and propagate them,"Set context deadlines on every outgoing RPC call. The server should check context.Err() for cancellation. Deadlines propagate automatically through gRPC.",Use context.WithTimeout for every outgoing call and check ctx.Err() on the server,Make RPC calls without deadlines or ignore context cancellation on the server,"package client

import (
	""context""
	""log""
	""time""

	userv1 ""github.com/myapp/gen/user/v1""
)

func GetUser(ctx context.Context, client userv1.UserServiceClient, userID string) (*userv1.GetUserResponse, error) {
	ctx, cancel := context.WithTimeout(ctx, 5*time.Second)
	defer cancel()

	return client.GetUser(ctx, &userv1.GetUserRequest{UserId: userID})
}

// Server side: respect deadline
func (s *userServer) GetUser(ctx context.Context, req *userv1.GetUserRequest) (*userv1.GetUserResponse, error) {
	if ctx.Err() != nil {
		return nil, ctx.Err()
	}

	user, err := s.repo.FindByID(ctx, req.GetUserId())
	if err != nil {
		return nil, err
	}

	return &userv1.GetUserResponse{
		UserId: user.ID,
		Email:  user.Email,
	}, nil
}","package client

import (
	""context""
	""log""

	userv1 ""github.com/myapp/gen/user/v1""
)

func GetUser(client userv1.UserServiceClient, userID string) {
	resp, err := client.GetUser(context.Background(), &userv1.GetUserRequest{UserId: userID})
	if err != nil {
		log.Fatal(err)
	}
	log.Println(resp)
}",Critical,https://grpc.io/docs/guides/deadlines
