No,Anti-Pattern,Category,Keywords,What People Do Wrong,Why Its Bad,Better Approach,Code Bad,Code Good,Severity,Detection
1,God Controller,Architecture,"god controller,fat controller,monolithic,too many responsibilities",Put all business logic validation and database queries directly in the controller,"Controllers become untestable, unreusable, and hard to maintain. Changes ripple through the entire controller",Extract business logic to Services. Use Form Requests for validation. Use Resources for response formatting,"class OrderController {\n    public function store(Request $request) {\n        // Validate here\n        if (!$request->items) return response()->json(['error' => 'No items'], 422);\n        // Business logic here\n        $total = 0;\n        foreach ($request->items as $item) {\n            $product = Product::find($item['id']);\n            if ($product->stock < $item['qty']) return response()->json(['error' => 'No stock'], 422);\n            $total += $product->price * $item['qty'];\n        }\n        // Create order\n        $order = Order::create(['total' => $total, 'user_id' => auth()->id()]);\n        // Send email\n        Mail::to(auth()->user())->send(new OrderMail($order));\n        return response()->json($order);\n    }\n}","class OrderController {\n    public function store(StoreOrderRequest $request, CreateOrderAction $action): JsonResponse {\n        $order = $action->execute(CreateOrderDTO::fromRequest($request));\n        return new OrderResource($order);\n    }\n}",Critical,PHPStan rule for controller line count; manual code review
2,Raw SQL Everywhere,Database,"raw sql,injection,string concat,query,unsafe",Concatenate user input directly into SQL strings instead of using parameterized queries or ORM,SQL injection vulnerabilities; no protection from malformed input; hard to maintain,Use Eloquent or Query Builder. When raw SQL is needed use bindings,"DB::select(\"SELECT * FROM users WHERE email = '$email'\");\n\n$name = $_GET['name'];\n$result = DB::select(\"SELECT * FROM products WHERE name LIKE '%$name%'\");\n// Attacker: name=' OR 1=1 --","$user = User::where('email', $email)->first();\n\n$results = DB::select('SELECT * FROM products WHERE name LIKE ?', [\"%{$name}%\"]);\n\n// Or Eloquent:\nProduct::where('name', 'like', \"%{$name}%\")->get();",Critical,PHPStan; search for DB::select with string interpolation
3,No Input Validation,Security,"validation,sanitize,trust,input,injection",Trust user input and pass it directly to database or business logic without validation,"Security vulnerabilities, data corruption, unexpected errors, hard-to-debug issues",Always validate input with Form Requests or $request->validate(),"public function store(Request $request) {\n    User::create($request->all());\n    // Accepts ANY data: is_admin=true, role=superadmin, etc.\n}\n\npublic function update(Request $request, $id) {\n    $user = User::find($id);\n    $user->update($request->all());\n}","public function store(StoreUserRequest $request) {\n    User::create($request->validated());\n    // Only validated fields pass through\n}\n\n// StoreUserRequest validates:\n// name: required|string|max:255\n// email: required|email|unique:users\n// password: required|min:8|confirmed",Critical,PHPStan; search for $request->all() in create/update
4,N+1 Query Loading,Performance,"n+1,lazy loading,relationship,query,slow",Access Eloquent relationships inside loops triggering a separate query for each iteration,"Performance degrades linearly with data. 100 posts = 101 queries instead of 2",Use eager loading with with(). Enable preventLazyLoading() in development,"// N+1: 1 + N queries\n$posts = Post::all();\nforeach ($posts as $post) {\n    echo $post->author->name; // Query per post!\n    echo $post->tags->count(); // Another query per post!\n}\n// 100 posts = 201 queries","// Eager loaded: 3 queries total\n$posts = Post::with(['author', 'tags'])->get();\nforeach ($posts as $post) {\n    echo $post->author->name; // Already loaded\n    echo $post->tags->count(); // Already loaded\n}\n\n// Prevent in dev:\nModel::preventLazyLoading(!app()->isProduction());",Critical,Laravel Debugbar; Telescope; preventLazyLoading()
5,Magic Method Abuse,OOP,"magic method,__get,__set,__call,dynamic",Overuse __get __set __call to create dynamic properties losing type safety and IDE support,"No IDE autocompletion, no static analysis, runtime errors, impossible to refactor, hard to understand code",Use explicit typed properties and methods,"class Config {\n    private array $data = [];\n    public function __get(string $name) {\n        return $this->data[$name] ?? null;\n    }\n    public function __set(string $name, $value) {\n        $this->data[$name] = $value;\n    }\n}\n$config = new Config();\n$config->database_host = 'localhost'; // No type safety\n$config->databse_host; // Typo returns null, no error","final readonly class Config {\n    public function __construct(\n        public string $databaseHost,\n        public int $databasePort,\n        public string $databaseName,\n    ) {}\n}\n$config = new Config(databaseHost: 'localhost', databasePort: 3306, databaseName: 'mydb');\n$config->databseHost; // IDE catches typo immediately",High,PHPStan strict rules; deprecation of dynamic properties in PHP 8.2
6,God Service,Architecture,"god service,too many methods,single responsibility,bloated",Create a single service class with dozens of methods handling everything in a domain,"Violates Single Responsibility. Hard to test, maintain, and understand. Merge conflicts in teams",Split into focused Action classes or small services with 1-3 public methods,"class UserService {\n    public function create(array $data): User { ... }\n    public function update(int $id, array $data): User { ... }\n    public function delete(int $id): void { ... }\n    public function resetPassword(int $id): void { ... }\n    public function sendVerification(int $id): void { ... }\n    public function export(string $format): string { ... }\n    public function import(UploadedFile $file): int { ... }\n    public function assignRole(int $id, string $role): void { ... }\n    public function revokeRole(int $id, string $role): void { ... }\n    // 30+ more methods...\n}","class CreateUserAction {\n    public function execute(CreateUserDTO $dto): User { ... }\n}\nclass ResetPasswordAction {\n    public function execute(int $userId): void { ... }\n}\nclass ExportUsersAction {\n    public function execute(string $format): string { ... }\n}",High,Count methods per class; PHPStan max methods rule
7,Catching Generic Exception,Error Handling,"catch,exception,generic,swallow,ignore",Catch \\Exception or \\Throwable without differentiating error types or silently swallowing errors,"Hides bugs, makes debugging impossible, can leave the system in an inconsistent state",Catch specific exception types. Log unexpected ones. Never swallow silently,"try {\n    $this->processOrder($order);\n} catch (\\Exception $e) {\n    // Silently swallowed! No logging, no re-throw\n    return null;\n}\n\n// Or worse:\ntry {\n    $result = $this->riskyOperation();\n} catch (\\Throwable $e) {\n    return response()->json(['error' => 'Something went wrong']);\n    // Hides the real error completely\n}","try {\n    $this->processOrder($order);\n} catch (InsufficientStockException $e) {\n    return response()->json(['error' => 'Not enough stock'], 422);\n} catch (PaymentFailedException $e) {\n    return response()->json(['error' => 'Payment failed'], 402);\n} catch (\\Throwable $e) {\n    Log::error('Unexpected error processing order', ['exception' => $e]);\n    throw $e; // Re-throw unexpected errors\n}",Critical,Search for catch (\\Exception with empty body
8,Hardcoded Configuration,Configuration,"hardcoded,magic number,constant,config,env",Hardcode values like URLs database credentials timeouts and feature flags directly in code,"Changes require code modification and redeployment. Secrets in source control. Environment-specific values wrong",Use .env for secrets. config() for app settings. Database for runtime settings,"class PaymentService {\n    private string $apiUrl = 'https://api.stripe.com';\n    private string $apiKey = 'sk_live_ABC123';\n    private int $timeout = 30;\n}\n\n// Or hardcoded in queries:\n$users = User::where('role', 2)->get(); // What is 2?","class PaymentService {\n    public function __construct(\n        private string $apiUrl = config('services.stripe.url'),\n        private int $timeout = config('services.stripe.timeout', 30)\n    ) {}\n}\n\n// Named constant or enum:\n$users = User::where('role', UserRole::Admin)->get();",High,Search for hardcoded URLs API keys and magic numbers
9,Not Using Transactions,Database,"transaction,atomic,consistency,rollback,partial",Make multiple database changes without wrapping them in a transaction,"Partial updates on failure leave data in inconsistent state. Half-created orders, orphaned records",Wrap related database operations in DB::transaction(),"$order = Order::create($orderData);\nforeach ($items as $item) {\n    $order->items()->create($item);\n    Product::where('id', $item['product_id'])\n        ->decrement('stock', $item['quantity']);\n}\n// If stock update fails: order exists, some items exist, stock inconsistent","DB::transaction(function () use ($orderData, $items) {\n    $order = Order::create($orderData);\n    foreach ($items as $item) {\n        $order->items()->create($item);\n        Product::where('id', $item['product_id'])\n            ->decrement('stock', $item['quantity']);\n    }\n});\n// All or nothing: consistent state guaranteed",Critical,Search for multiple create/update calls without DB::transaction
10,Mixed Concerns in Routes,Architecture,"routes,middleware,logic,controller,mix",Put business logic validation or database queries directly in route definitions,"Route files become unmanageable. Logic scattered across routes controllers and services",Routes should only define URL to controller mapping. Use middleware for cross-cutting logic,"// routes/api.php with logic:\nRoute::post('/orders', function (Request $request) {\n    $user = User::find($request->user_id);\n    if (!$user) return response()->json(['error' => 'Not found'], 404);\n    $order = new Order();\n    $order->user_id = $user->id;\n    $order->total = 0;\n    foreach ($request->items as $item) {\n        $product = Product::find($item['id']);\n        $order->total += $product->price;\n    }\n    $order->save();\n    return response()->json($order);\n});","// routes/api.php - clean:\nRoute::middleware('auth:sanctum')->group(function () {\n    Route::apiResource('orders', OrderController::class);\n});\n\n// Logic lives in controller -> service -> repository",High,Check routes directory for closures with business logic
