No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Echo Instance,Use echo.New() as the single entry point,"Create one Echo instance per application and configure it centrally before starting the server",Initialize Echo once and store in a variable for reuse,"Don't create multiple Echo instances or call echo.New() in handlers","e := echo.New()
e.HideBanner = true
e.Server.ReadTimeout = 10 * time.Second","var e *echo.Echo
func handler(c echo.Context) error {
    e2 := echo.New()
    return nil
}",High,https://echo.labstack.com/docs/quick-start
2,Route Registration,"Register routes with typed methods e.GET, e.POST","Use the specific HTTP method functions to register handlers for clarity and type safety",Use e.GET e.POST e.PUT e.DELETE e.PATCH for each route,"Don't use e.Add with string method names unless building dynamic routes","e.GET(""/users"", getUsers)
e.POST(""/users"", createUser)
e.DELETE(""/users/:id"", deleteUser)","e.Add(""GET"", ""/users"", getUsers)
e.Add(""POST"", ""/users"", createUser)",Low,https://echo.labstack.com/docs/routing
3,Route Groups,Use e.Group for API versioning and shared middleware,"Group related routes under a common prefix and apply middleware at the group level instead of per-route",Create groups for versioned APIs and apply middleware to groups,"Don't repeat prefixes across individual routes or apply the same middleware to every route manually","v1 := e.Group(""/api/v1"")
v1.Use(middleware.Logger())
v1.GET(""/users"", getUsers)
v1.POST(""/users"", createUser)","e.GET(""/api/v1/users"", getUsers)
e.POST(""/api/v1/users"", createUser)
e.GET(""/api/v2/users"", getUsersV2)",Medium,https://echo.labstack.com/docs/routing#group
4,Middleware,Apply middleware in the correct order with e.Use and e.Pre,"Use e.Pre for middleware that runs before routing and e.Use for middleware that runs after routing",Use e.Pre for trailing slash removal and e.Use for logging and recovery,"Don't put pre-routing middleware in e.Use or post-routing middleware in e.Pre","e.Pre(middleware.RemoveTrailingSlash())
e.Use(middleware.Logger())
e.Use(middleware.Recover())","e.Use(middleware.RemoveTrailingSlash())
e.Pre(middleware.Logger())
e.Pre(middleware.Recover())",High,https://echo.labstack.com/docs/middleware
5,Custom Middleware,Follow the echo.MiddlewareFunc signature for custom middleware,"Return a function that takes echo.HandlerFunc and returns echo.HandlerFunc for composability",Follow the standard middleware pattern with next(c) call chain,"Don't write middleware that skips calling next or breaks the chain unintentionally","func ServerHeader(next echo.HandlerFunc) echo.HandlerFunc {
    return func(c echo.Context) error {
        c.Response().Header().Set(""X-Server"", ""Echo"")
        return next(c)
    }
}","func ServerHeader(c echo.Context) error {
    c.Response().Header().Set(""X-Server"", ""Echo"")
    return nil
}",High,https://echo.labstack.com/docs/middleware#custom-middleware
6,Context,Use echo.Context methods instead of accessing raw http.Request directly,"Echo Context wraps the standard request and response with convenience methods; prefer them for consistency",Use c.Request() c.Response() c.Get() c.Set() for request data,"Don't bypass echo.Context and write to http.ResponseWriter directly","func handler(c echo.Context) error {
    name := c.FormValue(""name"")
    c.Set(""user"", name)
    return c.String(http.StatusOK, name)
}","func handler(c echo.Context) error {
    r := c.Request()
    w := c.Response().Writer
    r.ParseForm()
    w.Write([]byte(r.Form.Get(""name"")))
    return nil
}",Medium,https://echo.labstack.com/docs/context
7,Request Binding,Use c.Bind() with struct tags for automatic request parsing,"Bind JSON XML form and query parameters to Go structs using appropriate struct tags",Define structs with json query and form tags then call c.Bind,"Don't manually parse request body or read individual form values for structured data","type CreateUser struct {
    Name  string `json:""name"" validate:""required""`
    Email string `json:""email"" validate:""required,email""`
}
func createUser(c echo.Context) error {
    u := new(CreateUser)
    if err := c.Bind(u); err != nil {
        return echo.NewHTTPError(http.StatusBadRequest, err.Error())
    }
    return c.JSON(http.StatusCreated, u)
}","func createUser(c echo.Context) error {
    body, _ := io.ReadAll(c.Request().Body)
    var u map[string]interface{}
    json.Unmarshal(body, &u)
    return c.JSON(http.StatusCreated, u)
}",High,https://echo.labstack.com/docs/binding
8,Validation,Integrate a custom validator using echo.Validator interface,"Implement the echo.Validator interface with a library like go-playground/validator for automatic struct validation",Set e.Validator with a custom validator and call c.Validate after c.Bind,"Don't validate manually with if-else chains or skip validation entirely","type CustomValidator struct {
    validator *validator.Validate
}
func (cv *CustomValidator) Validate(i interface{}) error {
    return cv.validator.Struct(i)
}
e.Validator = &CustomValidator{validator: validator.New()}","func createUser(c echo.Context) error {
    u := new(User)
    c.Bind(u)
    if u.Name == """" {
        return echo.NewHTTPError(400, ""name required"")
    }
    if u.Email == """" {
        return echo.NewHTTPError(400, ""email required"")
    }
    return c.JSON(200, u)
}",High,https://echo.labstack.com/docs/request#validate-data
9,Response JSON,Use c.JSON c.String c.HTML for type-safe responses,"Echo provides typed response methods that set Content-Type headers automatically",Use c.JSON for API responses and c.String or c.HTML for simple text,"Don't manually marshal JSON or set Content-Type headers when Echo methods suffice","func getUser(c echo.Context) error {
    u := &User{Name: ""Jon"", Email: ""jon@example.com""}
    return c.JSON(http.StatusOK, u)
}","func getUser(c echo.Context) error {
    u := &User{Name: ""Jon"", Email: ""jon@example.com""}
    data, _ := json.Marshal(u)
    c.Response().Header().Set(""Content-Type"", ""application/json"")
    c.Response().WriteHeader(200)
    c.Response().Write(data)
    return nil
}",Medium,https://echo.labstack.com/docs/response
10,Error Handler,Define a custom HTTPErrorHandler for consistent error responses,"Override the default error handler to return structured error responses across all endpoints",Set e.HTTPErrorHandler to a custom function that formats errors consistently,"Don't handle errors differently in each handler or ignore returned errors","e.HTTPErrorHandler = func(err error, c echo.Context) {
    code := http.StatusInternalServerError
    msg := ""Internal Server Error""
    if he, ok := err.(*echo.HTTPError); ok {
        code = he.Code
        msg = fmt.Sprintf(""%v"", he.Message)
    }
    c.JSON(code, map[string]string{""error"": msg})
}","func handler(c echo.Context) error {
    data, err := getData()
    if err != nil {
        c.String(500, ""error"")
        return nil
    }
    return c.JSON(200, data)
}",High,https://echo.labstack.com/docs/error-handling
