No,Topic,Keywords,Description,Do,Dont,Example,Severity,Docs URL
1,package.json Essentials,"package.json, name, version, main, scripts, entry point","The package.json file is the manifest for every Node.js project; it declares the package name, version, entry points, scripts, and dependencies.","Always include ""name"", ""version"", ""main"" (or ""exports""), ""scripts"", and ""license"" fields. Keep scripts concise and use conventional names like ""build"", ""test"", ""start"", and ""lint"".","Do not omit the ""name"" or ""version"" fields for published packages. Do not put build commands directly in ""start""; keep ""start"" for running the production server.","{
  ""name"": ""my-api"",
  ""version"": ""1.0.0"",
  ""main"": ""dist/index.js"",
  ""scripts"": {
    ""build"": ""tsup src/index.ts"",
    ""start"": ""node dist/index.js"",
    ""test"": ""vitest run""
  }
}",error,https://docs.npmjs.com/cli/configuring-npm/package-json
2,Lockfile Management,"lockfile, package-lock.json, pnpm-lock.yaml, deterministic, ci","Lockfiles pin every dependency to an exact resolved version, ensuring deterministic installs across machines and CI environments.","Always commit your lockfile to version control. Use ""npm ci"" or ""pnpm install --frozen-lockfile"" in CI to guarantee reproducible builds.","Do not delete the lockfile to ""fix"" install issues; run ""npm install"" or ""pnpm install"" to regenerate it properly. Do not mix package managers in the same project.","{
  ""scripts"": {
    ""ci"": ""npm ci""
  }
}",error,https://docs.npmjs.com/cli/commands/npm-ci
3,Semantic Versioning,"semver, caret, tilde, exact version, version range, ^, ~","Semantic versioning (semver) uses MAJOR.MINOR.PATCH to communicate the impact of changes; npm range operators like ^ and ~ control which updates are accepted.","Use ^ (caret) for libraries to accept backward-compatible updates. Pin exact versions for critical production dependencies where even minor updates could cause breakage.","Do not use * or ""latest"" as a version range in production dependencies. Do not ignore major version bumps; they signal breaking changes.","{
  ""dependencies"": {
    ""express"": ""^4.18.2"",
    ""stripe"": ""14.11.0""
  }
}",warning,https://docs.npmjs.com/about-semantic-versioning
4,Peer Dependencies,"peerDependencies, plugin, host package, version conflict","Peer dependencies declare that a package is compatible with a specific version of a host package without bundling it, commonly used by plugins and frameworks.","Use peerDependencies when your package is a plugin or addon that relies on a host package the consumer already installs. Specify a wide but tested version range.","Do not put peer dependencies in regular dependencies; it causes duplicate installations. Do not specify an overly narrow peer range that forces consumers to use one exact version.","{
  ""peerDependencies"": {
    ""react"": ""^17.0.0 || ^18.0.0""
  },
  ""peerDependenciesMeta"": {
    ""react"": { ""optional"": false }
  }
}",warning,https://docs.npmjs.com/cli/configuring-npm/package-json#peerdependencies
5,Monorepo with Turborepo,"turborepo, turbo, monorepo, workspace, pipeline, cache","Turborepo orchestrates tasks across monorepo workspaces with intelligent caching, parallel execution, and topological task ordering.","Define a ""pipeline"" in turbo.json specifying task dependencies and outputs. Use remote caching in CI to share build artifacts across machines.","Do not skip defining ""outputs"" in turbo.json; without them, Turborepo cannot cache correctly. Do not run tasks outside of turbo if they depend on other workspace builds.","{
  ""$schema"": ""https://turbo.build/schema.json"",
  ""pipeline"": {
    ""build"": {
      ""dependsOn"": [""^build""],
      ""outputs"": [""dist/**""]
    },
    ""test"": {
      ""dependsOn"": [""build""]
    }
  }
}",error,https://turbo.build/repo/docs
6,Monorepo with Nx,"nx, monorepo, project graph, affected, cache, plugins","Nx is a monorepo build system that uses a project graph to determine task dependencies, supports computation caching, and runs only affected tasks on changes.","Use ""nx affected"" in CI to run only the tasks impacted by the current changeset. Configure cacheableOperations and leverage Nx plugins for framework-specific optimizations.","Do not run all tasks on every commit; use ""nx affected"" to save CI time. Do not ignore the project graph; misconfigured dependencies lead to stale caches.","{
  ""$schema"": ""nx/schemas/nx-schema.json"",
  ""tasksRunnerOptions"": {
    ""default"": {
      ""runner"": ""nx/tasks-runners/default"",
      ""options"": { ""cacheableOperations"": [""build"", ""test"", ""lint""] }
    }
  }
}",warning,https://nx.dev/getting-started/intro
7,npm Workspaces,"npm workspaces, monorepo, workspace protocol, hoisting","npm workspaces provide native monorepo support in npm 7+, allowing you to manage multiple packages from a single root package.json.","Declare workspaces in the root package.json. Use ""npm run -w <pkg>"" to run scripts in a specific workspace and ""npm install -w <pkg> <dep>"" to add dependencies.","Do not install dependencies from the individual package directories; always install from the root. Do not forget to set ""private"": true in the root package.json.","{
  ""private"": true,
  ""workspaces"": [""packages/*"", ""apps/*""]
}",warning,https://docs.npmjs.com/cli/using-npm/workspaces
8,pnpm Workspaces,"pnpm workspaces, pnpm-workspace.yaml, workspace protocol, strict","pnpm workspaces use a pnpm-workspace.yaml file and the ""workspace:"" protocol to link local packages in a monorepo with strict dependency isolation.","Create a pnpm-workspace.yaml at the root listing workspace directories. Use ""workspace:*"" protocol to reference sibling packages so they resolve locally.","Do not use file: or link: protocols for local packages; use workspace:* instead. Do not forget to create pnpm-workspace.yaml or pnpm will not recognize workspaces.","# pnpm-workspace.yaml
packages:
  - ""packages/*""
  - ""apps/*""

# In a package's package.json:
# ""dependencies"": { ""@myorg/shared"": ""workspace:*"" }",warning,https://pnpm.io/workspaces
9,ESM/CJS Interop,"esm, cjs, commonjs, es modules, interop, require, import, dual package","Node.js supports both ECMAScript Modules (ESM) and CommonJS (CJS); interoperability requires careful configuration of package.json ""type"" field and file extensions.","Set ""type"": ""module"" for ESM projects. Use .mjs/.cjs extensions when mixing module systems. For libraries, ship both ESM and CJS builds via the ""exports"" field.","Do not use require() in ESM files without createRequire. Do not assume named imports work when importing CJS from ESM; use default import and destructure.","{
  ""type"": ""module"",
  ""exports"": {
    ""import"": ""./dist/index.mjs"",
    ""require"": ""./dist/index.cjs""
  }
}",error,https://nodejs.org/api/esm.html
10,Tree Shaking,"tree shaking, dead code elimination, side effects, esm, bundler","Tree shaking is a bundler optimization that eliminates unused exports from the final bundle, reducing output size significantly.","Mark packages as side-effect-free with ""sideEffects"": false in package.json. Write pure ESM exports so bundlers can statically analyze imports.","Do not use CommonJS require() in library code intended for tree shaking; bundlers cannot statically analyze CJS. Do not put side effects at the module top level without declaring them.","{
  ""name"": ""my-utils"",
  ""sideEffects"": false,
  ""module"": ""dist/index.mjs""
}",warning,https://webpack.js.org/guides/tree-shaking/
