No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Setup,"Use express() with TypeScript types","Initialize Express with proper TypeScript configuration, importing types from @types/express for full type safety across request handlers.","Import express and types; use Application type for the app instance; enable strict TypeScript config","Skip @types/express installation; use 'any' for request/response objects; ignore tsconfig strictness","import express, { Application } from 'express';

const app: Application = express();
const PORT = process.env.PORT || 3000;

app.listen(PORT, () => {
  console.log(`Server running on port ${PORT}`);
});","const express = require('express');

const app = express();

app.listen(3000);",error,https://expressjs.com/en/starter/hello-world.html
2,Router Setup,"Use express.Router() for modular routes","Organize routes into separate Router modules by feature or resource. Each router file exports a Router instance that is mounted on a path prefix in the main app.","Create separate router files per resource; mount routers with app.use('/prefix', router); keep route handlers thin","Put all routes in a single file; duplicate middleware across routers; use app.get/post directly for large apps","import { Router, Request, Response } from 'express';

const userRouter = Router();

userRouter.get('/', (req: Request, res: Response) => {
  res.json({ users: [] });
});

userRouter.get('/:id', (req: Request, res: Response) => {
  res.json({ user: { id: req.params.id } });
});

export default userRouter;

// In app.ts
import userRouter from './routes/user.router';
app.use('/api/users', userRouter);","import express from 'express';
const app = express();

app.get('/api/users', (req, res) => { /* ... */ });
app.get('/api/users/:id', (req, res) => { /* ... */ });
app.post('/api/users', (req, res) => { /* ... */ });
app.get('/api/products', (req, res) => { /* ... */ });
app.get('/api/products/:id', (req, res) => { /* ... */ });
// hundreds more routes in one file",error,https://expressjs.com/en/guide/routing.html
3,Middleware Pattern,"Order middleware correctly with (req, res, next)","Middleware functions execute in the order they are registered. Place global middleware (parsing, logging, CORS) before routes, and error handlers after routes.","Register middleware in correct order; always call next() or send a response; use typed middleware signatures","Forget to call next(); register error handlers before routes; add heavy middleware globally when only some routes need it","import express, { Request, Response, NextFunction } from 'express';

const app = express();

// 1. Global middleware first
app.use(express.json());
app.use(cors());
app.use(helmet());

// 2. Logging
app.use(morgan('combined'));

// 3. Routes
app.use('/api/users', userRouter);
app.use('/api/products', productRouter);

// 4. Error handler LAST
app.use(errorHandler);","import express from 'express';
const app = express();

// Routes before middleware - broken
app.use('/api/users', userRouter);
app.use(express.json()); // too late, body not parsed
app.use(errorHandler); // error handler before routes
app.use('/api/products', productRouter);",error,https://expressjs.com/en/guide/using-middleware.html
4,Error Middleware,"Use 4-parameter error handler (err, req, res, next)","Express recognizes error-handling middleware by its 4-parameter signature. Always register it after all routes. Return structured error responses with appropriate status codes.","Define error handler with all 4 params; register after routes; log errors server-side; send safe messages to clients","Expose stack traces in production; forget the 4th parameter; use try-catch in every route instead of centralized handling","import { Request, Response, NextFunction } from 'express';

interface AppError extends Error {
  statusCode?: number;
  isOperational?: boolean;
}

function errorHandler(
  err: AppError,
  req: Request,
  res: Response,
  _next: NextFunction
): void {
  const statusCode = err.statusCode || 500;
  const message = err.isOperational
    ? err.message
    : 'Internal Server Error';

  console.error(`[ERROR] ${req.method} ${req.path}:`, err);

  res.status(statusCode).json({
    status: 'error',
    statusCode,
    message,
    ...(process.env.NODE_ENV === 'development' && {
      stack: err.stack,
    }),
  });
}

export default errorHandler;","app.get('/users', async (req, res) => {
  try {
    const users = await getUsers();
    res.json(users);
  } catch (err) {
    // Duplicated in every single route
    console.error(err);
    res.status(500).json({ error: 'Something went wrong' });
  }
});",error,https://expressjs.com/en/guide/error-handling.html
5,Request Validation,"Use Zod middleware for body/params/query validation","Create reusable validation middleware using Zod schemas to validate request body, params, and query before reaching the route handler. Reject invalid requests with 400 status.","Define Zod schemas per resource; create reusable validate middleware factory; return detailed validation errors","Validate manually in handlers; trust client input without validation; use loose schemas that allow extra fields","import { z, AnyZodObject, ZodError } from 'zod';
import { Request, Response, NextFunction } from 'express';

const validate =
  (schema: {
    body?: AnyZodObject;
    params?: AnyZodObject;
    query?: AnyZodObject;
  }) =>
  (req: Request, res: Response, next: NextFunction): void => {
    try {
      if (schema.body) req.body = schema.body.parse(req.body);
      if (schema.params) req.params = schema.params.parse(req.params) as any;
      if (schema.query) req.query = schema.query.parse(req.query) as any;
      next();
    } catch (err) {
      if (err instanceof ZodError) {
        res.status(400).json({
          status: 'error',
          errors: err.errors,
        });
        return;
      }
      next(err);
    }
  };

const createUserSchema = {
  body: z.object({
    name: z.string().min(1),
    email: z.string().email(),
    age: z.number().int().positive().optional(),
  }),
};

router.post('/users', validate(createUserSchema), createUser);","router.post('/users', (req, res) => {
  const { name, email } = req.body;
  if (!name) return res.status(400).json({ error: 'Name required' });
  if (!email) return res.status(400).json({ error: 'Email required' });
  if (!email.includes('@')) return res.status(400).json({ error: 'Invalid email' });
  // manual validation for every field...
});",error,https://zod.dev/
6,Auth Middleware,"Implement JWT verification with Bearer token","Create authentication middleware that extracts JWT from the Authorization header, verifies it, and attaches the decoded user to the request object for downstream handlers.","Verify token with a secret/public key; extend Request type for user; return 401 for missing/invalid tokens","Store tokens in plain text; skip token expiry checks; put auth logic in every route handler","import { Request, Response, NextFunction } from 'express';
import jwt from 'jsonwebtoken';

interface AuthPayload {
  userId: string;
  email: string;
  role: string;
}

declare global {
  namespace Express {
    interface Request {
      user?: AuthPayload;
    }
  }
}

const JWT_SECRET = process.env.JWT_SECRET!;

function authenticate(
  req: Request,
  res: Response,
  next: NextFunction
): void {
  const header = req.headers.authorization;

  if (!header?.startsWith('Bearer ')) {
    res.status(401).json({ message: 'Missing authorization token' });
    return;
  }

  const token = header.slice(7);

  try {
    const payload = jwt.verify(token, JWT_SECRET) as AuthPayload;
    req.user = payload;
    next();
  } catch {
    res.status(401).json({ message: 'Invalid or expired token' });
  }
}

export default authenticate;

// Usage
router.get('/profile', authenticate, getProfile);","router.get('/profile', (req, res) => {
  const token = req.headers['authorization'];
  // No Bearer prefix check
  // No try-catch
  const decoded = jwt.decode(token); // decode != verify!
  // jwt.decode does NOT verify signature
  res.json(decoded);
});",error,https://github.com/auth0/node-jsonwebtoken
7,CORS Configuration,"Configure cors() package properly","Use the cors package with explicit origin configuration. In production, whitelist specific origins instead of allowing all. Configure allowed methods and headers.","Whitelist allowed origins; set credentials option if using cookies; restrict methods to what your API supports","Use cors() with no options in production (allows all origins); allow all origins with credentials; forget preflight","import cors, { CorsOptions } from 'cors';
import express from 'express';

const app = express();

const allowedOrigins = [
  'https://myapp.com',
  'https://admin.myapp.com',
];

if (process.env.NODE_ENV === 'development') {
  allowedOrigins.push('http://localhost:3000');
}

const corsOptions: CorsOptions = {
  origin: (origin, callback) => {
    if (!origin || allowedOrigins.includes(origin)) {
      callback(null, true);
    } else {
      callback(new Error('Not allowed by CORS'));
    }
  },
  methods: ['GET', 'POST', 'PUT', 'DELETE', 'PATCH'],
  allowedHeaders: ['Content-Type', 'Authorization'],
  credentials: true,
  maxAge: 86400,
};

app.use(cors(corsOptions));","import cors from 'cors';

// Allows ANY origin in production - security risk
app.use(cors());

// Or even worse, wildcard with credentials
app.use(cors({
  origin: '*',
  credentials: true, // this combination is invalid
}));",warning,https://github.com/expressjs/cors
8,Helmet Security,"Use helmet() for security headers","Helmet sets various HTTP security headers like Content-Security-Policy, X-Frame-Options, and Strict-Transport-Security. Always use it in production.","Apply helmet() as early middleware; customize CSP for your needs; test that headers are set correctly","Skip helmet in production; disable all protections; rely solely on reverse proxy for headers","import helmet from 'helmet';
import express from 'express';

const app = express();

app.use(
  helmet({
    contentSecurityPolicy: {
      directives: {
        defaultSrc: [""'self'""],
        scriptSrc: [""'self'"", ""'unsafe-inline'""],
        styleSrc: [""'self'"", ""'unsafe-inline'""],
        imgSrc: [""'self'"", 'data:', 'https:'],
      },
    },
    crossOriginEmbedderPolicy: true,
    crossOriginOpenerPolicy: true,
    crossOriginResourcePolicy: { policy: 'same-site' },
    hsts: {
      maxAge: 31536000,
      includeSubDomains: true,
      preload: true,
    },
  })
);","import express from 'express';

const app = express();
// No helmet - missing security headers
// Vulnerable to clickjacking, MIME sniffing, etc.

app.get('/', (req, res) => {
  res.send('Hello');
});",warning,https://helmetjs.github.io/
9,Rate Limiting,"Configure express-rate-limit properly","Apply rate limiting to protect against abuse and DDoS. Use stricter limits on auth endpoints. Consider a Redis store for distributed deployments.","Set different limits per route group; use a persistent store in production; return Retry-After header","Use default memory store in multi-process; set limits too high to be effective; skip rate limiting on auth endpoints","import rateLimit from 'express-rate-limit';
import RedisStore from 'rate-limit-redis';
import { createClient } from 'redis';

const redisClient = createClient({
  url: process.env.REDIS_URL,
});

const globalLimiter = rateLimit({
  windowMs: 15 * 60 * 1000,
  max: 100,
  standardHeaders: true,
  legacyHeaders: false,
  store: new RedisStore({
    sendCommand: (...args: string[]) =>
      redisClient.sendCommand(args),
  }),
  message: {
    status: 429,
    message: 'Too many requests, please try again later',
  },
});

const authLimiter = rateLimit({
  windowMs: 15 * 60 * 1000,
  max: 5,
  message: {
    status: 429,
    message: 'Too many login attempts',
  },
});

app.use('/api/', globalLimiter);
app.use('/api/auth/login', authLimiter);","import express from 'express';
const app = express();

// No rate limiting at all
app.post('/api/auth/login', loginHandler);
// Vulnerable to brute force attacks",warning,https://github.com/express-rate-limit/express-rate-limit
10,Request Logging,"Use pino-http or morgan for structured logging","Structured logging provides searchable, parseable logs for production debugging. Use pino-http for high-performance JSON logging or morgan for simple HTTP logging.","Use structured JSON logging in production; include request ID; log response time; redact sensitive fields","Use console.log for request logging; log sensitive data (passwords, tokens); skip logging in production","import pino from 'pino';
import pinoHttp from 'pino-http';
import { randomUUID } from 'crypto';

const logger = pino({
  level: process.env.LOG_LEVEL || 'info',
  transport:
    process.env.NODE_ENV === 'development'
      ? { target: 'pino-pretty' }
      : undefined,
  redact: ['req.headers.authorization', 'req.body.password'],
});

const httpLogger = pinoHttp({
  logger,
  genReqId: (req) =>
    (req.headers['x-request-id'] as string) || randomUUID(),
  customSuccessMessage: (req, res) =>
    `${req.method} ${req.url} ${res.statusCode}`,
  customErrorMessage: (req, res) =>
    `${req.method} ${req.url} ${res.statusCode} failed`,
});

app.use(httpLogger);

export default logger;","import express from 'express';
const app = express();

app.use((req, res, next) => {
  console.log(`${req.method} ${req.url}`);
  console.log('Headers:', req.headers); // logs auth tokens!
  console.log('Body:', req.body); // logs passwords!
  next();
});",warning,https://github.com/pinojs/pino-http
