No,Pattern Name,Keywords,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Tokio Runtime Setup,"tokio, runtime, #[tokio::main], async","The Tokio runtime drives async tasks; use #[tokio::main] for applications or Runtime::new() for libraries","Use #[tokio::main] with multi_thread flavor for servers; use current_thread for simple tools; configure worker_threads as needed","Block the runtime with synchronous code or create multiple runtimes unnecessarily","#[tokio::main]\nasync fn main() -> anyhow::Result<()> {\n    let listener = tokio::net::TcpListener::bind(""0.0.0.0:8080"").await?;\n    loop {\n        let (stream, _) = listener.accept().await?;\n        tokio::spawn(handle_connection(stream));\n    }\n}\n\n// Or with custom config:\n#[tokio::main(flavor = ""multi_thread"", worker_threads = 4)]\nasync fn main() { /* ... */ }","fn main() {\n    // creating runtime inside every function call\n    let rt = tokio::runtime::Runtime::new().unwrap();\n    rt.block_on(async { /* ... */ });\n    // wasteful, should reuse the runtime\n}",Critical,https://docs.rs/tokio/latest/tokio/runtime/index.html
2,Spawning Tasks,"tokio::spawn, JoinHandle, task, concurrent","Spawn concurrent async tasks that run independently on the Tokio runtime","Use tokio::spawn for independent work; .await the JoinHandle when you need the result; ensure spawned futures are Send + 'static","Spawn tasks and ignore their JoinHandle losing errors; hold non-Send types across .await points","async fn fetch_all(urls: Vec<String>) -> Vec<String> {\n    let mut handles = Vec::new();\n    for url in urls {\n        handles.push(tokio::spawn(async move {\n            reqwest::get(&url).await.unwrap().text().await.unwrap()\n        }));\n    }\n    let mut results = Vec::new();\n    for handle in handles {\n        results.push(handle.await.unwrap());\n    }\n    results\n}","async fn fetch_all(urls: Vec<String>) {\n    for url in urls {\n        tokio::spawn(async move {\n            reqwest::get(&url).await.unwrap(); // result ignored\n        });\n        // fire and forget: errors silently lost\n    }\n}",High,https://docs.rs/tokio/latest/tokio/task/fn.spawn.html
3,Channels mpsc,"mpsc, channel, sender, receiver, message passing","Use tokio::sync::mpsc for multi-producer single-consumer message passing between async tasks","Size the channel buffer appropriately; close senders to signal completion; handle RecvError to detect channel closure","Use unbounded channels without considering backpressure; ignore send errors","use tokio::sync::mpsc;\n\nlet (tx, mut rx) = mpsc::channel::<String>(32);\n\ntokio::spawn(async move {\n    tx.send(""hello"".into()).await.unwrap();\n    tx.send(""world"".into()).await.unwrap();\n    // tx dropped here, rx will return None\n});\n\nwhile let Some(msg) = rx.recv().await {\n    println!(""{msg}"");\n}","let (tx, mut rx) = mpsc::unbounded_channel::<String>();\n// no backpressure: producer can flood memory\n// in high-throughput systems this causes OOM",High,https://docs.rs/tokio/latest/tokio/sync/mpsc/index.html
4,Channels oneshot,"oneshot, single value, reply, response","Use tokio::sync::oneshot for sending a single value from one task to another","Use oneshot for request-response patterns; pair with mpsc for command queues that expect replies","Use mpsc when only one value will ever be sent; keep the receiver alive after receiving","use tokio::sync::oneshot;\n\nasync fn request_data(tx: mpsc::Sender<(String, oneshot::Sender<Vec<u8>>)>) -> Vec<u8> {\n    let (reply_tx, reply_rx) = oneshot::channel();\n    tx.send((""fetch_users"".into(), reply_tx)).await.unwrap();\n    reply_rx.await.unwrap()\n}","async fn request_data() -> Vec<u8> {\n    let (tx, mut rx) = mpsc::channel(1); // mpsc for a single reply\n    // overcomplicated, wastes resources\n    rx.recv().await.unwrap()\n}",Medium,https://docs.rs/tokio/latest/tokio/sync/oneshot/index.html
5,Broadcast Channel,"broadcast, pubsub, multiple consumers, fan-out","Use tokio::sync::broadcast for one-to-many message distribution where each consumer gets every message","Size the buffer for expected throughput; handle RecvError::Lagged when slow consumers fall behind; clone the sender for new producers","Use multiple mpsc channels to simulate broadcast; ignore the Lagged error","use tokio::sync::broadcast;\n\nlet (tx, _) = broadcast::channel::<String>(16);\n\nfor i in 0..3 {\n    let mut rx = tx.subscribe();\n    tokio::spawn(async move {\n        while let Ok(msg) = rx.recv().await {\n            println!(""consumer {i}: {msg}"");\n        }\n    });\n}\n\ntx.send(""event"".into()).unwrap();","let mut senders = Vec::new();\nfor _ in 0..3 {\n    let (tx, rx) = mpsc::channel(16);\n    senders.push(tx);\n    // must send to each individually\n    // error-prone, N channels instead of 1\n}",Medium,https://docs.rs/tokio/latest/tokio/sync/broadcast/index.html
6,Watch Channel,"watch, latest value, config reload, state","Use tokio::sync::watch for sharing the latest value where receivers only care about the most recent state","Use watch for configuration that changes infrequently; for sharing state snapshots; receivers call .changed().await to wait for updates","Use watch for high-throughput data streaming where every value matters (use mpsc instead)","use tokio::sync::watch;\n\nlet (tx, mut rx) = watch::channel(AppConfig::default());\n\n// Config reload task\ntokio::spawn(async move {\n    loop {\n        tokio::time::sleep(std::time::Duration::from_secs(30)).await;\n        if let Ok(new_cfg) = load_config().await {\n            tx.send(new_cfg).unwrap();\n        }\n    }\n});\n\n// Consumer\nloop {\n    rx.changed().await.unwrap();\n    let cfg = rx.borrow().clone();\n    apply_config(cfg);\n}","let (tx, mut rx) = mpsc::channel(1);\n// for config: intermediate values are wasted\n// receiver only needs the latest config, not a queue",Low,https://docs.rs/tokio/latest/tokio/sync/watch/index.html
7,Mutex vs RwLock,"Mutex, RwLock, tokio::sync, contention","Choose between Mutex (exclusive access) and RwLock (concurrent reads, exclusive writes) based on read/write ratio","Use tokio::sync::Mutex for async code; use std::sync::Mutex for synchronous short critical sections; use RwLock when reads vastly outnumber writes","Hold a MutexGuard across .await points with std::sync::Mutex (will deadlock); use tokio::sync::Mutex if guard must be held across .await","use tokio::sync::RwLock;\nuse std::sync::Arc;\n\nlet cache = Arc::new(RwLock::new(HashMap::<String, String>::new()));\n\n// Many readers:\nlet cache_r = cache.clone();\ntokio::spawn(async move {\n    let data = cache_r.read().await;\n    println!(""{:?}"", data.get(""key""));\n});\n\n// Infrequent writer:\nlet cache_w = cache.clone();\ntokio::spawn(async move {\n    cache_w.write().await.insert(""key"".into(), ""value"".into());\n});","use std::sync::Mutex;\nlet cache = Arc::new(Mutex::new(HashMap::new()));\n\ntokio::spawn(async move {\n    let mut guard = cache.lock().unwrap();\n    // holding std::sync::Mutex guard across .await\n    some_async_op().await; // DEADLOCK: blocks tokio worker\n    guard.insert(""key"".into(), ""val"".into());\n});",Critical,https://docs.rs/tokio/latest/tokio/sync/struct.Mutex.html
8,Select Macro,"select!, race, first completed, cancel","Use tokio::select! to race multiple async operations and act on the first one to complete","Use select! for timeouts, graceful shutdown, and competing operations; pin futures that are polled across iterations","Forget that unselected branches are cancelled; use select! in a loop without pinning futures (creates new futures each iteration)","use tokio::time::{timeout, Duration};\n\nasync fn fetch_with_timeout(url: &str) -> Result<String, &'static str> {\n    tokio::select! {\n        result = reqwest::get(url) => {\n            Ok(result.map_err(|_| ""fetch failed"")?.text().await.map_err(|_| ""read failed"")?)\n        }\n        _ = tokio::time::sleep(Duration::from_secs(5)) => {\n            Err(""timeout"")\n        }\n    }\n}","async fn fetch_with_timeout(url: &str) -> Result<String, &'static str> {\n    let resp = reqwest::get(url).await.map_err(|_| ""failed"")?;\n    // no timeout: hangs forever if server is slow\n    Ok(resp.text().await.map_err(|_| ""read"")?)\n}",High,https://docs.rs/tokio/latest/tokio/macro.select.html
9,Graceful Shutdown,"signal, shutdown, CancellationToken, SIGTERM","Listen for OS signals and propagate shutdown through cancellation tokens or channels","Use tokio_util::sync::CancellationToken or tokio::signal for clean shutdown; drain in-flight work before exiting","Call std::process::exit() directly; ignore SIGTERM in containerized environments","use tokio::signal;\nuse tokio_util::sync::CancellationToken;\n\nasync fn main() {\n    let token = CancellationToken::new();\n    let server_token = token.clone();\n\n    let server = tokio::spawn(async move {\n        let listener = TcpListener::bind(""0.0.0.0:8080"").await.unwrap();\n        loop {\n            tokio::select! {\n                conn = listener.accept() => handle(conn),\n                _ = server_token.cancelled() => break,\n            }\n        }\n    });\n\n    signal::ctrl_c().await.unwrap();\n    token.cancel();\n    server.await.unwrap();\n}","#[tokio::main]\nasync fn main() {\n    let listener = TcpListener::bind(""0.0.0.0:8080"").await.unwrap();\n    loop {\n        let (stream, _) = listener.accept().await.unwrap();\n        tokio::spawn(handle(stream));\n        // SIGTERM kills process mid-request\n        // no cleanup, no drain\n    }\n}",Critical,https://docs.rs/tokio/latest/tokio/signal/index.html
10,Semaphore,"Semaphore, bounded concurrency, limit, permit","Use tokio::sync::Semaphore to limit the number of concurrent operations","Size the semaphore based on available resources; acquire permits before starting work; use forget() sparingly","Spawn unbounded tasks without limiting concurrency; forget to release permits","use tokio::sync::Semaphore;\nuse std::sync::Arc;\n\nlet sem = Arc::new(Semaphore::new(10)); // max 10 concurrent\n\nfor url in urls {\n    let permit = sem.clone().acquire_owned().await.unwrap();\n    tokio::spawn(async move {\n        let _permit = permit; // dropped when task completes\n        let resp = reqwest::get(&url).await.unwrap();\n        process(resp).await;\n    });\n}","for url in urls {\n    tokio::spawn(async move {\n        // no limit: 10000 URLs = 10000 concurrent connections\n        // overwhelms the target server and local resources\n        let resp = reqwest::get(&url).await.unwrap();\n    });\n}",High,https://docs.rs/tokio/latest/tokio/sync/struct.Semaphore.html
