No,Guideline,Category,Keywords,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Responsive Layout,"responsive,adaptive,screen size,breakpoint,mediaquery",Build layouts that adapt to different screen sizes and orientations,"Use LayoutBuilder/MediaQuery for breakpoints; test on multiple screen sizes; use flexible widgets","Hardcode pixel sizes; assume one screen size; ignore landscape","LayoutBuilder(\n  builder: (context, constraints) {\n    if (constraints.maxWidth > 900) {\n      return DesktopLayout(child: content);\n    } else if (constraints.maxWidth > 600) {\n      return TabletLayout(child: content);\n    }\n    return MobileLayout(child: content);\n  },\n)\n\n// Flexible grid\nGridView.builder(\n  gridDelegate: SliverGridDelegateWithMaxCrossAxisExtent(\n    maxCrossAxisExtent: 200,\n    childAspectRatio: 3/4,\n  ),\n)","Container(\n  width: 375, // Only works on iPhone SE\n  height: 812, // Hardcoded for one device\n  child: ...\n)",High,https://docs.flutter.dev/ui/adaptive-responsive
2,Accessibility Guidelines,"a11y,accessibility,semantics,screen reader,voiceover,talkback",Make app usable with screen readers and assistive technologies,"Add semantic labels; ensure contrast ratios; minimum tap targets 48x48; test with VoiceOver/TalkBack","Rely only on color for information; small touch targets; missing labels","Semantics(\n  label: 'Add to cart',\n  hint: 'Adds this product to your shopping cart',\n  button: true,\n  child: IconButton(\n    icon: const Icon(Icons.add_shopping_cart),\n    onPressed: () => addToCart(product),\n    padding: const EdgeInsets.all(12), // 48x48 minimum\n  ),\n)\n\n// Sufficient contrast\nTextStyle(\n  color: Colors.black87, // 4.5:1 contrast on white\n  fontSize: 16, // Minimum readable size\n)","IconButton(\n  icon: Icon(Icons.add, size: 12), // Too small\n  onPressed: onAdd,\n  // No semantic label\n  // Red icon on dark red background (low contrast)\n)",High,https://docs.flutter.dev/ui/accessibility-and-internationalization/accessibility
3,Material Design 3,"material,m3,material design,theme,color scheme,typography",Follow Material Design 3 guidelines for consistent Android-first design,"Use MaterialApp theme with ColorScheme.fromSeed; use M3 components; follow elevation system","Mix Material 2 and 3; ignore dynamic color; use custom colors without system","MaterialApp(\n  theme: ThemeData(\n    useMaterial3: true,\n    colorScheme: ColorScheme.fromSeed(\n      seedColor: const Color(0xFF6750A4),\n      brightness: Brightness.light,\n    ),\n    typography: Typography.material2021(),\n  ),\n  darkTheme: ThemeData(\n    useMaterial3: true,\n    colorScheme: ColorScheme.fromSeed(\n      seedColor: const Color(0xFF6750A4),\n      brightness: Brightness.dark,\n    ),\n  ),\n)","ThemeData(\n  primaryColor: Colors.blue,\n  accentColor: Colors.red, // Deprecated\n  // No color scheme, no M3\n)",Medium,https://m3.material.io
4,Dark Mode Support,"dark mode,theme,brightness,dynamic color",Support both light and dark themes with proper contrast and imagery,"Define both light and dark themes; use theme colors not hardcoded; adapt images/icons","Hardcode colors; ignore dark mode; use white backgrounds everywhere","// Adaptive colors\nContainer(\n  color: Theme.of(context).colorScheme.surface,\n  child: Text(\n    'Hello',\n    style: Theme.of(context).textTheme.titleLarge,\n  ),\n)\n\n// Adaptive images\nImage.asset(\n  Theme.of(context).brightness == Brightness.dark\n    ? 'assets/logo_dark.png'\n    : 'assets/logo_light.png',\n)","Container(\n  color: Colors.white, // Blinding in dark mode\n  child: Text('Hello', style: TextStyle(color: Colors.black)),\n)",Medium,https://docs.flutter.dev/cookbook/design/themes
5,Platform-Adaptive Design,"adaptive,cupertino,material,platform specific,ios,android",Use platform-appropriate widgets and behaviors,"Use .adaptive constructors; follow platform conventions; test on both iOS and Android","Force Material design on iOS; ignore platform navigation patterns","// Platform-adaptive widgets\nSwitch.adaptive(\n  value: isEnabled,\n  onChanged: onChanged,\n)\n\n// Platform-specific behavior\nPlatform.isIOS\n  ? CupertinoAlertDialog(\n      title: const Text('Confirm'),\n      actions: [CupertinoDialogAction(...)],\n    )\n  : AlertDialog(\n      title: const Text('Confirm'),\n      actions: [TextButton(...)],\n    )","// Force Material on iOS\nAlertDialog(\n  // Material dialog on iOS - feels wrong to iOS users\n  title: Text('Confirm'),\n)",Medium,https://docs.flutter.dev/ui/adaptive-responsive
6,Spacing and Typography System,"spacing,padding,margin,typography,scale,design tokens",Use consistent spacing and typography scales,"Define spacing constants; use theme typography; maintain vertical rhythm","Use random spacing values; mix font sizes without system","abstract class AppSpacing {\n  static const xs = 4.0;\n  static const sm = 8.0;\n  static const md = 16.0;\n  static const lg = 24.0;\n  static const xl = 32.0;\n  static const xxl = 48.0;\n}\n\n// Usage\nPadding(\n  padding: const EdgeInsets.all(AppSpacing.md),\n  child: Column(\n    spacing: AppSpacing.sm,\n    children: [...],\n  ),\n)","Padding(\n  padding: EdgeInsets.only(left: 13, top: 7, right: 19, bottom: 5),\n  // Random values, no consistency\n)",Medium,https://m3.material.io/foundations/layout/applying-layout
7,Loading States,"loading,skeleton,shimmer,placeholder,empty state",Show appropriate loading states for async content,"Use skeleton screens; show progress indicators; handle empty states","Show blank screens; block UI with modal loading; show nothing while loading","// Skeleton loading\nclass ProductListSkeleton extends StatelessWidget {\n  @override\n  Widget build(BuildContext context) {\n    return Shimmer.fromColors(\n      baseColor: Colors.grey.shade300,\n      highlightColor: Colors.grey.shade100,\n      child: ListView.builder(\n        itemCount: 5,\n        itemBuilder: (_, __) => const ProductCardSkeleton(),\n      ),\n    );\n  }\n}\n\n// Empty state\nif (products.isEmpty) {\n  return EmptyState(\n    icon: Icons.shopping_bag_outlined,\n    title: 'No products yet',\n    action: TextButton(onPressed: refresh, child: Text('Refresh')),\n  );\n}","// Just a spinner\nif (isLoading) return Center(child: CircularProgressIndicator());\n// Blank screen while loading\nif (products == null) return SizedBox();",Medium,https://m3.material.io/styles/motion/overview
8,Navigation Patterns,"navigation,tab,drawer,bottom nav,app bar,back",Follow platform navigation conventions,"Use bottom navigation for 3-5 top-level destinations; use drawer for 5+; handle back button properly","Use bottom nav with 2 or 7+ items; inconsistent back behavior; deep nesting","NavigationBar(\n  selectedIndex: _currentIndex,\n  onDestinationSelected: (index) => setState(() => _currentIndex = index),\n  destinations: const [\n    NavigationDestination(icon: Icon(Icons.home), label: 'Home'),\n    NavigationDestination(icon: Icon(Icons.search), label: 'Search'),\n    NavigationDestination(icon: Icon(Icons.shopping_cart), label: 'Cart'),\n    NavigationDestination(icon: Icon(Icons.person), label: 'Profile'),\n  ],\n)","// 8 items in bottom nav\nBottomNavigationBar(\n  items: [home, search, cart, favorites, orders, settings, help, profile],\n  // Too many items - should use drawer\n)",Medium,https://m3.material.io/components/navigation-bar/guidelines
9,Error Display UI,"error,message,snackbar,dialog,retry,feedback",Show user-friendly error messages with actionable options,"Show contextual error messages; provide retry actions; use appropriate formats (snackbar/banner/dialog)","Show raw exception text; show errors as blocking dialogs for non-critical issues","// Non-blocking error with retry\nScaffoldMessenger.of(context).showSnackBar(\n  SnackBar(\n    content: const Text('Failed to load products'),\n    action: SnackBarAction(\n      label: 'Retry',\n      onPressed: () => context.read<ProductBloc>().add(LoadProducts()),\n    ),\n    behavior: SnackBarBehavior.floating,\n    shape: RoundedRectangleBorder(borderRadius: BorderRadius.circular(8)),\n  ),\n);\n\n// Inline error for forms\nTextFormField(\n  validator: (value) => value?.isEmpty == true ? 'Email is required' : null,\n)","showDialog(\n  context: context,\n  builder: (_) => AlertDialog(\n    title: Text('Error'),\n    content: Text('DioException: Connection timeout after 30000ms'),\n  ),\n);",Medium,https://m3.material.io/components/snackbar/overview
10,Gesture and Touch Design,"gesture,touch,swipe,drag,haptic,feedback",Design intuitive touch interactions following platform conventions,"Use standard gestures; provide haptic feedback; ensure adequate touch targets; support pull-to-refresh","Create non-standard gestures; rely on gestures without visual affordance","// Pull to refresh\nRefreshIndicator(\n  onRefresh: () async {\n    await context.read<ProductBloc>().refresh();\n  },\n  child: ListView.builder(...),\n)\n\n// Haptic feedback\nInkWell(\n  onTap: () {\n    HapticFeedback.lightImpact();\n    onItemSelected(item);\n  },\n  child: ListTile(...),\n)\n\n// Swipe to dismiss\nDismissible(\n  key: ValueKey(item.id),\n  onDismissed: (_) => removeItem(item),\n  background: Container(color: Colors.red, child: Icon(Icons.delete)),\n  child: ListTile(...),\n)","// Custom gesture that users won't discover\nGestureDetector(\n  onTripleTap: () => showSettings(), // Nobody knows about triple tap\n  child: ...\n)",Medium,https://m3.material.io/foundations/interaction/states/overview
