No,Architecture,Keywords,Description,Structure,When To Use,When Not To Use,Example Packages,Key Principles
1,Layered MVC,"mvc,layers,controller,service,repository,express,fastify","Traditional Model-View-Controller with Controller → Service → Repository layers. Clear separation of concerns with each layer having a single responsibility.","src/\n  controllers/\n  services/\n  repositories/\n  models/\n  middleware/\n  routes/\n  config/","Small to medium REST APIs; CRUD-heavy applications; teams familiar with MVC pattern","Complex domain logic requiring DDD; event-driven architectures; microservices","express,fastify,prisma,zod","Single responsibility per layer; dependencies flow inward; controllers handle HTTP only; services contain business logic; repositories handle data access"
2,Clean Architecture,"clean,ports,adapters,use cases,onion,dependency inversion","Dependency flows inward: Entities → Use Cases → Interface Adapters → Frameworks. Core business logic has zero external dependencies.","src/\n  domain/\n    entities/\n    use-cases/\n  infrastructure/\n    database/\n    http/\n  interfaces/\n    controllers/\n    presenters/","Complex business logic; long-lived projects; multiple delivery mechanisms (REST + GraphQL + CLI)","Simple CRUD apps; prototypes; small teams where overhead isn't justified","tsyringe,inversify,prisma","Dependency Rule (inner layers don't know outer); Use Cases orchestrate entities; Infrastructure is pluggable; Test core without frameworks"
3,Hexagonal (Ports & Adapters),"hexagonal,ports,adapters,nestjs,modules","Application core defines ports (interfaces). External systems connect via adapters. NestJS modules naturally support this with providers and injection tokens.","src/\n  modules/\n    user/\n      domain/\n      ports/\n      adapters/\n      user.module.ts","NestJS enterprise apps; when external services change frequently; high testability requirements","Simple scripts; small APIs; when team is unfamiliar with the pattern","@nestjs/core,@nestjs/common,tsyringe","Ports are interfaces defined by the core; Adapters implement ports; Core is framework-agnostic; Easy to swap implementations"
4,Modular Monolith,"modular,monolith,feature,module,bounded context","Organize code by feature/domain modules within a single deployable unit. Each module owns its routes, services, and data access. Modules communicate via well-defined interfaces.","src/\n  modules/\n    auth/\n      auth.controller.ts\n      auth.service.ts\n      auth.repository.ts\n      auth.schema.ts\n    product/\n    order/\n  shared/\n    middleware/\n    lib/","Medium to large apps; teams working on separate features; preparing for potential microservices split","Tiny apps with 1-2 entities; when modules have heavy cross-dependencies","express,fastify,prisma,zod","Module independence; shared nothing between modules; each module owns its database tables; clear public API per module"
5,Microservices,"microservices,distributed,nestjs,message queue,grpc","Independently deployable services communicating via HTTP/gRPC/message queues. Each service owns its data store and can be scaled independently.","services/\n  user-service/\n  order-service/\n  payment-service/\n  gateway/\nlibs/\n  shared-types/\n  common/","Large teams (>10 devs); independent scaling requirements; polyglot persistence needs; high availability","Small teams; simple apps; when distributed complexity isn't justified; tight budget","@nestjs/microservices,bullmq,amqplib,grpc-js","Service independence; API gateway pattern; eventual consistency; circuit breakers; each service owns its data"
6,Serverless,"serverless,lambda,vercel,edge,functions","Individual functions deployed to cloud platforms. No server management. Pay per execution. Ideal for event-driven workloads.","functions/\n  api/\n    users.ts\n    orders.ts\n  events/\n    process-payment.ts\n  lib/\n    db.ts\n    auth.ts","Event-driven workloads; variable traffic; cost optimization for low-traffic APIs; webhook handlers","Long-running processes; WebSocket-heavy apps; low-latency requirements","@vercel/node,@aws-sdk/client-lambda,serverless-http","Stateless functions; cold start awareness; minimize bundle size; use connection pooling; idempotent handlers"
7,Monorepo (Turborepo),"monorepo,turborepo,workspace,shared,packages","Multiple packages/apps in a single repository with shared dependencies and build caching. Turborepo provides incremental builds and task orchestration.","apps/\n  web/\n  api/\n  mobile/\npackages/\n  ui/\n  config/\n  tsconfig/\n  shared-types/\nturbo.json","Multiple related apps; shared component libraries; consistent tooling across projects; large organizations","Single small app; unrelated projects; when teams need full autonomy","turbo,@changesets/cli,tsup","Shared dependencies; incremental builds; consistent versioning; task caching; workspace protocols"
8,Event-Driven,"event-driven,event bus,cqrs,event sourcing,pubsub","Components communicate through events rather than direct calls. Enables loose coupling and async processing. Can be in-process (EventEmitter) or distributed (Redis/RabbitMQ).","src/\n  events/\n    handlers/\n    publishers/\n    subscribers/\n  domain/\n  infrastructure/\n    message-bus/","Decoupled components; audit trails; async processing; real-time features; when actions trigger multiple side effects","Simple request-response APIs; when event ordering is critical and hard to guarantee; small apps","eventemitter2,bullmq,amqplib,@nestjs/cqrs","Events are immutable facts; handlers are idempotent; eventual consistency; event store for replay; dead letter queues"
9,CQRS,"cqrs,command,query,read model,write model","Separate read and write models. Commands mutate state, queries return data. Enables independent optimization of read and write paths.","src/\n  commands/\n    create-order.command.ts\n    create-order.handler.ts\n  queries/\n    get-orders.query.ts\n    get-orders.handler.ts\n  models/\n    write/\n    read/","High-performance read/write split; complex domain with different read/write patterns; event sourcing companion","Simple CRUD; when read and write models are identical; small teams","@nestjs/cqrs,mediator-js,bullmq","Commands return void or ID; Queries are side-effect free; Read models optimized for queries; Write models enforce invariants"
10,Feature-Sliced Design,"feature-sliced,layers,slices,segments,fsd","Architectural methodology for frontend apps. Layers: app → pages → widgets → features → entities → shared. Each layer can only import from layers below.","src/\n  app/\n  pages/\n  widgets/\n  features/\n    auth/\n    cart/\n  entities/\n    user/\n    product/\n  shared/\n    ui/\n    lib/\n    api/","Large frontend applications; Next.js/React apps with complex features; teams needing clear boundaries","Small apps; backend-only projects; when team prefers simpler flat structure","next,react,zustand","Unidirectional imports (top to bottom only); public API per slice; isolation between slices; shared layer for reusable primitives"
