No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Channel Pipeline,Use channels to connect multi-stage processing pipelines,"Build data pipelines by connecting stages with channels, where each stage is a goroutine that reads from an input channel and writes to an output channel",Compose pipeline stages as functions that accept and return channels with proper context cancellation,Use shared mutable state or direct function calls between processing stages,"func generate(ctx context.Context, nums ...int) <-chan int {
    out := make(chan int)
    go func() {
        defer close(out)
        for _, n := range nums {
            select {
            case out <- n:
            case <-ctx.Done():
                return
            }
        }
    }()
    return out
}

func square(ctx context.Context, in <-chan int) <-chan int {
    out := make(chan int)
    go func() {
        defer close(out)
        for n := range in {
            select {
            case out <- n * n:
            case <-ctx.Done():
                return
            }
        }
    }()
    return out
}

ctx, cancel := context.WithCancel(context.Background())
defer cancel()
for v := range square(ctx, generate(ctx, 2, 3, 4)) {
    fmt.Println(v)
}","// Tightly coupled stages with shared slice
var results []int
var mu sync.Mutex
for _, n := range nums {
    mu.Lock()
    results = append(results, n*n)
    mu.Unlock()
}",high,https://go.dev/blog/pipelines
2,Fan-Out Workers,Distribute work across multiple goroutines,"Start multiple goroutines reading from the same channel to parallelize CPU-bound or I/O-bound work across available cores",Launch a fixed number of worker goroutines consuming from a shared work channel,Spawn an unbounded number of goroutines per item which can exhaust memory and file descriptors,"func fanOut(ctx context.Context, in <-chan Task, workers int) <-chan Result {
    out := make(chan Result)
    var wg sync.WaitGroup
    for i := 0; i < workers; i++ {
        wg.Add(1)
        go func() {
            defer wg.Done()
            for task := range in {
                select {
                case out <- process(task):
                case <-ctx.Done():
                    return
                }
            }
        }()
    }
    go func() {
        wg.Wait()
        close(out)
    }()
    return out
}","// Unbounded goroutine creation
for task := range tasks {
    go func(t Task) {
        resultCh <- process(t) // unbounded goroutines
    }(task)
}",critical,https://go.dev/blog/pipelines
3,Fan-In Collector,Merge multiple channels into a single output channel,"Use a fan-in function to merge results from multiple concurrent producers into a single channel for downstream consumption",Use sync.WaitGroup to track completion and close the merged output channel when all inputs are done,Read from multiple channels in a loop without proper synchronization or close handling,"func fanIn(ctx context.Context, channels ...<-chan Result) <-chan Result {
    out := make(chan Result)
    var wg sync.WaitGroup
    for _, ch := range channels {
        wg.Add(1)
        go func(c <-chan Result) {
            defer wg.Done()
            for v := range c {
                select {
                case out <- v:
                case <-ctx.Done():
                    return
                }
            }
        }(ch)
    }
    go func() {
        wg.Wait()
        close(out)
    }()
    return out
}","// Broken fan-in without WaitGroup
func fanIn(channels ...<-chan Result) <-chan Result {
    out := make(chan Result)
    for _, ch := range channels {
        go func(c <-chan Result) {
            for v := range c {
                out <- v
            }
        }(ch)
    }
    // out is never closed, downstream blocks forever
    return out
}",high,https://go.dev/blog/pipelines
4,Backpressure,Use buffered channels to control pipeline flow,"Apply backpressure by using buffered channels so that fast producers slow down when consumers cannot keep up, preventing memory exhaustion",Size channel buffers based on measured throughput and memory constraints,Use unbounded queues or ever-growing slices that consume unlimited memory under load,"func producer(ctx context.Context, items []Item) <-chan Item {
    // Buffer size limits in-flight items
    out := make(chan Item, 100)
    go func() {
        defer close(out)
        for _, item := range items {
            select {
            case out <- item:
                // Consumer has capacity
            case <-ctx.Done():
                return
            }
        }
    }()
    return out
}","// No backpressure, unbounded growth
var queue []Item
go func() {
    for item := range source {
        mu.Lock()
        queue = append(queue, item) // grows without limit
        mu.Unlock()
    }
}()",high,https://go.dev/doc/effective_go#channels
5,Kafka Consumer,Use sarama consumer groups for reliable Kafka consumption,"Use IBM/sarama ConsumerGroup for partition assignment, rebalancing, and offset management in Go Kafka consumers",Implement the ConsumerGroupHandler interface with Setup Cleanup and ConsumeClaim methods,Use manual partition consumers without consumer group coordination for multi-instance deployments,"import ""github.com/IBM/sarama""

type handler struct{}
func (h handler) Setup(_ sarama.ConsumerGroupSession) error   { return nil }
func (h handler) Cleanup(_ sarama.ConsumerGroupSession) error { return nil }
func (h handler) ConsumeClaim(sess sarama.ConsumerGroupSession, claim sarama.ConsumerGroupClaim) error {
    for msg := range claim.Messages() {
        if err := processMessage(msg.Value); err != nil {
            log.Printf(""error processing message: %v"", err)
            continue
        }
        sess.MarkMessage(msg, """")
    }
    return nil
}

config := sarama.NewConfig()
config.Consumer.Group.Rebalance.GroupStrategies = []sarama.BalanceStrategy{sarama.NewBalanceStrategyRoundRobin()}
config.Consumer.Offsets.Initial = sarama.OffsetOldest

group, err := sarama.NewConsumerGroup(brokers, ""my-group"", config)
if err != nil {
    log.Fatalf(""creating consumer group: %v"", err)
}
defer group.Close()
for {
    if err := group.Consume(ctx, []string{""my-topic""}, handler{}); err != nil {
        log.Printf(""consumer error: %v"", err)
    }
}","consumer, _ := sarama.NewConsumer(brokers, config)
partConsumer, _ := consumer.ConsumePartition(""my-topic"", 0, sarama.OffsetNewest)
for msg := range partConsumer.Messages() {
    processMessage(msg.Value) // No offset commit, no rebalancing
}",critical,https://pkg.go.dev/github.com/IBM/sarama#ConsumerGroup
6,Kafka Producer,Use async producer with error handling for throughput,"Use sarama AsyncProducer for high-throughput message production with proper error and success channel handling",Drain both Errors and Successes channels from the async producer to prevent goroutine leaks,Ignore the Errors channel or use sync producer for high-throughput workloads,"import ""github.com/IBM/sarama""

config := sarama.NewConfig()
config.Producer.Return.Successes = true
config.Producer.Return.Errors = true
config.Producer.RequiredAcks = sarama.WaitForAll
config.Producer.Compression = sarama.CompressionSnappy

producer, err := sarama.NewAsyncProducer(brokers, config)
if err != nil {
    log.Fatalf(""creating producer: %v"", err)
}
defer producer.Close()

go func() {
    for err := range producer.Errors() {
        log.Printf(""produce error topic=%s err=%v"", err.Msg.Topic, err.Err)
    }
}()
go func() {
    for range producer.Successes() {
        // track delivery count
    }
}()

producer.Input() <- &sarama.ProducerMessage{
    Topic: ""events"",
    Key:   sarama.StringEncoder(key),
    Value: sarama.ByteEncoder(payload),
}","producer, _ := sarama.NewAsyncProducer(brokers, config)
producer.Input() <- &sarama.ProducerMessage{
    Topic: ""events"",
    Value: sarama.ByteEncoder(payload),
}
// Errors channel never drained - goroutine leak
// Successes channel never drained - deadlock",critical,https://pkg.go.dev/github.com/IBM/sarama#AsyncProducer
7,NATS Streaming,Use NATS JetStream for persistent messaging,"Use NATS JetStream for durable, at-least-once message delivery with consumer acknowledgments and replay capabilities",Create durable consumers with explicit acknowledgment and configure stream retention policies,Use core NATS without JetStream for workloads requiring delivery guarantees,"import ""github.com/nats-io/nats.go""

nc, err := nats.Connect(""nats://localhost:4222"")
if err != nil {
    log.Fatalf(""connecting to NATS: %v"", err)
}
defer nc.Close()

js, err := nc.JetStream()
if err != nil {
    log.Fatalf(""getting JetStream context: %v"", err)
}

_, err = js.AddStream(&nats.StreamConfig{
    Name:      ""EVENTS"",
    Subjects:  []string{""events.>""},
    Retention: nats.LimitsPolicy,
    MaxAge:    24 * time.Hour,
})

sub, err := js.Subscribe(""events.order"", func(msg *nats.Msg) {
    if err := processOrder(msg.Data); err != nil {
        msg.Nak()
        return
    }
    msg.Ack()
}, nats.Durable(""order-processor""), nats.ManualAck())","nc, _ := nats.Connect(""nats://localhost:4222"")
nc.Subscribe(""events.order"", func(msg *nats.Msg) {
    processOrder(msg.Data)
    // No ack, no durability, messages lost on disconnect
})",high,https://pkg.go.dev/github.com/nats-io/nats.go#JetStreamContext
8,Batch Processing,Accumulate items and flush in batches,"Collect individual items into batches based on size or time thresholds before processing, reducing per-item overhead for I/O operations",Flush batches when either the batch size limit or a time deadline is reached whichever comes first,Process items one at a time for bulk operations or accumulate without a time-based flush deadline,"type Batcher[T any] struct {
    size    int
    timeout time.Duration
    flush   func([]T) error
}

func (b *Batcher[T]) Run(ctx context.Context, in <-chan T) error {
    batch := make([]T, 0, b.size)
    timer := time.NewTimer(b.timeout)
    defer timer.Stop()
    for {
        select {
        case item, ok := <-in:
            if !ok {
                if len(batch) > 0 {
                    return b.flush(batch)
                }
                return nil
            }
            batch = append(batch, item)
            if len(batch) >= b.size {
                if err := b.flush(batch); err != nil {
                    return err
                }
                batch = batch[:0]
                timer.Reset(b.timeout)
            }
        case <-timer.C:
            if len(batch) > 0 {
                if err := b.flush(batch); err != nil {
                    return err
                }
                batch = batch[:0]
            }
            timer.Reset(b.timeout)
        case <-ctx.Done():
            if len(batch) > 0 {
                return b.flush(batch)
            }
            return ctx.Err()
        }
    }
}","// Process one item at a time
for item := range in {
    db.Exec(""INSERT INTO events (data) VALUES ($1)"", item)
    // N database round-trips instead of 1 batch insert
}",high,https://pkg.go.dev/time#Timer
9,Rate-Limited Processing,Use a token bucket or ticker for rate-limited processing,"Apply rate limiting to pipeline stages that interact with external APIs or rate-limited resources to avoid throttling or bans",Use golang.org/x/time/rate Limiter to control throughput at a configurable rate,Process items as fast as possible without rate limiting when calling rate-limited external services,"import ""golang.org/x/time/rate""

func rateLimited(ctx context.Context, in <-chan Request, rps int) <-chan Response {
    out := make(chan Response)
    limiter := rate.NewLimiter(rate.Limit(rps), rps)
    go func() {
        defer close(out)
        for req := range in {
            if err := limiter.Wait(ctx); err != nil {
                return
            }
            resp, err := callExternalAPI(ctx, req)
            if err != nil {
                log.Printf(""api error: %v"", err)
                continue
            }
            select {
            case out <- resp:
            case <-ctx.Done():
                return
            }
        }
    }()
    return out
}","// No rate limiting
for req := range in {
    resp, _ := callExternalAPI(ctx, req)
    out <- resp
    // Hits API as fast as possible, gets rate-limited or banned
}",high,https://pkg.go.dev/golang.org/x/time/rate
10,Graceful Drain,Finish in-flight work before shutting down pipeline,"On shutdown signal, stop accepting new items, drain remaining items from channels, and wait for all workers to complete",Use context cancellation to stop producers and sync.WaitGroup to wait for workers to finish in-flight items,Terminate the process immediately losing in-flight data that has been read from the source but not yet processed,"func runPipeline(ctx context.Context) error {
    ctx, cancel := signal.NotifyContext(ctx, syscall.SIGTERM, syscall.SIGINT)
    defer cancel()

    items := make(chan Item, 100)
    var wg sync.WaitGroup

    // Producer stops on context cancellation
    wg.Add(1)
    go func() {
        defer wg.Done()
        defer close(items)
        for {
            item, err := fetchNext(ctx)
            if err != nil {
                return
            }
            select {
            case items <- item:
            case <-ctx.Done():
                return
            }
        }
    }()

    // Workers drain remaining items after producer stops
    for i := 0; i < 4; i++ {
        wg.Add(1)
        go func() {
            defer wg.Done()
            for item := range items {
                process(item)
            }
        }()
    }

    wg.Wait()
    return nil
}","func runPipeline() {
    for item := range source {
        go process(item)
    }
    // SIGTERM kills process, in-flight items lost
}",critical,https://pkg.go.dev/os/signal#NotifyContext
