No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Dockerfile Multi-Stage,Use multi-stage builds with distroless final image,"Separate build and runtime stages to minimize image size, attack surface, and build cache efficiency",Use a builder stage with golang image and copy only the binary to a distroless or scratch final stage,Ship the full Go toolchain and source code in the production image,"# syntax=docker/dockerfile:1
FROM golang:1.22 AS builder
WORKDIR /app
COPY go.mod go.sum ./
RUN go mod download
COPY . .
RUN CGO_ENABLED=0 GOOS=linux go build -ldflags=""-s -w"" -o /server ./cmd/server

FROM gcr.io/distroless/static:nonroot
COPY --from=builder /server /server
USER nonroot:nonroot
ENTRYPOINT [""/server""]","FROM golang:1.22
WORKDIR /app
COPY . .
RUN go build -o /server ./cmd/server
ENTRYPOINT [""/server""]",critical,https://docs.docker.com/build/building/multi-stage/
2,Distroless Images,Use gcr.io/distroless/static for Go binaries,"Distroless images contain only the application and its runtime dependencies, no shell, no package manager, reducing CVE exposure",Use gcr.io/distroless/static for statically linked Go binaries or gcr.io/distroless/base for CGO-enabled binaries,Use alpine or ubuntu as base images for production Go services that do not need a shell,"FROM gcr.io/distroless/static:nonroot
COPY --from=builder /app/server /server
USER nonroot:nonroot
ENTRYPOINT [""/server""]","FROM ubuntu:22.04
RUN apt-get update && apt-get install -y ca-certificates
COPY server /server
ENTRYPOINT [""/server""]",high,https://github.com/GoogleContainerTools/distroless
3,Build Flags,Use CGO_ENABLED=0 and linker flags for production builds,"Disable CGO for fully static binaries, strip debug info with ldflags to reduce binary size",Set CGO_ENABLED=0 and use -ldflags with -s -w flags for production builds,Build with default CGO enabled and debug symbols in production containers,"RUN CGO_ENABLED=0 GOOS=linux GOARCH=amd64 go build \
  -ldflags=""-s -w -X main.version=$(git describe --tags)"" \
  -trimpath \
  -o /app/server ./cmd/server","RUN go build -o /app/server ./cmd/server",high,https://pkg.go.dev/cmd/link
4,Health Probes,Implement /healthz and /readyz HTTP endpoints,"Kubernetes uses liveness and readiness probes to manage pod lifecycle; /healthz checks process health, /readyz checks if ready to serve traffic",Implement separate liveness and readiness endpoints that check relevant dependencies,Use a single health endpoint for both liveness and readiness or omit probes entirely,"mux := http.NewServeMux()
mux.HandleFunc(""/healthz"", func(w http.ResponseWriter, r *http.Request) {
    w.WriteHeader(http.StatusOK)
    w.Write([]byte(""ok""))
})
mux.HandleFunc(""/readyz"", func(w http.ResponseWriter, r *http.Request) {
    if err := db.PingContext(r.Context()); err != nil {
        w.WriteHeader(http.StatusServiceUnavailable)
        return
    }
    w.WriteHeader(http.StatusOK)
})","// No health endpoints defined
http.ListenAndServe("":8080"", handler)",critical,https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/
5,Readiness Probes,Check dependent services in readiness probe,"Readiness probes should verify that all dependencies (database, cache, message broker) are reachable before accepting traffic",Check connectivity to all critical dependencies in the readiness handler,Return 200 from readiness without verifying downstream dependencies,"func readinessHandler(db *sql.DB, rdb *redis.Client) http.HandlerFunc {
    return func(w http.ResponseWriter, r *http.Request) {
        ctx, cancel := context.WithTimeout(r.Context(), 2*time.Second)
        defer cancel()
        if err := db.PingContext(ctx); err != nil {
            http.Error(w, ""db not ready"", http.StatusServiceUnavailable)
            return
        }
        if err := rdb.Ping(ctx).Err(); err != nil {
            http.Error(w, ""redis not ready"", http.StatusServiceUnavailable)
            return
        }
        w.WriteHeader(http.StatusOK)
    }
}","func readinessHandler() http.HandlerFunc {
    return func(w http.ResponseWriter, r *http.Request) {
        w.WriteHeader(http.StatusOK)
    }
}",high,https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle/#container-probes
6,Graceful Shutdown,Handle SIGTERM for graceful shutdown in Kubernetes,"When Kubernetes sends SIGTERM, the application should stop accepting new requests, finish in-flight requests, close connections, and exit cleanly within the terminationGracePeriodSeconds window",Use signal.NotifyContext or signal.Notify to catch SIGTERM and shut down HTTP server gracefully,Call os.Exit or log.Fatal immediately on shutdown signal without draining connections,"ctx, stop := signal.NotifyContext(context.Background(), syscall.SIGTERM, syscall.SIGINT)
defer stop()

srv := &http.Server{Addr: "":8080"", Handler: mux}
go func() {
    if err := srv.ListenAndServe(); err != nil && err != http.ErrServerClosed {
        log.Fatalf(""listen: %v"", err)
    }
}()
<-ctx.Done()
shutdownCtx, cancel := context.WithTimeout(context.Background(), 30*time.Second)
defer cancel()
srv.Shutdown(shutdownCtx)","srv := &http.Server{Addr: "":8080"", Handler: mux}
log.Fatal(srv.ListenAndServe())
// SIGTERM kills process immediately, dropping in-flight requests",critical,https://pkg.go.dev/os/signal#NotifyContext
7,K8s ConfigMap,Mount configuration via ConfigMap volumes or environment variables,"Use Kubernetes ConfigMaps to externalize configuration from the container image, allowing the same image across environments",Mount ConfigMaps as files or inject as environment variables and read them at startup,Hardcode configuration values or bake environment-specific config into the container image,"// Read config file mounted from ConfigMap
data, err := os.ReadFile(""/etc/config/app.yaml"")
if err != nil {
    log.Fatalf(""reading config: %v"", err)
}
var cfg AppConfig
if err := yaml.Unmarshal(data, &cfg); err != nil {
    log.Fatalf(""parsing config: %v"", err)
}","// Hardcoded configuration
cfg := AppConfig{
    DatabaseHost: ""db.production.internal"",
    CacheHost:    ""redis.production.internal"",
    LogLevel:     ""info"",
}",medium,https://kubernetes.io/docs/concepts/configuration/configmap/
8,K8s Secrets,Mount secrets from Kubernetes Secret volumes,"Use Kubernetes Secrets for sensitive data like database passwords, API keys, and TLS certificates, never bake them into images or ConfigMaps",Mount secrets as files or environment variables from Kubernetes Secret objects,Hardcode secrets in code or store them in ConfigMaps or container images,"// Read secret mounted from Kubernetes Secret volume
password, err := os.ReadFile(""/var/run/secrets/db/password"")
if err != nil {
    log.Fatalf(""reading secret: %v"", err)
}
dsn := fmt.Sprintf(""postgres://app:%s@db:5432/mydb?sslmode=require"", strings.TrimSpace(string(password)))","// Hardcoded secret in source code
dsn := ""postgres://app:supersecret@db:5432/mydb""",critical,https://kubernetes.io/docs/concepts/configuration/secret/
9,Resource Limits,Set CPU and memory resource requests and limits,"Define resource requests for scheduling and limits for protection against runaway processes in Kubernetes pod specs",Set both requests and limits for CPU and memory based on load testing benchmarks,Deploy pods without resource requests or limits allowing unbounded resource consumption,"# deployment.yaml
resources:
  requests:
    cpu: ""100m""
    memory: ""128Mi""
  limits:
    cpu: ""500m""
    memory: ""512Mi""","# deployment.yaml
# No resource limits defined
containers:
  - name: app
    image: myapp:latest",high,https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/
10,Horizontal Pod Autoscaler,Configure HPA for automatic scaling based on metrics,"Use Kubernetes HPA to automatically scale the number of pod replicas based on CPU utilization, memory usage, or custom metrics",Define HPA with appropriate min/max replicas and target utilization based on observed performance,Manually scale deployments or set fixed replica counts without autoscaling,"# hpa.yaml
apiVersion: autoscaling/v2
kind: HorizontalPodAutoscaler
metadata:
  name: go-service
spec:
  scaleTargetRef:
    apiVersion: apps/v1
    kind: Deployment
    name: go-service
  minReplicas: 2
  maxReplicas: 10
  metrics:
  - type: Resource
    resource:
      name: cpu
      target:
        type: Utilization
        averageUtilization: 70","# Fixed replicas, no autoscaling
apiVersion: apps/v1
kind: Deployment
spec:
  replicas: 5",medium,https://kubernetes.io/docs/tasks/run-application/horizontal-pod-autoscale/
