No,Idiom,Category,Keywords,Description,Do,Dont,Code Good,Code Bad,Docs URL
1,Barrel Exports,Module Organization,"barrel, index, re-export, module","Use index.ts files to re-export public APIs from a directory, providing a clean import surface and hiding internal module structure.",Create an index.ts in each feature directory that explicitly re-exports only the public API.,Do not re-export everything with wildcard exports or expose internal implementation details through barrel files.,"// src/users/index.ts
export { UserService } from './user.service';
export { UserController } from './user.controller';
export type { User, CreateUserDto } from './user.types';

// src/app.ts
import { UserService, UserController } from './users';","// src/users/index.ts
export * from './user.service';
export * from './user.repository';
export * from './user.types';
export * from './internal-helpers'; // leaks internals

// src/app.ts
import { _internalHelper } from './users'; // should not be accessible",https://typescript-eslint.io/rules/no-restricted-imports/
2,Nullish Coalescing (??),Operators,"nullish, coalescing, null, undefined, default","Use ?? to provide default values only when the left operand is null or undefined, unlike || which also triggers on falsy values like 0 or empty string.",Use ?? when 0 or empty string are valid values that should not be replaced by a default.,Do not use || for default values when falsy values like 0 or empty string are meaningful.,"const port = process.env.PORT ?? 3000;
const count = userInput ?? 10;
// count is 0 if userInput is 0 (valid)
// count is 10 only if userInput is null/undefined

const name = config.name ?? 'default';","const port = process.env.PORT || 3000;
// Bug: if PORT is '0', it becomes 3000
const count = userInput || 10;
// Bug: if userInput is 0, it becomes 10

const name = config.name || 'default';
// Bug: if name is '', it becomes 'default'",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/Nullish_coalescing
3,Optional Chaining (?.),Operators,"optional, chaining, null, safe, access","Use ?. to safely access deeply nested properties without explicit null checks at each level. Returns undefined if any part of the chain is null or undefined.",Use optional chaining for accessing properties on objects that may be null or undefined.,Do not overuse optional chaining on properties that should always exist as it can mask bugs.,"interface User {
  address?: {
    street?: string;
    city?: string;
  };
}

const city = user?.address?.city;
const firstItem = arr?.[0];
const result = obj?.method?.();","interface User {
  address?: {
    street?: string;
    city?: string;
  };
}

// Verbose null checking
let city: string | undefined;
if (user && user.address && user.address.city) {
  city = user.address.city;
}

// Dangerous: no null check at all
const street = user.address.street; // throws if address is undefined",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/Optional_chaining
4,as const Assertions,Type Safety,"const, assertion, literal, readonly, immutable","Use as const to narrow literal types and make objects/arrays deeply readonly. This enables TypeScript to infer the most specific types possible.",Use as const for configuration objects and string literal unions to get precise type inference.,Do not use as const on mutable data structures that need to be modified after creation.,"const ROLES = ['admin', 'editor', 'viewer'] as const;
type Role = (typeof ROLES)[number]; // 'admin' | 'editor' | 'viewer'

const CONFIG = {
  api: 'https://api.example.com',
  timeout: 5000,
} as const;
// CONFIG.api is type 'https://api.example.com', not string","const ROLES = ['admin', 'editor', 'viewer'];
type Role = string; // too broad, allows any string

const CONFIG = {
  api: 'https://api.example.com',
  timeout: 5000,
};
// CONFIG.api is type string -- loses specificity
// CONFIG.timeout is type number -- not 5000",https://www.typescriptlang.org/docs/handbook/release-notes/typescript-3-4.html#const-assertions
5,satisfies Operator,Type Safety,"satisfies, type checking, inference, validation","Use the satisfies operator to validate that an expression matches a type while preserving the most specific inferred type, combining type safety with precise inference.",Use satisfies to validate object shapes while keeping narrow literal types for autocomplete and type checking.,Do not use type annotations (: Type) when you want to preserve literal type inference; use satisfies instead.,"type Colors = Record<string, [number, number, number] | string>;

const palette = {
  red: [255, 0, 0],
  green: '#00ff00',
  blue: [0, 0, 255],
} satisfies Colors;

// palette.green is still type string, not string | number[]
const greenHex = palette.green.toUpperCase(); // works!","type Colors = Record<string, [number, number, number] | string>;

const palette: Colors = {
  red: [255, 0, 0],
  green: '#00ff00',
  blue: [0, 0, 255],
};

// palette.green is string | [number, number, number]
// const greenHex = palette.green.toUpperCase(); // Error!",https://www.typescriptlang.org/docs/handbook/release-notes/typescript-4-9.html#the-satisfies-operator
6,Template Literals for Strings,Strings,"template, literal, string, interpolation, backtick","Use template literals (backticks) for string interpolation and multiline strings instead of string concatenation.",Use template literals for any string that includes variables or spans multiple lines.,Do not use string concatenation with + for building strings with dynamic values.,"const greeting = `Hello, ${user.name}!`;
const url = `${baseUrl}/api/v${version}/users/${id}`;

const query = `
  SELECT *
  FROM users
  WHERE id = $1
    AND active = true
`;

const message = `Found ${count} item${count !== 1 ? 's' : ''}`;","const greeting = 'Hello, ' + user.name + '!';
const url = baseUrl + '/api/v' + version + '/users/' + id;

const query = 'SELECT * ' +
  'FROM users ' +
  'WHERE id = $1 ' +
  'AND active = true';

const message = 'Found ' + count + ' item' + (count !== 1 ? 's' : '');",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Template_literals
7,ESM vs CJS (import vs require),Modules,"esm, cjs, import, require, module","Prefer ECMAScript Modules (ESM) with import/export syntax over CommonJS require/module.exports for modern Node.js and TypeScript projects.","Use ESM imports with explicit file extensions in pure Node.js projects, or let your bundler/TypeScript handle resolution.",Do not mix require() and import in the same project unless absolutely necessary for legacy compatibility.,"// package.json: { ""type"": ""module"" }

// math.ts
export function add(a: number, b: number): number {
  return a + b;
}

// app.ts
import { add } from './math.js';
import { readFile } from 'node:fs/promises';

const sum = add(1, 2);","// math.js
module.exports = {
  add: function(a, b) {
    return a + b;
  }
};

// app.js
const { add } = require('./math');
const fs = require('fs');

const sum = add(1, 2);",https://nodejs.org/api/esm.html
8,Strict TypeScript Config,Configuration,"tsconfig, strict, typescript, compiler, options","Enable strict mode and other safety-focused compiler options in tsconfig.json to catch more errors at compile time.",Enable strict mode and add additional safety checks like noUncheckedIndexedAccess and exactOptionalPropertyTypes.,Do not leave strict mode off or disable individual strict checks without a documented reason.,"// tsconfig.json
{
  ""compilerOptions"": {
    ""strict"": true,
    ""noUncheckedIndexedAccess"": true,
    ""exactOptionalPropertyTypes"": true,
    ""noImplicitReturns"": true,
    ""noFallthroughCasesInSwitch"": true,
    ""forceConsistentCasingInFileNames"": true,
    ""moduleResolution"": ""bundler"",
    ""target"": ""ES2022"",
    ""module"": ""ES2022""
  }
}","// tsconfig.json
{
  ""compilerOptions"": {
    ""strict"": false,
    ""target"": ""es5"",
    ""module"": ""commonjs""
  }
}
// No strict checks, outdated target, missing safety options",https://www.typescriptlang.org/tsconfig#strict
9,Environment Variable Validation (Zod),Configuration,"env, zod, validation, environment, config","Use Zod to validate and parse environment variables at startup so that missing or malformed values cause an immediate and clear failure.",Define an env schema with Zod and parse process.env at application startup. Export the validated config object.,Do not access process.env directly throughout the codebase without validation.,"import { z } from 'zod';

const envSchema = z.object({
  PORT: z.coerce.number().default(3000),
  DATABASE_URL: z.string().url(),
  NODE_ENV: z.enum(['development', 'production', 'test']).default('development'),
  JWT_SECRET: z.string().min(32),
});

export const env = envSchema.parse(process.env);
// env.PORT is number, env.DATABASE_URL is string -- fully typed","// Scattered across codebase with no validation
const port = parseInt(process.env.PORT!); // might be NaN
const dbUrl = process.env.DATABASE_URL; // might be undefined
const env = process.env.NODE_ENV; // might be anything

// Runtime crash later when dbUrl is undefined
const connection = createConnection(dbUrl); // Error!",https://zod.dev/
10,Graceful Shutdown,Process Management,"shutdown, graceful, signal, cleanup, process","Handle SIGTERM and SIGINT signals to gracefully close connections and finish in-flight requests before the process exits.",Register shutdown handlers that close database connections and HTTP servers and set a timeout for forced exit.,Do not let the process crash without cleaning up resources or ignore shutdown signals.,"import { createServer } from 'node:http';

const server = createServer(app);
const connections = new Set<import('node:net').Socket>();

server.on('connection', (conn) => {
  connections.add(conn);
  conn.on('close', () => connections.delete(conn));
});

async function shutdown(signal: string) {
  console.log(`Received ${signal}. Shutting down gracefully...`);
  server.close();
  for (const conn of connections) conn.end();
  await db.$disconnect();
  process.exit(0);
}

process.on('SIGTERM', () => shutdown('SIGTERM'));
process.on('SIGINT', () => shutdown('SIGINT'));
setTimeout(() => process.exit(1), 10_000).unref();","// No cleanup at all
const server = createServer(app);
server.listen(3000);
// process just dies on SIGTERM, dropping connections
// database connections left open
// in-flight requests get terminated abruptly",https://nodejs.org/api/process.html#signal-events
