No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Setup,Use actix-web App with ServiceConfig,Configure Actix Web with App and modular service configuration for clean route organization,Use web::scope for route groups; use configure() to split route registration across modules; wrap App with middleware,Define all routes in main; duplicate scope prefixes,"use actix_web::{web, App, HttpServer};\n\n#[actix_web::main]\nasync fn main() -> std::io::Result<()> {\n    HttpServer::new(|| {\n        App::new()\n            .configure(user_routes)\n            .configure(order_routes)\n    })\n    .bind(""0.0.0.0:8080"")?\n    .run().await\n}\n\nfn user_routes(cfg: &mut web::ServiceConfig) {\n    cfg.service(\n        web::scope(""/api/users"")\n            .route("""", web::get().to(list_users))\n            .route(""/{id}"", web::get().to(get_user))\n    );\n}","HttpServer::new(|| {\n    App::new()\n        .route(""/api/users"", web::get().to(list_users))\n        .route(""/api/users/{id}"", web::get().to(get_user))\n        .route(""/api/orders"", web::get().to(list_orders))\n    // all routes flat, hard to maintain\n})",High,https://docs.rs/actix-web/latest/actix_web/struct.App.html
2,State,Share state with web::Data,"Use web::Data<T> to share application state across handlers (internally Arc-wrapped)",Use web::Data::new() for shared state; access via extractor in handlers; state must be Send + Sync,Create new connections per request; use global mutable state,"let pool = PgPool::connect(&db_url).await?;\nlet data = web::Data::new(AppState { pool });\n\nHttpServer::new(move || {\n    App::new()\n        .app_data(data.clone())\n        .route(""/users"", web::get().to(list_users))\n})\n\nasync fn list_users(state: web::Data<AppState>) -> impl Responder {\n    let users = sqlx::query_as!(User, ""SELECT * FROM users"")\n        .fetch_all(&state.pool).await.unwrap();\n    HttpResponse::Ok().json(users)\n}","async fn list_users() -> impl Responder {\n    let pool = PgPool::connect(""..."").await.unwrap(); // new conn per request!\n    let users = sqlx::query_as!(User, ""SELECT * FROM users"")\n        .fetch_all(&pool).await.unwrap();\n    HttpResponse::Ok().json(users)\n}",Critical,https://docs.rs/actix-web/latest/actix_web/web/struct.Data.html
3,Extractors,Use typed extractors for request data,"Actix provides extractors for Path, Query, Json, Form, and custom types","Use web::Path<T>, web::Query<T>, web::Json<T> extractors; derive Deserialize for extracted types",Manually parse request body or URI; extract raw strings and parse them yourself,"use actix_web::web::{Path, Query, Json};\n\n#[derive(Deserialize)]\nstruct Pagination { page: Option<u32>, limit: Option<u32> }\n\nasync fn get_user(\n    path: Path<u64>,\n    query: Query<Pagination>,\n) -> impl Responder {\n    let id = path.into_inner();\n    HttpResponse::Ok().json(find_user(id))\n}","async fn get_user(req: HttpRequest) -> impl Responder {\n    let id: u64 = req.match_info().get(""id"").unwrap().parse().unwrap();\n    // manual extraction, error-prone, panics on bad input\n}",High,https://docs.rs/actix-web/latest/actix_web/trait.FromRequest.html
4,Error Handling,Implement ResponseError for custom errors,"Define error types that implement actix_web::ResponseError for automatic HTTP error responses","Map domain errors to HTTP status codes; log internal errors server-side; return JSON error bodies",Expose internal errors to clients; return plain text errors,"use actix_web::{ResponseError, HttpResponse};\n\n#[derive(Debug, thiserror::Error)]\nenum AppError {\n    #[error(""not found: {0}"")]\n    NotFound(String),\n    #[error(""internal error"")]\n    Internal(#[from] anyhow::Error),\n}\n\nimpl ResponseError for AppError {\n    fn error_response(&self) -> HttpResponse {\n        match self {\n            AppError::NotFound(msg) => HttpResponse::NotFound().json(json!({""error"": msg})),\n            AppError::Internal(e) => {\n                tracing::error!(""internal: {e:?}"");\n                HttpResponse::InternalServerError().json(json!({""error"": ""internal error""}))\n            }\n        }\n    }\n}","async fn get_user(path: Path<u64>) -> Result<HttpResponse, String> {\n    find_user(path.into_inner())\n        .map(|u| HttpResponse::Ok().json(u))\n        .map_err(|e| format!(""{e}"")) // String error, always 500\n}",Critical,https://docs.rs/actix-web/latest/actix_web/trait.ResponseError.html
5,Middleware,Use wrap() for middleware,"Attach middleware with App::wrap() or Scope::wrap() for cross-cutting concerns","Use actix_web::middleware::Logger for access logs; use custom Transform for auth; use wrap_fn for simple middleware",Write middleware from scratch for standard needs; skip logging,"use actix_web::middleware::Logger;\nuse actix_cors::Cors;\n\nHttpServer::new(|| {\n    App::new()\n        .wrap(Logger::default())\n        .wrap(Cors::default().allowed_origin(""https://app.example.com""))\n        .wrap(auth_middleware())\n        .configure(routes)\n})","HttpServer::new(|| {\n    App::new()\n        .configure(routes)\n    // no middleware: no logging, no CORS, no auth\n})",High,https://docs.rs/actix-web/latest/actix_web/middleware/index.html
6,Guards,Use guards for route matching,"Actix guards provide additional route matching beyond path (headers, methods, content type)","Use guard::Header for content negotiation; guard::fn_guard for custom matching; combine guards with .guard()",Implement content negotiation manually in handlers,"use actix_web::guard;\n\nApp::new()\n    .route(""/api/data"",\n        web::resource(""""\n        )\n        .route(web::get().guard(guard::Header(""accept"", ""application/json"")).to(json_handler))\n        .route(web::get().guard(guard::Header(""accept"", ""text/html"")).to(html_handler))\n    )","async fn data_handler(req: HttpRequest) -> impl Responder {\n    if req.headers().get(""accept"").map_or(false, |v| v == ""application/json"") {\n        // manual content negotiation\n    }\n}",Medium,https://docs.rs/actix-web/latest/actix_web/guard/index.html
7,Testing,Use actix_web::test for integration tests,"Actix provides test utilities for testing handlers and services without starting a server","Use test::init_service and test::TestRequest; test both success and error responses","Start a real server for unit tests; skip error path testing","use actix_web::test;\n\n#[actix_web::test]\nasync fn test_get_user() {\n    let app = test::init_service(\n        App::new()\n            .app_data(web::Data::new(test_state()))\n            .route(""/users/{id}"", web::get().to(get_user))\n    ).await;\n\n    let req = test::TestRequest::get().uri(""/users/1"").to_request();\n    let resp = test::call_service(&app, req).await;\n    assert_eq!(resp.status(), StatusCode::OK);\n}","#[actix_web::test]\nasync fn test_get_user() {\n    let srv = HttpServer::new(|| App::new()).bind(""127.0.0.1:0"").unwrap();\n    // starting a real server is unnecessary and slow\n}",High,https://docs.rs/actix-web/latest/actix_web/test/index.html
8,Workers,Configure worker threads,"Actix-web spawns one worker per CPU core by default; tune based on workload",Set workers based on CPU cores and workload type; use keep_alive for connection management,Accept default worker count without considering workload,"HttpServer::new(|| App::new().configure(routes))\n    .workers(num_cpus::get())\n    .keep_alive(Duration::from_secs(75))\n    .bind(""0.0.0.0:8080"")?\n    .run().await","HttpServer::new(|| App::new())\n    .workers(1) // only one worker, wastes CPU cores\n    .bind(""0.0.0.0:8080"")?",Medium,https://docs.rs/actix-web/latest/actix_web/struct.HttpServer.html#method.workers
9,WebSocket,Handle WebSocket with actix-web-actors,"Use actix-web-actors for WebSocket connections with the Actor model","Define a WebSocket actor; implement StreamHandler for messages; handle ping/pong and timeouts",Keep connections alive without heartbeat; block inside message handlers,"use actix_web_actors::ws;\n\nstruct WsSession;\n\nimpl actix::Actor for WsSession {\n    type Context = ws::WebsocketContext<Self>;\n}\n\nimpl ws::StreamHandler<Result<ws::Message, ws::ProtocolError>> for WsSession {\n    fn handle(&mut self, msg: Result<ws::Message, ws::ProtocolError>, ctx: &mut Self::Context) {\n        match msg {\n            Ok(ws::Message::Text(text)) => ctx.text(format!(""echo: {text}"")),\n            Ok(ws::Message::Ping(msg)) => ctx.pong(&msg),\n            Ok(ws::Message::Close(reason)) => { ctx.close(reason); ctx.stop(); }\n            _ => {}\n        }\n    }\n}","async fn ws_handler(req: HttpRequest, payload: web::Payload) -> impl Responder {\n    // no heartbeat, no timeout, connection lives forever\n    ws::start(WsSession, &req, payload)\n}",Medium,https://docs.rs/actix-web-actors/latest/actix_web_actors/
10,Streaming,Return streaming responses,"Use HttpResponse::streaming() for large responses or Server-Sent Events","Use streaming for file downloads and SSE; set Content-Type appropriately; handle backpressure",Load entire file into memory before sending,"use actix_web::HttpResponse;\nuse tokio::io::AsyncReadExt;\nuse futures::stream;\n\nasync fn stream_file() -> HttpResponse {\n    let file = tokio::fs::File::open(""large.csv"").await.unwrap();\n    let stream = tokio_util::io::ReaderStream::new(file);\n    HttpResponse::Ok()\n        .content_type(""text/csv"")\n        .streaming(stream)\n}","async fn download_file() -> HttpResponse {\n    let data = tokio::fs::read(""large.csv"").await.unwrap();\n    HttpResponse::Ok().body(data) // entire file in memory\n}",Medium,https://docs.rs/actix-web/latest/actix_web/struct.HttpResponse.html
