No,Pattern Name,Keywords,Context,Do,Dont,Code Good,Code Bad,Severity,Package
1,Result Type Pattern,"result,either,success,failure,functional error",Domain layer error propagation,"Use Either/Result types to represent success/failure without exceptions; propagate errors through type system","Throw exceptions for expected business errors; use null to indicate failure","Future<Either<Failure, User>> getUser(String id) async {\n  try {\n    final response = await api.getUser(id);\n    return Right(UserMapper.fromDto(response));\n  } on DioException catch (e) {\n    return Left(ServerFailure(e.message ?? 'Unknown error'));\n  } on CacheException {\n    return Left(CacheFailure('Cache miss'));\n  }\n}","Future<User?> getUser(String id) async {\n  try {\n    return await api.getUser(id);\n  } catch (e) {\n    print(e);\n    return null;\n  }\n}",High,"dartz,fpdart"
2,Typed Failure Classes,"failure,error class,sealed,custom exception",Error categorization and handling,"Create sealed/abstract Failure classes per domain; include user-friendly messages","Use generic Exception or String for all errors","sealed class Failure {\n  final String message;\n  const Failure(this.message);\n}\nclass ServerFailure extends Failure { const ServerFailure(super.message); }\nclass NetworkFailure extends Failure { const NetworkFailure(super.message); }\nclass CacheFailure extends Failure { const CacheFailure(super.message); }\nclass AuthFailure extends Failure { const AuthFailure(super.message); }","catch (e) {\n  throw Exception('Something went wrong');\n}",High,freezed
3,Global Error Handler,"runZonedGuarded,FlutterError,uncaught,crash",App-level crash protection,"Wrap app in runZonedGuarded; set FlutterError.onError; report to Crashlytics/Sentry","Let unhandled exceptions crash the app silently","void main() {\n  runZonedGuarded(() async {\n    WidgetsFlutterBinding.ensureInitialized();\n    FlutterError.onError = (details) {\n      FirebaseCrashlytics.instance.recordFlutterError(details);\n    };\n    PlatformDispatcher.instance.onError = (error, stack) {\n      FirebaseCrashlytics.instance.recordError(error, stack);\n      return true;\n    };\n    runApp(const MyApp());\n  }, (error, stack) {\n    FirebaseCrashlytics.instance.recordError(error, stack);\n  });\n}","void main() {\n  runApp(const MyApp());\n  // No error handling - crashes go unnoticed\n}",Critical,"firebase_crashlytics,sentry_flutter"
4,Error Boundary Widget,"error boundary,fallback,error widget,graceful",Widget-level error recovery,"Create ErrorBoundary widgets that catch errors and show fallback UI; log errors for debugging","Show red error screens to users in production","class ErrorBoundary extends StatelessWidget {\n  final Widget child;\n  final Widget Function(FlutterErrorDetails) fallback;\n  \n  @override\n  Widget build(BuildContext context) {\n    ErrorWidget.builder = (details) {\n      return fallback(details);\n    };\n    return child;\n  }\n}","// Default Flutter red error screen in production\n// No fallback UI for users",Medium,flutter
5,Network Error Handling,"network,connectivity,offline,timeout,retry",Network request error recovery,"Check connectivity before requests; implement retry with exponential backoff; show offline UI","Assume network is always available; swallow connection errors","class ApiClient {\n  Future<T> request<T>(Future<T> Function() apiCall) async {\n    try {\n      return await apiCall().timeout(const Duration(seconds: 30));\n    } on SocketException {\n      throw NetworkFailure('No internet connection');\n    } on TimeoutException {\n      throw NetworkFailure('Request timed out');\n    } on DioException catch (e) {\n      throw ServerFailure(_mapDioError(e));\n    }\n  }\n}","Future<User> getUser() async {\n  final response = await dio.get('/user');\n  return User.fromJson(response.data);\n  // No error handling at all\n}",High,"dio,connectivity_plus"
6,Retry with Backoff,"retry,backoff,exponential,attempt,resilient",Transient failure recovery,"Implement exponential backoff for retries; set max attempts; only retry on transient errors","Retry indefinitely; retry on all error types including 400s","Future<T> retryWithBackoff<T>(Future<T> Function() fn, {int maxAttempts = 3}) async {\n  int attempt = 0;\n  while (true) {\n    try {\n      attempt++;\n      return await fn();\n    } catch (e) {\n      if (attempt >= maxAttempts || !_isRetryable(e)) rethrow;\n      await Future.delayed(Duration(milliseconds: 200 * pow(2, attempt).toInt()));\n    }\n  }\n}\nbool _isRetryable(dynamic e) => e is SocketException || (e is DioException && e.response?.statusCode == 503);","while (true) {\n  try { return await api.call(); } catch (e) { continue; }\n}",Medium,dio
7,Form Validation Errors,"form,validation,field error,input,user feedback",User input error display,"Show inline field errors; validate on blur/submit; use form state management","Show a single generic error message for all validation failures","class LoginFormBloc extends FormBloc {\n  final email = TextFieldBloc(validators: [FieldBlocValidators.required, FieldBlocValidators.email]);\n  final password = TextFieldBloc(validators: [FieldBlocValidators.required, _minLength(8)]);\n  \n  @override\n  void onSubmitting() async {\n    try {\n      await authRepo.login(email.value, password.value);\n      emitSuccess();\n    } on InvalidCredentialsException {\n      emitFailure(failureResponse: 'Invalid email or password');\n    }\n  }\n}","if (email.isEmpty || !email.contains('@')) {\n  showDialog('Error', 'Please check your inputs');\n}",Medium,"flutter_form_bloc,reactive_forms"
8,BLoC Error State,"bloc,state,error state,loading,cubit",State-based error propagation in BLoC,"Include error state in sealed state class; handle in UI with pattern matching; clear errors on retry","Log errors and stay in previous state silently","sealed class ProductState {}\nclass ProductLoading extends ProductState {}\nclass ProductLoaded extends ProductState {\n  final List<Product> products;\n  ProductLoaded(this.products);\n}\nclass ProductError extends ProductState {\n  final String message;\n  final VoidCallback? onRetry;\n  ProductError(this.message, {this.onRetry});\n}","// Just print error and keep old state\ncatch (e) { print(e); }",Medium,flutter_bloc
9,Offline Queue,"offline,queue,sync,pending,retry later",Offline-first error handling,"Queue failed mutations for later retry; show pending state to user; sync when connectivity returns","Discard user actions when offline; show only error messages","class OfflineQueue {\n  final HiveBox _box;\n  \n  Future<void> enqueue(PendingAction action) async {\n    await _box.add(action.toJson());\n  }\n  \n  Future<void> processQueue() async {\n    final pending = _box.values.toList();\n    for (final item in pending) {\n      try {\n        await _executeAction(PendingAction.fromJson(item));\n        await _box.delete(item.key);\n      } catch (e) {\n        break; // Stop processing, retry later\n      }\n    }\n  }\n}","// Show 'No internet' and discard user's work\nif (!connected) { showError('No internet'); return; }",High,"hive,connectivity_plus,workmanager"
10,Platform Exception Handling,"platform,channel,native,method channel,bridge",Native bridge error handling,"Wrap PlatformException with typed errors; provide fallback behavior; log platform details","Let PlatformException propagate to UI unhandled","Future<String?> getBatteryLevel() async {\n  try {\n    final result = await platform.invokeMethod<int>('getBatteryLevel');\n    return '$result%';\n  } on PlatformException catch (e) {\n    debugPrint('Platform error: ${e.code} - ${e.message}');\n    return null; // Graceful fallback\n  } on MissingPluginException {\n    debugPrint('Plugin not available on this platform');\n    return null;\n  }\n}","final level = await platform.invokeMethod('getBatteryLevel');\n// No error handling for platform calls",Medium,flutter/services
