No,Pattern Name,Category,Keywords,Description,When To Use,When Not To Use,Code Example,Anti-Pattern,Complexity,Performance Impact,Common Packages,Docs URL
1,MVVM,Architectural,"mvvm,model view viewmodel,data binding,observable",Separates UI from business logic using ViewModel as intermediary. View observes ViewModel state changes reactively,"When building reactive UIs; when you need testable presentation logic; Flutter/SwiftUI/Compose projects","Simple one-screen apps with minimal logic","// Flutter with Riverpod\nclass HomeViewModel extends StateNotifier<HomeState> {\n  final GetProductsUseCase _getProducts;\n  HomeViewModel(this._getProducts) : super(HomeState.initial());\n  \n  Future<void> loadProducts() async {\n    state = state.copyWith(isLoading: true);\n    final result = await _getProducts();\n    result.fold(\n      (failure) => state = state.copyWith(error: failure.message),\n      (products) => state = state.copyWith(products: products, isLoading: false),\n    );\n  }\n}","Putting business logic directly in the Widget/View build method",Medium,None,"flutter_riverpod,provider,stacked",https://docs.flutter.dev/app-architecture/guide
2,BLoC Pattern,Architectural,"bloc,business logic component,stream,cubit,event,state",Manages state through streams of events and states. Events go in states come out,"Flutter apps with complex state; when you need clear event-driven state transitions","Simple UI with minimal state; when Provider/Riverpod suffice","class CartBloc extends Bloc<CartEvent, CartState> {\n  final CartRepository _repository;\n  CartBloc(this._repository) : super(CartInitial()) {\n    on<AddToCart>(_onAddToCart);\n    on<RemoveFromCart>(_onRemoveFromCart);\n  }\n  \n  Future<void> _onAddToCart(AddToCart event, Emitter<CartState> emit) async {\n    emit(CartLoading());\n    try {\n      final cart = await _repository.addItem(event.product);\n      emit(CartLoaded(cart));\n    } catch (e) {\n      emit(CartError(e.toString()));\n    }\n  }\n}","Managing state with setState() in complex screens",Medium,Low,"flutter_bloc,bloc",https://bloclibrary.dev
3,Clean Architecture,Architectural,"clean architecture,layers,domain,data,presentation,use case",Separates app into layers: Presentation Domain and Data. Dependencies point inward toward domain,"Large apps requiring testability; teams with multiple developers; long-lived projects","Small prototypes; hackathon projects; simple CRUD apps","// Domain Layer - Use Case\nabstract class UseCase<Type, Params> {\n  Future<Either<Failure, Type>> call(Params params);\n}\n\nclass GetUserProfile extends UseCase<User, String> {\n  final UserRepository repository;\n  GetUserProfile(this.repository);\n  \n  @override\n  Future<Either<Failure, User>> call(String userId) {\n    return repository.getUserById(userId);\n  }\n}","Mixing data access code directly in UI widgets/views",High,None,"dartz,fpdart,injectable",https://blog.cleancoder.com/uncle-bob/2012/08/13/the-clean-architecture.html
4,Repository Pattern,Structural,"repository,data source,abstraction,local,remote",Abstracts data access behind an interface. Handles switching between remote API and local cache,"When you need offline-first; when data comes from multiple sources (API + DB + cache)","When data comes from a single simple source","abstract class UserRepository {\n  Future<Either<Failure, User>> getUserById(String id);\n  Future<Either<Failure, List<User>>> getUsers();\n}\n\nclass UserRepositoryImpl implements UserRepository {\n  final UserRemoteDataSource remote;\n  final UserLocalDataSource local;\n  final NetworkInfo networkInfo;\n  \n  @override\n  Future<Either<Failure, User>> getUserById(String id) async {\n    if (await networkInfo.isConnected) {\n      final user = await remote.getUser(id);\n      await local.cacheUser(user);\n      return Right(user);\n    } else {\n      return Right(await local.getCachedUser(id));\n    }\n  }\n}","Calling APIs directly from ViewModel/BLoC without abstraction",Medium,None,"dio,retrofit,chopper",https://developer.android.com/topic/architecture/data-layer
5,MVP,Architectural,"mvp,model view presenter,passive view",View is passive and delegates all logic to Presenter. Presenter updates View through interface,"Legacy Android apps with XML layouts; when you need strict separation for testing","When using declarative UI frameworks (Compose/SwiftUI/Flutter)","// Android MVP\ninterface HomeView {\n    fun showProducts(products: List<Product>)\n    fun showError(message: String)\n    fun showLoading()\n}\n\nclass HomePresenter(private val repository: ProductRepository) {\n    private var view: HomeView? = null\n    fun attachView(v: HomeView) { view = v }\n    fun loadProducts() {\n        view?.showLoading()\n        repository.getProducts { result ->\n            result.onSuccess { view?.showProducts(it) }\n            result.onFailure { view?.showError(it.message ?: \"\") }\n        }\n    }\n}","Activity/Fragment implementing all business logic directly",Medium,None,"moxy,mosby",https://en.wikipedia.org/wiki/Model-view-presenter
6,MVI,Architectural,"mvi,model view intent,unidirectional,single state",Unidirectional data flow: Intent -> Model -> View. Single immutable state represents entire screen,"Complex screens with many interactions; when debugging state issues; Jetpack Compose apps","Simple forms; screens with minimal state","// Kotlin MVI\ndata class HomeState(\n    val isLoading: Boolean = false,\n    val products: List<Product> = emptyList(),\n    val error: String? = null\n)\n\nsealed class HomeIntent {\n    object LoadProducts : HomeIntent()\n    data class SearchProducts(val query: String) : HomeIntent()\n}\n\nclass HomeViewModel : ViewModel() {\n    private val _state = MutableStateFlow(HomeState())\n    val state: StateFlow<HomeState> = _state.asStateFlow()\n    \n    fun processIntent(intent: HomeIntent) {\n        when (intent) {\n            is HomeIntent.LoadProducts -> loadProducts()\n            is HomeIntent.SearchProducts -> search(intent.query)\n        }\n    }\n}","Multiple mutable state variables that can get out of sync",Medium,None,"orbit-mvi,mavericks",https://developer.android.com/topic/architecture/ui-layer
7,Coordinator/Router Pattern,Navigation,"coordinator,router,navigation,flow,deeplink",Centralizes navigation logic outside of screens. Each flow has its own coordinator,"Multi-step flows (onboarding checkout); deep linking support; large apps with complex navigation","Single-screen apps; simple tab-based navigation","// Flutter GoRouter\nfinal router = GoRouter(\n  routes: [\n    GoRoute(\n      path: '/',\n      builder: (context, state) => const HomeScreen(),\n      routes: [\n        GoRoute(\n          path: 'product/:id',\n          builder: (context, state) {\n            final id = state.pathParameters['id']!;\n            return ProductDetailScreen(productId: id);\n          },\n        ),\n      ],\n    ),\n  ],\n);","Navigator.push/pop scattered throughout widgets with hardcoded routes",Medium,None,"go_router,auto_route,beamer",https://pub.dev/packages/go_router
8,Provider/Riverpod Pattern,State Management,"provider,riverpod,dependency injection,state,reactive",Provides dependencies and reactive state throughout the widget tree using compile-safe providers,"Flutter apps needing DI and reactive state; when BLoC is too verbose","When simple StatefulWidget state suffices","// Riverpod\nfinal productsProvider = FutureProvider.autoDispose<List<Product>>((ref) async {\n  final repository = ref.watch(productRepositoryProvider);\n  return repository.getProducts();\n});\n\nclass ProductListScreen extends ConsumerWidget {\n  @override\n  Widget build(BuildContext context, WidgetRef ref) {\n    final productsAsync = ref.watch(productsProvider);\n    return productsAsync.when(\n      data: (products) => ListView.builder(...),\n      loading: () => const CircularProgressIndicator(),\n      error: (err, stack) => Text('Error: $err'),\n    );\n  }\n}","Using global variables or singletons for state management",Low,None,"flutter_riverpod,riverpod,provider",https://riverpod.dev
9,Observer/Reactive Pattern,Behavioral,"observer,reactive,stream,combine,livedata,stateflow,publisher",Components subscribe to data streams and react to changes automatically,"For real-time data updates; when multiple UI components depend on same data source","When data is fetched once and never changes","// Kotlin StateFlow\nclass ChatViewModel(private val chatRepo: ChatRepository) : ViewModel() {\n    private val _messages = MutableStateFlow<List<Message>>(emptyList())\n    val messages: StateFlow<List<Message>> = _messages.asStateFlow()\n    \n    init {\n        viewModelScope.launch {\n            chatRepo.observeMessages().collect { msgs ->\n                _messages.value = msgs\n            }\n        }\n    }\n}\n\n// In Compose\n@Composable\nfun ChatScreen(viewModel: ChatViewModel) {\n    val messages by viewModel.messages.collectAsStateWithLifecycle()\n    LazyColumn { items(messages) { MessageItem(it) } }\n}","Manually polling for updates or passing callbacks through multiple layers",Medium,Low,"rxdart,kotlinx-coroutines,combine",https://developer.android.com/kotlin/flow
10,Adapter Pattern,Structural,"adapter,wrapper,api model,domain model,mapper",Converts between API/DB models and domain models to decouple layers,"When API response shape differs from domain needs; when switching API providers","When models are identical across layers","// Model Mapper\nclass UserMapper {\n  static User fromDto(UserDto dto) {\n    return User(\n      id: dto.id,\n      name: '${dto.firstName} ${dto.lastName}',\n      email: dto.email,\n      avatar: dto.profileImageUrl ?? '',\n      joinedAt: DateTime.parse(dto.createdAt),\n    );\n  }\n  \n  static UserDto toDto(User user) {\n    final names = user.name.split(' ');\n    return UserDto(\n      id: user.id,\n      firstName: names.first,\n      lastName: names.length > 1 ? names.sublist(1).join(' ') : '',\n      email: user.email,\n    );\n  }\n}","Using API response models directly in UI code",Low,None,"freezed,json_serializable,built_value",https://refactoring.guru/design-patterns/adapter
