No,Tool,Category,Keywords,Description,Command,When To Use,Output
1,Cargo Build,"build, compile, binary, release","Build the project with debug or release optimizations","cargo build\ncargo build --release\ncargo build --target x86_64-unknown-linux-musl","Every time you need to compile; use --release for production; use --target for cross-compilation","Compiles to target/debug or target/release; reports errors and warnings; shows build time with --timings"
2,Cargo Test,"test, unit, integration, doc test","Run all unit tests, integration tests, and doc tests","cargo test\ncargo test --lib\ncargo test --test integration\ncargo test -- --nocapture\ncargo test -- test_name","After every code change; before committing; in CI pipelines","Reports pass/fail for each test; shows stdout with --nocapture; returns exit code for CI"
3,Cargo Clippy,"clippy, lint, static analysis, idiom","Run Clippy linter for catching common mistakes and non-idiomatic code","cargo clippy\ncargo clippy -- -D warnings\ncargo clippy -- -W clippy::pedantic\ncargo clippy --fix","On every commit; in CI pipeline; before code review","Lists warnings with explanations and suggestions; --fix applies automatic fixes; exit code for CI"
4,Rustfmt,"format, style, fmt, consistent","Format code according to Rust style guidelines","cargo fmt\ncargo fmt --check\ncargo fmt -- --config-path=rustfmt.toml","Before every commit; in CI to enforce style; configure rustfmt.toml for team standards","Formats all Rust files in place; --check returns non-zero if changes needed; respects rustfmt.toml"
5,Cargo Doc,"documentation, rustdoc, API docs, generate","Generate HTML documentation for the project and all dependencies","cargo doc --open\ncargo doc --no-deps\ncargo doc --document-private-items","To review API documentation; to check doc tests compile; before publishing a crate","Generates HTML docs in target/doc/; opens in browser with --open; builds doc tests"
6,Cargo Audit,"audit, security, vulnerability, CVE","Check dependencies for known security vulnerabilities","cargo install cargo-audit\ncargo audit\ncargo audit --json","Before deployment; in CI pipeline; after adding new dependencies","Lists CVEs affecting dependencies; suggests upgrade paths; JSON output for automation"
7,Cargo Deny,"deny, license, duplicate, ban, advisory","Lint dependencies for security, licensing, and duplicate issues","cargo install cargo-deny\ncargo deny check\ncargo deny check licenses\ncargo deny check advisories","In CI to enforce dependency policies; for compliance checks; to prevent banned crates","Reports license violations, security advisories, duplicate crates; uses deny.toml config"
8,Cargo Nextest,"nextest, parallel, test, fast, runner","A faster test runner that executes tests in parallel with better output","cargo install cargo-nextest\ncargo nextest run\ncargo nextest run --retries 2\ncargo nextest run --partition count:1/3","For large test suites; in CI for faster feedback; for test retries and partitioning","Faster parallel execution; per-test timing; retries; JUnit XML output; test partitioning for CI"
9,Miri,"miri, undefined behavior, unsafe, memory, UB","Detect undefined behavior in unsafe code including memory errors","rustup component add miri\ncargo miri test\ncargo miri run","After writing or modifying unsafe code; for checking FFI boundaries; for validating custom allocators","Detects use-after-free, double-free, out-of-bounds, uninitialized memory, data races in unsafe code"
10,Cargo Expand,"expand, macro, derive, proc_macro, debug","Expand all macros to see the generated code","cargo install cargo-expand\ncargo expand\ncargo expand module_name\ncargo expand --theme dracula","When debugging macro errors; to understand derived trait implementations; when writing proc macros","Shows fully expanded Rust code with all macros resolved; syntax highlighted; helps debug complex derives"
11,Cargo Watch,"watch, auto, rebuild, hot reload","Automatically rebuild or test when files change","cargo install cargo-watch\ncargo watch -x run\ncargo watch -x test\ncargo watch -x 'clippy -- -D warnings'","During development for fast iteration; run tests on save; run clippy on save","Watches for file changes; reruns specified command; supports chaining multiple commands"
12,Cargo Flamegraph,"flamegraph, profile, CPU, performance","Generate CPU flamegraphs for performance profiling","cargo install flamegraph\ncargo flamegraph\ncargo flamegraph --bin myapp -- args","When optimizing performance; to identify CPU hotspots; before and after optimization","Generates interactive SVG flamegraph; shows call stack frequencies; identifies hot functions"
13,Cargo Machete,"unused, dependency, dead, cleanup","Find unused dependencies in Cargo.toml","cargo install cargo-machete\ncargo machete","When cleaning up dependencies; before releases; after major refactoring","Lists dependencies in Cargo.toml that are not used by any source file; reduces compile time"
14,Cargo Udeps,"unused deps, nightly, dependency, bloat","Detect unused dependencies (requires nightly)","cargo install cargo-udeps\ncargo +nightly udeps","For thorough dependency analysis; complements cargo machete; for CI checks","More accurate than machete (uses compiler data); requires nightly; reports unused normal and dev deps"
15,Cargo Release,"release, publish, version, tag, crate","Automate version bumping, tagging, and publishing","cargo install cargo-release\ncargo release patch --dry-run\ncargo release minor\ncargo release --workspace","When publishing crates; for version management; for workspace releases","Bumps version in Cargo.toml; creates git tag; publishes to crates.io; handles workspace members"
