No,Use Case,Keywords,Primary Package,Secondary Packages,Architecture Pattern,Error Strategy,Key Considerations
1,HTTP Server,"web, server, http, REST, router",axum,"tower,tower-http,hyper","Layered: handlers → services → repositories; uses Tower middleware for cross-cutting concerns","Custom error type implementing IntoResponse; map to proper HTTP status codes","Axum is the most modern Rust web framework; built on tower/hyper; async-native; extractors for request parsing"
2,HTTP Client,"http client, request, API, fetch",reqwest,"hyper,ureq","Create a shared Client instance; configure timeouts and connection pools; use middleware for retries","Map reqwest::Error to domain errors; use .error_for_status() for HTTP error codes","Reuse reqwest::Client (connection pooling); set default timeouts; use ureq for blocking contexts"
3,Serialization,"json, yaml, toml, serde, serialize",serde,"serde_json,serde_yaml,toml","Derive Serialize/Deserialize on domain types; use #[serde(rename_all)] for convention mapping","Propagate serde errors with ?; wrap in domain error type","serde is the de facto standard; supports 30+ formats; use #[serde(default)] and #[serde(skip)] for control"
4,Database (SQL),"database, postgres, mysql, sqlite, query",sqlx,"sea-orm,diesel","Compile-time query verification with sqlx::query!; connection pooling with PgPool; migrations with sqlx-cli","Map sqlx::Error to domain errors; use transactions for atomicity","SQLx: async, compile-time checked SQL. SeaORM: async ORM. Diesel: sync ORM with strong types"
5,CLI Argument Parsing,"cli, args, command, parse, terminal",clap,"dialoguer,indicatif,console","Use derive API for type-safe args; use subcommands for complex CLIs; Builder API for dynamic args","Use anyhow::Result for CLI apps; provide helpful error messages with .context()","clap is the standard; dialoguer for interactive prompts; indicatif for progress bars; console for colors"
6,Async Runtime,"async, runtime, tokio, executor, io",tokio,"async-std,smol","Configure worker_threads and max_blocking_threads based on workload; use tokio::select! for cancellation","Ensure errors are Send + Sync for use across .await; use spawn_blocking for sync code","Tokio is the dominant async runtime; async-std is the alternative; smol is minimal"
7,Logging and Tracing,"log, tracing, structured, observability",tracing,"tracing-subscriber,tracing-opentelemetry","Use tracing::instrument for method-level spans; configure subscriber layers for formatting, filtering, and export","Log errors at boundaries; include span context for correlation","tracing is the standard; supports structured fields, spans, and OpenTelemetry export"
8,Error Handling,"error, thiserror, anyhow, eyre, Result",thiserror,"anyhow,color-eyre","thiserror for library errors (typed); anyhow/eyre for application errors (erased); combine at layer boundaries","Use #[from] for automatic conversion; .context() for human-readable chains","thiserror for libraries; anyhow for binaries; color-eyre for CLI with backtraces"
9,Testing,"test, assert, mock, property, snapshot",rstest,"mockall,proptest,insta,criterion","rstest for parameterized tests; mockall for mocking traits; insta for snapshots; criterion for benchmarks","Return Result from tests; test error cases explicitly; use assert_eq for clear diffs","Built-in #[test] is powerful; add rstest for data-driven tests; proptest for fuzzy edge cases"
10,Configuration,"config, env, dotenv, settings, toml",config,"dotenvy,envy,figment","Load from env vars + config files with hierarchy; validate at startup; deserialize with serde","Fail fast on invalid config; use .context() for which config field failed","config crate supports TOML/YAML/JSON + env vars; dotenvy for .env files; envy for env-only"
11,gRPC,"grpc, protobuf, tonic, proto, service",tonic,"prost,tonic-build","Define services in .proto files; generate Rust code with tonic-build in build.rs; use tower middleware","Map tonic::Status codes to domain errors; use metadata for auth","tonic is the standard Rust gRPC framework; prost for protobuf serialization; health checks built-in"
12,Date and Time,"datetime, time, chrono, duration, timezone",chrono,"time,humantime","Use chrono for full timezone support; use time crate as lighter alternative; use humantime for parsing durations","Parse with error handling; handle timezone-aware and naive datetimes explicitly","chrono is feature-rich; time is smaller and recommended for new projects since chrono had CVE in older versions"
13,UUID Generation,"uuid, unique, identifier, v4, v7",uuid,"ulid,nanoid","Use UUIDv4 for random IDs; UUIDv7 for time-ordered IDs; ULID as an alternative sortable ID","Wrap UUID in a newtype for type safety; implement From/Display","UUIDv7 is preferred for database primary keys (sortable); v4 for general purpose"
14,Password Hashing,"password, hash, argon2, bcrypt, security",argon2,"bcrypt,scrypt","Use Argon2id for new projects; spawn_blocking for async contexts; store PHC-format strings","Never store plaintext; handle verify errors as authentication failures","Argon2id is the OWASP recommendation; always use spawn_blocking as hashing is CPU-intensive"
15,Validation,"validate, validator, input, sanitize, form",validator,"garde,nutype","Derive Validate on input structs; validate at API boundary before domain logic; return all errors at once","Collect all validation errors; map to 400 Bad Request with field-level details","validator: derive-based validation; garde: newer alternative; nutype: newtype validation at construction"
