No,Architecture,Keywords,Description,Structure,When To Use,When Not To Use,Example Packages,Key Principles
1,Standard Go Project Layout,"cmd, internal, pkg, api, build, scripts","The community-driven conventional layout for Go projects. Organizes code into well-known directories that signal intent to other developers. Not an official Go standard but widely adopted across the ecosystem.","cmd/myapp/main.go, cmd/worker/main.go, internal/auth/, internal/database/, pkg/models/, pkg/utils/, api/openapi.yaml, configs/, scripts/, build/, deployments/, docs/","Medium to large projects with multiple binaries; open-source libraries expecting community contributions; projects needing clear separation between public and private code","Small projects or scripts with fewer than a few hundred lines; quick prototypes; single-package libraries where the extra directories add unnecessary complexity","github.com/golang-standards/project-layout, github.com/go-chi/chi, github.com/gorilla/mux","Separation of concerns through directory conventions; cmd/ for entry points with minimal logic; internal/ enforces compiler-level access control"
2,Flat Structure,"single package, small project, simplicity, minimal","A project with all Go files in a single root package or very few packages. Ideal for small tools, scripts, and libraries that do one thing well. Avoids premature abstraction and unnecessary directory nesting.","main.go, handler.go, model.go, store.go, go.mod, go.sum, README.md","Small CLI tools and utilities; single-purpose libraries; projects with one developer; proof-of-concept implementations; scripts under 1000 lines","Projects with multiple teams; applications expected to grow significantly; projects requiring strict access boundaries between subsystems","github.com/joho/godotenv, github.com/cespare/xxhash, github.com/mattn/go-sqlite3","Keep it simple; avoid premature abstraction; every package should have a clear single purpose"
3,Domain-Driven Design in Go,"DDD, bounded context, aggregate, entity, value object, repository, domain","Organizes code around the business domain rather than technical layers. Bounded contexts map to packages, aggregates enforce consistency boundaries, and the ubiquitous language permeates type and function names.","domain/order/order.go, domain/order/repository.go, domain/order/service.go, domain/customer/customer.go, domain/customer/repository.go, application/order_service.go, infrastructure/postgres/order_repo.go, interfaces/http/order_handler.go","Complex business domains with evolving rules; large teams where bounded contexts map to team ownership; enterprise applications requiring strategic design","CRUD-heavy applications with simple business logic; small utilities; projects where the domain model would mirror the database schema with no added value","github.com/ThreeDotsLabs/wild-workouts-go-ddd-example, github.com/marcusolsson/goddd, github.com/victorsteven/food-app-server","Model the domain explicitly in code; protect invariants within aggregate boundaries; depend on abstractions at domain boundaries not implementations"
4,Hexagonal Architecture (Ports & Adapters),"hexagonal, ports, adapters, clean boundary, dependency inversion","Isolates the core business logic from external systems by defining ports (interfaces) and adapters (implementations). The domain core has zero dependencies on frameworks, databases, or transport protocols.","core/domain/order.go, core/ports/order_repository.go, core/ports/order_service.go, core/services/order_service.go, adapters/driven/postgres/order_repo.go, adapters/driven/redis/cache.go, adapters/driving/http/handler.go, adapters/driving/grpc/server.go","Applications that need to swap infrastructure components; systems requiring high testability via port mocking; projects where the domain logic is the primary asset","Simple CRUD APIs; throwaway prototypes; projects where the extra abstraction layers would outweigh the business logic complexity","github.com/ThreeDotsLabs/wild-workouts-go-ddd-example, github.com/uber-go/fx, github.com/google/wire","Business logic must not import infrastructure; all external dependencies hidden behind interfaces (ports); adapters are replaceable without touching the core"
5,Clean Architecture,"clean, use case, entity, interface adapter, framework, dependency rule","Enforces a strict dependency rule where inner layers know nothing about outer layers. Entities hold enterprise rules, use cases orchestrate application flows, interface adapters translate data, and frameworks sit at the outermost ring.","entity/user.go, entity/order.go, usecase/create_order.go, usecase/interfaces.go, adapter/controller/order_controller.go, adapter/presenter/order_presenter.go, adapter/gateway/order_gateway.go, infrastructure/router/router.go, infrastructure/database/postgres.go","Applications with complex business rules spanning multiple use cases; projects requiring strict layer isolation and testability; teams wanting to defer framework decisions","Simple REST APIs with straightforward CRUD; small microservices with minimal business logic; projects where development speed outweighs architectural purity","github.com/bxcodec/go-clean-arch, github.com/evrone/go-clean-template, github.com/zhashkevych/todo-app","Dependencies point inward only; entities are framework-agnostic; use cases define application-specific business rules as orchestrators"
6,Layered Architecture,"handler, service, repository, layer, MVC, three-tier","The most common Go web application pattern. Requests flow through handler (presentation), service (business logic), and repository (data access) layers. Each layer only calls the layer directly below it.","handler/order_handler.go, handler/user_handler.go, service/order_service.go, service/user_service.go, repository/order_repository.go, repository/user_repository.go, model/order.go, model/user.go, middleware/auth.go, router/router.go","Standard web APIs and CRUD applications; teams familiar with traditional MVC patterns; projects needing a quick and well-understood structure","Applications with complex cross-cutting domain logic that does not fit neatly into layers; event-driven systems; projects requiring multiple presentation protocols simultaneously","github.com/gin-gonic/gin, github.com/go-chi/chi, github.com/jmoiron/sqlx, github.com/jackc/pgx","Unidirectional dependency flow from handler to repository; each layer has a single responsibility; interfaces between layers enable independent testing"
7,Modular Monolith,"modular, monolith, bounded module, internal communication, cohesion","A single deployable unit organized into loosely-coupled modules that communicate through well-defined internal APIs. Each module owns its data and logic. Enables migration to microservices if needed without a premature distributed architecture.","modules/ordering/handler.go, modules/ordering/service.go, modules/ordering/repository.go, modules/ordering/events.go, modules/inventory/handler.go, modules/inventory/service.go, modules/catalog/handler.go, shared/events/bus.go, shared/middleware/, cmd/server/main.go","Teams wanting microservice-like boundaries without distributed complexity; startups iterating quickly on features; systems where module boundaries may shift as the domain is explored","Truly independent services needing separate deployment cycles; systems already at scale requiring independent scaling of components; polyglot environments","github.com/ThreeDotsLabs/watermill, github.com/nats-io/nats.go, github.com/go-chi/chi","Strong module boundaries enforced by internal/ packages; modules communicate through events or explicit APIs; shared kernel kept minimal"
8,Microservice with go-kit,"microservice, go-kit, endpoint, transport, service, middleware","A microservice structured around the go-kit framework pattern: define a service interface, wrap endpoints with middleware for logging, metrics, and tracing, then expose them via one or more transports (HTTP, gRPC).","service/service.go, service/middleware.go, endpoint/endpoint.go, endpoint/middleware.go, transport/http.go, transport/grpc.go, pb/service.proto, pb/service.pb.go, cmd/main.go","Production microservices needing observability, rate limiting, and circuit breaking; organizations adopting a consistent microservice template; services exposed over multiple transports","Simple internal services; projects where go-kit boilerplate outweighs the benefit; teams preferring lighter frameworks or standard library HTTP","github.com/go-kit/kit, github.com/go-kit/kit/endpoint, github.com/go-kit/kit/transport/http, github.com/go-kit/kit/transport/grpc","Strict separation of service interface, endpoint, and transport; middleware composition for cross-cutting concerns; transport-agnostic business logic"
9,Monorepo with Go Workspaces (go.work),"monorepo, workspace, go.work, multi-module, shared code","Uses Go 1.18+ workspaces to manage multiple modules in a single repository. A go.work file at the root references each module, enabling local cross-module development without published versions or replace directives.","go.work, services/api/go.mod, services/api/main.go, services/worker/go.mod, services/worker/main.go, libs/auth/go.mod, libs/auth/auth.go, libs/database/go.mod, libs/database/db.go, tools/migrate/go.mod","Organizations managing multiple services with shared libraries; teams needing atomic cross-service changes; projects where shared code evolves alongside services","Projects with unrelated modules that never share code; open-source libraries intended for independent consumption; teams where repository size causes CI performance issues","golang.org/x/tools, github.com/uber-go/nilaway, github.com/golangci/golangci-lint","Single source of truth for all modules; workspace replaces replace directives for local development; each module maintains its own go.mod for independent versioning"
10,Plugin Architecture (go-plugin),"plugin, hashicorp, go-plugin, extensible, RPC, gRPC","Enables runtime extensibility by loading plugins as separate processes communicating over RPC or gRPC. The host application defines plugin interfaces, and third parties implement them without recompiling the host.","cmd/host/main.go, plugin/interface.go, plugin/grpc.go, plugin/shared.go, plugins/myplugin/main.go, plugins/myplugin/impl.go, internal/pluginmanager/manager.go, proto/plugin.proto","Applications requiring third-party extensibility at runtime; tools like Terraform and Vault that need a plugin ecosystem; systems where plugins must be isolated from host crashes","Applications where all functionality is known at compile time; performance-critical paths where RPC overhead is unacceptable; simple applications with no extensibility requirements","github.com/hashicorp/go-plugin, github.com/traefik/yaegi, plugin (stdlib)","Plugins run as separate processes for fault isolation; host defines the interface contract; gRPC provides cross-language plugin support"
