No,Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
1,Jobs,Job Class Design,Design queue jobs with proper retry failed and timeout configuration,Set $tries $backoff $timeout. Implement failed() method. Serialize minimal data,Serialize entire models or leave jobs without retry/failure handling,"class ProcessPayment implements ShouldQueue {\n    use Dispatchable, InteractsWithQueue, Queueable, SerializesModels;\n\n    public int $tries = 3;\n    public array $backoff = [10, 60, 300];\n    public int $timeout = 120;\n    public bool $deleteWhenMissingModels = true;\n\n    public function __construct(private int $orderId) {}\n\n    public function handle(PaymentGateway $gateway): void {\n        $order = Order::findOrFail($this->orderId);\n        $gateway->charge($order->total, $order->paymentMethod);\n        $order->markAsPaid();\n    }\n\n    public function failed(Throwable $e): void {\n        $order = Order::find($this->orderId);\n        $order?->markAsFailed();\n        Log::error('Payment failed', ['order_id' => $this->orderId, 'error' => $e->getMessage()]);\n        Notification::send($order?->user, new PaymentFailedNotification($order));\n    }\n}","class ProcessPayment implements ShouldQueue {\n    use Dispatchable, InteractsWithQueue, Queueable, SerializesModels;\n    public function __construct(private Order $order) {}\n    // Full model serialized! Could be stale\n    // No tries limit - retries forever\n    // No failed() - silent failures\n    public function handle(): void {\n        // payment logic\n    }\n}",Critical,https://laravel.com/docs/queues
2,Jobs,Job Batching,Use batches to group related jobs and track overall completion,Dispatch batches for parallel processing. Handle batch completion and failures,Process items sequentially when they can run in parallel,"Bus::batch([\n    new ProcessImage($image1),\n    new ProcessImage($image2),\n    new ProcessImage($image3),\n])->then(function (Batch $batch) {\n    Log::info('All images processed', ['batch_id' => $batch->id]);\n})->catch(function (Batch $batch, Throwable $e) {\n    Log::error('Batch failed', ['batch_id' => $batch->id]);\n})->finally(function (Batch $batch) {\n    $batch->progress(); // Check completion percentage\n})->allowFailures()->dispatch();\n\n// Check status:\n$batch = Bus::findBatch($batchId);\n$batch->progress(); // 0-100","foreach ($images as $image) {\n    ProcessImage::dispatch($image);\n}\n// No grouping, no completion tracking\n// No way to know when all are done",Medium,https://laravel.com/docs/queues#job-batching
3,Jobs,Job Chaining,Chain dependent jobs to execute sequentially in order,Use Bus::chain() for jobs that must run in sequence. Handle chain failures,Dispatch dependent jobs independently hoping they complete in order,"Bus::chain([\n    new ValidateOrder($orderId),\n    new ChargePayment($orderId),\n    new UpdateInventory($orderId),\n    new SendConfirmation($orderId),\n])->catch(function (Throwable $e) {\n    Log::error('Order chain failed', ['error' => $e->getMessage()]);\n})->dispatch();\n\n// If ChargePayment fails, UpdateInventory won't run","ValidateOrder::dispatch($orderId);\nChargePayment::dispatch($orderId);\nUpdateInventory::dispatch($orderId);\n// Race condition: ChargePayment might run before ValidateOrder",High,https://laravel.com/docs/queues#job-chaining
4,Queues,Queue Priority and Configuration,Configure multiple queues with priorities for different job types,Use named queues with priority. Set queue on job class. Configure workers per queue,"Use a single default queue for all jobs","// Job with specific queue:\nclass SendNewsletter implements ShouldQueue {\n    public $queue = 'emails';\n}\n\nclass ProcessPayment implements ShouldQueue {\n    public $queue = 'payments';\n}\n\n// Or dispatch to queue:\nSendNewsletter::dispatch($newsletter)->onQueue('emails');\n\n// Worker with priority:\n// php artisan queue:work --queue=payments,emails,default\n\n// Horizon config:\n'environments' => [\n    'production' => [\n        'payments' => ['connection' => 'redis', 'queue' => 'payments', 'processes' => 5, 'tries' => 3],\n        'emails' => ['connection' => 'redis', 'queue' => 'emails', 'processes' => 3, 'tries' => 3],\n        'default' => ['connection' => 'redis', 'queue' => 'default', 'processes' => 2],\n    ],\n]","// All jobs on default queue:\n// php artisan queue:work\n// Emails block payments\n// Low-priority jobs delay critical ones",Medium,https://laravel.com/docs/queues#dispatching-to-a-particular-queue
5,Horizon,Laravel Horizon for Redis Queues,Use Horizon for monitoring and configuring Redis-based queues in production,Configure Horizon for production with proper supervisor settings. Monitor via dashboard,"Run plain queue:work in production without monitoring","// config/horizon.php\n'environments' => [\n    'production' => [\n        'supervisor-high' => [\n            'connection' => 'redis',\n            'queue' => ['high'],\n            'processes' => 10,\n            'tries' => 3,\n            'timeout' => 300,\n        ],\n        'supervisor-default' => [\n            'connection' => 'redis',\n            'queue' => ['default', 'low'],\n            'processes' => 5,\n            'tries' => 3,\n        ],\n    ],\n]\n\n// Supervisor config for Horizon:\n// [program:horizon]\n// command=php /var/www/artisan horizon\n// autostart=true\n// autorestart=true","# Production:\nphp artisan queue:work &\n# No monitoring\n# No auto-restart on failure\n# No metrics or dashboard",High,https://laravel.com/docs/horizon
6,Messenger,Symfony Messenger Configuration,Configure Symfony Messenger for async message processing with transports,Define transports and routing. Handle failures with retry strategy. Use stamps for metadata,"Process everything synchronously or configure without failure handling","# config/packages/messenger.yaml\nframework:\n    messenger:\n        transports:\n            async:\n                dsn: '%env(MESSENGER_TRANSPORT_DSN)%'\n                retry_strategy:\n                    max_retries: 3\n                    delay: 1000\n                    multiplier: 2\n            failed:\n                dsn: 'doctrine://default?queue_name=failed'\n        routing:\n            'App\\Message\\SendEmail': async\n            'App\\Message\\ProcessImage': async\n            'App\\Message\\GenerateReport': async\n        failure_transport: failed\n\n# Worker command:\n# bin/console messenger:consume async --limit=100 --time-limit=3600","# No retry strategy:\nframework:\n    messenger:\n        transports:\n            async:\n                dsn: '%env(MESSENGER_TRANSPORT_DSN)%'\n        routing:\n            'App\\Message\\*': async\n# No failure transport, failed messages lost",High,https://symfony.com/doc/current/messenger.html
7,Rate Limiting,Job Rate Limiting,Apply rate limiting to queue jobs to avoid overwhelming external services,Use RateLimited middleware or ThrottlesExceptions on jobs that call external APIs,Dispatch thousands of jobs that hammer external APIs simultaneously,"class CallExternalApi implements ShouldQueue {\n    use Dispatchable, InteractsWithQueue, Queueable;\n\n    public function middleware(): array {\n        return [\n            new RateLimited('external-api'), // Max 10/min\n            new ThrottlesExceptions(5, 5),    // 5 exceptions in 5 min = pause\n        ];\n    }\n\n    public function handle(): void {\n        Http::post('https://api.example.com/data', $this->payload);\n    }\n}\n\n// Define rate limiter:\nRateLimiter::for('external-api', function () {\n    return Limit::perMinute(10);\n});","class CallExternalApi implements ShouldQueue {\n    public function handle(): void {\n        Http::post('https://api.example.com/data', $this->payload);\n    }\n}\n// 1000 jobs dispatched = 1000 simultaneous API calls\n// External API returns 429 or bans your IP",High,https://laravel.com/docs/queues#rate-limiting
8,Unique Jobs,Unique Job Processing,Prevent duplicate jobs from being processed simultaneously,Use ShouldBeUnique on jobs that should not overlap. Use unique IDs based on data,Dispatch the same job multiple times creating duplicates,"class GenerateUserReport implements ShouldQueue, ShouldBeUnique {\n    use Dispatchable, InteractsWithQueue, Queueable;\n\n    public int $uniqueFor = 3600; // Unique for 1 hour\n\n    public function __construct(private int $userId) {}\n\n    public function uniqueId(): string {\n        return 'user-report-' . $this->userId;\n    }\n\n    public function handle(): void {\n        // Generate report - guaranteed no duplicates\n    }\n}\n\n// Even if dispatched 10 times, only runs once:\nGenerateUserReport::dispatch($userId);","class GenerateUserReport implements ShouldQueue {\n    public function handle(): void { ... }\n}\n// Button clicked 5 times = 5 reports generated\n// Race condition: multiple reports for same user",Medium,https://laravel.com/docs/queues#unique-jobs
9,Testing,Queue Testing,Test queue behavior by faking dispatches and asserting job properties,Use Queue::fake() to prevent actual dispatch. Assert job class queue and properties,"Run real queue workers during tests (slow and flaky)","class OrderTest extends TestCase {\n    public function test_order_dispatches_correct_jobs(): void {\n        Queue::fake();\n\n        $this->actingAs($user)->postJson('/api/orders', $orderData);\n\n        Queue::assertPushed(ProcessPayment::class, function ($job) use ($order) {\n            return $job->orderId === $order->id;\n        });\n        Queue::assertPushedOn('payments', ProcessPayment::class);\n        Queue::assertPushed(SendConfirmation::class);\n        Queue::assertNotPushed(GenerateInvoice::class);\n    }\n}","// Real queue in tests:\n$this->postJson('/api/orders', $data);\nsleep(5); // Wait for job to complete?!\n// Flaky, slow, depends on queue worker running",High,https://laravel.com/docs/mocking#queue-fake
10,Monitoring,Queue Health Monitoring,Monitor queue health with metrics and alerts for production reliability,Track queue depth wait times and failure rates. Alert on stuck or growing queues,Deploy queues without monitoring discovering failures from user reports,"// Health check endpoint:\nRoute::get('/health/queues', function () {\n    $queueSize = Redis::llen('queues:default');\n    $failedCount = DB::table('failed_jobs')->where('failed_at', '>=', now()->subHour())->count();\n    return response()->json([\n        'queue_size' => $queueSize,\n        'failed_last_hour' => $failedCount,\n        'status' => $queueSize < 1000 && $failedCount < 10 ? 'healthy' : 'degraded',\n    ]);\n});\n\n// Horizon metrics (with dashboard at /horizon):\n// - Jobs processed per minute\n// - Wait times per queue\n// - Failed job count","// No monitoring:\n// Queue grows to 50K jobs unnoticed\n// Failed jobs pile up silently\n// Workers crash without restart\n// Users wait forever for emails",High,https://laravel.com/docs/horizon
