No,Anti-Pattern,Category,Keywords,What People Do Wrong,Why Its Bad,Better Approach,Code Bad,Code Good,Severity,Detection
1,Massive Widget/ViewController,"god class,massive,monolith,single file,thousand lines",Putting all UI logic state management and business logic in one widget or view controller,"Impossible to test; hard to maintain; merge conflicts in teams; violates SRP","Split into smaller widgets; extract business logic to ViewModel/BLoC; use composition","class HomeScreen extends StatefulWidget {\n  // 2000+ lines\n  // API calls, state management, UI, navigation, validation\n  // All in one file\n  @override\n  _HomeScreenState createState() => _HomeScreenState();\n}\nclass _HomeScreenState extends State<HomeScreen> {\n  List<Product> products = [];\n  bool isLoading = false;\n  String? error;\n  // 50+ variables...\n  // 40+ methods...\n  \n  Widget build(BuildContext context) {\n    // 500 line build method\n  }\n}","// Separated concerns\nclass HomeScreen extends StatelessWidget { // UI only }\nclass HomeBloc extends Bloc { // State management }\nclass GetProductsUseCase { // Business logic }\nclass ProductRepository { // Data access }",Critical,"File > 500 lines; build method > 100 lines; > 10 state variables"
2,setState Everywhere,"setstate,rebuild,stateful,state management",Using setState for all state management even in complex apps,"Entire widget tree rebuilds on every change; no separation of concerns; untestable logic","Use proper state management (BLoC/Riverpod/Provider); setState only for local ephemeral state","class _ProductListState extends State<ProductList> {\n  List<Product> products = [];\n  bool isLoading = false;\n  int cartCount = 0;\n  User? currentUser;\n  String searchQuery = '';\n  \n  void loadProducts() async {\n    setState(() => isLoading = true);\n    products = await api.getProducts();\n    setState(() => isLoading = false);\n  }\n  \n  void addToCart(Product p) {\n    setState(() => cartCount++);\n    // Business logic mixed with UI state\n  }\n}","// setState only for local UI state\nclass _AnimatedButtonState extends State {\n  bool _isPressed = false;\n  void _onTap() => setState(() => _isPressed = !_isPressed);\n}\n\n// Everything else in BLoC/Riverpod\nfinal cartProvider = StateNotifierProvider<CartNotifier, CartState>(...);",High,"grep for setState; count occurrences per file; > 5 setState in one widget"
3,Memory Leaks from Listeners,"memory leak,listener,subscription,stream,dispose",Not canceling stream subscriptions or disposing controllers when widget is removed,"Memory grows over time; callbacks fire on disposed widgets; app becomes sluggish and crashes","Always cancel subscriptions in dispose; use autoDispose; use CancelToken for API calls","class _ChatState extends State<Chat> {\n  void initState() {\n    super.initState();\n    // LEAK: Never cancelled\n    chatService.messages.listen((msg) {\n      setState(() { messages.add(msg); });\n    });\n    // LEAK: Never disposed\n    final controller = TextEditingController();\n  }\n}","class _ChatState extends State<Chat> {\n  late final StreamSubscription _sub;\n  late final TextEditingController _controller;\n  \n  void initState() {\n    _sub = chatService.messages.listen(_onMessage);\n    _controller = TextEditingController();\n  }\n  void dispose() {\n    _sub.cancel();\n    _controller.dispose();\n    super.dispose();\n  }\n}",Critical,"Flutter DevTools memory tab; watch heap growth; look for dispose() in StatefulWidgets"
4,Ignoring Platform Conventions,"platform,convention,ios,android,material,cupertino",Forcing one platform's design on both iOS and Android,"iOS users get confused by Material behaviors; Android users miss platform features; poor UX","Use adaptive widgets; follow platform conventions; test on both platforms","// Material only - feels wrong on iOS\nAlertDialog(\n  title: Text('Delete?'),\n  actions: [\n    TextButton(child: Text('Cancel'), onPressed: pop),\n    TextButton(child: Text('Delete', style: TextStyle(color: Colors.red)), onPressed: delete),\n  ],\n)\n// Back button behavior wrong on iOS\n// Material bottom sheets on iOS","// Platform adaptive\nshowAdaptiveDialog(\n  context: context,\n  builder: (_) => AlertDialog.adaptive(\n    title: const Text('Delete?'),\n    actions: [\n      adaptiveAction(context, 'Cancel', pop),\n      adaptiveAction(context, 'Delete', delete, isDestructive: true),\n    ],\n  ),\n);",Medium,"Test on both platforms; check for platform-specific widgets"
5,Hardcoded Strings,"hardcoded,string,magic,l10n,localization,translation",Hardcoding user-facing strings instead of using localization,"Cannot translate app; inconsistent text; typos spread across codebase","Use intl/easy_localization; centralize all strings; use string keys","Text('Welcome back, $name!')\nText('Add to Cart')\nText('Error: Something went wrong')\n// Scattered across 100+ files\n// Cannot translate to other languages","Text(context.l10n.welcomeBack(name))\nText(context.l10n.addToCart)\nText(context.l10n.errorGeneric)\n// All strings in .arb files\n// Easy to add Japanese, Vietnamese, etc.",Medium,"grep for quoted strings in widget files; check for AppLocalizations usage"
6,No Error Handling,"no error,swallow,catch all,ignore exception,silent fail",Catching and ignoring errors or not handling them at all,"Bugs go unnoticed; users see blank screens; crashes in production without reports","Handle every error explicitly; show user-friendly messages; report to Crashlytics/Sentry","try {\n  final data = await api.getData();\n  // use data\n} catch (e) {\n  print(e); // Swallowed! User sees nothing\n  // Or worse:\n  // catch (e) { } // Completely silent\n}","try {\n  final data = await api.getData();\n} on NetworkException catch (e) {\n  emit(state.copyWith(error: 'No internet connection'));\n} on ServerException catch (e) {\n  emit(state.copyWith(error: 'Server error. Please retry.'));\n  crashlytics.recordError(e);\n}",High,"grep for empty catch blocks; grep for 'print(e)' in catch"
7,Over-Engineering State,"over engineer,premature,abstraction,unnecessary,layer",Adding too many layers and abstractions for simple features,"Development is 3x slower; team struggles to understand; simple CRUD takes days","Match architecture complexity to project size; start simple and refactor when needed","// For a TODO app:\nlib/\n  features/todo/\n    data/datasources/todo_remote_datasource.dart\n    data/datasources/todo_local_datasource.dart\n    data/models/todo_model.dart\n    data/repositories/todo_repository_impl.dart\n    domain/entities/todo_entity.dart\n    domain/repositories/todo_repository.dart\n    domain/usecases/get_todos_usecase.dart\n    domain/usecases/add_todo_usecase.dart\n    presentation/bloc/todo_bloc.dart\n    presentation/bloc/todo_event.dart\n    presentation/bloc/todo_state.dart\n    // 15+ files for a simple TODO","// Simple TODO app - just enough structure\nlib/\n  models/todo.dart\n  providers/todo_provider.dart\n  screens/todo_screen.dart\n  widgets/todo_tile.dart\n  // 4 files, perfectly maintainable",Medium,"Count files per feature; if > 10 files for simple CRUD, probably over-engineered"
8,BuildContext Across Async Gaps,"context,async,mounted,gap,navigation,scaffold",Using BuildContext after an async gap when the widget may be unmounted,"Crashes with 'looking up deactivated widget'; unpredictable navigation,"Check mounted before using context; use ref (Riverpod) or BLoC for async side effects","Future<void> login() async {\n  final result = await authService.login(email, password);\n  // BAD: context might be invalid after await\n  Navigator.of(context).pushReplacement(...);\n  ScaffoldMessenger.of(context).showSnackBar(...);\n}","Future<void> login() async {\n  final result = await authService.login(email, password);\n  if (!mounted) return; // Check mounted!\n  Navigator.of(context).pushReplacement(...);\n}\n\n// Better: use BLoC/Riverpod listener\nBlocListener<AuthBloc, AuthState>(\n  listener: (context, state) {\n    if (state is Authenticated) navigator.pushReplacement(...);\n  },\n)",High,"Flutter analyzer warnings; runtime exceptions about deactivated widgets"
9,Not Using Code Generation,"codegen,manual,boilerplate,json,freezed,injectable",Writing boilerplate code manually instead of using code generation,"Tedious manual work; inconsistent implementations; bugs in serialization","Use freezed for models; json_serializable for JSON; injectable for DI; build_runner","class User {\n  final String id;\n  final String name;\n  final String email;\n  \n  User({required this.id, required this.name, required this.email});\n  \n  // Manual toJson\n  Map<String, dynamic> toJson() => {'id': id, 'name': name, 'email': email};\n  \n  // Manual fromJson\n  factory User.fromJson(Map<String, dynamic> json) => User(\n    id: json['id'] as String,\n    name: json['name'] as String,\n    email: json['email'] as String,\n  );\n  \n  // Manual copyWith, ==, hashCode, toString...\n  // 50+ lines of boilerplate per model\n}","@freezed\nclass User with _$User {\n  const factory User({\n    required String id,\n    required String name,\n    required String email,\n  }) = _User;\n  \n  factory User.fromJson(Map<String, dynamic> json) => _$UserFromJson(json);\n}\n// 10 lines, everything auto-generated",Medium,"Count boilerplate in model classes; check if freezed/json_serializable is in pubspec"
10,Deep Widget Nesting,"nesting,indentation,pyramid,callback hell,readability",Deeply nested widget trees that are impossible to read and maintain,"Unreadable code; hard to modify; impossible to review; performance issues from rebuilds","Extract widgets into named classes; use Widget methods; limit nesting to 5-7 levels","Widget build(BuildContext context) {\n  return Scaffold(\n    body: SafeArea(\n      child: Padding(\n        padding: EdgeInsets.all(16),\n        child: Column(\n          children: [\n            Container(\n              decoration: BoxDecoration(...),\n              child: Row(\n                children: [\n                  Expanded(\n                    child: Column(\n                      children: [\n                        // 15+ levels of nesting\n                        // Impossible to read\n                      ],\n                    ),\n                  ),\n                ],\n              ),\n            ),\n          ],\n        ),\n      ),\n    ),\n  );\n}","Widget build(BuildContext context) {\n  return Scaffold(\n    body: SafeArea(\n      child: Padding(\n        padding: const EdgeInsets.all(16),\n        child: Column(\n          children: [\n            _buildHeader(),\n            const ProductGrid(),\n            const CartSummary(),\n          ],\n        ),\n      ),\n    ),\n  );\n}",Medium,"Indentation levels > 7; build methods > 50 lines"
