No,Topic,Keywords,Description,Do,Dont,Example,Severity,Docs URL
1,Module Path Naming,"module, path, naming, import, domain",The module path is the canonical import path and should reflect where the module can be found by the go tool,Use a domain you control as the module path prefix; use lowercase with no underscores,"Don't use generic names like ""myproject""; don't use uppercase or underscores in paths",module github.com/yourorg/yourproject,high,https://go.dev/ref/mod#module-path
2,Semantic Versioning (/v2),"semver, v2, major, breaking, version",Go modules use semantic versioning and require a /vN suffix in the module path for major versions 2 and above,Add /vN suffix to module path and import paths when releasing major version N >= 2; tag releases as vN.x.x,Don't change the module path suffix without a major version bump; don't make breaking changes in minor releases,"module github.com/yourorg/yourlib/v2, import ""github.com/yourorg/yourlib/v2/pkg""",critical,https://go.dev/ref/mod#major-version-suffixes
3,go.sum Security,"go.sum, checksum, verification, integrity, supply chain",The go.sum file contains expected cryptographic hashes of module content to verify integrity and prevent tampering,Commit go.sum to version control; run go mod verify in CI to check cached modules against go.sum,"Don't add go.sum to .gitignore; don't manually edit go.sum; don't ignore checksum mismatch errors",go mod verify returns all verified if checksums match or reports mismatches,critical,https://go.dev/ref/mod#go-sum-files
4,Replace Directives,"replace, local, fork, override",The replace directive substitutes the source of a module dependency with another location such as a local path or fork,Use replace for temporary local development of dependencies; remove before committing if not intended as permanent,"Don't leave replace directives pointing to local paths in published modules; don't use replace as a permanent fork strategy","replace github.com/original/pkg => ../local-pkg, or replace github.com/original/pkg => github.com/yourfork/pkg v1.2.3",medium,https://go.dev/ref/mod#go-mod-file-replace
5,Vendoring,"vendor, offline, reproducible, vendor directory",Vendoring copies all dependencies into a vendor/ directory for fully reproducible builds without network access,Use vendoring for production services that need hermetic builds; run go mod vendor and commit the vendor/ directory,"Don't vendor libraries/SDKs intended for import by others; don't manually edit files inside vendor/","go mod vendor && go build -mod=vendor ./..., commit vendor/ to VCS",medium,https://go.dev/ref/mod#vendoring
6,Private Modules,"private, GOPRIVATE, GONOSUMDB, authentication",Private modules require configuring GOPRIVATE to bypass the public proxy and checksum database,"Set GOPRIVATE for your private domain; configure git credentials or .netrc for authentication; use GONOSUMDB if needed","Don't leave GOPRIVATE unset when using private repos; don't store credentials in source code","GOPRIVATE=github.com/yourorg/* go mod tidy, or set in environment permanently",high,https://go.dev/ref/mod#private-modules
7,Minimal Version Selection,"mvs, version selection, dependency resolution, algorithm",Go uses Minimal Version Selection to pick the minimum version of each dependency that satisfies all requirements,Understand that Go picks the minimum not maximum version; explicitly require newer versions in go.mod if needed,"Don't assume latest version is selected automatically; don't fight MVS by manually editing go.sum","If A requires X v1.2.0 and B requires X v1.3.0 then Go selects X v1.3.0 as the minimum satisfying both",medium,https://go.dev/ref/mod#minimal-version-selection
8,Retract Directive,"retract, recall, broken, version, advisory",The retract directive marks published versions as broken or inadvertently published so users avoid selecting them,Use retract to flag accidentally published or broken versions; add a comment explaining the reason for retraction,"Don't delete tags from VCS as a substitute for retract; don't retract versions without publishing a newer version first","retract ( // Published accidentally v1.0.0 // Contains critical bug v1.1.0 )",medium,https://go.dev/ref/mod#go-mod-file-retract
9,Workspace Mode,"workspace, go.work, multi-module, local development",Workspace mode lets you work on multiple modules simultaneously without replace directives in go.mod files,Use go work for local multi-module development; add go.work to .gitignore unless the workspace is part of the project,"Don't commit go.work accidentally if it's only for local development; don't use workspaces in CI unless intentional","go work init ./api ./sdk ./shared, then go work sync after dependency changes",low,https://go.dev/ref/mod#workspaces
10,Dependency Management,"dependency, upgrade, audit, maintenance, outdated",Regularly auditing and updating dependencies prevents security issues and keeps your project on supported versions,Run go list -m -u all to check for updates; use govulncheck regularly; update dependencies incrementally,"Don't update all dependencies at once without testing; don't ignore indirect dependency updates","go list -m -u all to list updates, then go get -u specific/pkg@latest to update one at a time",high,https://go.dev/ref/mod#go-list-m
11,License Checking,"license, compliance, legal, open source, audit",Checking licenses of all transitive dependencies ensures legal compliance especially for commercial software,Use tools like go-licenses to audit dependency licenses; maintain a list of approved licenses for your organization,"Don't ignore transitive dependency licenses; don't assume all open source licenses are compatible","go-licenses csv ./... > licenses.csv, then review for copyleft or restricted licenses",high,https://pkg.go.dev/github.com/google/go-licenses
