No,Category,Issue,Keywords,Description,Do,Dont,Code Good,Code Bad,Impact,Measurement
1,Allocation,Pre-allocate Vec with capacity,"Vec, capacity, with_capacity, pre-allocate","Pre-allocate Vec capacity when the size is known or can be estimated to avoid repeated reallocations and copies","Use Vec::with_capacity(n) when you know or can estimate the number of elements","Use Vec::new() and push in a loop without pre-allocating when the approximate size is known","fn collect_ids(users: &[User]) -> Vec<u64> {\n    let mut ids = Vec::with_capacity(users.len());\n    for u in users {\n        ids.push(u.id);\n    }\n    ids\n}","fn collect_ids(users: &[User]) -> Vec<u64> {\n    let mut ids = Vec::new();\n    for u in users {\n        ids.push(u.id); // grows and reallocates multiple times\n    }\n    ids\n}",High,"cargo bench; compare allocs with DHAT or heaptrack"
2,Allocation,Avoid String cloning in hot paths,"clone, String, Cow, borrow, reference","Cloning Strings allocates new heap memory and copies bytes. Use references or Cow<str> to avoid unnecessary allocations","Pass &str references when ownership is not needed; use Cow<str> when you sometimes need owned data; use String::from only when ownership is required","Clone strings in loops or pass owned Strings when a reference would suffice","fn greet(name: &str) -> String {\n    format!(""Hello, {name}!"")\n}\n\nfn process_names(names: &[String]) {\n    for name in names {\n        greet(name); // borrows, no clone\n    }\n}","fn greet(name: String) -> String {\n    format!(""Hello, {name}!"")\n}\n\nfn process_names(names: &[String]) {\n    for name in names {\n        greet(name.clone()); // unnecessary clone every iteration\n    }\n}",High,"cargo bench --bench allocation; compare with DHAT profiler"
3,Allocation,Use SmallVec for small collections,"SmallVec, stack, inline, small buffer","SmallVec stores up to N elements inline on the stack before falling back to heap allocation, avoiding allocation for small collections","Use SmallVec<[T; N]> for collections that are usually small (< 8 elements); tune N based on profiling","Use SmallVec everywhere without profiling; set N too large wasting stack space","use smallvec::SmallVec;\n\nfn parse_tags(input: &str) -> SmallVec<[&str; 4]> {\n    input.split(',').collect()\n}\n\n// Most inputs have 1-4 tags: zero heap allocations\n// Falls back to heap for > 4 tags","fn parse_tags(input: &str) -> Vec<&str> {\n    input.split(',').collect()\n    // always heap-allocates even for a single tag\n}",Medium,"cargo bench; compare B/op with and without SmallVec"
4,Allocation,Reuse buffers across iterations,"buffer, reuse, clear, String, Vec","Reuse allocated buffers by calling .clear() instead of creating new ones in loops to avoid repeated allocation and deallocation","Call buffer.clear() and reuse the allocation; use std::mem::take for ownership transfer while preserving capacity","Create a new String or Vec on every loop iteration","fn process_lines(reader: impl BufRead) {\n    let mut line = String::new();\n    loop {\n        line.clear(); // reuse allocation\n        if reader.read_line(&mut line).unwrap() == 0 { break; }\n        process(&line);\n    }\n}","fn process_lines(reader: impl BufRead) {\n    for line in reader.lines() {\n        let line = line.unwrap(); // new String each line\n        process(&line);\n    }\n}",High,"cargo bench; compare allocs/op with DHAT profiler"
5,Memory,Zero-copy parsing with references,"zero copy, borrow, lifetime, parse, slice","Parse data by returning references (&str, &[u8]) into the original buffer instead of allocating new owned copies","Return &str slices into the original data; use nom or winnow for zero-copy parsing; carry lifetimes through the parse tree","Parse by converting every token into an owned String","struct Row<'a> {\n    name: &'a str,\n    value: &'a str,\n}\n\nfn parse_csv_line(line: &str) -> Vec<Row<'_>> {\n    line.split('\\n').filter_map(|l| {\n        let (name, value) = l.split_once(',')?;\n        Some(Row { name: name.trim(), value: value.trim() })\n    }).collect()\n}","struct Row {\n    name: String, // heap allocation per field\n    value: String,\n}\n\nfn parse_csv_line(line: &str) -> Vec<Row> {\n    line.split('\\n').filter_map(|l| {\n        let (name, value) = l.split_once(',')?;\n        Some(Row { name: name.trim().to_string(), value: value.trim().to_string() })\n    }).collect()\n}",High,"cargo bench; compare bytes allocated and throughput MB/s"
6,Memory,Box for large stack types,"Box, heap, stack overflow, large struct","Move large types to the heap with Box to avoid stack overflow and excessive stack copying","Box large structs (> 1KB) and arrays; pass by reference when possible; use Box in recursive types","Allocate small structs on the heap unnecessarily; box every single type","// Large array on the heap instead of stack:\nlet data = Box::new([0u8; 1024 * 1024]); // 1MB on heap\n\n// Recursive type requires indirection:\nenum Tree {\n    Leaf(i32),\n    Node(Box<Tree>, Box<Tree>),\n}","// Stack overflow with large array:\nlet data = [0u8; 1024 * 1024]; // 1MB on stack - may overflow!\n\n// Won't compile without Box:\nenum Tree {\n    Leaf(i32),\n    Node(Tree, Tree), // infinite size\n}",Medium,"Check stack usage; run with RUST_MIN_STACK=8388608"
7,Memory,Cache-friendly struct layout,"cache, padding, alignment, repr, data-oriented","Order struct fields from largest to smallest alignment to minimize padding and improve cache performance","Use #[repr(C)] when layout matters; order fields by decreasing alignment; use arrays of structs (AoS) vs struct of arrays (SoA) based on access patterns","Randomly order struct fields; use pointer-heavy data structures for large collections","// Cache-friendly: fields ordered by alignment\nstruct Particle {\n    position: [f64; 3],  // 24 bytes\n    velocity: [f64; 3],  // 24 bytes\n    mass: f64,           // 8 bytes\n    id: u32,             // 4 bytes\n    active: bool,        // 1 byte + 3 padding\n} // 64 bytes, fits one cache line","// Poor cache utilization:\nstruct Particles {\n    positions: Vec<Box<[f64; 3]>>,  // pointer chasing\n    velocities: Vec<Box<[f64; 3]>>, // scattered in heap\n    masses: Vec<Box<f64>>,          // each Box is indirection\n}",High,"perf stat -e cache-misses; cargo bench with criterion"
8,Concurrency,Avoid blocking in async runtime,"blocking, spawn_blocking, tokio, async","Blocking operations in async tasks starve other tasks by holding the worker thread. Offload blocking work to a dedicated thread pool","Use tokio::task::spawn_blocking for blocking I/O, CPU-heavy work, or calls to synchronous libraries","Call synchronous std::fs functions, blocking HTTP clients, or CPU-heavy code directly in async","async fn read_file(path: &str) -> std::io::Result<String> {\n    let path = path.to_string();\n    tokio::task::spawn_blocking(move || {\n        std::fs::read_to_string(path)\n    }).await.unwrap()\n}","async fn read_file(path: &str) -> std::io::Result<String> {\n    std::fs::read_to_string(path) // blocks async worker!\n}",Critical,"tokio-console; monitor task poll times and worker utilization"
9,String,Use write! instead of format! for appending,"write!, format!, String, append, allocation","format! creates a new String each time. Use write! to append directly to an existing String or buffer without extra allocation","Use std::fmt::Write with write! to append to String; use std::io::Write for byte buffers","Use format! and push_str repeatedly when write! would avoid intermediate allocations","use std::fmt::Write;\n\nfn build_query(filters: &[(String, String)]) -> String {\n    let mut query = String::with_capacity(256);\n    query.push_str(""SELECT * FROM users WHERE 1=1"");\n    for (key, value) in filters {\n        write!(&mut query, "" AND {key} = '{value}'"").unwrap();\n    }\n    query\n}","fn build_query(filters: &[(String, String)]) -> String {\n    let mut query = ""SELECT * FROM users WHERE 1=1"".to_string();\n    for (key, value) in filters {\n        query.push_str(&format!("" AND {key} = '{value}'""));\n        // format! allocates a new String each iteration\n    }\n    query\n}",Medium,"cargo bench; compare allocs/op"
10,String,Interning with string deduplication,"intern, string, dedup, lasso, symbol","Intern frequently repeated strings to store each unique string once and use lightweight handles for comparison","Use the lasso or string-interner crate for repeated strings; use &'static str for compile-time known strings","Create owned copies of the same string thousands of times","use lasso::Rodeo;\n\nlet mut rodeo = Rodeo::default();\nlet key1 = rodeo.get_or_intern(""field_name"");\nlet key2 = rodeo.get_or_intern(""field_name"");\nassert_eq!(key1, key2); // same key, compared with ==\n// Only one copy of ""field_name"" in memory","let mut fields: Vec<String> = Vec::new();\nfor record in records {\n    fields.push(record.field_name.clone());\n    // 10000 records = 10000 copies of the same string\n}",Medium,"Memory profiling with DHAT; compare heap usage"
11,IO,Buffered IO with BufReader/BufWriter,"BufReader, BufWriter, buffered, syscall","Reading or writing small amounts directly to files triggers a syscall per operation. Buffered IO batches into larger chunks","Wrap File with BufReader for reading and BufWriter for writing; call flush() before dropping BufWriter","Read or write files without buffering causing excessive system calls","use std::io::{BufWriter, Write};\n\nfn write_records(path: &str, records: &[Record]) -> std::io::Result<()> {\n    let file = std::fs::File::create(path)?;\n    let mut writer = BufWriter::new(file);\n    for r in records {\n        writeln!(writer, ""{},{}"", r.name, r.value)?;\n    }\n    writer.flush()\n}","use std::io::Write;\n\nfn write_records(path: &str, records: &[Record]) -> std::io::Result<()> {\n    let mut file = std::fs::File::create(path)?;\n    for r in records {\n        writeln!(file, ""{},{}"", r.name, r.value)?;\n        // one syscall per record\n    }\n    Ok(())\n}",High,"strace -c to count syscalls; cargo bench for throughput"
12,IO,Connection pooling with deadpool,"deadpool, pool, database, connection, reuse","Creating a new database connection per request is expensive. Connection pools maintain reusable connections","Use deadpool, bb8, or r2d2 for connection pooling; configure pool size based on workload","Create a new connection per request; set pool size to max without considering database limits","use deadpool_postgres::{Config, Runtime};\n\nlet cfg = Config {\n    host: Some(""localhost"".into()),\n    dbname: Some(""mydb"".into()),\n    ..Default::default()\n};\nlet pool = cfg.create_pool(Some(Runtime::Tokio1), tokio_postgres::NoTls)?;\n\nasync fn get_user(pool: &Pool, id: i64) -> Result<User> {\n    let client = pool.get().await?; // reuses existing connection\n    let row = client.query_one(""SELECT * FROM users WHERE id = $1"", &[&id]).await?;\n    Ok(User::from(row))\n}","async fn get_user(id: i64) -> Result<User> {\n    let (client, conn) = tokio_postgres::connect(""host=localhost dbname=mydb"", NoTls).await?;\n    tokio::spawn(conn); // new connection per request!\n    let row = client.query_one(""SELECT * FROM users WHERE id = $1"", &[&id]).await?;\n    Ok(User::from(row))\n}",Critical,"Monitor connection count; measure p99 latency"
13,Serialization,Use serde with zero-copy deserialization,"serde, zero-copy, borrow, deserialize","Serde can deserialize &str directly from the input buffer without copying when using #[serde(borrow)]","Use #[serde(borrow)] with &str fields; use serde_json::from_slice for zero-copy JSON parsing","Always deserialize into owned Strings when borrowed references would suffice","#[derive(Deserialize)]\nstruct Record<'a> {\n    #[serde(borrow)]\n    name: &'a str,\n    #[serde(borrow)]\n    category: &'a str,\n    value: f64,\n}\n\nfn parse_records(data: &[u8]) -> Vec<Record<'_>> {\n    serde_json::from_slice(data).unwrap()\n    // zero-copy: name and category point into data\n}","#[derive(Deserialize)]\nstruct Record {\n    name: String, // heap allocation per field\n    category: String,\n    value: f64,\n}\n\nfn parse_records(data: &str) -> Vec<Record> {\n    serde_json::from_str(data).unwrap()\n    // copies every string field\n}",High,"cargo bench; compare throughput and B/op"
14,Hashing,Use a faster hasher for HashMap,"HashMap, FxHashMap, ahash, hasher, DoS","The default SipHash is DoS-resistant but slow. Use FxHashMap or AHashMap for internal-only maps","Use FxHashMap or AHashMap for internal data structures; keep SipHash for user-controlled keys (DoS resistance)","Replace SipHash in maps keyed by user input; use slow hashers for purely internal key types","use rustc_hash::FxHashMap;\n\nlet mut map: FxHashMap<u64, Vec<u8>> = FxHashMap::default();\nfor i in 0..100_000 {\n    map.insert(i, vec![i as u8]);\n}\n// FxHash is ~2-3x faster than SipHash for integer keys","use std::collections::HashMap;\n\nlet mut map: HashMap<u64, Vec<u8>> = HashMap::new();\nfor i in 0..100_000 {\n    map.insert(i, vec![i as u8]);\n}\n// SipHash is slower for integer keys\n// appropriate for String keys from user input",Medium,"cargo bench; compare ops/sec with criterion"
15,Compilation,Profile-guided optimization (PGO),"PGO, LLVM, profile, optimize, lto","Use PGO and LTO to let the compiler optimize based on real workload data and cross-crate information","Enable LTO in release profile; use PGO for latency-sensitive services; strip symbols for smaller binaries","Ship debug builds; skip LTO for large production binaries","# Cargo.toml\n[profile.release]\nlto = true\ncodegen-units = 1\nstrip = true\npanic = ""abort""\nopt-level = 3\n\n# PGO workflow:\n# 1. Build instrumented: RUSTFLAGS=""-Cprofile-generate=/tmp/pgo"" cargo build --release\n# 2. Run workload: ./target/release/app\n# 3. Merge: llvm-profdata merge -o /tmp/pgo/merged.profdata /tmp/pgo\n# 4. Build optimized: RUSTFLAGS=""-Cprofile-use=/tmp/pgo/merged.profdata"" cargo build --release","# Cargo.toml\n[profile.release]\n# defaults: lto = false, codegen-units = 16\n# misses cross-crate optimizations\n# larger binary with debug symbols",Medium,"cargo build --timings; hyperfine for latency comparison"
16,Compilation,Reduce compile times,"compile time, incremental, mold, cranelift, sccache","Long compile times hurt iteration speed. Use linker optimizations and caching to speed up development","Use mold linker for fast dev builds; enable sccache for CI; use cargo-nextest for parallel testing","Wait for slow builds without investigating; use LTO in development profile","# .cargo/config.toml\n[target.x86_64-unknown-linux-gnu]\nlinker = ""clang""\nrustflags = [""-C"", ""link-arg=-fuse-ld=mold""]\n\n# Install sccache for caching:\n# cargo install sccache\n# export RUSTC_WRAPPER=sccache\n\n# Use cranelift backend for faster dev builds:\n# CARGO_PROFILE_DEV_CODEGEN_BACKEND=cranelift cargo build","# Default linker (ld) is slow\n# No caching: every CI build recompiles everything\n# LTO in dev profile: minutes of linking\n[profile.dev]\nlto = true # terrible idea for dev builds",Medium,"cargo build --timings; time cargo build"
17,Iterator,Avoid collect when not needed,"collect, iterator, lazy, chain, for_each","Calling .collect() materializes an iterator into a Vec consuming memory. Process items lazily when possible","Chain iterator adapters without collecting intermediate results; use .for_each() for side effects; collect only at the end","Collect into intermediate Vecs between processing steps","let total: f64 = records\n    .iter()\n    .filter(|r| r.active)\n    .map(|r| r.amount)\n    .sum(); // no intermediate allocation","let active: Vec<&Record> = records.iter().filter(|r| r.active).collect();\nlet amounts: Vec<f64> = active.iter().map(|r| r.amount).collect();\nlet total: f64 = amounts.iter().sum();\n// two unnecessary intermediate Vecs",High,"cargo bench; compare with DHAT for allocation tracking"
18,Async,Avoid unnecessary Arc cloning,"Arc, clone, overhead, reference counting","Each Arc::clone() performs an atomic increment which has CPU cache coherence overhead under contention","Clone Arc only when transferring ownership to a new task or thread; pass &T references within the same task","Clone Arc for every function call within the same task","use std::sync::Arc;\n\nlet state = Arc::new(AppState::new());\n\n// Clone only for spawned tasks:\nfor _ in 0..10 {\n    let state = state.clone(); // needed: moving into spawned task\n    tokio::spawn(async move {\n        handle_request(&state).await; // borrow within task\n    });\n}\n\nasync fn handle_request(state: &AppState) {\n    validate(state).await; // pass reference, no clone\n    process(state).await;  // pass reference, no clone\n}","async fn handle_request(state: Arc<AppState>) {\n    validate(state.clone()).await; // unnecessary clone\n    process(state.clone()).await;  // unnecessary clone\n    // atomic ref count bouncing between CPU cores\n}",Medium,"cargo bench; profile with perf to see atomic contention"
19,Profiling,CPU profiling with flamegraph,"flamegraph, perf, profiling, hot path","CPU profiling identifies which functions consume the most time. Flamegraphs visualize the call stack distribution","Use cargo-flamegraph for quick CPU profiling; use perf on Linux; use Instruments on macOS","Optimize code without profiling first; guess which functions are slow","# Install:\n# cargo install flamegraph\n\n# Profile:\n# cargo flamegraph -- --release\n\n# Or with specific binary:\n# cargo flamegraph --bin myapp -- --arg1 val1\n\n# On Linux with perf:\n# perf record -g --call-graph dwarf ./target/release/app\n# perf script | inferno-flamegraph > flamegraph.svg","# No profiling:\nfn main() {\n    let start = std::time::Instant::now();\n    run();\n    println!(""took {:?}"", start.elapsed());\n    // only total time, cannot identify bottlenecks\n}",Critical,"cargo flamegraph; perf stat -e instructions,cycles,cache-misses"
20,Profiling,Memory profiling with DHAT,"DHAT, memory, allocation, heap, profiling","DHAT tracks heap allocations to identify which code paths allocate the most memory, enabling targeted optimization","Use dhat crate for Rust-native heap profiling; analyze allocation sites and total bytes allocated","Ignore allocation profiles when debugging high memory usage or slow performance due to allocator pressure","// In Cargo.toml: [dependencies] dhat = ""0.3""\n\n#[cfg(feature = ""dhat-heap"")]\n#[global_allocator]\nstatic ALLOC: dhat::Alloc = dhat::Alloc;\n\nfn main() {\n    #[cfg(feature = ""dhat-heap"")]\n    let _profiler = dhat::Profiler::new_heap();\n\n    run();\n}\n\n// Run: cargo run --features dhat-heap\n// Opens dhat-viewer with allocation flamegraph","fn debug_memory() {\n    let before = std::mem::size_of_val(&data);\n    process(&mut data);\n    // size_of_val only measures stack size\n    // cannot identify heap allocation sites\n}",High,"cargo run --features dhat-heap; analyze with dh_view.html"
