No,Architecture,Keywords,Description,Structure,When To Use,When Not To Use,Example Packages,Key Principles
1,Cargo Workspace,"workspace, monorepo, multi-crate, shared","Organize related crates in a single repository with shared dependencies and unified builds","my-project/\n├── Cargo.toml (workspace)\n├── crates/\n│   ├── core/\n│   │   ├── Cargo.toml\n│   │   └── src/lib.rs\n│   ├── api/\n│   │   ├── Cargo.toml\n│   │   └── src/main.rs\n│   ├── cli/\n│   │   ├── Cargo.toml\n│   │   └── src/main.rs\n│   └── shared/\n│       ├── Cargo.toml\n│       └── src/lib.rs\n└── tests/","When building multiple related crates (lib + binary + CLI); for monorepos; when crates share dependencies","For a single small crate; when crates are completely independent with no shared dependencies","cargo-workspace,cargo-release","Shared Cargo.lock for reproducible builds; unified dependency versions with workspace.dependencies; run cargo test --workspace to test everything; use path dependencies between workspace members"
2,Hexagonal Architecture,"hexagonal, ports and adapters, domain driven, clean","Separate business logic from infrastructure through ports (traits) and adapters (implementations)","src/\n├── domain/\n│   ├── mod.rs\n│   ├── models.rs    (entities, value objects)\n│   └── services.rs  (business logic)\n├── ports/\n│   ├── mod.rs\n│   ├── inbound.rs   (use case traits)\n│   └── outbound.rs  (repository traits, external service traits)\n├── adapters/\n│   ├── mod.rs\n│   ├── web/         (HTTP handlers, axum/actix)\n│   ├── db/          (SQLx/Diesel implementations)\n│   └── external/    (API clients)\n├── config.rs\n└── main.rs","For complex domain logic; when you need to swap infrastructure (DB, API clients); for testable business logic","For simple CRUD apps; for small utilities where the overhead is not justified","axum,sqlx,serde","Domain has no external dependencies; ports define contracts as traits; adapters implement ports; dependency inversion: domain depends on nothing, adapters depend on ports"
3,Layered Architecture,"layered, handler, service, repository, three tier","Organize code into handler, service, and repository layers with clear responsibilities","src/\n├── handlers/\n│   ├── mod.rs\n│   └── user.rs      (HTTP request/response)\n├── services/\n│   ├── mod.rs\n│   └── user.rs      (business logic)\n├── repositories/\n│   ├── mod.rs\n│   └── user.rs      (data access)\n├── models/\n│   ├── mod.rs\n│   └── user.rs      (domain types)\n├── errors.rs\n├── config.rs\n└── main.rs","For typical web applications; when team is familiar with layered patterns; for straightforward CRUD services","When domain logic is complex enough to warrant hexagonal; for very simple single-purpose services","axum,sqlx,serde","Handlers parse requests and call services; services contain business logic and call repositories; repositories handle data access; each layer only depends on the layer below"
4,Module-per-Feature,"feature, vertical slice, module, domain driven","Group code by feature/domain rather than by technical layer, keeping related code together","src/\n├── users/\n│   ├── mod.rs\n│   ├── handler.rs\n│   ├── service.rs\n│   ├── repository.rs\n│   ├── model.rs\n│   └── tests.rs\n├── orders/\n│   ├── mod.rs\n│   ├── handler.rs\n│   ├── service.rs\n│   └── model.rs\n├── shared/\n│   ├── db.rs\n│   └── auth.rs\n├── config.rs\n└── main.rs","For larger applications with distinct features; when features have minimal cross-dependencies; for team-based development","When features are tightly coupled; for very small applications with few features","axum,sqlx","Each feature module is self-contained; shared code goes in shared/; features communicate through well-defined interfaces; easy to extract into separate crates later"
5,Actor Model,"actor, message passing, tokio, state machine","Encapsulate mutable state in actor tasks that process messages sequentially via channels","src/\n├── actors/\n│   ├── mod.rs\n│   ├── cache.rs     (CacheActor)\n│   ├── worker.rs    (WorkerActor)\n│   └── supervisor.rs\n├── messages.rs      (enum Message types)\n├── handles.rs       (ActorHandle structs)\n├── main.rs\n└── lib.rs","For systems with isolated, stateful components; when you want to avoid shared mutable state; for concurrent state machines","When simple Arc<Mutex<T>> suffices; for stateless request processing; when message passing overhead is unacceptable","tokio,actix","Each actor owns its state; communication through typed messages via channels; actor handles provide async methods; supervisor manages actor lifecycle"
6,Library + Binary,"lib.rs, main.rs, reusable, testable","Split a project into a library crate (lib.rs) and a thin binary crate (main.rs) for maximum reusability and testability","src/\n├── lib.rs           (pub API, types, logic)\n├── main.rs          (CLI parsing, config, calls lib)\n├── config.rs\n└── core/\n    ├── mod.rs\n    └── engine.rs","For any non-trivial binary; when logic should be usable as a library; for easier integration testing","For purely procedural scripts; when the binary will never be reused as a library","clap,anyhow","lib.rs exposes public API; main.rs handles CLI args, config, and orchestration; integration tests import the library; logic is testable without running the binary"
7,Error-Driven Architecture,"error, thiserror, anyhow, Result, layer","Define error types per layer or domain boundary with clear conversion paths","src/\n├── errors/\n│   ├── mod.rs       (re-exports)\n│   ├── domain.rs    (DomainError)\n│   ├── api.rs       (ApiError with IntoResponse)\n│   └── infra.rs     (InfraError: DB, HTTP client)\n├── domain/\n│   └── ... (returns DomainError)\n├── infra/\n│   └── ... (returns InfraError)\n└── api/\n    └── ... (converts to ApiError)","When different layers have different error requirements; for libraries that need typed errors; for APIs with structured error responses","For simple scripts where anyhow::Result suffices; when there is only one error type needed","thiserror,anyhow","Each layer has its own error enum; From impls convert between layers; API layer maps to HTTP status codes; never expose internal error details to clients"
8,Plugin Architecture,"plugin, dynamic, trait object, wasm","Design extensible systems where functionality can be added without modifying core code","src/\n├── plugin/\n│   ├── mod.rs\n│   ├── api.rs       (Plugin trait definition)\n│   ├── loader.rs    (dynamic loading)\n│   └── registry.rs  (PluginRegistry)\n├── plugins/\n│   ├── builtin/     (built-in plugins)\n│   └── ... \n├── core/\n│   └── engine.rs    (uses PluginRegistry)\n└── main.rs","When functionality must be extensible at runtime or by third parties; for editor/IDE-like applications; for build systems","When the set of extensions is fixed and known at compile time (use enum dispatch); for simple applications","libloading,wasmtime,extism","Define a Plugin trait; use Box<dyn Plugin> for trait objects; use libloading or WASM for dynamic loading; registry manages plugin lifecycle; version compatibility checks"
9,CQRS (Command Query Responsibility Segregation),"CQRS, command, query, read model, write model","Separate read and write paths for different scalability and optimization requirements","src/\n├── commands/\n│   ├── mod.rs\n│   ├── create_order.rs\n│   └── update_order.rs\n├── queries/\n│   ├── mod.rs\n│   ├── get_order.rs\n│   └── list_orders.rs\n├── models/\n│   ├── write.rs     (write model, normalized)\n│   └── read.rs      (read model, denormalized)\n├── events.rs\n└── main.rs","When read and write patterns differ significantly; when you need different models for reads vs writes; for event-sourced systems","For simple CRUD where read/write models are identical; when the added complexity is not justified","sqlx,serde,tokio","Commands mutate state and may emit events; queries are side-effect free; read models can be denormalized for performance; separate data stores possible for reads and writes"
10,Microservice Skeleton,"microservice, health, metrics, tracing, docker","Standard structure for a production Rust microservice with health checks, metrics, and tracing","src/\n├── main.rs\n├── config.rs        (env-based config)\n├── routes/\n│   ├── mod.rs\n│   ├── health.rs    (/health, /ready)\n│   └── api.rs\n├── middleware/\n│   ├── tracing.rs\n│   ├── metrics.rs\n│   └── auth.rs\n├── services/\n├── models/\n├── errors.rs\nDockerfile\nCargo.toml","For any production service; when deploying to Kubernetes or container orchestrators; for services that need observability","For quick prototypes; for CLI tools; for libraries","axum,tokio,tracing,prometheus,serde","Health and readiness endpoints; structured JSON logging with tracing; Prometheus metrics; graceful shutdown; Docker multi-stage builds; environment-based configuration"
